x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.009659110883452927,100000.0,965.9110883452928,99517.04445582736,7304778.2596,73.047782596
1-2,0.0005528476576409773,99034.0889116547,54.75076408141659,99006.71352961399,7205261.215144173,72.75536428241156
2-3,0.00033944231619672784,98979.33814757329,33.59777579643142,98962.53925967508,7106254.501614559,71.79533258769104
3-4,0.0002748423393673939,98945.74037177686,27.194478754217943,98932.14313239975,7007291.9623548845,70.81954145803364
4-5,0.0002362859993703082,98918.54589302265,23.373067472590552,98906.85935928635,6908359.819222485,69.83887355859095
5-6,0.00021799263911082912,98895.17282555005,21.558419719563208,98884.39361569026,6809452.959863198,68.85526123580364
6-7,0.0002095538139102124,98873.61440583049,20.7193429938295,98863.25473433358,6710568.566247508,67.87016542860187
7-8,0.00020164383501030216,98852.89506283666,19.93307686234135,98842.92852440549,6611705.311513174,66.88428606274393
8-9,0.00018804094372575523,98832.96198597431,18.5846434430543,98823.66966425278,6512862.382988769,65.89767474451519
9-10,0.00017037240487206127,98814.37734253125,16.83524310378237,98805.95972097936,6414038.713324516,64.90997449784884
10-11,0.00015880611169331112,98797.54209942748,15.689653505666287,98789.69727267465,6315232.753603537,63.92095005003301
11-12,0.00017132766895769992,98781.8524459218,16.924064514883252,98773.39041366435,6216443.0563308615,62.931023284201494
12-13,0.00022974798749428383,98764.92838140692,22.691043530645317,98753.5828596416,6117669.665917197,61.94172127875389
13-14,0.00034720504565656783,98742.23733787627,34.28380302312899,98725.0954363647,6018916.083057555,60.95584063445943
14-15,0.0005094027271657628,98707.95353485314,50.28210072360558,98682.81248449133,5920190.987621191,59.976838497931276
15-16,0.0006860892853456945,98657.67143412953,67.68797128811227,98623.82744848548,5821508.175136699,59.00715160324383
16-17,0.0008576424685904194,98589.98346284142,84.55495679535994,98547.70598444375,5722884.347688214,58.04732029238213
17-18,0.001024087045901477,98505.42850604607,100.87813328401586,98454.98943940406,5624336.6417037705,57.09671768351893
18-19,0.001171477817017203,98404.55037276205,115.27874785524268,98346.91099883443,5525881.652264367,56.15473706583701
19-20,0.0012949391689879824,98289.2716249068,127.2786277183909,98225.63231104761,5427534.741265533,55.220011823652364
20-21,0.0014175103971869338,98161.99299718841,139.14564568210557,98092.42017434735,5329309.108954485,54.290962787472424
21-22,0.0015292155121626246,98022.84735150631,149.8980587162725,97947.89832214818,5231216.688780137,53.36732027402946
22-23,0.0015751832983018446,97872.94929279004,154.1678350815462,97795.86537524927,5133268.790457989,52.44828961985862
23-24,0.0015613375590309527,97718.7814577085,152.5720037126577,97642.49545585217,5035472.925082739,51.5302467956176
24-25,0.001518255158786921,97566.20945399583,148.13040082681442,97492.14425358243,4937830.429626888,50.610046831379265
25-26,0.0014717652188870579,97418.07905316901,143.376540441244,97346.3907829484,4840338.285373305,49.68624235273143
26-27,0.001429941298415279,97274.70251272777,139.09711441400995,97205.15395552077,4742991.894590356,48.758739652478155
27-28,0.0013996529805413358,97135.60539831377,135.95613961243694,97067.62732850754,4645786.740634835,47.827845634814814
28-29,0.0013866499591807019,96999.64925870133,134.5045596851206,96932.39697885877,4548719.113306328,46.89418104156996
29-30,0.0013941210818125785,96865.14469901621,135.04174031772442,96797.62382885735,4451786.716327469,45.95860286133122
30-31,0.0014233244561012012,96730.10295869848,137.6783211823027,96661.26379810733,4354989.092498612,45.022066133415485
31-32,0.0014742469192864575,96592.42463751617,142.40108444826754,96521.22409529204,4258327.828700504,44.08552580267857
32-33,0.001546175726187479,96450.0235530679,149.12868520796422,96375.45921046393,4161806.6046052123,43.149876498633915
33-34,0.0016381346463863395,96300.89486785994,157.7538323610498,96222.01795167942,4065431.1453947485,42.21592282162241
34-35,0.0017491819016010998,96143.14103549889,168.17184226237669,96059.0551143677,3969209.127443069,41.284371247840966
35-36,0.0018785910557857432,95974.96919323651,180.29771870572634,95884.82033388365,3873150.0723287016,40.35583553593521
36-37,0.002025944271336574,95794.67147453078,194.07466589839476,95697.63414158158,3777265.251994818,39.43084927222795
37-38,0.002191166539362245,95600.59680863238,209.4768288701363,95495.85839419732,3681567.6178532364,38.50988111740328
38-39,0.0023745244171651694,95391.11997976225,226.50854357267772,95277.86570797591,3586071.759459039,37.593349991276376
39-40,0.0025766065687232685,95164.61143618957,245.20176293648353,95042.01055472133,3490793.8937510634,36.68163870024031
40-41,0.002798297670841854,94919.40967325309,265.61276300634785,94786.60329174991,3395751.8831963423,35.77510537503075
41-42,0.0030407526996754676,94653.79691024675,287.8187884893662,94509.88751600207,3300965.2799045923,34.87409261600626
42-43,0.0033053753556088095,94365.97812175738,311.9149784915769,94210.02063251159,3206455.39238859,33.978934529258034
43-44,0.003593802247983365,94054.0631432658,338.011703556238,93885.05729148768,3112245.3717560787,33.08996196172215
44-45,0.003907893180927713,93716.05143970955,366.2323183647117,93532.93528052719,3018360.314464591,32.20750627128583
45-46,0.004249727198474021,93349.81912134484,396.7112652926094,93151.46348869854,2924827.379184064,31.33190194382808
46-47,0.004621603748345277,92953.10785605223,429.59243168787384,92738.3116402083,2831675.9156953655,30.46348832231104
47-48,0.0050260482522832255,92523.51542436435,465.0276529937265,92291.00159786748,2738937.6040551574,29.602610660574936
48-49,0.005465821419849089,92058.48777137062,503.17525433967296,91806.90014420079,2646646.60245729,28.74962066540022
49-50,0.005943931744862397,91555.31251703095,544.1985284807778,91283.21325279056,2554839.7023130893,27.904876648614383
50-51,0.006463650739636293,91011.11398855018,588.2640542472153,90716.98196142657,2463556.4890602985,27.06874337754212
51-52,0.007028530571033582,90422.84993430295,635.5397650832302,90105.08005176134,2372839.5070988717,26.24159168642513
52-53,0.007642423854653881,89787.31016921972,686.1926810824518,89444.21382867849,2282734.4270471106,25.42379789242937
53-54,0.008309505436258899,89101.11748813727,740.3862201444196,88730.92437806506,2193290.213218432,24.615743046213105
54-55,0.009034296043311863,88360.73126799286,798.2770048785708,87961.59276555358,2104559.288840367,23.81781203753694
55-56,0.009821687726166706,87562.45426311428,860.0110823090631,87132.44872195975,2016597.6960748134,23.03039257002994
56-57,0.010676971030271364,86702.44318080522,925.7194740952062,86239.58344375761,1929465.2473528537,22.25387401516745
57-58,0.0116058638498383,85776.72370671,995.5129768252735,85278.96721829737,1843225.663909096,21.48864615313941
58-59,0.012614541911431217,84781.21072988474,1069.476136054013,84246.47266185774,1757946.6966907987,20.735097807126923
59-60,0.013709670823960473,83711.73459383073,1147.6603253841638,83137.90443113864,1673700.224028941,19.993615377219612
60-61,0.014898439610318415,82564.07426844657,1230.0758744702957,81949.03633121142,1590562.3195978024,19.264581280549354
61-62,0.016188595605533616,81333.99839397628,1316.6832089812026,80675.65678948567,1508613.283266591,18.548372305010414
62-63,0.017588480566727183,80017.31518499507,1407.3829931329697,79313.62368842858,1427937.6264771053,17.84535788505028
63-64,0.019107067790868862,78609.9321918621,1502.0053034255136,77858.92954014934,1348624.0027886766,17.155898309352438
64-65,0.020753999976676613,77107.92688843659,1600.297912844195,76307.77793201449,1270765.0732485272,16.48034287171448
65-66,0.022539627496137953,75507.6289755924,1701.913830226445,74656.67206047918,1194457.2953165127,15.81902797798905
66-67,0.024475046658103402,73805.71514536595,1806.3983218175204,72902.51598445719,1119800.6232560335,15.1722752235447
