x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.008611421037018,100000.0,861.1421037018001,99569.4289481491,7626836.8757,76.26836875699999
1-2,0.0005146606271546311,99138.8578962982,51.02286678030268,99113.34646290804,7527267.446751851,75.9265096096383
2-3,0.0003136355937106993,99087.8350295179,31.07747196899067,99072.2962935334,7428154.100288942,74.96534865330464
3-4,0.00025423643198183574,99056.7575575489,25.183836605120977,99044.16563924635,7329081.803995409,73.98871096439271
4-5,0.0002172908498902972,99031.57372094378,21.518654819797494,99020.81439353387,7230037.638356162,73.00739922329551
5-6,0.00019833256933852485,99010.05506612398,19.636918611613197,99000.23660681817,7131016.823962628,72.02315784189969
6-7,0.00018836241591095156,98990.41814751238,18.646074314300733,98981.09511035522,7032016.587355809,71.03734602754099
7-8,0.00017927880654018655,98971.77207319808,17.743541178450318,98962.90030260886,6933035.492245454,70.0506351156154
8-9,0.00016557383224023603,98954.02853201963,16.384197719656147,98945.8364331598,6834072.591942846,69.06310630629324
9-10,0.0001482213800898805,98937.64433429997,14.664674186071688,98930.31199720694,6735126.755509686,68.07446044250251
10-11,0.0001351765373419793,98922.9796601139,13.372065854005244,98916.2936271869,6636196.443512479,67.08447790709056
11-12,0.00014069835716890936,98909.60759425988,13.916419296733846,98902.64938461152,6537280.149885292,66.0934797830972
12-13,0.00018210698848850388,98895.69117496315,18.00959649436165,98886.68637671597,6438377.500500681,65.10270997661674
13-14,0.00026979060741288627,98877.6815784688,26.676269772633052,98864.34344358247,6339490.814123965,64.11447672438577
14-15,0.0003920034509769506,98851.00530869616,38.749935213549755,98831.63034108937,6240626.470680382,63.13164394425617
15-16,0.000528641445375555,98812.2553734826,52.23625350145629,98786.13724673187,6141794.840339293,62.156205392995346
16-17,0.000659430484752978,98760.01911998115,65.12536728250255,98727.4564363399,6043008.703092561,61.18881665819704
17-18,0.0007761681390730382,98694.89375269866,76.60383202004334,98656.59183668863,5944281.246656221,60.22886312184397
18-19,0.0008655687518071322,98618.28992067861,85.36091011199568,98575.6094656226,5845624.654819532,59.275258773208584
19-20,0.0009299637420002489,98532.92901056662,91.63205137291142,98487.11298488016,5747049.04535391,58.326176873698735
20-21,0.0009929866633069692,98441.2969591937,97.75089499912025,98392.42151169413,5648561.93236903,57.38000317804118
21-22,0.0010562363370318422,98343.54606419458,103.87402686556713,98291.6090507618,5550169.510857336,56.43654040331651
22-23,0.0010786791058201605,98239.67203732902,105.96908158929189,98186.68749653437,5451877.901806574,55.49568508061565
23-24,0.0010644111758295282,98133.70295573972,104.45461015162455,98081.47565066391,5353691.21431004,54.55507183627487
24-25,0.0010340297397955943,98029.24834558809,101.36515815914613,97978.56576650852,5255609.738659376,53.61266996694167
25-26,0.001005930183700914,97927.88318742895,98.50861352417205,97878.62888066686,5157631.172892868,52.66764689502607
26-27,0.0009893757941911378,97829.37457390477,96.79001516427934,97780.97956632264,5059752.544012201,51.72017674701409
27-28,0.000985450543276328,97732.58455874049,96.31062854921048,97684.42924446588,4961971.564445878,50.7709029373266
28-29,0.0009965125768153,97636.27393019128,97.2957749248194,97587.62604272887,4864287.135201412,49.82049129280903
29-30,0.001022845987512903,97538.97815526646,99.76735243222299,97489.09447905036,4766699.509158683,48.869688808620275
30-31,0.0010638063441182806,97439.21080283425,103.65645061793357,97387.38257752528,4669210.4146796325,47.91921420759103
31-32,0.0011186082650197378,97335.55435221632,108.88035557866709,97281.11417442698,4571823.032102107,46.96971278920966
32-33,0.0011868893028042676,97226.67399663765,115.39729931384707,97168.97534698072,4474541.917927681,46.021752405954174
33-34,0.0012680330221541236,97111.2766973238,123.14030567575281,97049.70654448593,4377372.9425807,45.07584588990716
34-35,0.0013618119957455113,96988.13639164805,132.0796075831481,96922.09658785647,4280323.236036214,44.13244129933407
35-36,0.0014682942631806624,96856.0567840649,142.21319253034298,96784.95018779972,4183401.1394483577,43.19194150939898
36-37,0.0015876931039983744,96713.84359153456,153.5519025314568,96637.06764026884,4086616.189260558,42.254718016586644
37-38,0.001720213937025869,96560.2916890031,166.10435952670633,96477.23950923975,3989979.1216202895,41.32111711583296
38-39,0.0018663725662096703,96394.1873294764,179.90746677381054,96304.23359608949,3893501.8821110497,40.391459173809075
39-40,0.002026800590892455,96214.27986270258,195.0071592780176,96116.77628306356,3797197.6485149604,39.46605071444226
