x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005553787044691184,100000.0,555.3787044691184,99722.31064776544,7727437.3508,77.274373508
1-2,0.0006156929697997487,99444.62129553089,61.227354216056746,99414.00761842285,7627715.040152235,76.70314332520898
2-3,0.0002695122248386557,99383.39394131483,26.785039613140334,99370.00142150826,7528301.032533812,75.75008996954983
3-4,0.00021326230989338909,99356.6089017017,21.18901991755097,99346.01439174292,7428931.031112304,74.77037625611906
4-5,0.00018549051052520275,99335.41988178414,18.425777747107514,99326.20699291058,7329585.016720561,73.78621870671371
5-6,0.0001726579342277252,99316.99410403703,17.1478670357102,99308.42017051918,7230258.809727651,72.79981512684299
6-7,0.00016766760676717864,99299.84623700131,16.64936757090684,99291.52155321586,7130950.389557132,71.81230041925264
7-8,0.00016356314830569263,99283.19686943041,16.239072253817923,99275.0773333035,7031658.868003916,70.82425918709498
8-9,0.00015579047989646683,99266.9577971766,15.464846993084462,99259.22537368005,6932383.790670613,69.83576352601578
9-10,0.00014540923199482617,99251.49295018351,14.432083364226088,99244.2769085014,6833124.565296933,68.84656706097738
10-11,0.00013983184083011784,99237.06086681929,13.87650089957779,99230.1226163695,6733880.288388432,67.85650672812257
11-12,0.00015095530265203227,99223.1843659197,14.978265826055805,99215.69523300667,6634650.165772063,66.86592662965242
12-13,0.0001917992137021296,99208.20610009365,19.028055922796778,99198.69207213225,6535434.470539056,65.87594643073469
13-14,0.0002708186328197927,99189.17804417085,26.86227758844135,99175.74690537664,6436235.778466923,64.8884878912974
14-15,0.0003818942095155245,99162.31576658241,37.86951419340782,99143.3810094857,6337060.031561547,63.90593021726434
15-16,0.0005045730446470618,99124.446252389,50.01552364452195,99099.43849056674,6237916.650552061,62.93015382571907
16-17,0.0006215523718515976,99074.43072874447,61.57994740929793,99043.64075503981,6138817.212061495,61.96167030087653
17-18,0.000722940486380399,99012.85078133518,71.58039850176831,98977.06058208429,6039773.571306455,60.999895706921784
18-19,0.0007985919998424391,98941.2703828334,79.01370698197842,98901.76352934241,5940796.51072437,60.04366517366969
19-20,0.0008504621222455009,98862.25667585143,84.07860462252404,98820.21737354017,5841894.747195028,59.09125427259235
20-21,0.0008978863346032537,98778.1780712289,88.69157624716321,98733.83228310532,5743074.529821487,58.14112632934127
21-22,0.0009383772753407884,98689.48649498174,92.6079714419425,98643.18250926078,5644340.697538381,57.19292802101458
22-23,0.0009548978842977056,98596.8785235398,94.14995070048604,98549.80354818955,5545697.51502912,56.246177344296925
23-24,0.0009418067991435511,98502.7285728393,92.7705395040918,98456.34330308725,5447147.71148093,55.2994601307207
24-25,0.0009091295295181143,98409.9580333352,89.46739884674341,98365.22433391183,5348691.368177843,54.351119287806604
25-26,0.0008721499781476183,98320.49063448847,85.75021375833222,98277.6155276093,5250326.143843931,53.400121479888575
26-27,0.0008457505332581612,98234.74042073013,83.08208409530955,98193.19937868248,5152048.528316322,52.446298593049505
27-28,0.0008342630819642917,98151.65833663482,81.88430498382714,98110.7161841429,5053855.3289376395,51.490269391111276
28-29,0.0008431698727586321,98069.77403165099,82.68947889173496,98028.42929220512,4955744.6127534965,50.532844209002484
29-30,0.0008692678250309519,97987.08455275925,85.17701987030102,97944.4960428241,4857716.183461292,49.57506599602674
30-31,0.0009036169551724045,97901.90753288894,88.4658235904394,97857.67462109373,4759771.687418467,48.61776248659385
