x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005625872181459717,100000.0,562.5872181459716,99718.70639092701,8261467.7936,82.614677936
1-2,0.0007764717712844467,99437.41278185403,77.21034403466888,99398.8076098367,8161749.087209074,82.07925828796786
2-3,0.00024531458446143455,99360.20243781936,24.374506773037673,99348.01518443284,8062350.279599237,81.14265150219212
3-4,0.00011927251830465098,99335.82793104633,11.848034355213382,99329.90391386872,7963002.264414804,80.16243917493998
4-5,7.9660804249513e-05,99323.97989669112,7.912228119832875,99320.02378263121,7863672.360500935,79.17194184808241
5-6,6.628938180704052e-05,99316.06766857128,6.583600729255794,99312.77586820665,7764352.336718304,78.17820941752151
6-7,6.283036232577391e-05,99309.48406784203,6.239650866368186,99306.36424240885,7665039.560850098,77.18335899936629
7-8,6.381268114273787e-05,99303.24441697566,6.336806272419833,99300.07601383945,7565733.196607689,76.18817734533499
8-9,6.719283897464712e-05,99296.90761070325,6.6720411237663955,99293.57159014136,7466433.12059385,75.19300751908854
9-10,7.253568367427005e-05,99290.23556957948,7.202085119218774,99286.63452701988,7367139.549003708,74.19802669156775
10-11,8.119554142190763e-05,99283.03348446026,8.061339657780135,99279.00281463137,7267852.914476688,73.20337281610406
11-12,9.703886298066809e-05,99274.97214480248,9.633530419369128,99270.15537959279,7168573.911662057,72.20927648517468
12-13,0.0001257053085628751,99265.33861438312,12.47818002011931,99259.09952437306,7069303.756282465,71.21623574714884
13-14,0.00017135001193655357,99252.860434363,17.006978820165184,99244.35694495292,6970044.656758091,70.22512627096987
14-15,0.0002327584833384254,99235.85345554283,23.09798674310639,99224.30446217128,6870800.299813138,69.23707571972687
15-16,0.000302136874424044,99212.75546879973,29.97583184034013,99197.76755287957,6771575.995350967,68.25307858202247
16-17,0.0003678070796890706,99182.77963695939,36.48012853371465,99164.53957269253,6672378.2277980875,67.27355547224145
17-18,0.000418927680838364,99146.29950842567,41.53512931677059,99125.53194376729,6573213.688225395,66.2981242952672
18-19,0.0004492968593141894,99104.76437910889,44.52745937860637,99082.50064941958,6474088.156281628,65.32570050331863
19-20,0.00045856081112289774,99060.23691973029,45.42514259193794,99037.52434843432,6375005.655632208,64.35483957905282
20-21,0.0004510316440439697,99014.81177713835,44.65881334054693,98992.48237046807,6275968.131283774,63.38413433951343
21-22,0.00043337027486953916,98970.15296379781,42.89072239380139,98948.7076026009,6176975.648913306,62.412509872272054
22-23,0.00041237698975314625,98927.26224140401,40.79532660763027,98906.8645781002,6078026.941310706,61.43935254651038
23-24,0.00039356428978329816,98886.46691479637,38.91818212050145,98867.00782373612,5979120.076732606,60.464492900574555
24-25,0.0003806080316876043,98847.54873267587,37.62217096028831,98828.73764719573,5880253.068908869,59.48810207536329
25-26,0.00037544150816228684,98809.92656171559,37.09734784973531,98791.37788779072,5781424.331261674,58.51056196920317
26-27,0.0003786759752980504,98772.82921386586,37.40289743550842,98754.1277651481,5682632.953373883,57.53234972210503
27-28,0.00039009549862726987,98735.42631643036,38.51624536108396,98716.1681937498,5583878.825608735,56.55395468403962
28-29,0.00040908143441041405,98696.91007106927,40.375073543748655,98676.7225342974,5485162.657414985,55.57582961275334
29-30,0.00043491324441261947,98656.53499752552,42.907033718280964,98635.08148066638,5386485.934880688,54.598369332713645
30-31,0.0004669486164671968,98613.62796380724,46.047497142510665,98590.60421523599,5287850.853400022,53.62190766717097
31-32,0.0005047106632878058,98567.58046666473,49.748108916004526,98542.70641220672,5189260.249184785,52.646724456625755
32-33,0.0005479144957881855,98517.83235774873,53.97934844244088,98490.84268352752,5090717.542772579,51.67305675470618
33-34,0.0005964601812733513,98463.85300930629,58.72976761480344,98434.48812549889,4992226.700089051,50.70111058539637
34-35,0.0006504109482826267,98405.12324169149,64.00376952349731,98373.12135692974,4893792.211963552,49.73107141936071
35-36,0.0007099680421338528,98341.119472168,69.81905205290641,98306.20994614153,4795419.090606622,48.76311268719895
36-37,0.0007754481258368519,98271.30042011509,76.20429573432848,98233.19827224793,4697112.880660481,47.797402299349564
37-38,0.0008472656008341285,98195.09612438077,83.19732711678847,98153.49746082237,4598879.682388233,46.83410744425537
38-39,0.0009259202536913716,98111.89879726397,90.84379422450483,98066.47690015173,4500726.18492741,45.8733980291993
39-40,0.001011989703341433,98021.05500303947,99.1962983737402,97971.4568538526,4402659.7080272585,44.915449113363856
40-41,0.001106125803767258,97921.85870466572,108.31389466608223,97867.70175733267,4304688.251173406,43.960442623504846
41-42,0.0012090541540449018,97813.54480999964,118.26187267438722,97754.41387366244,4206820.549416074,43.008568573889406
42-43,0.001321576000392233,97695.28293732526,129.11174128149787,97630.72706668451,4109066.1355424114,42.060025950060584
43-44,0.0014445719841990046,97566.17119604377,140.9413575153687,97495.70051728608,4011435.408475727,41.11502336619711
44-45,0.0015790073487934448,97425.2298385284,153.83515387292672,97348.31226159193,3913939.7079584408,40.17377956865347
45-46,0.0017259383483269027,97271.39468465546,167.8844302814885,97187.45246951471,3816591.3956968486,39.23652383179939
46-47,0.0018865197020247809,97103.51025437398,183.18768523064185,97011.91641175866,3719403.943227334,38.30349627406796
47-48,0.0020620130100079603,96920.32256914333,199.85096607174168,96820.39708610746,3622392.026815575,37.37494810989044
48-49,0.002253796098711896,96720.4716030716,217.9882215645775,96611.47749228931,3525571.6297294674,36.4511418451097
49-50,0.002463373300209537,96502.48338150702,237.72164096591894,96383.62256102405,3428960.1522371783,35.53235141816337
50-51,0.002692386695082109,96264.7617405411,259.1819637154821,96135.17075868337,3332576.5296761543,34.618862285852074
51-52,0.002942628366347547,96005.57977682562,282.50874237892947,95864.32540563615,3236441.358917471,33.71097145021046
52-53,0.0032160537248124878,95723.0710344467,307.85053915082267,95569.14576487128,3140577.0335118347,32.80898742145113
53-54,0.003514795975725411,95415.22049529587,335.36503301981867,95247.53797878596,3045007.887746963,31.913230110882438
54-55,0.003841181803848703,95079.85546227606,365.21901071425947,94897.24595691892,2949760.349768177,31.02403064693894
55-56,0.004197748359683844,94714.6364515618,397.58820980259514,94515.8423466605,2854863.1038112585,30.14173110690521
56-57,0.004587261633924882,94317.04824175921,432.65697682446427,94100.71975334699,2760347.261464598,29.266684156496368
57-58,0.005012736310415673,93884.39126493475,470.6176970750104,93649.08241639724,2666246.5417112513,28.39925258914767
