x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005957112802790563,100000.0,595.7112802790563,99702.14435986047,7906232.5253,79.062325253
1-2,0.0010028951527282632,99404.28871972095,99.69207931740891,99354.44268006225,7806530.380940139,78.5331345506765
2-3,0.0003696826619583038,99304.59664040354,36.71118763072001,99286.24104658818,7707175.9382600775,77.61147216748574
3-4,0.00019449018126520845,99267.88545277283,19.306629035523738,99258.23213825506,7607889.69721349,76.63998948414168
4-5,0.0001294909101388207,99248.5788237373,12.851788801870232,99242.15292933637,7508631.465075235,75.65480084516227
5-6,0.00010218393989129189,99235.72703493544,10.140297566406492,99230.65688615224,7409389.312145898,74.66453396907607
6-7,9.082252859808894e-05,99225.58673736903,9.011918689116854,99221.08077802446,7310158.655259746,73.67211316782964
7-8,8.753240949522269e-05,99216.57481867992,8.68466585574209,99212.23248575204,7210937.574481722,72.67875944780235
8-9,8.961993808666058e-05,99207.89015282417,8.891004973204327,99203.44465033757,7111725.34199597,71.68507798160769
9-10,9.73195114714687e-05,99198.99914785096,9.653998135527496,99194.1721487832,7012521.897345632,70.6914581556799
10-11,0.00011326760908070175,99189.34514971543,11.234939971388767,99183.72767972974,6913327.72519685,69.69828981895122
11-12,0.00014197950557924256,99178.11020974405,14.08125905186309,99171.06958021811,6814143.99751712,68.70612863167506
12-13,0.00018828401259770404,99164.02895069218,18.671001276191216,99154.69345005408,6714972.927936902,67.71581387920232
13-14,0.0002546947345623497,99145.357949416,25.251800626015655,99132.73204910298,6615818.234486848,66.72847192565729
14-15,0.0003391420181073633,99120.10614878997,33.6157928343167,99103.29825237281,6516685.502437745,65.74534426603113
15-16,0.00043448061286812143,99086.49035595566,43.05115905680682,99064.96477642725,6417582.204185372,64.76747921064741
16-17,0.0005307850790291084,99043.43919689885,52.57077970144065,99017.15380704813,6318517.239408945,63.795414321666485
17-18,0.0006185382577503388,98990.8684171974,61.22963928396632,98960.25359755542,6219500.085601897,62.82902842502391
18-19,0.0006911456073605279,98929.63877791344,68.37478527911861,98895.45138527387,6120539.832004341,61.86760517486883
19-20,0.0007455811355275052,98861.26399263433,73.70909346731275,98824.40944590067,6021644.380619068,60.91004846010983
20-21,0.0007821772389759726,98787.55489916701,77.26937693621777,98748.9202106989,5922819.971173167,59.955122659110465
21-22,0.0008028662040059824,98710.28552223078,79.25115223358011,98670.659946114,5824071.050962469,59.001663505986066
22-23,0.0008106470568534124,98631.0343699972,79.954957726446,98591.05689113398,5725400.391016355,58.048670254623
23-24,0.0008086831303420219,98551.07941227076,79.6965953977003,98511.23111457191,5626809.334125221,57.09535976350369
24-25,0.0008007992085268728,98471.38281687305,78.85580542229864,98431.9549141619,5528298.103010649,56.14116451773211
25-26,0.0007909362784839961,98392.52701145076,77.82221914507292,98353.61590187822,5429866.148096487,55.18575762836712
26-27,0.000782581228574132,98314.70479230568,76.93924246326569,98276.23517107405,5331512.532194609,54.2290448153984
27-28,0.0007779284401178535,98237.76554984241,76.42195171485231,98199.55457398499,5233236.297023535,53.271125088532
28-29,0.0007791122193639085,98161.34359812755,76.47870226648035,98123.10424699432,5135036.74244955,52.31220920806041
29-30,0.0007871037115356483,98084.86489586107,77.20296120500487,98046.26341525857,5036913.6382025555,51.35260820872171
30-31,0.0008022121545023704,98007.66193465606,78.62293763834039,97968.35046583689,4938867.374787297,50.39266601503209
31-32,0.0008247080167504698,97929.03899701772,80.7628635335099,97888.65756525096,4840899.02432146,49.43272265205096
32-33,0.0008553001515456602,97848.2761334842,83.68964540545065,97806.43131078148,4743010.366756209,48.473111169437615
33-34,0.0008944497227969186,97764.58648807876,87.44550728361742,97720.86373443695,4645203.935445428,47.51417770290325
34-35,0.0009427721734436025,97677.14098079514,92.0872904982214,97631.09733554603,4547483.071710991,46.556267168027546
35-36,0.0010009377791901075,97585.05369029692,97.67656692291321,97536.21540683546,4449851.974375444,45.59972870945812
36-37,0.0010693934858987807,97487.37712337401,104.25236605309398,97435.25094034747,4352315.758968609,44.64491596138223
37-38,0.0011484339938735147,97383.12475732091,111.8380909009328,97327.20571187044,4254880.508028262,43.692174785225255
38-39,0.001238556637723408,97271.28666641998,120.4759977605909,97211.04866753968,4157553.302316392,42.741835178701955
39-40,0.001340428361839223,97150.8106686594,130.22370199594363,97085.69881766142,4060342.253648852,41.79421896433756
40-41,0.0014545654763338256,97020.58696666345,141.12279629535217,96950.02556851578,3963256.5548311905,40.84964520151766
41-42,0.0015821306497458476,96879.4641703681,153.27596959489404,96802.82618557065,3866306.5292626745,39.90842189696211
42-43,0.0017247697153858362,96726.1882007732,166.83040009340442,96642.7730007265,3769503.703077104,38.97086997011396
43-44,0.001884100431121226,96559.3578006798,181.92752766104954,96468.39403684928,3672860.9300763775,38.03733800361418
44-45,0.002061290897569142,96377.43027301876,198.66191975287825,96278.09931314232,3576392.536039528,37.108195621197765
45-46,0.002257490627510041,96178.76835326588,217.12266812295707,96070.2070192044,3480114.4367263857,36.18381162819511
46-47,0.002473464566684373,95961.64568514292,237.35773036292136,95842.96681996147,3384044.2297071815,35.26454976408465
47-48,0.0027102561211824585,95724.28795478,259.43733737527475,95594.56928609236,3288201.26288722,34.35075186394242
48-49,0.0029687765832718924,95464.85061740472,283.4138130385004,95323.14371088547,3192606.6936011277,33.44274539742553
49-50,0.003250974867320966,95181.43680436623,309.4324588864934,95026.72057492298,3097283.549890242,32.54083625840119
50-51,0.003559958910432715,94872.00434547973,337.7404372203018,94703.13412686958,3002256.829315319,31.645339950682352
51-52,0.0038989452091261023,94534.26390825943,368.5839153633707,94349.97195057775,2907553.6951884497,30.75661220581438
52-53,0.004269978539385673,94165.67999289605,402.085432716325,93964.63727653789,2813203.723237872,29.87504283354724
53-54,0.0046760652714616,93763.59456017973,438.44468825026223,93544.3722160546,2719239.0859613344,29.001011519626218
54-55,0.0051201729071490175,93325.14987192946,477.8409039298748,93086.22941996453,2625694.7137452797,28.134910228898992
55-56,0.0056054808651418144,92847.30896799959,520.4538138000316,92587.08206109957,2532608.4843253153,27.277133957627083
56-57,0.006134893232288836,92326.85515419955,566.4153988440105,92043.64745477754,2440021.402264216,26.4280787880083
57-58,0.006711453779445181,91760.43975535555,615.8459501996329,91452.51678025573,2347977.7548094383,25.58812665969596
58-59,0.007338593889312905,91144.59380515592,668.873159142424,90810.15722558471,2256525.2380291824,24.75764215761455
59-60,0.008021125403276251,90475.72064601349,725.7171012534644,90112.86209538676,2165715.080803598,23.936975194449836
60-61,0.008764030794265278,89750.00354476002,786.5717948516947,89356.71764733418,2075602.218708211,23.12648620312387
61-62,0.009574340167237582,88963.43174990833,851.7661580184465,88537.54867089911,1986245.501060877,22.326538691139504
62-63,0.01046113283924895,88111.66559188988,921.7478384442409,87650.79167266775,1897707.9523899779,21.537533533637458
63-64,0.011434266678763993,87189.91775344564,996.9527712923966,86691.44136779945,1810057.1607173102,20.75993655408373
64-65,0.01250171042907552,86192.96498215324,1077.5594892303263,85654.18523753807,1723365.7193495107,19.994273543163803
65-66,0.013668158271691197,85115.40549292292,1163.3708336364448,84533.7200761047,1637711.5341119727,19.241070692521618
66-67,0.01485638439912987,83952.03465928647,1247.2236979874335,83328.42281029274,1553177.814035868,18.500776310417407
67-68,0.016257392349952535,82704.81096129904,1344.5645610264935,82032.52868078579,1469849.3912255752,17.77223566732264
68-69,0.017793605633197592,81360.24640027255,1447.6921386662336,80636.40033093943,1387816.8625447894,17.05767772281649
69-70,0.019475746643605858,79912.55426160632,1556.3566604424502,79134.37593138509,1307180.46221385,16.357635846985808
70-71,0.021317394368815194,78356.19760116386,1670.349965504821,77521.02261841146,1228046.0862824651,15.672609492018337
71-72,0.02332585317285389,76685.84763565904,1788.7628223852275,75791.46622446642,1150525.0636640536,15.00309508385818
72-73,0.02550399794163119,74897.08481327382,1910.175096911912,73941.99726481787,1074733.597439587,14.349471679959363
73-74,0.02785500448203225,72986.9097163619,2033.050697278944,71970.38436772244,1000791.6001747693,13.71193278444033
74-75,0.030390511514510603,70953.85901908296,2156.3240695184027,69875.69698432376,928821.2158070469,13.090496114626289
75-76,0.03312500388096512,68797.53494956455,2278.918612205159,67658.07564346197,858945.5188227231,12.485120570852077
76-77,0.03608584216466065,66518.61633735939,2400.3802901615686,65318.4261922786,791287.443179261,11.895729146952263
77-78,0.039297760168407234,64118.23604719782,2519.7030626041033,62858.38451589576,725969.0169869824,11.32234855077099
78-79,0.04278879027325613,61598.532984593716,2635.7267090180308,60280.6696300847,663110.6324710867,10.76503936606633
79-80,0.0465667559137385,58962.806275575684,2745.7066078237817,57589.95297166379,602829.962841002,10.223902166792117
80-81,0.051167009811967014,56217.0996677519,2876.460890300189,54778.8692226018,545240.0098693382,9.698828525337586
81-82,0.055846664641955666,53340.63877745171,2978.896765592042,51851.19039465569,490461.1406467364,9.194886898393602
82-83,0.06092469661071357,50361.74201185967,3068.2738528595783,48827.60508542988,438609.95025208074,8.70918941105716
83-84,0.06642943692648418,47293.46815900009,3141.6784601029844,45722.6289289486,389782.34516665083,8.241779686281562
