x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005220016792482116,100000.0,522.0016792482115,99738.9991603759,8267035.9301,82.670359301
1-2,0.000533709897171841,99477.9983207518,53.09239225462901,99451.45212462448,8167296.930939625,82.10154073069916
2-3,0.00013995832530707683,99424.90592849716,13.915343327566116,99417.94825683338,8067845.4788150005,81.14511553691695
3-4,6.524506339321634e-05,99410.9905851696,6.486076382711823,99407.74754697824,7968427.530558167,80.15640407215618
4-5,4.672567016009082e-05,99404.50450878688,4.644742090104836,99402.18213774182,7869019.783011189,79.16160159840247
5-6,4.269382115944505e-05,99399.85976669677,4.243759836153269,99397.73788677869,7769617.600873447,78.165277286202
6-7,4.3464887537217056e-05,99395.61600686061,4.320219271430608,99393.45589722489,7670219.862986668,77.16859325523214
7-8,4.623130063131677e-05,99391.29578758919,4.594988875692164,99388.99829315134,7570826.407089443,76.17192579186394
8-9,5.008533333828489e-05,99386.7007987135,4.977816038895951,99384.21189069406,7471437.408796292,75.17542436515816
9-10,5.4981117746875016e-05,99381.7229826746,5.4641182131977475,99378.99092356801,7372053.196905598,74.17916469601539
10-11,6.231531803293728e-05,99376.2588644614,6.192663176062415,99373.16253287336,7272674.20598203,73.18321588158376
11-12,7.650582241079962e-05,99370.06620128534,7.602388637744938,99366.26500696647,7173301.043449157,72.18774544155804
12-13,0.0001051539153500363,99362.46381264759,10.44835210872619,99357.23963659322,7073934.77844219,71.1932303911104
13-14,0.0001549279371819256,99352.01546053887,15.392402810168068,99344.31925913379,6974577.5388055965,70.20066484283647
14-15,0.000224962625976622,99336.6230577287,22.34702757871651,99325.44954393935,6875233.219546462,69.21146509632177
15-16,0.00030400039079086166,99314.27603015,30.191578724277104,99299.18024078786,6775907.770002523,68.22692608608939
16-17,0.000374751360123833,99284.08445142572,37.20684568682129,99265.4810285823,6676608.589761736,67.24752135905766
17-18,0.0004222114434906019,99246.8776057389,41.90316745585412,99225.92602201097,6577343.108733154,66.27254446091332
18-19,0.00043987993227603605,99204.97443828305,43.638277437357836,99183.15529956437,6478117.182711143,65.30032611158305
19-20,0.00043068716070074765,99161.33616084569,42.70751432240701,99139.98240368448,6378934.027411578,64.32884301865963
20-21,0.0004036999860400164,99118.62864652328,40.01418900090702,99098.62155202283,6279794.045007894,63.35634512663494
21-22,0.00036960433916678325,99078.61445752237,36.61988582213306,99060.3045146113,6180695.423455871,62.38173048035203
22-23,0.00033732649424886497,99041.99457170024,33.40948881228676,99025.2898272941,6081635.11894126,61.404610693078624
23-24,0.000312580010934751,99008.58508288795,30.94810460784334,98993.11103058403,5982609.829113966,60.42516236451059
24-25,0.000297958789563372,98977.6369782801,29.491256907891188,98962.89134982615,5883616.718083382,59.44389962931219
25-26,0.00029380402127663784,98948.14572137222,29.071363110805905,98933.61003981682,5784653.826733556,58.46146771686399
26-27,0.00029920450929294263,98919.07435826141,29.59703310307571,98904.27584170987,5685720.2166937385,57.478502033909145
27-28,0.0003127892072631459,98889.47732515834,30.931561219203118,98874.01154454873,5586815.940852028,56.49555536108283
28-29,0.00033322012168863547,98858.54576393914,32.94165664942134,98842.07493561442,5487941.929307479,55.5130756466107
29-30,0.00035942949214610455,98825.60410728972,35.520836695315126,98807.84368894207,5389099.854371865,54.531413220820845
30-31,0.0003906881492187378,98790.0832705944,38.59611479415352,98770.78521319733,5290292.010682923,53.55084068703905
31-32,0.0004265844344642509,98751.48715580025,42.125847300860784,98730.42423214982,5191521.225469725,52.57157512249978
32-33,0.00046696837614806246,98709.36130849938,46.09415016084235,98686.31423341896,5092790.801237576,51.59379752565636
33-34,0.0005118918226177799,98663.26715833854,50.50491965110686,98638.01469851298,4994104.487004157,50.61766786000943
34-35,0.0005615582026838882,98612.76223868743,55.376805524450916,98585.0738359252,4895466.472305644,49.64333582357631
35-36,0.0006162856896928898,98557.38543316297,60.73950625600481,98527.01568003497,4796881.398469719,48.67094817285652
36-37,0.0006764828313086011,98496.64592690696,66.63128991103481,98463.33028195144,4698354.382789684,47.70065354587069
37-38,0.000742634066687352,98430.01463699593,73.09748205396787,98393.46589596894,4599891.052507733,46.732605592632076
38-39,0.0008152924398521908,98356.91715494196,80.18965096359243,98316.82232946016,4501497.5866117645,45.76696501701595
39-40,0.0008950773018180225,98276.72750397836,87.96526808576598,98232.74486993547,4403180.764282305,44.80390094495219
40-41,0.0009826753998948242,98188.76223589259,96.48768119533356,98140.51839529492,4304948.0194123695,43.84359188753181
41-42,0.0010788442827016943,98092.27455469726,105.82628958054002,98039.36140990698,4206807.501017074,42.88622646497319
42-43,0.00118441734915883,97986.44826511672,116.05684930765838,97928.41984046288,4108768.1396071673,41.93200398988125
43-44,0.001300310146768761,97870.39141580906,127.26186302620677,97806.76048429596,4010839.7197667044,40.981134965797544
44-45,0.0014275277064361666,97743.12955278286,139.53102555037722,97673.36404000767,3913032.9592824085,40.03384153122811
45-46,0.001567172816470249,97603.59852723249,152.96170640155438,97527.11767403172,3815359.5952424007,39.090357863986675
46-47,0.0017204552102132462,97450.63682083094,167.6594558569974,97366.80709290244,3717832.477568369,38.15093055167854
47-48,0.001888701686289831,97282.97736497395,183.73852339652177,97191.10810327569,3620465.6704754666,37.21581892886216
48-49,0.0020733672085968585,97099.23884157743,201.32237779384107,96998.57765268051,3523274.562372191,36.28529537827377
49-50,0.0022760470516591694,96897.9164637836,220.54421707931112,96787.64435524393,3426275.98471951,35.35964559155521
50-51,0.002498490069981915,96677.37224670428,241.54745455033586,96556.59851942911,3329488.340364266,34.43916878365266
51-52,0.002742613179936483,96435.82479215394,264.48616409300683,96303.58171010744,3232931.741844837,33.52417785416058
52-53,0.0030105171508738745,96171.33862806094,289.52546436227664,96026.5758958798,3136628.1601347295,32.614999488210536
53-54,0.0033045038092786175,95881.81316369867,316.8418168399829,95723.39225527867,3040601.5842388496,31.711974188969933
54-55,0.0036270947661860503,95564.97134685869,346.623207402911,95391.65974315723,2944878.191983571,30.81545623338244
55-56,0.0039810517838794164,95218.34813945577,379.0691747186317,95028.81355209646,2849486.5322404136,29.925813542439176
56-57,0.004369398902998979,94839.27896473714,414.3906414697366,94632.08364400227,2754457.718688317,29.04342745701885
57-58,0.004795446455460995,94424.8883232674,452.80949601711296,94198.48357525884,2659825.635044315,28.16869241018634
58-59,0.005262817091734259,93972.07882725028,494.55786259785185,93724.79989595136,2565627.151469056,27.302015486807218
59-60,0.005775473952703095,93477.52096465243,539.8769874946076,93207.58247090512,2471902.3515731045,26.44381586143934
60-61,0.006337751116113268,92937.64397715783,589.0156568451696,92643.13614873524,2378694.7691021995,25.59452410572011
61-62,0.0069543864449052705,92348.62832031267,642.2280489963774,92027.51429581447,2286051.632953464,24.754581356901785
62-63,0.007630556958927891,91706.40027131629,699.7709107685192,91356.51481593204,2194024.1186576495,23.92443833981663
63-64,0.008371916841803292,91006.62936054777,761.8999330593199,90625.67939401811,2102667.6038417174,23.10455423539995
64-65,0.009184638180143435,90244.72942748845,828.8651874564242,89830.29683376024,2012041.9244476992,22.295395389980897
65-66,0.010075454511790332,89415.86424003202,900.9054727828624,88965.4115036406,1922211.6276139389,21.497433860884758
66-67,0.011051707231971722,88514.95876724916,978.2414099456863,88025.83806227632,1833246.2161102982,20.711145795490168
67-68,0.012121394869724468,87536.71735730348,1061.0671166873392,87006.18379895981,1745220.3780480218,19.937009642758923
68-69,0.013293225199905362,86475.65024061615,1149.5402929567608,85900.88009413777,1658214.194249062,19.175504198408756
69-70,0.014576670096604067,85326.10994765938,1243.7705553335973,84704.22466999259,1572313.3141549244,18.42710648732739
70-71,0.015982022959559212,84082.33939232578,1343.8058786616007,83410.43645299498,1487609.0894849317,17.69228948951801
71-72,0.01752045845376445,82738.53351366418,1449.6170389515507,82013.72499418841,1404198.6530319366,16.971519718802302
72-73,0.019204094191095013,81288.91647471263,1561.0800086724366,80508.37647037642,1322184.9280377482,16.26525466665623
73-74,0.02104605384852886,79727.8364660402,1677.9563394909849,78888.85829629471,1241676.5515673717,15.573940126874753
74-75,0.023060531057261555,78049.88012654922,1799.8716846738298,77149.94428421231,1162787.693271077,14.898007420200335
75-76,0.02526285320751714,76250.0084418754,1926.292770339041,75286.86205670588,1085637.7489868647,14.23787054154145
76-77,0.027669544092011587,74323.71567153635,2056.5033278557075,73295.4640076085,1010350.8869301588,13.593923255872573
77-78,0.0302983840539299,72267.21234368064,2189.5797540957396,71172.42246663278,937055.4229225504,12.966536172257522
78-79,0.03316846601055562,70077.6325895849,2324.3675746478516,68915.44880226097,865883.0004559176,12.356053828573643
79-80,0.036300245389810464,67753.26501493705,2459.460146003075,66523.5349419355,796967.5516536566,11.762791822327017
80-81,0.0397155816436852,65293.80486893397,2593.1814380989977,63997.21414988447,730444.0167117212,11.187034025325394
81-82,0.0434377685914995,62700.623430834974,2723.575171131361,61338.83584526929,666446.8025618368,10.629029921799644
82-83,0.04749155040128847,59977.04825970361,2848.4030103462246,58552.846754530496,605107.9667165675,10.088992110722419
83-84,0.0519031195469126,57128.64524935738,2965.154903930557,55646.067797392105,546555.1199620371,9.567094013457025
84-85,0.05670009259356784,54163.49034542683,3071.0749177765188,52627.952886538566,490909.052164645,9.063467827384832
85-86,0.061911459182434195,51092.41542765031,3163.2059922809435,49510.81243150984,438281.0992781064,8.578202764728097
86-87,0.06756749912987814,47929.20943536937,3238.4568168200667,46309.981026959336,388770.2868465966,8.111343613352059
87-88,0.07369966215910327,44690.752618549304,3293.6933696231436,43043.90593373773,342460.30581963726,7.662889652869618
88-89,0.08034040448201839,41397.05924892616,3325.856484424808,39734.13100671376,299416.3998858995,7.232793954891044
89-90,0.08752297629507164,38071.20276450135,3332.1049770823174,36405.15027596019,259682.26887918575,6.820963090804179
90-91,0.09528115430266842,34739.097787419036,3309.9813366185604,33084.10711910976,223277.11860322556,6.427257264121772
91-92,0.10364891370173515,31429.116450800477,3257.593778730803,29800.319561435073,190193.0114841158,6.051490877315825
92-93,0.11266003472366028,28171.522672069674,3173.804722453752,26584.620310842798,160392.6919226807,5.693433535337448
93-94,0.1223476399108749,24997.717949615922,3058.411794293223,23468.512052469312,133808.07161183792,5.35281147989326
94-95,0.1327436598781876,21939.306155322698,2912.3037942455835,20483.154258199906,110339.55955936862,5.02930944024404
95=96,0.14387822743740472,19027.002361077113,2737.5713731590895,17658.21667449757,89856.4053011687,4.722572878058021
96-97,0.15577900269232475,16289.430987918024,2537.55131372332,15020.655331056363,72198.18862667114,4.43221059595151
97-98,0.16847043505351011,13751.879674194704,2316.7851515151046,12593.487098437152,57177.533295614776,4.157797672045369
98-99,0.18197297204805915,11435.0945226796,2080.878135942489,10394.655454708354,44584.046197177624,3.8988786764073193
99-100,0.1963022292211546,9354.216386737111,1836.2535293335488,8436.089622070336,34189.39074246927,3.6549711198625627
100-101,0.21146814018626414,7517.962857403562,1589.8096234445434,6723.05804568129,25753.301120398937,3.425569081528186
101-102,0.2274741107442256,5928.1532339590185,1348.501385250333,5253.902541333852,19030.243074717648,3.210146958702789
102-103,0.2443162056425337,4579.651848708686,1118.883162840321,4020.2102672885253,13776.340533383795,3.0081632815097676
103-104,0.2619824005962066,3460.768685868365,906.6604882319734,3007.4384417523784,9756.13026609527,2.819064534978388
104-105,0.28045193519736855,2554.1081976363917,716.3045867305891,2195.955904271097,6748.691824342892,2.6422889330171007
105-106,0.29969480383624464,1837.8036109058025,550.7801926599566,1562.4135145758244,4552.735920071795,2.4772700918940282
106-107,0.31967142129839593,1287.023418245846,411.42460535496946,1081.3111155683612,2990.32240549597,2.323440555239968
107-108,0.34033249692651507,875.5988128908765,297.9947302970445,726.6014477423543,1909.011289927609,2.1802351280317733
108-109,0.361619145913703,577.604082593832,208.87269502384947,473.16773508190727,1182.4098421852545,2.047093983261747
109-110,0.3834632583992348,368.73138756998253,141.3949393516566,298.03391789415423,709.2421071033473,1.923465511784614
