x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007505950357990828,100000.0,750.5950357990828,99624.70248210046,7665265.6768,76.652656768
1-2,0.0007535843125411903,99249.40496420092,74.79279461006955,99212.00856689588,7565640.974317899,76.22857766297754
2-3,0.0004071519330776895,99174.61216959085,40.37913505707907,99154.42260206232,7466428.9657510035,75.28568856899828
3-4,0.00026818958495502827,99134.23303453377,26.586768812366664,99120.93965012759,7367274.543148941,74.31615010914065
4-5,0.00017877328148684213,99107.6462657214,17.71779914336019,99098.78736614971,7268153.603498814,73.3359521425005
5-6,0.00012869397139940992,99089.92846657804,12.75227642004737,99083.55232836802,7169054.816132664,72.3489755929202
6-7,0.00010451112873212719,99077.176190158,10.35466751522525,99071.99885640039,7069971.263804296,71.35822331305606
7-8,9.506170129416575e-05,99066.82152264277,9.417460595747897,99062.1127923449,6970899.264947896,70.3656295599897
8-9,9.192262642851681e-05,99057.40406204702,9.105616748574192,99052.85125367274,6871837.152155551,69.37227173701432
9-10,9.379703355620034e-05,99048.29844529844,9.290436572958203,99043.65322701196,6772784.300901879,68.3786032391288
10-11,0.00010615429929605177,99039.00800872548,10.513416498142313,99033.7513004764,6673740.647674867,67.38497064799863
11-12,0.0001396022835681937,99028.49459222733,13.824603983395457,99021.58229023563,6574706.89637439,66.39207152898024
12-13,0.00020551728369562497,99014.66998824394,20.349226022002615,99004.49537523295,6475685.314084155,65.40127149697126
13-14,0.00030616274774678557,98994.32076222193,30.30837325588853,98979.16657559399,6376680.818708922,64.41461257181918
14-15,0.0004249267032182132,98964.01238896605,42.05245152168975,98942.9861632052,6277701.652133328,63.434186838136505
15-16,0.000546689150557141,98921.95993744435,54.07956224964899,98894.92015631952,6178758.665970122,62.46094062306698
16-17,0.0006548361023085423,98867.8803751947,64.74225742839971,98835.50924648049,6079863.745813803,61.494832525399225
17-18,0.000741977008828826,98803.1381177663,73.3096568835216,98766.48328932453,5981028.236567322,60.534800316143425
18-19,0.0008027047940741125,98729.82846088278,79.25090662366536,98690.20300757095,5882261.7532779975,59.5793778332004
19-20,0.0008442011771566081,98650.57755425911,83.2809336984848,98608.93708740987,5783571.550270426,58.62683923050918
20-21,0.0008820239450793048,98567.29662056064,86.93871582106891,98523.8272626501,5684962.613183016,57.675951437194655
21-22,0.0009207525032111812,98480.35790473956,90.67603605792199,98435.0198867106,5586438.785920366,56.7264265156728
22-23,0.0009522159721700173,98389.68186868164,93.68822657208541,98342.8377553956,5488003.766033655,55.77824485049523
23-24,0.0009772750648371102,98295.99364210955,96.06222355982078,98247.96253032963,5389660.928278259,54.83093184755552
24-25,0.0009979727795634559,98199.93141854972,98.0008585107108,98150.93098929437,5291412.965747929,53.88408005291534
25-26,0.0010231084286039978,98101.930560039,100.36891201830002,98051.74610402985,5193262.034758635,52.93740913264011
26-27,0.0010447638933125392,98001.56164802071,102.38849309809494,97950.36740147167,5095210.288654605,51.99111323301561
27-28,0.0010509783436744692,97899.17315492261,102.88991084946063,97847.72819949788,4997259.921253134,51.04496555190629
28-29,0.0010385642201878986,97796.28324407314,101.56772064465568,97745.49938375082,4899412.193053636,50.098143104539304
29-30,0.001019905629952941,97694.71552342849,99.63939037899569,97644.895828239,4801666.693669885,49.14970751430646
30-31,0.0010047571438630508,97595.07613304949,98.0593499505398,97546.04645807421,4704021.797841647,48.199376282352034
31-32,0.0010084267293873294,97497.01678309895,98.31859775960204,97447.85748421914,4606475.751383573,47.247350774142895
32-33,0.0010404270234435084,97398.69818533935,101.33623764024527,97348.03006651923,4509027.893899353,46.29453963870393
33-34,0.0011001281308923852,97297.3619476991,107.03956494028209,97243.84216522895,4411679.863832834,45.342235138957555
34-35,0.0011736182654443633,97190.32238275882,114.06433757283189,97133.2902139724,4314436.021667605,44.39162167480339
35-36,0.0012489999445005643,97076.258045186,121.24824091075978,97015.63392473062,4217302.731453633,43.44319421017041
36-37,0.001325809598629484,96955.00980427524,128.54388263372383,96890.73786295837,4120287.0975289023,42.496897332552464
37-38,0.0014099932462984276,96826.46592164152,136.5246630124594,96758.2035901353,4023396.359665944,41.552651141083125
38-39,0.0015042331956951333,96689.94125862906,145.4442193310423,96617.21914896353,3926638.1560758087,40.61061683316906
39-40,0.001611031596397401,96544.49703929802,155.53623518860445,96466.72892170372,3830020.936926845,39.67104345023261
40-41,0.0017326903658799449,96388.96080410942,167.01222376246002,96305.45469222819,3733554.2080051415,38.734251068364735
41-42,0.0018766716256700968,96221.94858034696,180.5770006674242,96131.66008001324,3637248.7533129132,37.80061417355053
42-43,0.0020378990307910786,96041.37157967953,195.72261805807474,95943.5102706505,3541117.0932329,36.87074679368835
43-44,0.0022176966812235428,95845.64896162145,212.5565776119046,95739.3706728155,3445173.5829622494,35.94501806067135
44-45,0.002417541489018614,95633.09238400955,231.1969685614931,95517.4938997288,3349434.212289434,35.02379907197773
45-46,0.002639079322617936,95401.89541544806,251.77316952946785,95276.00883068332,3253916.7183897053,34.10746405215353
46-47,0.0028841413448265395,95150.1222459186,274.42640153475327,95012.90904515122,3158640.709559022,33.19639150221386
47-48,0.0031547609045750515,94875.69584438384,299.3101360442158,94726.04077636173,3063627.8005138705,32.29096528091733
48-49,0.003453191300487309,94576.38570833963,326.59035235957066,94413.09053215984,2968901.759737509,31.391575576732098
49-50,0.0037819246973854713,94249.79535598005,356.44562878030746,94071.57254158989,2874488.669205349,30.498619740747962
50-51,0.004143712445587568,93893.34972719975,389.06704182250365,93698.8162062885,2780417.096663759,29.612502959390174
51-52,0.004541587026896945,93504.28268537724,424.65783720321394,93291.95376677564,2686718.2804574706,28.733638752117134
52-53,0.004978885829856989,93079.62484817403,463.4328252049782,92847.90843557155,2593426.326690695,27.86244928383562
