x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01407045011566598,100000.0,1407.045011566598,99296.4774942167,7491452.7322,74.914527322
1-2,0.0007500627742051471,98592.9549884334,73.95090533570755,98555.97953576554,7392156.254705784,74.9765158735024
2-3,0.0005410800541569514,98519.0040830977,53.306668064771415,98492.35074906531,7293600.275170018,74.03241986711615
3-4,0.0003987618017258943,98465.69741503292,39.26435890941526,98446.06523557821,7195107.924420953,73.0722283324067
4-5,0.00029496124609269944,98426.4330561235,29.03198334269385,98411.91706445215,7096661.859185374,72.10117890931599
5-6,0.00021840923276468833,98397.4010727808,21.490900874345375,98386.65562234363,6998249.942120922,71.12230471356233
6-7,0.00016583479072264132,98375.91017190646,16.31414847550747,98367.75309766871,6899863.286498578,70.1377326465539
7-8,0.0001328526380013468,98359.59602343096,13.067331804459585,98353.06235752873,6801495.53340091,69.14928292081106
8-9,0.00011697125286315724,98346.5286916265,11.503716675801993,98340.7768332886,6703142.471043381,68.1584043709527
9-10,0.00011612749595709826,98335.0249749507,11.419400215219744,98329.3152748431,6604801.694210093,67.16631938510781
10-11,0.00012836613910495692,98323.60557473548,12.621421630507413,98317.29486392024,6506472.3789352495,66.1740620769821
11-12,0.00015140674688294376,98310.98415310498,14.88494629348226,98303.54167995823,6408155.084071329,65.18249348507757
12-13,0.00018232028058791488,98296.09920681149,17.921372388083388,98287.13852061745,6309851.542391371,64.19228833400264
13-14,0.0002181217761243567,98278.1778344234,21.436610703509817,98267.45952907165,6211564.403870754,63.20390284744433
14-15,0.0002577409712433331,98256.74122371989,25.32478791420641,98244.07882976279,6113296.944341682,62.21758291802464
15-16,0.00030666506337787946,98231.41643580569,30.12414354698522,98216.3543640322,6015052.865511919,61.233494168769944
16-17,0.00036137381142403697,98201.2922922587,35.48737528241943,98183.54860461749,5916836.511147887,60.25212472294845
17-18,0.0004102211446082409,98165.80491697628,40.269688854431294,98145.67007254907,5818652.96254327,59.27372538191272
18-19,0.0004480609506173529,98125.53522812185,43.96622059414883,98103.55211782477,5720507.292470721,58.297845501394804
19-20,0.0004782197104310212,98081.56900752771,46.904539529400125,98058.116737763,5622403.740352896,57.3237540676106
20-21,0.0005091213898542803,98034.66446799831,49.91154462784533,98009.70869568439,5524345.623615133,56.350941308300776
21-22,0.0005462735177909435,97984.75292337047,53.52647566932602,97957.98968553581,5426335.914919448,55.37939070135886
22-23,0.0005868161372632158,97931.22644770115,57.467624021489264,97902.4926356904,5328377.925233913,54.40938624494263
23-24,0.0006311177255885371,97873.75882367966,61.76986406360172,97842.87389164786,5230475.432598222,53.44103971750962
24-25,0.00067817234392381,97811.98895961605,66.33338581659264,97778.82226670775,5132632.558706574,52.47447284632665
25-26,0.0007297979827568546,97745.65557379946,71.33458226100515,97709.98828266896,5034853.736439866,51.509744416604526
26-27,0.0007858608367554896,97674.32099153847,76.7584236239347,97635.94177972649,4937143.748157197,50.546998413072174
27-28,0.0008430597270986702,97597.56256791453,82.28057446400142,97556.42228068253,4839507.8063774705,49.58635932131846
28-29,0.0009030333673079054,97515.28199345052,88.05955346252557,97471.25221671927,4741951.384096788,48.627776971565076
29-30,0.0009706668295726007,97427.22243998799,94.56937311988769,97379.93775342805,4644480.131880069,47.671277242260686
30-31,0.0010549171730572624,97332.65306686811,102.67788721946378,97281.31412325837,4547100.194126641,46.71710932406987
31-32,0.0011539476863754465,97229.97517964864,112.19830490489764,97173.8760271962,4449818.880003383,45.76591603342075
32-33,0.0012595625266315826,97117.77687474374,122.3259124211945,97056.61391853314,4352645.003976187,44.818210878014106
33-34,0.0013702236816881086,96995.45096232255,132.905463924592,96928.99823036024,4255588.390057653,43.874102835098086
34-35,0.001491472297654987,96862.54549839796,144.4678032912063,96790.31159675235,4158659.3918272927,42.933616605151826
35-36,0.001619242567545785,96718.07769510675,156.61002845511737,96639.77268087919,4061869.0802305406,41.99699970294222
36-37,0.0017698423973586085,96561.46766665163,170.89857942761248,96476.01837693782,3965229.3075496615,41.06430239066353
37-38,0.001953626844488878,96390.56908722402,188.31120332436066,96296.41348556185,3868753.289172724,40.13622209940353
38-39,0.0021596343596215475,96202.25788389966,207.7617015992426,96098.37703310004,3772456.875687162,39.213808060928244
39-40,0.0023671498359044015,95994.49618230041,227.2333558856581,95880.87950435758,3676358.498654062,38.29759668379731
40-41,0.0025675726994336162,95767.26282641475,245.8894095325863,95644.31812164845,3580477.6191497045,37.38728155611574
41-42,0.0027864401844926567,95521.37341688217,266.1645933667291,95388.2911201988,3484833.301028056,36.48223613598249
42-43,0.0030239081365331386,95255.20882351544,288.04300100859155,95111.18732301114,3389445.009907857,35.58277864035413
43-44,0.003281547251268808,94967.16582250684,311.6392419656364,94811.34620152402,3294333.822584846,34.689187510785985
44-45,0.003561059078519765,94655.5265805412,337.0739222617052,94486.98961941035,3199522.476383322,33.80175032527961
45-46,0.003864286606543053,94318.4526582795,364.47353335725444,94136.21589160086,3105035.486763912,32.920763639047514
46-47,0.004193225645746075,93953.97912492223,393.9702347865153,93756.99400752898,3010899.2708723107,32.04653276971895
47-48,0.004550037061976807,93560.00889013572,425.70150796899713,93347.15813615122,2917142.276864782,31.1793715228296
48-49,0.00493705991073253,93134.30738216672,459.809655290336,92904.40255452156,2823795.1187286307,30.319601853498387
49-50,0.005356825524381162,92674.49772687639,496.4411148825354,92426.27716943512,2730890.7161741094,29.467553460310018
50-51,0.005812072604722929,92178.05661199386,535.7455575911687,91910.18383319827,2638464.439004674,28.62356330759708
51-52,0.006305763372794542,91642.31105440269,577.8747284450968,91353.37369018013,2546554.255171476,27.787975072559394
52-53,0.006841100826569005,91064.43632595759,622.980990620549,90752.94583064731,2455200.881481296,26.96113851397606
53-54,0.007421547154940686,90441.45533533704,671.2155255326658,90105.84757257071,2364447.9356506485,26.143408759664418
54-55,0.008050843352886155,89770.23980980438,722.7261384597597,89408.8767405745,2274342.088078078,25.33514551032404
55-56,0.008733030077697726,89047.51367134461,777.654615236052,88658.68636372659,2184933.2113375035,24.536712157979235
56-57,0.009472469779403803,88269.85905610856,836.1335723412213,87851.79226993794,2096274.524973777,23.74847481790227
57-58,0.01027387012957353,87433.72548376734,898.2827405650092,86984.58411348483,2008422.732703839,22.970801273665458
58-59,0.011142308761267459,86535.44274320234,964.2046218377419,86053.34043228347,1921438.1485903542,22.204059835832872
59-60,0.01208325931849311,85571.2381213646,1033.9794604249716,85054.24839115211,1835384.8081580708,21.44861811576184
60-61,0.013102618795660478,84537.25866093962,1107.659474264439,83983.4289238074,1750330.5597669187,20.70484171703639
61-62,0.014206736125645112,83429.59918667519,1185.2623007134305,82836.96803631847,1666347.1308431113,19.973092848194447
62-63,0.015402441948536676,82244.33688596176,1266.7636244819196,81610.9550737208,1583510.1628067929,19.25372886162915
63-64,0.016697079461298468,80977.57326147985,1352.088975330047,80301.52877381482,1501899.207733072,18.547100724831296
64-65,0.01809853621064402,79625.4842861498,1441.1047106429487,78904.93193082833,1421597.6789592572,17.853551431479737
65-66,0.01961527664666191,78184.37957550686,1533.60823482119,77417.57545809627,1342692.7470284288,17.17341436126277
66-67,0.021256375202246876,76650.77134068566,1629.3175551592462,75836.11256310604,1265275.1715703325,16.50701159870434
67-68,0.023031549602363845,75021.45378552642,1727.8603341027986,74157.52361847502,1189439.0590072265,15.854652222651277
68-69,0.024951194036713583,73293.59345142363,1828.762671854471,72379.2121154964,1115281.5353887514,15.21663057942329
69-70,0.027026411748644646,71464.83077956915,1931.4379421958492,70499.11180847122,1042902.323273255,14.593224553907529
70-71,0.029269046501402655,69533.3928373733,2035.1761083573776,68515.80478319462,972403.2114647838,13.984693854060426
71-72,0.031691712279388363,67498.21672901593,2139.134063947771,66428.64969704204,903887.4066815891,13.39127832532839
72-73,0.03430782046658218,65359.082665068156,2242.3276739336616,64237.91882810133,837458.756984547,12.813196312379329
