x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01443726279998365,100000.0,1443.726279998365,99278.13686000081,7185535.3119,71.855353119
1-2,0.001315823088739635,98556.27372000164,129.68262050092147,98491.43240975119,7086257.175039999,71.90061989531031
2-3,0.0005256908463454629,98426.59109950071,51.741957977995334,98400.72012051172,6987765.742630248,70.99469426474626
3-4,0.0003645875035173957,98374.84914152272,35.866240657408184,98356.91602119402,6889365.022509736,70.03177217175346
4-5,0.0002875896368906929,98338.9829008653,28.28127238465991,98324.84226467297,6791008.106488542,69.05713183280022
5-6,0.00023955099527702228,98310.70162848065,23.550426421484914,98298.9264152699,6692683.264223869,68.07685382529094
6-7,0.0002089530290354604,98287.15120205916,20.537397958936555,98276.88250307969,6594384.337808599,67.09304580668774
7-8,0.0001858568511478136,98266.61380410023,18.26352341458834,98257.48204239293,6496107.4553055195,66.1069635334729
8-9,0.00016413040501458983,98248.35028068564,16.125541523584225,98240.28750992384,6397849.973263127,65.11915930379608
9-10,0.00014403382660247604,98232.22473916206,14.148763224855925,98225.15035754963,6299609.685753203,64.12976701363202
10-11,0.00013390979281724982,98218.0759759372,13.152362204846652,98211.49979483477,6201384.535395653,63.13893317269779
11-12,0.00014493941154560702,98204.92361373236,14.233763839455655,98197.80673181263,6103173.035600818,62.147322262642525
12-13,0.00018701368025815125,98190.68984989291,18.363002275915168,98181.50834875496,6004975.228869005,61.15625868449436
13-14,0.0002726964972308913,98172.32684761699,26.77124965635134,98158.94122278881,5906793.7205202505,60.16760435645751
14-15,0.0004030252066979991,98145.55559796064,39.55513283135805,98125.77803154496,5808634.779297462,59.18387994145869
15-16,0.0005604932113980985,98106.00046512928,54.987747258123655,98078.50659150022,5710509.001265917,58.20754056012767
16-17,0.0007204920847964444,98051.01271787116,70.64497856950167,98015.6902285864,5612430.494674417,57.239903384001195
17-18,0.000856582282847595,97980.36773930166,83.92824707237786,97938.40361576546,5514414.804445831,56.28081351070396
18-19,0.0009564069181058563,97896.43949222927,93.62883198829944,97849.62507623513,5416476.400830066,55.328635330603724
19-20,0.0010274933736636883,97802.81066024097,100.49173987908193,97752.56479030143,5318626.775753831,54.38112401728728
20-21,0.0010908032224697629,97702.31892036188,106.57400432109922,97649.03191820133,5220874.21096353,53.436543458289
21-22,0.001158634475375674,97595.74491604079,113.07779470969501,97539.20601868593,5123225.179045328,52.49434986589541
22-23,0.0012273495431696833,97482.66712133109,119.64530695832802,97422.84446785193,5025685.973026642,51.554662192115224
23-24,0.001292972515200456,97363.02181437277,125.88771120284642,97300.07795877135,4928263.128558789,50.61740111101685
24-25,0.0013543976640725437,97237.13410316993,131.69774729044204,97171.2852295247,4830963.050600018,49.682285426823675
25-26,0.0014124372249344809,97105.43635587949,137.15533305255028,97036.8586893532,4733791.765370494,48.74898814132021
26-27,0.0014566507090334473,96968.28102282694,141.24891530565543,96897.65656517411,4636754.906681141,47.817233200097874
27-28,0.0015079617374368797,96827.03210752129,146.01145956771433,96754.02637773743,4539857.250115966,46.88625842703405
28-29,0.001569141037929108,96681.02064795357,151.70615708757538,96605.16756940978,4443103.223738229,45.95631276915233
29-30,0.0016447644930096688,96529.31449086599,158.76798900914008,96449.93049636141,4346498.056168819,45.02775223354666
30-31,0.0017413426759456218,96370.54650185685,167.8141453278854,96286.6394291929,4250048.125672458,44.101110556538856
31-32,0.0018567281298543757,96202.73235652897,178.62231933521906,96113.42119686137,4153761.4862432647,43.177167472222656
32-33,0.001983901695660393,96024.11003719375,190.50239472706886,95928.85883983021,4057648.0650464036,42.25655477020015
33-34,0.002122232380764921,95833.60764246668,203.38118530436338,95731.9170498145,3961719.206206573,41.339560344914105
34-35,0.0022780786860105567,95630.22645716232,217.85318063042433,95521.29986684711,3865987.2891567587,40.42641570956158
35-36,0.002454358421791103,95412.3732765319,234.17616189433247,95295.28519558473,3770465.9892899115,39.51757890312654
36-37,0.0026653809488956666,95178.19711463757,253.6861533395915,95051.35403796777,3675170.7040943266,38.61357764181811
37-38,0.0029197448194788673,94924.51096129799,277.1553491208148,94785.93328673758,3580119.3500563586,37.71543633778658
38-39,0.00321028202953603,94647.35561217717,303.84470486487845,94495.43325974474,3485333.416769621,36.824414102502445
39-40,0.003519938518932051,94343.51090731229,332.08335805393466,94177.46922828532,3390837.9835098763,35.941401278156825
40-41,0.003839344441105701,94011.42754925835,360.94225176165645,93830.95642337753,3296660.514281591,35.06659350060681
41-42,0.0041322081258375375,93650.48529749669,386.98329633494467,93456.99364932922,3202829.5578582133,34.19981805416043
42-43,0.004446377852087843,93263.50200116175,414.6847697061158,93056.1596163087,3109372.5642088843,33.339650533068685
43-44,0.004783229865125895,92848.81723145563,444.1172355231144,92626.75861369407,3016316.4045925755,32.486320176523456
44-45,0.005144469429937021,92404.69999593252,475.37315431157646,92167.01341877673,2923689.6459788815,31.640053440004426
45-46,0.005532678886843251,91929.32684162095,508.61544569834876,91675.01911877177,2831522.6325601046,30.80108089378649
46-47,0.00594950658424149,91420.7113959226,543.9081243860825,91148.75733372956,2739847.6134413327,29.96965973690215
47-48,0.006395502111874799,90876.80327153651,581.2027872435424,90586.20187791475,2648698.8561076033,29.14603904137549
48-49,0.006871868591781397,90295.60048429297,620.4995009440539,89985.35073382095,2558112.6542296885,28.330424079461938
49-50,0.007381241951443855,89675.10098334891,661.9136173782591,89344.14417465978,2468127.3034958676,27.522994414627483
50-51,0.007927465705450262,89013.18736597065,705.6489901765509,88660.36287088237,2378783.159321208,26.723940909351217
51-52,0.008514504866598572,88307.5383757941,751.894965258039,87931.59089316508,2290122.7964503258,25.93349150674626
52-53,0.0091452808436306,87555.64341053607,800.7209484341273,87155.28293631901,2202191.2055571605,25.15190477478872
53-54,0.009823635667108031,86754.92246210194,852.2487505958962,86328.79808680399,2115035.9226208413,24.37943418766554
54-55,0.010553283363160686,85902.67371150604,906.5552573306575,85449.39608284071,2028707.1245340374,23.616344368362853
55-56,0.011336982046914391,84996.11845417538,963.5994689723952,84514.31871968918,1943257.7284511968,22.86289966875229
56-57,0.012179569758107238,84032.51898520299,1023.4799269297506,83520.77902173811,1858743.4097315075,22.119334659702485
57-58,0.013089157962093688,83009.03905827324,1086.518424515343,82465.77984601556,1775222.6307097694,21.385895450055074
58-59,0.014074254288035933,81922.5206337579,1152.9983873163794,81346.0214400997,1692756.8508637538,20.662899990972907
59-60,0.015141377976949958,80769.52224644153,1222.9618653510395,80158.041313766,1611410.8294236541,19.950728747744304
60-61,0.01629471782546581,79546.56038109049,1296.1887553962476,78898.46600339236,1531252.788109888,19.24976744153342
61-62,0.017539245251154086,78250.37162569424,1372.452458937,77564.14539622574,1452354.3221064957,18.560350474164412
62-63,0.01888353612967547,76877.91916675724,1451.7269641597309,76152.05568467738,1374790.1767102699,17.882770392473663
63-64,0.020334959737481468,75426.1922025975,1533.788581591359,74659.29791180183,1298638.1210255926,17.21733635362903
64-65,0.02190213758360465,73892.40362100615,1618.401590490523,73083.20282576089,1223978.8231137907,16.564339000143686
65-66,0.02359704216673727,72274.00203051562,1705.452673472932,71421.27569377916,1150895.6202880298,15.924061044829054
66-67,0.02542878415103075,70568.54935704269,1794.4724094515984,69671.3131523169,1079474.3445942507,15.296819254886948
67-68,0.027403200826499715,68774.0769475911,1884.6298422519833,67831.7620264651,1009803.0314419337,14.682901992438932
68-69,0.029528921739585948,66889.4471053391,1975.1732487777322,65901.86048095024,941971.2694154686,14.082509426816305
69-70,0.03181929954702247,64914.27385656137,2065.526724719376,63881.510494201684,876069.4089345183,13.495790014848444
