x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00863744223545656,100000.0,863.7442235456559,99568.12788822717,7393784.41,73.9378441
1-2,0.0005467780052269415,99136.25577645435,54.20552417911757,99109.15301436478,7294216.282111773,73.57768583231291
2-3,0.0003428388072384696,99082.05025227522,33.96917192723214,99065.06566631161,7195107.129097409,72.6176649633084
3-4,0.0002630268516297111,99048.08108034798,26.052304926528286,99035.05492788472,7096042.063431097,71.64239817705075
4-5,0.00021963953188901643,99022.02877542145,21.749152046934284,99011.15419939798,6997007.008503213,70.66111546120898
5-6,0.00020065792511326548,99000.27962337452,19.865190694859425,98990.34702802708,6897995.8543038145,69.67652900118838
6-7,0.00019237412585341174,98980.41443267965,19.04127070309517,98970.8937973281,6799005.507275787,68.6904126058196
7-8,0.00018345428566261305,98961.37316197656,18.154888021621698,98952.29571796575,6700034.613478459,67.70353320089924
8-9,0.00016617876087631294,98943.21827395493,16.442261409880395,98934.99714324999,6601082.317760494,66.71586423925845
9-10,0.00014183608801691906,98926.77601254504,14.031386909745375,98919.76031909017,6502147.320617244,65.72686973840831
10-11,0.00012105490075314937,98912.7446256353,11.973872483877889,98906.75768939336,6403227.560298153,64.73612257483171
11-12,0.00012275904782970548,98900.77075315142,12.140964447280853,98894.70027092777,6304320.80260876,63.74389961372345
12-13,0.00016954741563771254,98888.62978870413,16.766311616629302,98880.24663289581,6205426.102337833,62.75166432780998
13-14,0.00027379518225043443,98871.8634770875,27.070639880149248,98858.32815714744,6106545.855704937,61.762220726426015
14-15,0.000418300049121315,98844.79283720735,41.34678169919004,98824.11944635776,6007687.52754779,60.778998621021586
15-16,0.0005779700765094747,98803.44605550816,57.10543527610181,98774.8933378701,5908863.408101432,59.80422388083316
16-17,0.0007264794927277978,98746.34062023206,71.73719144251253,98710.4720245108,5810088.514763562,58.83851976964438
17-18,0.0008580340148418562,98674.60342878955,84.66616614293228,98632.27034571808,5711378.042739051,57.88093231974101
18-19,0.0009639165661119767,98589.9372626466,95.03247377940554,98542.4210257569,5612745.772393334,56.9302093928796
19-20,0.0010499031025983396,98494.9047888672,103.41010612795974,98443.19973580322,5514203.351367577,55.98465588842158
20-21,0.0011454763639834678,98391.49468273924,112.70513157608285,98335.1421169512,5415760.151631773,55.04297062560893
21-22,0.001247873102336836,98278.78955116317,122.639458011119,98217.46982215761,5317425.009514823,54.10551995806392
22-23,0.0012931916555900165,98156.15009315204,126.93471424530544,98092.68273602938,5219207.539692665,53.172496422685064
23-24,0.0012818456087984307,98029.21537890674,125.6583192674072,97966.38621927303,5121114.8569566365,52.24070025616632
24-25,0.0012459503662709934,97903.55705963934,121.98297277769073,97842.5655732505,5023148.470737363,51.30710897130572
25-26,0.001212093463724603,97781.57408686164,118.52040682338802,97722.31388344994,4925305.905164112,50.370491078297114
26-27,0.0011790286889485206,97663.05368003825,115.14754213908449,97605.47990896871,4827583.591280662,49.431012131739145
27-28,0.0011551221077944016,97547.90613789918,112.67974294894054,97491.5662664247,4729978.111371694,48.48877129853646
28-29,0.0011452365018141716,97435.22639495024,111.58637783002465,97379.43320603523,4632486.545105269,47.54426829499681
29-30,0.0011522152640642289,97323.64001712021,112.13778358201812,97267.5711253292,4535107.111899234,46.598206880686575
30-31,0.0011773518395506903,97211.5022335382,114.45214098014223,97154.27616304813,4437839.540773905,45.65138320887752
