x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007650636554355839,100000.0,765.0636554355839,99617.46817228221,7649298.7896,76.492987896
1-2,0.00047422151296305787,99234.93634456441,47.059341652112074,99211.40667373835,7549681.321427718,76.07886495955061
2-3,0.00032251740619329366,99187.8770029123,31.989816816798715,99171.8820945039,7450469.914753979,75.11472308793566
3-4,0.0002490426326687671,99155.8871860955,24.69404318943249,99143.54016450078,7351298.032659475,74.13879539862901
4-5,0.00020374994962120668,99131.19314290606,20.19797560875722,99121.09415510169,7252154.492494974,73.1571391664819
5-6,0.00017906374028255095,99110.99516729731,17.747185497782088,99102.12157454842,7153033.398339872,72.17194607183289
6-7,0.00016537418707745228,99093.24798179953,16.387465329854486,99085.05424913461,7053931.276765324,71.18478221705803
7-8,0.00015454279962700298,99076.86051646968,15.311615402469297,99069.20470876845,6954846.222516189,70.19647358890703
8-9,0.0001409056867137008,99061.5489010672,13.958335574827727,99054.56973327979,6855777.017807421,69.207246341911
9-10,0.0001247725345962806,99047.59056549237,12.358418920511133,99041.41135603211,6756722.4480741415,68.21692894797327
10-11,0.00011267808143347693,99035.23214657186,11.159099952594715,99029.65259659555,6657681.03671811,67.22537921519445
11-12,0.00011672207794194051,99024.07304661926,11.558295572275904,99018.29389883313,6558651.384121514,66.23289855017158
12-13,0.0001514686677349684,99012.51475104698,14.997293698429992,99005.01610419777,6459633.090222681,65.24057192633192
13-14,0.00022460003094343514,98997.51745734856,22.234845484243746,98986.40003460643,6360628.074118483,64.25037958006224
14-15,0.0003241034572356193,98975.28261186431,32.078231275377696,98959.24349622663,6261641.674083876,63.264701133910016
15-16,0.0004352767329310136,98943.20438058894,43.0676747485083,98921.67054321468,6162682.430587649,62.285049985673076
16-17,0.0005385483054990252,98900.13670584043,53.26250103655231,98873.50545532216,6063760.760044435,61.3119552916285
17-18,0.0006252003888311843,98846.87420480387,61.79910418759054,98815.97465271008,5964887.2545891125,60.34472311416019
18-19,0.0006872223901523506,98785.07510061628,67.88731542202497,98751.13144290526,5866071.279936402,59.38216146479203
19-20,0.0007304016557246314,98717.18778519426,72.10319740678524,98681.13618649087,5767320.148493497,58.42265443220504
20-21,0.000776191268086823,98645.08458778747,76.56745329672667,98606.8008611391,5668639.012307006,57.46499215845164
21-22,0.0008278785010710388,98568.51713449074,81.6027562180972,98527.71575638169,5570032.211445867,56.50924223447429
22-23,0.0008525174366893589,98486.91437827265,83.96181179320936,98444.93347237604,5471504.495689485,55.555649501560204
23-24,0.000852480460342814,98402.95256647943,83.88659430296448,98361.00926932796,5373059.562217109,54.60262545056417
24-25,0.0008434324263810607,98319.06597217647,82.92548837243238,98277.60322799026,5274698.552947781,53.648786232778896
25-26,0.0008366189804706001,98236.14048380403,82.18621969692677,98195.04737395557,5176420.94971979,52.69365148331754
26-27,0.0008342005894200388,98153.9542641071,81.88008650102567,98113.0142208566,5078225.902345835,51.737354245368785
27-28,0.0008411893002775005,98072.07417760607,82.49717945422357,98030.82558787896,4980112.888124978,50.78013216184373
28-29,0.0008595040628044476,97989.57699815185,84.22243954240076,97947.46577838065,4882082.062537099,49.82246287918131
29-30,0.0008896234281815439,97905.35455860946,87.09889715975969,97861.80511002957,4784134.596758719,48.86489220459106
30-31,0.0009315097689791249,97818.2556614497,91.11866073313799,97772.69633108313,4686272.791648689,47.90795705729963
31-32,0.0009790625443323625,97727.13700071657,95.68097940223893,97679.29651101545,4588500.095317606,46.95215920716026
32-33,0.0010374895634650148,97631.45602131433,101.2916166880072,97580.81021297032,4490820.79880659,45.99768334732384
33-34,0.0011066079183541257,97530.16440462632,107.92765220853919,97476.20057852205,4393239.988593619,45.0449357428257
34-35,0.0011864326047446418,97422.23675241778,115.5849181102202,97364.44429336267,4295763.788015097,44.09428413075813
35-36,0.0012771022262675084,97306.65183430756,124.27054168823152,97244.51656346345,4198399.343721734,43.14606724801005
36-37,0.0013789831518701229,97182.38129261932,134.01286646114025,97115.37485938874,4101154.827158271,42.20060027969021
37-38,0.0014925571347697507,97048.36842615818,144.85023471222578,96975.94330880207,4004039.452298882,41.25818411203338
38-39,0.0016185279540786614,96903.51819144595,156.84105304142537,96825.09766492524,3907063.50899008,40.31910896435308
39-40,0.0017575872983612458,96746.67713840453,170.0407308971161,96661.65677295598,3810238.411325155,39.38366178586452
40-41,0.001910436614970525,96576.63640750741,184.50354234359762,96484.38463633561,3713576.754552199,38.452123543448685
41-42,0.0020779837039161097,96392.13286516382,200.30128127952688,96291.98222452405,3617092.3699158635,37.524767451463696
42-43,0.0022615325226927065,96191.8315838843,217.54095554433383,96083.06110611213,3520800.3876913395,36.60186452132391
43-44,0.0024624266769679,95974.29062833996,236.32965354629462,95856.12580156681,3424717.326585227,35.68369512463948
44-45,0.0026822255688725735,95737.96097479366,256.7908068383162,95609.5655713745,3328861.20078366,34.77054625865803
45-46,0.002922753571803666,95481.17016795535,279.0679311483852,95341.63620238115,3233251.6352122854,33.862714810939806
46-47,0.0031859364091102885,95202.10223680697,303.30784374008334,95050.44831493693,3137909.9990099045,32.96051164085249
47-48,0.0034737391692748498,94898.79439306688,329.65365920015694,94733.96756346681,3042859.5506949676,32.06425930019268
48-49,0.003788390095142734,94569.14073386673,358.26479606234,94390.00833583556,2948125.583131501,31.1742875133868
49-50,0.004132421505316963,94210.87593780439,389.31904976013124,94016.21641292433,2853735.574795665,30.29093558879156
50-51,0.004508808869262154,93821.55688804426,423.0234678247977,93610.04515413186,2759719.358382741,29.414555139773146
51-52,0.004920551961958372,93398.53342021946,459.5723368648955,93168.74725178702,2666109.313228609,28.545515819110644
52-53,0.005370566813817921,92938.96108335457,499.13490010497935,92689.39363330208,2572940.565976822,27.684197628045546
53-54,0.0058620885559699685,92439.82618324959,541.8904471846805,92168.88095965725,2480251.1723435195,26.83098048482646
54-55,0.006398876238413798,91897.93573606492,588.043517340784,91603.91397739452,2388082.2913838625,25.986245199702246
55-56,0.006984932455970744,91309.89221872413,637.7934297097567,90990.99550386924,2296478.377406468,25.150378799106164
56-57,0.007625396339601644,90672.09878901437,691.4106902097489,90326.3934439095,2205487.381902599,24.3237711639891
57-58,0.008326441519366243,89980.68809880462,749.2189373270307,89606.0786301411,2115160.9884586893,23.506832778785885
