x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005783280375740026,100000.0,578.3280375740026,99710.835981213,8001363.2644,80.013632644
1-2,0.000344266812186794,99421.671962426,34.22758206878555,99404.5581713916,7901652.428418787,79.47615718437147
2-3,0.00025757216908590583,99387.44438035722,25.59943962895343,99374.64466054275,7802247.870247396,78.50335541769319
3-4,0.00020319759605497324,99361.84494072826,20.190088031542988,99351.74989671248,7702873.225586853,77.52345208748693
4-5,0.00016633261305300066,99341.65485269672,16.52375703665835,99333.3929741784,7603521.47569014,76.53910624867888
5-6,0.00014446072257514426,99325.13109566006,14.348580207949983,99317.9568055561,7504188.082715962,75.55175613600426
6-7,0.00013164426538676222,99310.78251545211,13.073695009231203,99304.2456679475,7404870.125910406,74.5625997334001
7-8,0.00012281541100092583,99297.70882044289,12.19528892023295,99291.61117598278,7305565.880242459,73.57235093362424
8-9,0.00011430319599507707,99285.51353152265,11.34865151266551,99279.83920576631,7206274.269066475,72.58132644676829
9-10,0.00010580913266437271,99274.16488000998,10.504113281933785,99268.91282336901,7106994.429860709,71.58956651461881
10-11,0.00010049838611660905,99263.66076672805,9.975837707082732,99258.6728478745,7007725.51703734,70.59708923596583
11-12,0.00010455686415064748,99253.68492902096,10.377654051574812,99248.49610199517,6908466.844189466,69.60413458835207
12-13,0.00012539933762012182,99243.3072749694,12.44504499551138,99237.08475247164,6809218.348087471,68.61136065549938
13-14,0.0001665250262231477,99230.86222997388,16.524421934991956,99222.60001900638,6709981.263335,67.61990284619505
14-15,0.00022070490226918925,99214.33780803888,21.89709072962555,99203.38926267407,6610758.663315994,66.63108185136075
15-16,0.0002828434299365314,99192.44071730925,28.0559301562598,99178.41275223112,6511555.274053319,65.64568052731705
16-17,0.0003393539914841829,99164.38478715299,33.65182979059375,99147.5588722577,6412376.861301089,64.66411176819835
17-18,0.00037921922756457567,99130.73295736239,37.59227998000119,99111.93681737239,6313229.302428831,63.68589350735706
18-19,0.0003954994547271545,99093.14067738238,39.191283105105946,99073.54503582983,6214117.365611459,62.70986390312086
19-20,0.0003943518450325429,99053.94939427728,39.06210770139338,99034.41834042658,6115043.820575629,61.7344776050789
20-21,0.0003897248760862322,99014.88728657589,38.58856467845303,98995.59300423667,6016009.4022352025,60.75863506083931
21-22,0.0003909177521902013,98976.29872189743,38.691592216470035,98956.9529257892,5917013.809230966,59.78212850590149
22-23,0.00039431516128453657,98937.60712968095,39.01259851244626,98918.10083042474,5818056.856305176,58.80531200516349
23-24,0.0004027613946297248,98898.5945311685,39.8325358602931,98878.67826323835,5719138.755474752,57.82831174281581
24-25,0.00041608729993431647,98858.76199530822,41.133875353477016,98838.19505763148,5620260.077211513,56.85141067696405
25-26,0.0004312212468804151,98817.62811995474,42.61226081165205,98796.32198954892,5521421.882153882,55.87486754338433
26-27,0.0004498577612835081,98775.01585914308,44.43470750513711,98752.79850539051,5422625.560164332,54.898756664308735
27-28,0.0004751401708801804,98730.58115163795,46.91086519948877,98707.1257190382,5323872.761658942,53.92323938093845
28-29,0.0005074280581039529,98683.67028643846,50.07486318001823,98658.63285484845,5225165.6359399045,52.948634974493544
29-30,0.0005453006360737114,98633.59542325843,53.78496232253993,98606.70294209717,5126507.003085056,51.97526239498913
30-31,0.0005883020502951801,98579.8104609359,57.99470461187883,98550.81310862995,5027900.300142959,51.00334720297884
31-32,0.0006343226697552594,98521.81575632402,62.49462119968723,98490.56844572417,4929349.487034329,50.03307591514744
32-33,0.0006817027003392583,98459.32113512434,67.11998509138446,98425.76114257865,4830858.918588605,49.06451581114189
33-34,0.0007306063866919172,98392.20115003295,71.88597056088987,98356.25816475251,4732433.157446026,48.097644956939156
34-35,0.0007837443589386726,98320.31517947206,77.05799239098357,98281.78618327656,4634076.899281274,47.13244552585411
35-36,0.000841864975488735,98243.25718708108,82.7075573037355,98201.9034084292,4535795.113097997,46.16902210866896
36-37,0.0009095068946435338,98160.54962977735,89.27769667028127,98115.9107814422,4437593.209689568,45.20750165342807
37-38,0.0009895489539859885,98071.27193310707,97.04632455748154,98022.74877082833,4339477.298908126,44.24820045026048
38-39,0.0010808957083359649,97974.22560854959,105.89991998782084,97921.27564855567,4241454.550137297,43.291534317237534
39-40,0.0011802225201914662,97868.32568856177,115.50640199107359,97810.57248756624,4143533.2744887415,42.337837552001886
40-41,0.00128642539215776,97752.8192865707,125.75170888525335,97689.94343212807,4045722.7020011754,41.38727385591607
41-42,0.0014039676969071454,97627.06757768545,137.0652492228413,97558.53495307402,3948032.7585690473,40.439940034329645
42-43,0.001533632325047196,97490.00232846261,149.51381893985666,97415.24541899268,3850474.2236159733,39.49609325726533
43-44,0.0016765526927492369,97340.48850952275,163.19645812416653,97258.89028046066,3753058.9781969804,38.55599078722336
