x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006250244958780423,100000.0,625.0244958780423,99687.48775206097,7730955.0043,77.309550043
1-2,0.0003996467170198656,99374.97550412196,39.714882714151905,99355.11806276489,7631267.516547939,76.79264802667954
2-3,0.0002917671081176355,99335.26062140781,28.982761725619795,99320.769240545,7531912.3984851735,75.82315032313879
3-4,0.0002275769271682572,99306.27785968219,22.599817563823606,99294.97795090027,7432591.629244628,74.84513355486683
4-5,0.00018838104169054473,99283.67804211836,18.70316269244292,99274.32646077215,7333296.6512937285,73.86205664321561
5-6,0.00016835476324261154,99264.97487942592,16.711731344109534,99256.61901375387,7234022.324832956,72.87587926778704
6-7,0.00015806006946992793,99248.26314808181,15.687187367955499,99240.41955439783,7134765.705819203,71.88806614352423
7-8,0.00014969555858208397,99232.57596071386,14.85467588797814,99225.14862276988,7035525.286264805,70.89935152998716
8-9,0.00013782465665572303,99217.72128482588,13.67464837024435,99210.88396064076,6936300.137642035,69.90989157803664
9-10,0.00012291624673967477,99204.04663645563,12.193789073940783,99197.94974191867,6837089.253681394,68.91945929117867
10-11,0.0001114888306787813,99191.8528473817,11.058783686816328,99186.3234555383,6737891.303939476,67.92787018815459
11-12,0.0001153236403506477,99180.79406369488,11.437890224293202,99175.07511858272,6638704.980483937,66.93538848076267
12-13,0.00014835588179748014,99169.35617347059,14.71235728240361,99161.99999482938,6539529.905365354,65.94305093527254
13-14,0.00021770435112369635,99154.64381618818,21.58639739290448,99143.85061749173,6440367.905370525,64.95276123738199
14-15,0.00031158244455599767,99133.05741879527,30.888120366858313,99117.61335861184,6341224.054753033,63.96679593936099
15-16,0.0004152880563823868,99102.16929842842,41.15594727122258,99081.59132479281,6242106.441394421,62.986577242294636
16-17,0.0005105573103179281,99061.01335115719,50.57632453393518,99035.72518889022,6143024.850069628,62.01253795268053
17-18,0.0005904872393722705,99010.43702662326,58.4643996288928,98981.20482680881,6043989.124880738,61.04395967119657
18-19,0.0006483243842966711,98951.97262699436,64.15297672833718,98919.8961386302,5945007.920053929,60.079731229452165
19-20,0.0006892666202597199,98887.81965026603,68.16007323519158,98853.73961364843,5846088.023915299,59.11838328108564
20-21,0.0007337946178060678,98819.65957703083,72.51333433105306,98783.40290986531,5747234.284301651,58.1588148441417
