x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006946363799309919,100000.0,694.6363799309919,99652.6818100345,7458394.305,74.58394305
1-2,0.00045252360050879544,99305.36362006901,44.938020695188776,99282.89460972142,7358741.623189965,74.10215677114553
2-3,0.00032445500949526343,99260.42559937382,32.20554233034872,99244.32282820865,7259458.728580244,73.13547856303006
3-4,0.00025089102014777206,99228.22005704347,24.895469357559254,99215.77232236469,7160214.405752035,72.15905315681196
4-5,0.0002094718973150756,99203.3245876859,20.780308621345856,99192.93443337522,7060998.63342967,71.17703628156582
5-6,0.00019120929134296805,99182.54427906456,18.964624005192483,99173.06196706196,6961805.698996294,70.19184423630269
6-7,0.00018331066917163358,99163.57965505937,18.177742144023522,99154.49078398735,6862632.637029232,69.20517251294183
7-8,0.00017535591272904193,99145.40191291535,17.38573244532697,99136.70904669269,6763478.146245245,68.21776921320028
8-9,0.00016023204945938587,99128.01618047002,15.883485191439874,99120.0744378743,6664341.437198552,67.22964600709467
9-10,0.00013917011366920137,99112.13269527857,13.79344677319889,99105.23597189198,6565221.362760678,66.24033994854625
10-11,0.00012190254392498804,99098.33924850538,12.080339653134294,99092.29907867881,6466116.126788786,65.24949031258674
11-12,0.00012550372024841474,99086.25890885224,12.435694118558583,99080.04106179296,6367023.827710107,64.25738440248334
12-13,0.0001700462573720406,99073.82321473368,16.847132841204655,99065.39964831308,6267943.786648314,63.26538719579949
13-14,0.00026612045842842034,99056.97608189248,26.361087885446295,99043.79553794976,6168878.387000001,62.27606203020027
14-15,0.000397792067429458,99030.61499400703,39.39359307727674,99010.91819746839,6069834.5914620515,61.29250628029903
15-16,0.0005412957455382865,98991.22140092976,53.583526989961854,98964.42963743478,5970823.673264584,60.31669868060143
16-17,0.0006739293207934451,98937.63787393979,66.67697509329207,98904.29938639315,5871859.243627149,59.349094740959025
17-18,0.0007929878820029878,98870.9608988465,78.40347387477651,98831.75916190911,5772954.944240755,58.388781617556894
18-19,0.0008921983184027177,98792.55742497173,88.1425536052637,98748.4861481691,5674123.185078846,57.4347231509628
19-20,0.0009759845011833545,98704.41487136646,96.33397911282547,98656.24788181005,5575374.698930677,56.4855655767436
20-21,0.0010714420831397756,98608.08089225364,105.65284760561174,98555.25446845083,5476718.451048867,55.54026000194779
21-22,0.0011675705375132034,98502.42804464803,115.00853285844534,98444.9237782188,5378163.196580416,54.59929570611868
22-23,0.0012175480422158542,98387.41951178959,119.79141000524935,98327.52380678696,5279718.272802196,53.662534285387345
23-24,0.0011998251242501133,98267.62810178434,117.90396909698732,98208.67611723585,5181390.748995409,52.72734113037298
24-25,0.0011339975584972349,98149.72413268736,111.30154753364461,98094.07335892053,5083182.072878174,51.79008008220466
25-26,0.001051424738330944,98038.42258515372,103.08002281297375,97986.88257374724,4985087.999519253,50.84830893917464
26-27,0.0009901840978740505,97935.34256234075,96.97401882507748,97886.85555292822,4887101.116945506,49.901302115062514
27-28,0.0009631456064412592,97838.36854351568,94.23259480406783,97791.25224611364,4789214.261392578,48.950266983064765
28-29,0.0009805578570336476,97744.13594871161,95.84378048347418,97696.21405846988,4691423.009146464,47.996976633034556
29-30,0.0010286168487684832,97648.29216822814,100.442678577707,97598.0708289393,4593726.795087994,47.04359587952585
30-31,0.0010867601753893994,97547.84948965044,106.01111802023125,97494.84393064033,4496128.724259055,46.09152070273043
31-32,0.0011480413673631451,97441.8383716302,111.86726136254492,97385.90474094893,4398633.880328415,45.14112165610639
32-33,0.0012199143239837874,97329.97111026767,118.73422591034374,97270.6039973125,4301247.975587466,44.19243041503084
33-34,0.0013018071886617675,97211.23688435732,126.55028699475832,97147.96174085994,4203977.371590153,43.245796538842654
34-35,0.0013953779114919663,97084.68659736257,135.46982722207986,97016.95168375153,4106829.4098492935,42.30151585987466
35-36,0.0015006833714382379,96949.21677014048,145.49007748091097,96876.47173140003,4009812.458165542,41.3599262763774
36-37,0.0016217842219589744,96803.72669265958,156.99475657698412,96725.22931437108,3912935.986434142,40.42133624521763
37-38,0.0017614871225343563,96646.7319360826,170.24197374043942,96561.61094921238,3816210.757119771,39.486185209486706
38-39,0.0019191160286373778,96476.48996234215,185.1495782734039,96383.91517320545,3719649.146170559,38.55498005392253
39-40,0.002092109322490607,96291.34038406875,201.4520108926265,96190.61437862244,3623265.2309973533,37.628152402340184
40-41,0.0022801324905066707,96089.88837317613,219.09767648883806,95980.33953493171,3527074.616618731,36.7059914038086
41-42,0.0024890373320034078,95870.7906966873,238.62597709273967,95751.47770814093,3431094.2770837992,35.78873452644171
42-43,0.0027173858438683373,95632.16471959456,259.8694906275113,95502.2299742808,3335342.7993756584,34.876788674138034
43-44,0.002966847772121044,95372.29522896705,282.9550816221314,95230.81768815598,3239840.569401378,33.970458209307665
44-45,0.003239279916990347,95089.34014734492,308.0209898591583,94935.32965241534,3144609.751713222,33.07005545353998
45-46,0.0035367299790388233,94781.31915748576,335.2159329171266,94613.71119102719,3049674.422060807,32.175901846159796
46-47,0.0038614448091194983,94446.10322456864,364.69841503807487,94263.75401704959,2955060.71086978,31.288328580835174
47-48,0.0042158821551920135,94081.40480953056,396.636115671896,93883.08675169462,2860796.9568527304,30.407676869243858
48-49,0.0046027252636706055,93684.76869385867,431.20525168836036,93469.16606801449,2766913.8701010356,29.534297929930368
49-50,0.005024899906248102,93253.56344217031,468.58982219786304,93019.26853107139,2673444.704033021,28.668552764644907
50-51,0.005485593564133767,92784.97361997246,508.98065413804227,92530.48329290343,2580425.4355019494,27.810811760003553
51-52,0.0059882766174219,92275.99296583442,552.574171026694,91999.70588032107,2487894.952209046,26.961454136074156
52-53,0.006536725467100053,91723.41879480773,599.5708075655034,91423.63339102498,2395895.246328725,26.12086725298067
53-54,0.007135047569652087,91123.84798724223,650.1729901187189,90798.76149218288,2304471.6129377,25.289445779993144
54-55,0.007787708396316259,90473.67499712351,704.5825984206872,90121.38369791317,2213672.851445517,24.467590727533704
55-56,0.008499560346007698,89769.09239870282,762.9978180491156,89387.59348967827,2123551.467747604,23.6557083401936
56-57,0.009275873646260275,89006.0945806537,825.6092870772352,88593.28993711509,2034163.8742579257,22.854208847627273
57-58,0.010122369272515164,88180.48529357646,892.5954347711737,87734.18757619087,1945570.5843208106,22.06350506967029
58-59,0.011045253903888117,87287.8898588053,964.1169062251251,86805.83140569273,1857836.3967446198,21.284010871952677
59-60,0.012051256913629177,86323.77295258017,1040.309965605337,85803.61796977751,1771030.565338927,20.516139468461358
60-61,0.01314766936471145,85283.46298697483,1121.2787736303517,84722.82360015965,1685226.9473691497,19.76030156780255
61-62,0.014342384944784797,84162.18421334447,1207.0864437816765,83558.64099145363,1600504.12376899,19.01690336020556
62-63,0.01564394272920394,82955.0977695628,1297.744798602554,82306.22537026151,1516945.4827775364,18.286344342470557
63-64,0.017061571604816382,81657.35297096024,1393.2027747738039,80960.75158357334,1434639.2574072748,17.56901497795887
64-65,0.018605236119294537,80264.15019618644,1493.3334663145697,79517.48346302916,1353678.5058237014,16.865294188189363
65-66,0.02028568343946024,78770.81672987188,1597.9198524499197,77971.85680364692,1274161.0223606722,16.17554667142963
66-67,0.021900100341483472,77172.89687742195,1690.0941852584974,76327.8497847927,1196189.1655570252,15.500120041586616
67-68,0.02393002181078626,75482.80269216346,1806.3051147627475,74579.65013478209,1119861.3157722326,14.835979532176212
68-69,0.026143067762298324,73676.49757740072,1926.1296686547953,72713.43274307332,1045281.6656374505,14.187450544039931
69-70,0.028554788609991878,71750.36790874592,2048.8165883233846,70725.95961458422,972568.2328943772,13.55488844505043
70-71,0.031181869131725354,69701.55132042253,2173.424651551654,68614.8389946467,901842.273279793,12.938625557040558
71-72,0.03404217506250055,67528.12666887087,2298.804309704414,66378.72451401866,833227.4342851463,12.338968595574082
72-73,0.03715479396357796,65229.32235916646,2423.582032638639,64017.531342847135,766848.7097711277,11.756196171235635
73-74,0.04054006836504984,62805.74032652782,2546.1490065550056,61532.66582325032,702831.1784282805,11.19055638504144
74-75,0.04421961884681914,60259.59131997282,2664.656160034289,58927.263239955675,641298.5126050302,10.642264551709202
75-76,0.04821635436597644,57594.935159938526,2777.017803357032,56206.42625826001,582371.2493650746,10.111501085084235
76-77,0.052554466763731086,54817.91735658149,2880.9264157734196,53377.454148694786,526164.8231068145,9.598409579922551
77-78,0.0572594060020482,51936.99094080807,2973.881250804429,50450.05031540585,472787.36895811977,9.103095123415015
78-79,0.06235783230273389,48963.10969000364,3053.233383069612,47436.492998468835,422337.31864271394,8.625622868249701
