x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.013440057591186777,100000.0,1344.0057591186776,99327.99712044066,6896792.7928,68.967927928
1-2,0.0016683707188524105,98655.99424088132,164.59477203075843,98573.69685486595,6797464.795679559,68.90067702407086
2-3,0.00047312587718465496,98491.39946885056,46.59882976884418,98468.10005396615,6698891.098824693,68.01498541954743
3-4,0.00032026693704005654,98444.80063908172,31.528614768197702,98429.03633169761,6600422.998770727,67.04694362650187
4-5,0.00026575644908371474,98413.27202431353,26.153961715891246,98400.19504345558,6501993.9624390295,66.06826324027391
5-6,0.0002506534318482562,98387.11806259764,24.661068792049655,98374.78752820162,6403593.767395574,65.08569306117253
6-7,0.00025090002181939555,98362.4569938056,24.679142605955178,98350.11742250262,6305218.979867372,64.10188574553851
7-8,0.00024790353265267555,98337.77785119964,24.378282522526426,98325.58870993838,6206868.862444869,63.117847464855544
8-9,0.00022962544864547573,98313.39956867712,22.575258483819404,98302.11193943521,6108543.273734931,62.133374499655964
9-10,0.00019919114781663606,98290.8243101933,19.57866211419072,98281.03497913621,6010241.161795496,61.14753034146851
10-11,0.00017871018338678365,98271.24564807912,17.562072331415884,98262.46461191341,5911960.126816359,60.15961319944782
11-12,0.00019748590707313992,98253.6835757477,19.4037178242338,98243.98171683558,5813697.662204446,59.17027688557278
12-13,0.0002865180709834528,98234.27985792347,28.145896369340885,98220.2069097388,5715453.68048761,58.18186572705463
13-14,0.00047518957833922833,98206.13396155412,46.66653138751668,98182.80069586037,5617233.473577872,57.198397360565224
14-15,0.0007478190074127602,98159.46743016661,73.40551550179237,98122.76467241571,5519050.672882011,56.22535265697543
15-16,0.0010433523870875632,98086.06191466481,102.33832683868404,98034.89275124547,5420927.908209596,55.26705632168024
16-17,0.0013160971430529183,97983.72358782613,128.9560986796248,97919.24553848631,5322893.01545835,54.32425734144775
17-18,0.001546989990897217,97854.7674891465,151.38034586728403,97779.07731621286,5224973.769919864,53.395188645248055
18-19,0.0017339729062540892,97703.38714327922,169.41502615570028,97618.67963020137,5127194.692603651,52.47714375638551
19-20,0.0018915020926276716,97533.97211712353,184.48571236182812,97441.72926094261,5029576.01297345,51.56742726456061
20-21,0.0020397668373582953,97349.4864047617,198.57025400229514,97250.20127776056,4932134.283712507,50.664204464372595
21-22,0.0021675720537987467,97150.91615075941,210.5816108493314,97045.62534533475,4834884.082434746,49.76673688729752
22-23,0.0022302347511228755,96940.33453991008,216.19970287638463,96832.23468847189,4737838.457089412,48.87375806547126
23-24,0.0021999337359924777,96724.1348370337,212.7866873126757,96617.74149337735,4641006.22240094,47.98188404807518
24-25,0.002090387901262779,96511.34814972102,201.74615450673667,96410.47507246764,4544388.480907563,47.086571351772164
25-26,0.001944468606890046,96309.60199521428,187.2709976217691,96215.9664964034,4447978.005835095,46.18415935366569
26-27,0.0018015562846750556,96122.33099759251,173.1697895063287,96035.74610283934,4351762.039338692,45.27316383377851
