x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0071323788194923386,100000.0,713.2378819492338,99643.38105902539,7859493.3991,78.594933991
1-2,0.000560260285048877,99286.76211805077,55.62642964583917,99258.94890322785,7759850.018040975,78.1559379367675
2-3,0.00035229635997220085,99231.13568840493,34.958767898932614,99213.65630445546,7660591.0691377465,77.1994698639016
3-4,0.0002896816301168655,99196.176920506,28.73531023169317,99181.80926539015,7561377.412833291,76.2265003306815
4-5,0.0002526876490904247,99167.4416102743,25.058387686812175,99154.91241643089,7462195.603567901,75.2484432632048
5-6,0.0002349545861950719,99142.38322258748,23.29395762445628,99130.73624377525,7363040.69115147,74.26733604557892
6-7,0.00022453704946839823,99119.08926496303,22.255907849549583,99107.96131103825,7263909.954907695,73.284672092678
7-8,0.00021179055693587443,99096.83335711347,20.987773527284602,99086.33947034983,7164801.993596656,72.30101861859691
8-9,0.0001897608851133681,99075.84558358618,18.800720151296694,99066.44522351053,7065715.654126306,71.31622861765287
9-10,0.00015930497095682807,99057.04486343489,15.78027965503871,99049.15472360737,6966649.208902796,70.32966931839502
10-11,0.00012956631941569136,99041.26458377985,12.83241212239602,99034.84837771865,6867600.054179189,69.34079530426257
11-12,0.00011720458125534233,99028.43217165745,11.606585925052181,99022.62887869492,6768565.20580147,68.34971590854566
12-13,0.00014188563062465331,99016.8255857324,14.04906474068295,99009.80105336205,6669542.576922775,67.35766913824197
13-14,0.00021287025123757988,99002.77652099171,21.07474591124148,98992.2391480361,6570532.775869413,66.36715662692806
14-15,0.000312410776813355,98981.70177508047,30.92295034186073,98966.24029990954,6471540.536721378,65.3811807704305
15-16,0.0004232629102081562,98950.7788247386,41.88219461272246,98929.83772743224,6372574.296421468,64.40145668492976
16-17,0.0005188694548869782,98908.89663012588,51.32080527794589,98883.23622748691,6273644.458694036,63.428515254341605
17-18,0.0005842677888016999,98857.57582484793,57.75929723348028,98828.69617623118,6174761.222466549,62.46118388950539
18-19,0.0006085367537490948,98799.81652761444,60.12331962072066,98769.75486780408,6075932.526290318,61.49740697739151
19-20,0.0006023373262647732,98739.69320799373,59.474602803106926,98709.95590659218,5977162.771422514,60.53454874355045
20-21,0.0005913915749080235,98680.21860519062,58.35864989319172,98651.03928024402,5878452.815515921,59.570731587401575
21-22,0.0005882833077298442,98621.85995529742,58.01759398897183,98592.85115830293,5779801.776235677,58.60568619224483
22-23,0.0005708538064349882,98563.84236130845,56.26554458881106,98535.70958901403,5681208.925077374,57.63988891840879
23-24,0.0005506651709162441,98507.57681671964,54.24469162432397,98480.45447090747,5582673.21548836,56.67252607254081
24-25,0.000540546817493249,98453.33212509532,53.21863535182613,98426.7228074194,5484192.761017453,55.703475368910915
25-26,0.000548634335410934,98400.1134897435,53.98568086880591,98373.12064930909,5385766.038210033,54.7333315705109
26-27,0.0005767129166888502,98346.12780887469,56.71748221371057,98317.76906776783,5287392.917560725,53.7631021715081
27-28,0.0006155668516341932,98289.41032666097,60.503702863764055,98259.1584752291,5189075.1484929565,52.793837415925786
28-29,0.0006630006017374674,98228.90662379721,65.12582419959105,98196.34371169742,5090815.990017727,51.8260475963031
29-30,0.0007176142090539354,98163.78079959762,70.44372391624714,98128.5589376395,4992619.6463060295,50.86009937309276
30-31,0.0007786938261946496,98093.33707568137,76.38467597166381,98055.14473769553,4894491.08736839,49.896264448544265
31-32,0.0008460250762248121,98016.9523997097,82.92479962528817,97975.48999989705,4796435.942630694,48.934758990169335
32-33,0.0009197261233404976,97934.02760008442,90.07248354774694,97888.99135831054,4698460.452630797,47.97577070777744
