x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.008118030235261569,100000.0,811.803023526157,99594.09848823692,7274743.4511,72.74743451100001
1-2,0.001420180262247229,99188.19697647385,140.86511959387843,99117.7644166769,7175149.352611763,72.33874161775131
2-3,0.0005409516364232714,99047.33185687997,53.579816251338045,99020.54194875431,7076031.588195086,71.44091067914592
3-4,0.0003051259571492869,98993.75204062863,30.205563343195987,98978.64925895704,6977011.046246332,70.47930705144759
4-5,0.00022418121826599745,98963.54647728543,22.185768413201508,98952.45359307883,6878032.396987375,69.50066607168381
5-6,0.0001953115502908733,98941.36070887223,19.324390547938336,98931.69851359827,6779079.943394296,68.51613819362406
6-7,0.0001880027296864371,98922.0363183243,18.597612853985837,98912.73751189731,6680148.244880698,67.52942512611084
7-8,0.00019126247097129897,98903.43870547031,18.916516074366662,98893.98044743313,6581235.5073688,66.54202921060615
8-9,0.0002010032338704783,98884.52218939594,19.87610873980565,98874.58413502603,6482341.526921367,65.55466298866854
9-10,0.00021689202696731198,98864.64608065614,21.442953483839425,98853.92460391422,6383466.9427863415,64.56774181519404
10-11,0.00024198883685742873,98843.2031271723,23.918951756006987,98831.2436512943,6284613.018182428,63.5816406121178
11-12,0.0002824675852824558,98819.2841754163,27.913244580370637,98805.3275531261,6185781.7745311335,62.59690935982309
12-13,0.00034594831331918044,98791.37093083592,34.1767081440122,98774.28257676392,6086976.446978007,61.61445467984764
13-14,0.00043847956077685445,98757.1942226919,43.30301114632046,98735.54271711875,5988202.164401243,60.63560443908709
14-15,0.0005615150169474163,98713.89121154559,55.42933229659643,98686.17654539729,5889466.621684125,59.661984239511895
15-16,0.0007104063479455992,98658.461879249,70.0875975975674,98623.41808045021,5790780.445138727,58.695223246296244
16-17,0.0008750598135239454,98588.37428165143,86.27072441453083,98545.23891944416,5692157.027058277,57.736594892990965
17-18,0.0010423021334111555,98502.1035572369,102.66895268319459,98450.7690808953,5593611.788138833,56.7867242031896
18-19,0.001198880241717299,98399.43460455371,117.96913794355291,98340.45003558193,5495161.019057938,55.84545318925678
19-20,0.0013340462974864792,98281.46546661016,131.11202511727654,98215.90945405152,5396820.569022356,54.911885403823725
20-21,0.0014411101983882301,98150.35344149287,141.4454753199447,98079.6307038329,5298604.659568304,53.984570343160165
21-22,0.0015178426590537473,98008.90796617293,148.76210147832992,97934.52691543377,5200525.028864471,53.061758739923874
22-23,0.001565965761016413,97860.1458646946,153.24563779218366,97783.5230457985,5102590.501949037,52.14166049787097
23-24,0.0015901152575687248,97706.90022690242,155.36523282054264,97629.21761049215,5004806.978903239,51.22265640687294
24-25,0.0015966431167616102,97551.53499408187,155.75498687783016,97473.65750064295,4907177.761292746,50.30343973152702
25-26,0.0015925268397896505,97395.78000720404,155.10539374372067,97318.22731033218,4809704.103792103,49.38308521618026
26-27,0.0015845302785032283,97240.67461346032,154.08079322710807,97163.63421684677,4712385.876481771,48.46105701357886
27-28,0.0015786585828656333,97086.5938202332,153.2665846155007,97009.96052792545,4615222.242264924,47.53717336927618
28-29,0.0015798824282316016,96933.3272356177,153.14326040957613,96856.75560541291,4518212.281736998,46.61154641637847
29-30,0.001592072719707588,96780.18397520813,154.08109071521034,96703.14342985052,4421355.526131585,45.684512516159195
30-31,0.0016180781218001605,96626.10288449292,156.34858307220938,96547.92859295681,4324652.382701735,44.75656425750125
31-32,0.0016598841719829968,96469.75430142072,160.12861824001686,96389.68999230071,4228104.454108778,43.828290895175535
32-33,0.0017188061939313619,96309.6256831807,165.53758115946195,96226.85689260096,4131714.7641164777,42.90033041669304
33-34,0.001795683134178054,96144.08810202124,172.64431745572847,96057.76594329337,4035487.9072238766,41.97333384598443
34-35,0.001891052663128975,95971.4437845655,181.4870543531353,95880.70025738893,3939430.141280583,41.0479407825074
35-36,0.0020052980958823936,95789.95673021238,192.08741783575175,95693.9130212945,3843549.441023194,40.12476435132296
36-37,0.0021387647372306485,95597.86931237663,204.46135183969508,95495.63863645677,3747855.5280019,39.204383475905374
37-38,0.002291847571518895,95393.40796053693,218.62715037326782,95284.0943853503,3652359.889365443,38.287340471957755
38-39,0.0024650544535207,95174.78081016366,234.6110172989504,95057.47530151419,3557075.794980093,37.374142232857494
39-40,0.002659049762263878,94940.1697928647,252.4506359170091,94813.9444749062,3462018.3196785785,36.46526362057095
40-41,0.002874683401567793,94687.7191569477,272.1972145927903,94551.6205496513,3367204.3752036723,35.5611520182721
41-42,0.003113009477343344,94415.52194235491,293.9164146148693,94268.56373504747,3272652.754654021,34.66223230383801
42-43,0.0033752982308025803,94121.60552774004,317.6884886180793,93962.761283431,3178384.1909189736,33.7689117508968
43-44,0.0036630440311673836,93803.91703912197,343.60787841027616,93632.11309991682,3084421.4296355424,32.88158455418392
44-45,0.003977971526067666,93460.3091607117,371.7824486587922,93274.4179363823,2990789.3165356256,32.00063581421231
45-46,0.004322041454940426,93088.5267120529,402.33247142882186,92887.3604763385,2897514.8985992433,31.12644491154117
46-47,0.0046974571602612265,92686.19424062409,435.3894267929825,92468.4995272276,2804627.538122905,30.259388262741346
47-48,0.005106672475153009,92250.8048138311,471.09464575350404,92015.25749095435,2712159.0385956774,29.399841487226194
48-49,0.005552401407138683,91779.7101680776,509.59779188401455,91524.91127213559,2620143.781104723,28.54818103376458
49-50,0.006037629857290978,91270.11237619357,551.0551555608091,90994.58479841317,2528618.8698325874,27.70478532348273
50-51,0.006565629493301977,90719.05722063276,595.6277176923362,90421.24336178659,2437624.285034174,26.87003546681227
51-52,0.007139973817914116,90123.42950294043,643.4789270316232,89801.69003942462,2347203.0416723876,26.044315608249306
52-53,0.007764556427486012,89479.9505759088,694.7721253753034,89132.56451322115,2257401.351632963,25.2280129470784
53-54,0.008443611428806157,88785.17845053351,749.6675474735189,88410.34467679675,2168268.7871197416,24.42151747577765
54-55,0.009181735967706155,88035.51090305999,808.3188168940133,87631.35149461297,2079858.4424429447,23.625221471517033
55-56,0.009983914814685932,87227.19208616597,870.8688553125279,86791.75765850971,1992227.0909483319,22.83951877048091
56-57,0.010855546946353727,86356.32323085345,937.4451209470266,85887.60067037994,1905435.333289822,22.064803849928698
57-58,0.011802474053878308,85418.87810990642,1008.1540926035643,84914.80106360464,1819547.732619442,21.301470739035857
58-59,0.012831010898556617,84410.72401730285,1083.0749198210676,83869.18655739233,1734632.9315558374,20.54991177661579
59-60,0.013947977418281625,83327.64909748179,1162.2521679301713,82746.52301351671,1650763.744998445,19.810516231740564
60-61,0.015160732465773069,82165.39692955161,1245.687600792984,81542.55312915512,1568017.2219849282,19.083668801957373
61-62,0.01647720902873285,80919.70932875863,1333.3309651542595,80253.0438461815,1486474.668855773,18.36974800312937
62-63,0.017905950742531887,79586.37836360437,1425.0697707552054,78873.84347822676,1406221.6250095915,17.669124464805027
63-64,0.01945614945658734,78161.30859284916,1520.7181017049177,77400.9495419967,1327347.7815313647,16.98215914533449
64-65,0.021137683555202326,76640.59049114425,1620.0045492856555,75830.58821650142,1249946.831989368,16.309201481606515
65-66,0.02296115666125845,75020.58594185859,1722.5594266304183,74159.30622854338,1174116.2437728664,15.650587489183485
66-67,0.02493793626571142,73298.02651522816,1827.9015136391856,72384.07575840857,1099956.937544323,15.00663782968017
67-68,0.02708019172631301,71470.12500158898,1935.4246877465864,70502.41265771569,1027572.8617859145,14.377655863384438
68-69,0.02940093096441938,69534.70031384239,2044.3849235588707,68512.50785206296,957070.4491281988,13.763925706280396
