x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007544107577450113,100000.0,754.4107577450113,99622.7946211275,7560578.9884,75.605789884
1-2,0.001001047373610845,99245.589242255,99.3495364534201,99195.91447402828,7460956.1937788725,75.17670307309014
2-3,0.00044925354314520973,99146.23970580158,44.54179947735564,99123.9688060629,7361760.279304844,74.25153289877184
3-4,0.00029760404711617417,99101.69790632422,29.49306637300657,99086.95137313771,7262636.3104987815,73.28468092810863
4-5,0.00023807946438645584,99072.20483995121,23.58705746388082,99060.41131121927,7163549.359125644,72.30634839204585
5-6,0.00021464913562887973,99048.61778248733,21.26070019224619,99037.98743239121,7064488.9478144245,71.32344808009515
6-7,0.00020582940341231244,99027.35708229509,20.38274182974683,99017.1657113802,6965450.960382033,70.33865353584574
7-8,0.000201283110297383,99006.97434046534,19.928431736382056,98997.01012459715,6866433.794670653,69.35303134361372
8-9,0.0001955114308440188,98987.04590872896,19.353098980638176,98977.36935923864,6767436.784546056,68.36689308605061
9-10,0.0001887332592996632,98967.69280974833,18.678495229351647,98958.35356213366,6668459.415186817,67.38016443412504
10-11,0.00018696259085615926,98949.01431451898,18.49976407890566,98939.76443247953,6569501.061624683,66.39278932827861
11-12,0.00020154057315488707,98930.51455044007,19.938512605003588,98920.54529413757,6470561.297192204,65.40511111860401
12-13,0.0002460881998261049,98910.57603783507,24.340725600913895,98898.4056750346,6371640.751898066,64.4181947687859
13-14,0.00032830529311751424,98886.23531223416,32.46487446947052,98870.00287499942,6272742.346223031,63.43392815407313
14-15,0.0004402270916787798,98853.77043776469,43.51810786129889,98832.01138383403,6173872.343348032,62.45459648132403
15-16,0.0005710349268225329,98810.2523299034,56.42410520852239,98782.04027729914,6075040.331964198,61.4818825852313
16-17,0.0007026327553177616,98753.82822469487,69.38767442369429,98719.13438748302,5976258.291686898,60.516725266478794
17-18,0.0008210240465022859,98684.44055027117,81.02229870739791,98643.92940091748,5877539.157299415,59.55892463417592
18-19,0.0009140245090863669,98603.41825156378,90.12594096162329,98558.35528108297,5778895.227898498,58.60745327464191
19-20,0.0009811534573547671,98513.29231060216,96.6566573459481,98464.96398192919,5680336.872617415,57.66061350084519
20-21,0.0010314669954681185,98416.63565325622,101.51351148134471,98365.87889751555,5581871.908635486,56.716751914805
21-22,0.001069813817838855,98315.12214177487,105.17887616978553,98262.53270368998,5483506.029737971,55.77479751111437
22-23,0.0010860028327133806,98209.94326560509,106.65627658706754,98156.61512731155,5385243.497034281,54.833994583115604
23-24,0.0010878078227632181,98103.28698901803,106.71752302543885,98049.92822750531,5287086.8819069695,53.89306560644417
