x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006601438963520957,100000.0,660.1438963520957,99669.92805182395,7874922.3979,78.749223979
1-2,0.0005354557703095553,99339.85610364791,53.19209917241917,99313.2600540617,7775252.469848176,78.26921413833875
2-3,0.0003584226507867812,99286.66400447549,35.5865893002606,99268.87070982537,7675939.209794114,77.31087842218277
3-4,0.00029872783663183357,99251.07741517523,29.64905963961393,99236.25288535542,7576670.339084289,76.33841905202166
4-5,0.0002585595895861745,99221.42835553561,25.654651793761303,99208.60102963872,7477434.086198933,75.36108086859409
5-6,0.00023883439348613723,99195.77370374184,23.691362448921303,99183.92802251739,7378225.485169294,74.38044192492623
6-7,0.00022680399144581447,99172.08234129292,22.492624114998208,99160.83602923542,7279041.5571467765,73.39809133074898
7-8,0.0002123692735887973,99149.58971717792,21.056326344864363,99139.06155400549,7179880.721117541,72.41462865956376
8-9,0.0001882608280451813,99128.53339083305,18.662019779062632,99119.20238094352,7080741.659563536,71.42990436110225
9-10,0.0001555284217074881,99109.87137105399,15.414401869972187,99102.16417011901,6981622.457182593,70.44326019801136
10-11,0.0001238836676256197,99094.45696918402,12.276184770711666,99088.31887679866,6882520.293012474,69.45414005500602
11-12,0.00011065286911444028,99082.1807844133,10.963727581910995,99076.69892062235,6783431.9741356755,68.46268340515556
12-13,0.00013592947922266613,99071.21705683139,13.466698940490808,99064.48370736114,6684355.275215053,67.47020450329815
13-14,0.0002088443711956596,99057.7503578909,20.687653585550347,99047.40653109812,6585290.791507692,66.47930896588457
14-15,0.00031080990381614714,99037.06270430534,30.781699933358876,99021.67185433867,6486243.384976594,65.49309125153026
15-16,0.0004235358573455791,99006.28100437198,41.932710107784004,98985.31464931808,6387221.713122255,64.51329802843725
16-17,0.0005200340082881107,98964.3482942642,51.464826721086865,98938.61588090366,6288236.398472937,63.54042144323798
17-18,0.0005859293925768136,98912.88346754311,57.95596572815869,98883.90548467904,6189297.782592033,62.5732216635153
18-19,0.0006105397382092324,98854.92750181495,60.35486155765074,98824.75007103612,6090413.877107354,61.609613511633356
19-20,0.0006045221307328612,98794.5726402573,59.72350555733078,98764.71088747864,5991589.127036318,60.64694615212937
20-21,0.0005947723657315792,98734.84913469998,58.72475979999607,98705.48675479997,5892824.4161488395,59.6833283059915
21-22,0.0005925424935215016,98676.12437489998,58.46979678814106,98646.88947650591,5794118.929394039,58.7185498629887
22-23,0.0005829587166039847,98617.65457811185,57.49002134735115,98588.90956743817,5695472.039917533,57.7530672807305
23-24,0.000566864355320955,98560.1645567645,55.87024414179755,98532.22943469361,5596883.130350095,56.786462923635234
24-25,0.0005491361365208356,98504.2943126227,54.092267609544955,98477.24817881793,5498350.900915402,55.81838781023401
25-26,0.0005296545227767699,98450.20204501315,52.14459478142801,98424.12974762244,5399873.652736584,54.848781826447315
26-27,0.0005219587278742948,98398.05745023173,51.35972489202473,98372.37758778573,5301449.522988961,53.8775831593053
27-28,0.0005425972760981514,98346.6977253397,53.36265029901759,98320.0164001902,5203077.145401175,52.90545860454007
28-29,0.00059582095508899,98293.33507504068,58.565228783292866,98264.05246064904,5104757.129000985,51.93390910079334
29-30,0.0006725277695622767,98234.76984625739,66.06561065816707,98201.7370409283,5006493.076540336,50.96457277169542
30-31,0.0007555069605722107,98168.70423559922,74.16713936034988,98131.62066591904,4908291.339499407,49.99853443842746
31-32,0.000840281564433134,98094.53709623887,82.4270310935717,98053.32358069209,4810159.718833488,49.03595920040199
32-33,0.0009310511935664552,98012.1100651453,91.2542920601203,97966.48291911524,4712106.395252796,48.07677737088631
33-34,0.0010232264950714308,97920.85577308518,100.19521404708902,97870.75816606163,4614139.91233368,47.12111506690832
34-35,0.0011138072999192243,97820.6605590381,108.95336581357718,97766.1838761313,4516269.154167619,46.168867889027354
35-36,0.0012057011025752016,97711.70719322452,117.81111309737605,97652.80163667582,4418502.970291487,45.21979092591141
36-37,0.0012997559983098411,97593.89608012715,126.84825182857254,97530.47195421286,4320850.168654812,44.27377471545229
37-38,0.0013975672112256717,97467.04782829857,136.2167502197944,97398.93945318868,4223319.696700599,43.3307439878609
38-39,0.0015039094163809778,97330.83107807877,146.376753362509,97257.64270139752,4125920.7572474102,42.39068660512718
39-40,0.0016241116373333976,97184.45432471627,157.83840323666772,97105.53512309793,4028663.1145460126,41.4537812918648
40-41,0.0017619386209166508,97026.61592147959,170.9549418489013,96941.13845055514,3931557.579422915,40.52040300575456
41-42,0.0019166349011535792,96855.66097963069,185.63694020785906,96762.84250952676,3834616.44097236,39.591040959173284
42-43,0.0020849088949567154,96670.02403942283,201.54819299547216,96569.24994292509,3737853.598462833,38.66610808887878
43-44,0.002267945019354164,96468.47584642736,218.7851993205924,96359.08324676707,3641284.348519908,37.745847195892644
44-45,0.002467030290889523,96249.69064710676,237.45090231515837,96130.96519594919,3544925.2652731407,36.83051074179946
