x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007319204960103103,100000.0,731.9204960103103,99634.03975199485,7581733.2355,75.817332355
1-2,0.000686284456840697,99268.07950398969,68.12614002401469,99234.01643397768,7482099.195748006,75.37265990370341
2-3,0.00039790515156207283,99199.95336396567,39.472172478239315,99180.21727772655,7382865.1793140285,74.42407913465664
3-4,0.0003153041110223214,99160.48119148743,31.265707370627567,99144.84833780212,7283684.962036302,73.45350561551713
4-5,0.00026038701570485197,99129.21548411681,25.811960589072378,99116.30950382227,7184540.1136985,72.47651541083424
5-6,0.000233938901091088,99103.40352352774,23.184141314680737,99091.8114528704,7085423.804194678,71.49526204226231
6-7,0.00022196247199154679,99080.21938221306,21.99209041954078,99069.22333700329,6986331.992741807,70.51187448214307
7-8,0.0002131557245600591,99058.22729179352,21.11482821201727,99047.66987768751,6887262.769404804,69.52741794093645
8-9,0.00019923826107124618,99037.1124635815,19.731982068761422,99027.24647254712,6788215.099527117,68.5421346671766
9-10,0.00018078363248543627,99017.38048151275,17.900721722640412,99008.43012065144,6689187.85305457,67.55569396529823
10-11,0.00016754742832029976,98999.4797597901,16.5871082388004,98991.1862056707,6590179.422933918,66.56781872919098
11-12,0.0001772603466968932,98982.8926515513,17.545741868475346,98974.11978061707,6491188.236728247,65.57889007728969
12-13,0.0002302541115032737,98965.34690968282,22.78717802230227,98953.95332067167,6392214.11694763,64.59042802912877
13-14,0.00033476703687089493,98942.55973166051,33.12270754178952,98925.99837788961,6293260.163626959,63.60518851235244
14-15,0.0004700387315290291,98909.43702411873,46.49126631506716,98886.19139096119,6194334.165249069,62.62632112382362
15-16,0.0006140128863515331,98862.94575780367,60.70312267796409,98832.59419646469,6095447.973858108,61.6555366334203
16-17,0.0007411022521459824,98802.2426351257,73.22256453396545,98765.63135285872,5996615.379661643,60.69310999151101
17-18,0.0008417130975477366,98729.02007059174,83.10150930147043,98687.46931594101,5897849.748308784,59.73775232542359
