x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004517699861391489,100000.0,451.76998613914895,99774.11500693043,7824171.4799,78.241714799
1-2,0.0005601963107010078,99548.23001386086,55.76655119058018,99520.34673826557,7724397.3648930695,77.59452241207647
2-3,0.00045123125665206344,99492.46346267028,44.894109315670214,99470.01640801244,7624877.018154804,76.63773468646366
3-4,0.00034691546572789526,99447.5693533546,34.499899837726176,99430.31940343574,7525407.001746791,75.67210592154048
4-5,0.0002426436244608401,99413.06945351687,24.121947490978563,99401.00847977138,7425976.682343355,74.69819333780416
5-6,0.00018864343889389587,99388.9475060259,18.74907284558162,99379.5729696031,7326575.673863584,73.71620142591185
6-7,0.0001598202419819222,99370.19843318031,15.881369159382505,99362.25774860062,7227196.100893981,72.73001578792034
7-8,0.0001389747156502756,99354.31706402093,13.807737962599633,99347.41319503963,7127833.84314538,71.7415614517527
8-9,0.00013718556409698807,99340.50932605832,13.628083809577415,99333.69528415354,7028486.42995034,70.75146360364668
9-10,0.00014272194233453506,99326.88124224874,14.176125416925437,99319.79317954027,6929152.734666186,69.76110241261524
10-11,0.00015279436759400622,99312.70511683181,15.174421972376342,99305.11790584563,6829832.941486646,68.77098890269887
11-12,0.00017154342685549628,99297.53069485944,17.033838693685016,99289.01377551259,6730527.823580801,67.78142191937947
12-13,0.00019373490318251964,99280.49685616576,19.234097446341718,99270.87980744259,6631238.809805288,66.79296558529923
13-14,0.00022456004354444654,99261.26275871941,22.290113487374782,99250.11770197573,6531967.929997846,65.8058113352387
14-15,0.0002604282133964806,99238.97264523205,25.84462834529999,99226.05033105939,6432717.81229587,64.8204797050056
15-16,0.00031504673023005,99213.12801688675,31.256771577615538,99197.49963109795,6333491.76196481,63.837234936154886
16-17,0.00037150402697777964,99181.87124530914,36.846464570824,99163.44801302374,6234294.262333713,62.85719541340642
17-18,0.0004194156483318882,99145.02478073831,41.58297484729448,99124.23329331467,6135130.814320689,61.88036997205541
18-19,0.000466764734293796,99103.44180589102,46.2579916821274,99080.31281004996,6036006.581027375,60.906124661641925
19-20,0.0005218603987871629,99057.1838142089,51.69402144801635,99031.33680348488,5936926.268217324,59.934333277156256
20-21,0.0005395251758596078,99005.48979276088,53.41595429150592,98978.78181561513,5837894.93141384,58.96536589671714
21-22,0.0005588475223065882,98952.07383846938,55.29912129172718,98924.42427782352,5738916.149598224,57.99692646125339
22-23,0.000608603356799772,98896.77471717766,60.18890906954515,98866.68026264288,5639991.725320401,57.02907644308419
23-24,0.0006346936503728869,98836.58580810811,62.730953436941206,98805.22033138965,5541125.045057758,56.063501179774555
24-25,0.0006734928791015786,98773.85485467117,66.52348788603392,98740.59311072815,5442319.824726368,55.09878937836142
25-26,0.0007605154570686984,98707.33136678513,75.06845123044207,98669.79714116991,5343579.23161564,54.135586056516026
26-27,0.0008421549326129407,98632.26291555469,83.0636467291108,98590.73109219014,5244909.43447447,53.17640779432353
27-28,0.0009212832786625037,98549.19926882559,90.79172941194805,98503.80340411961,5146318.70338228,52.22080688189045
28-29,0.0010606758442551854,98458.40753941363,104.43245454088866,98406.19131214319,5047814.89997816,51.26850033561108
29-30,0.0012006391006421924,98353.97508487274,118.0876281904862,98294.9312707775,4949408.708666016,50.322406434463026
30-31,0.001301399943601364,98235.88745668225,127.84417839575623,98171.96536748437,4851113.777395239,49.38229707075603
