x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007143995388606736,100000.0,714.3995388606736,99642.80023056966,7402816.0241,74.028160241
1-2,0.0006025449618778277,99285.60046113933,59.82403834487443,99255.6884419669,7303173.223869431,73.55722471284156
2-3,0.0005112300285605297,99225.77642279446,50.72719651456595,99200.41282453717,7203917.535427464,72.6012715157002
3-4,0.00042217874626138883,99175.0492262799,41.86959794276237,99154.11442730851,7104717.122602927,71.63815070454518
4-5,0.00033295864594418454,99133.17962833714,33.007249257192754,99116.67600370853,7005563.008175618,70.66819640447692
5-6,0.00027324131159601073,99100.17237907994,27.07826108025056,99086.63324853982,6906446.3321719095,69.69156729367971
6-7,0.00023589427248431566,99073.09411799969,23.37077545973567,99061.40873026982,6807359.69892337,68.71047845558911
7-8,0.0002094410891664283,99049.72334253995,20.745081938494963,99039.3508015707,6708298.2901931,67.72657271332342
8-9,0.0002019194018726746,99028.97826060145,19.99587205844274,99018.98032457223,6609258.93939153,66.74065566948312
9-10,0.00020188108135901162,99008.98238854301,19.9880404288544,98998.98836832859,6510239.959066958,65.75403364432823
10-11,0.00021062166568027132,98988.99434811415,20.849226873614768,98978.56973467735,6411240.9706986295,64.7672098592319
11-12,0.0002328841187435435,98968.14512124054,23.048109260243226,98956.62106661042,6312262.400963952,63.78074877761061
12-13,0.00026116158205422566,98945.0970119803,25.84065807215761,98932.17668294422,6213305.7798973415,62.795489291854786
13-14,0.000306677264692488,98919.25635390813,30.33628696403156,98904.08821042611,6114373.603214397,61.81176273039004
14-15,0.0003861965808777918,98888.9200669441,38.190562816551065,98869.82478553583,6015469.515003971,60.83057142227585
15-16,0.0005065941726761802,98850.72950412755,50.07720353158037,98825.69090236176,5916599.690218435,59.853879884329885
16-17,0.00066326537111352,98800.65230059598,65.53105131441265,98767.88677493877,5817773.999316073,58.88396345416618
17-18,0.0008334167247582629,98735.12124928157,82.2875013701862,98693.97749859648,5719006.1125411345,57.92271321672933
18-19,0.0009888918404923142,98652.83374791138,97.55698233475438,98604.055256744,5620312.135042538,56.9706101844391
19-20,0.0011033877987885337,98555.27676557662,108.74468988936431,98500.90442063194,5521708.079785794,56.026508787750835
20-21,0.0011766002137953513,98446.53207568725,115.83221068766453,98388.61597034342,5423207.175365162,55.087843736290424
21-22,0.001222499321073733,98330.6998649996,120.20921382566702,98270.59525808676,5324818.559394819,54.15214746468174
22-23,0.001263573159366875,98210.49065117392,124.09613995507478,98148.44258119639,5226547.964136732,53.21781746005622
23-24,0.0012956130515245088,98086.39451121885,127.08201290571708,98022.853504766,5128399.5215555355,52.28451455587924
24-25,0.0013512065728689374,97959.31249831314,132.36326692144297,97893.13086485241,5030376.66805077,51.35169428774209
25-26,0.001397982292166586,97826.9492313917,136.7603427221652,97758.56906003061,4932483.537185918,50.42049839987377
26-27,0.001409001969423612,97690.18888866954,137.64566853750003,97621.36605440079,4834724.968125887,49.49038407158445
