x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.010576223644046295,100000.0,1057.6223644046295,99471.18881779768,7066545.7343,70.665457343
1-2,0.0006422695072043263,98942.37763559537,63.547672125638194,98910.60379953256,6967074.545482202,70.41547526927165
2-3,0.0005682955224484618,98878.82996346973,56.19239633318265,98850.73376530314,6868163.94168267,69.46040870649539
3-4,0.0004940953382081366,98822.63756713655,48.82780453135444,98798.22366487088,6769313.207917367,68.49962088209332
4-5,0.00041926058464495026,98773.8097626052,41.41196522867895,98753.10377999087,6670514.984252497,67.53323578673877
5-6,0.00035394488213045877,98732.39779737653,34.94582690085,98714.9248839261,6571761.880472505,66.5613519683721
6-7,0.0003084147160128487,98697.45197047568,30.439746620666032,98682.23209716535,6473046.955588579,65.58474232470483
7-8,0.00027678906950449466,98667.01222385501,27.309950504229427,98653.3572486029,6374364.7234914135,64.60482160977269
8-9,0.00026426326091832724,98639.70227335078,26.066849378768612,98626.66884866139,6275711.366242811,63.62257003626726
9-10,0.00025956810971445004,98613.63542397201,25.596954939070343,98600.83694650247,6177084.697394149,62.63925542179698
10-11,0.0002678276122288504,98588.03846903294,26.40459893748714,98574.8361695642,6078483.860447647,61.65538897862273
11-12,0.00029423131172776106,98561.63387009545,28.999918819629507,98547.13391068563,5979909.024278083,60.67177246837874
12-13,0.00032860882050224317,98532.63395127583,32.37869262370803,98516.44460496398,5881361.890367397,59.68948209864884
13-14,0.0003875560668942217,98500.25525865212,38.1743715161201,98481.16807289406,5782845.445762433,58.70893867815105
14-15,0.0005067104260251722,98462.080887136,49.89176295364565,98437.13500565918,5684364.277689539,57.73150665183836
15-16,0.0006840666356434055,98412.18912418236,67.32049512048197,98378.52887662212,5585927.1426838795,56.76052115490718
16-17,0.0009252424828214506,98344.86862906188,90.99285042310261,98299.37220385033,5487548.613807257,55.79903344530609
17-18,0.0011963091769596108,98253.87577863877,117.5420132658352,98195.10477200586,5389249.241603407,54.850245844195754
18-19,0.0014413501016305019,98136.33376537294,141.44881464636515,98065.60935804975,5291054.136831401,53.91534341889518
19-20,0.0016064578609472995,97994.88495072657,157.42465326172092,97916.1726240957,5192988.527473351,52.99244475958587
20-21,0.0017276475233780025,97837.46029746484,169.02864597650878,97752.94597447659,5095072.354849256,52.07690734569567
21-22,0.001794648293108573,97668.43165148834,175.28048415393488,97580.79140941137,4997319.408874779,51.16616827335557
22-23,0.001826111142851882,97493.1511673344,178.03332969841233,97404.1345024852,4899738.617465368,50.25725970284414
23-24,0.001860133428711814,97315.11783763599,181.01910380881606,97224.60828573158,4802334.482962882,49.348288217410044
24-25,0.0019257569559911877,97134.09873382717,187.05666630060247,97040.57040067686,4705109.8746771505,48.439321886028736
25-26,0.0019363167219287277,96947.04206752656,187.72017869687951,96853.18197817812,4608069.304276474,47.5318194965331
26-27,0.0018857343973089366,96759.32188882968,182.46238154605365,96668.09069805665,4511216.122298296,46.623064674651154
27-28,0.0018215778216313682,96576.85950728363,175.9222653612764,96488.898374603,4414548.031600239,45.71020484743866
28-29,0.0017751052301756979,96400.93724192235,171.12180789197558,96315.37633797637,4318059.133225636,44.792709041710644
29-30,0.0017704608532207449,96229.81543403037,170.37112113860823,96144.62987346108,4221743.756887659,43.87147307563781
30-31,0.0018399730648137023,96059.44431289176,176.7467901566926,95971.07091781341,4125599.1270141983,42.94839676123879
31-32,0.001963203873754453,95882.69752273506,188.23728320265997,95788.57888113373,4029628.056096385,42.02664464191682
32-33,0.0021266755280242066,95694.4602395324,203.511066758899,95592.70470615296,3933839.477215251,41.108330277097274
33-34,0.0022941816989151195,95490.9491727735,219.07358800421085,95381.41237877139,3838246.772509098,40.194875072028964
34-35,0.002453778049222479,95271.8755847693,233.77603701816193,95154.98756626021,3742865.360130327,39.28615173320554
35-36,0.0026038945884433924,95038.09954775113,247.4691931083336,94914.36495119697,3647710.3725640667,38.38155844784442
36-37,0.0027660703401194077,94790.6303546428,262.19755114519984,94659.5315790702,3552796.0076128696,37.48045555051903
37-38,0.002938709288315047,94528.43280349759,277.7915834895032,94389.53701175284,3458136.4760337994,36.58302981942431
38-39,0.0031334913318879867,94250.64122000808,295.3335672877799,94102.9744363642,3363746.9390220465,35.68937988623435
39-40,0.0033768129237907573,93955.30765272031,317.2694971404426,93796.67290415008,3269643.9645856824,34.799992105512686
40-41,0.0036621798979242014,93638.03815557987,342.91934101442394,93466.57848507265,3175847.2916815323,33.91620920554586
41-42,0.003967242938010043,93295.11881456545,370.12440126789267,93110.0566139315,3082380.7131964597,33.0390351859998
42-43,0.004297980607535711,92924.99441329755,399.38982394371715,92725.29950132569,2989270.6565825283,32.16863961581002
43-44,0.004656384007881455,92525.60458935384,430.8347455294302,92310.18721658913,2896545.357081203,31.305338343225312
44-45,0.005044653965002087,92094.76984382441,464.5862458486035,91862.47672090011,2804235.1698646136,30.449450871315218
45-46,0.005465198685297393,91630.1835979758,500.77715893321607,91379.79501850919,2712372.6931437133,29.601301521386805
46-47,0.0059206379854306575,91129.40643904259,539.5442253527448,90859.63432636621,2620992.8981252043,28.761219901925003
47-48,0.0064138121788402825,90589.86221368985,581.0263615456271,90299.34903291703,2530133.263798838,27.929540921815054
48-49,0.006947794322942178,90008.83585214423,625.3628787481621,89696.15441277015,2439833.914765921,27.1066044979605
49-50,0.007525904984308207,89383.47297339607,672.6915247652594,89047.12721101345,2350137.760353151,26.29275504938862
50-51,0.00815172899199835,88710.7814486308,723.1462490376332,88349.20832411198,2261090.6331421374,25.488340833199096
51-52,0.008829133855743316,87987.63519959318,776.8546088275205,87599.20789517941,2172741.4248180254,24.693713155141957
52-53,0.009562289656290432,87210.78059076566,833.9347451600928,86793.8132181856,2085142.216922846,23.909225474168405
53-54,0.010355690293707618,86376.84584560557,894.4918641244168,85929.59991354335,1998348.4037046602,23.13523241259135
54-55,0.011214176022861263,85482.35398148115,958.6141643968649,85003.04689928272,1912418.803791117,22.37208867932465
55-56,0.012142957225215903,84523.7398170843,1026.3681571141328,84010.55573852723,1827415.756891834,21.620147911657703
56-57,0.013147639370010854,83497.37165997016,1097.7933309290522,82948.47499450564,1743405.2011533068,20.87976144031274
57-58,0.014234249110341546,82399.5783290411,1172.896124522672,81813.13026677977,1660456.726158801,20.151276982610305
58-59,0.015409261443356534,81226.68220451844,1251.6431822658603,80600.8606133855,1578643.5958920212,19.435037269122944
59-60,0.016679627840054282,79975.03902225257,1333.9538873849917,79308.06207856008,1498042.7352786358,18.731378610041244
60-61,0.018052805219584425,78641.08513486758,1419.6921921965206,77931.23903876932,1418734.6732000757,18.040629408495313
61-62,0.019536785605570955,77221.39294267105,1508.6577980845143,76467.0640436288,1340803.4341613064,17.36310862919444
62-63,0.0211401262574964,75712.73514458654,1600.5767802569444,74912.44675445807,1264336.3701176776,16.699124231916983
63-64,0.022871980018143726,74112.15836432959,1695.0918052104498,73264.61246172436,1189423.9233632195,16.04897158056178
64-65,0.02474212555790554,72417.06655911914,1791.7521533409283,71521.19048244867,1116159.3109014952,15.41293183962783
65-66,0.026760997127821647,70625.3144057782,1890.0038359645314,69680.31248779593,1044638.1204190465,14.791270371089201
66-67,0.028939713354902415,68735.31056981368,1989.180185250602,67740.72047718838,974957.8079312505,14.184235145646094
67-68,0.03129010452512686,66746.13038456308,2088.4933963807243,65701.88368637272,907217.0874540622,13.592055183230244
68-69,0.033824737701109005,64657.63698818235,2187.0276114987914,63564.12318243295,841515.2037676894,13.014939038392255
69-70,0.03655693891267174,62470.609376683555,2283.7342508207994,61328.74225127316,777951.0805852565,12.453073346769974
70-71,0.0395008115396367,60186.87512586275,2377.4304115063524,58998.159920109574,716622.3383339833,11.906621449201062
71-72,0.0426712498776461,57809.4447143564,2466.80126069427,56576.04408400927,657624.1784138738,11.375722110172065
72-73,0.046083946740940025,55342.64345366213,2550.4074334213988,54067.43973695143,601048.1343298645,10.860488347166077
73-74,0.04975539381258425,52792.23602024073,2626.698493433973,51478.88677352374,546980.6945929131,10.361006387060378
74-75,0.053702873305402805,50165.53752680676,2694.0335060995335,48818.520773756994,495501.8078193894,9.877334765018915
75-76,0.05794443934957415,47471.50402070722,2750.709685560935,46096.14917792675,446683.2870456324,9.409503580311837
76-77,0.06249888738048218,44720.79433514629,2794.9998887180136,43323.29439078728,400587.1378677056,8.95751392217294
77-78,0.0673857096693593,41925.79444642828,2825.1994122242527,40513.194740316154,357263.8434769183,8.52133747718057
78-79,0.07262503502747644,39100.59503420402,2839.682083954239,37680.753992226906,316750.64873660216,8.100916327731541
79-80,0.07823755063179726,36260.91295024978,2836.9650129003603,34842.4304437996,279069.89474437525,7.696162948993067
80-81,0.08424440387757184,33423.947937349425,2815.7805692169995,32016.057652740925,244227.46430057567,7.306960409295782
81-82,0.09066708217453424,30608.167368132425,2775.1532259783603,29220.590755143243,212211.40664783475,6.9331627763110655
82-83,0.09752726868305307,27833.014142154065,2714.477848501075,26475.775217903527,182990.81589269152,6.574595728586419
83-84,0.10484667215097242,25118.53629365299,2633.594939692937,23801.73882380652,156515.040674788,6.231057369148401
84-85,0.11264682927798242,22484.941353960054,2532.857350024985,21218.51267894756,132713.3018509815,5.902319234984706
85-86,0.12094887841924816,19952.08400393507,2413.1821824025687,18745.492912733785,111494.78917203392,5.5881274933507825
86-87,0.12977330395972997,17538.9018215325,2276.081237205599,16400.8612029297,92749.29625930014,5.288204313079162
87-88,0.13913965135878686,15262.820584326902,2123.6635348549607,14200.988816899422,76348.43505637045,5.002249396469431
88-89,0.14906621369077586,13139.157049471942,1958.6043924532485,12159.854853245317,62147.44623947103,4.729941654968552
89-90,0.1595696914948467,11180.552657018694,1784.0773382223615,10288.513987907512,49987.591386225715,4.470941009776073
90-91,0.1706648288910751,9396.475318796332,1603.6478524615864,8594.65139256554,39699.0773983182,4.2248902967803
91-92,0.1823640302049576,7792.827466334746,1421.1314234526926,7082.261754608399,31104.426005752663,3.991417253894654
92-93,0.19467696273983973,6371.696042882053,1240.4224331297337,5751.484826317186,24022.164251144262,3.770136567951934
93-94,0.20761015280424794,5131.273609752319,1065.304498201084,4598.621360651778,18270.679424827074,3.5606519578496965
94-95,0.2211665835799175,4065.9691115512355,899.2564973432593,3616.340862879606,13672.058064175297,3.362558270630634
95-96,0.23534530483249472,3166.7126142079765,745.2709455076824,2794.077141454135,10055.71720129569,3.175443567622481
96-97,0.2501410657321714,2421.441668700294,605.701999616979,2118.5906688918044,7261.640059841556,2.9988911786337735
97-98,0.26554398306654864,1815.739669083315,482.15874394032045,1574.6602971131547,5143.049390949751,2.8324817034736287
98-99,0.28153925778748495,1333.5809251429946,375.4553838643062,1145.8532332108414,3568.389093836596,2.6757949416935247
99-100,0.29810695303330775,958.1255412786884,285.6238857339785,815.3135984116991,2422.535860625755,2.528411733385903
100-101,0.31522184641308293,672.5016555447098,211.98721357665852,566.5080487563806,1607.222262214056,2.389915696062109
101-102,0.3328533683559893,460.5144419680513,153.28378318564464,383.87255037522897,1040.7142134576752,2.259894845013082
102-103,0.35096563667165925,307.2306587824067,107.82740376462067,253.31695690009636,656.8416630824463,2.137943087078586
103-104,0.3695175951317775,199.40325501778602,73.68301125562084,162.5617493899756,403.52470618235,2.0236615803807068
104-105,0.3884632609116392,125.72024376216518,48.837695854456854,101.30139583493676,240.96295679237437,1.91665995532289
105-106,0.4077520822165828,76.88254790770833,31.349018995484254,61.2080384099662,139.66156095743762,1.816557395120291
106-107,0.4273294035071391,45.53352891222408,19.457815749635788,35.804621037406186,78.45352254747141,1.722983577633701
107-108,0.4471370316188267,26.07571316258829,11.659416980863694,20.24600467215644,42.64890151006522,1.6355794851760774
108-109,0.46711389197275716,14.416296181724595,6.734052217277374,11.049270073085909,22.40289683790878,1.5539980973968004
109-110,0.48719676023517533,7.682243964447221,3.742764370814916,5.810861779039763,11.353626764822872,1.4779049998107976
