x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004889330270390673,100000.0,488.9330270390673,99755.53348648046,8037448.7065,80.374487065
1-2,0.0003962108378109985,99511.06697296094,39.42736321682324,99491.35329135253,7937693.1730135195,79.76693863779334
2-3,0.00021457784829410922,99471.63960974412,21.344410393745978,99460.96740454725,7838201.819722167,78.79835750645802
3-4,0.00019039730050963408,99450.29519935037,18.93506774084253,99440.82766547994,7738740.85231762,77.81516220545288
4-5,0.00018244563003841678,99431.36013160953,18.140817144788215,99422.28972303713,7639300.02465214,76.82988560692115
5-6,0.00018307677882426328,99413.21931446475,18.20025196464224,99404.11918848242,7539877.734929103,75.84381420220281
6-7,0.00018411145169337087,99395.0190625001,18.299761250687162,99385.86918187476,7440473.6157406205,74.85761043078037
7-8,0.0001788680612673992,99376.71930124941,17.77532111652901,99367.83164069115,7341087.746558745,73.87130303934727
8-9,0.00016281016491030858,99358.94398013288,16.176646054719548,99350.85565710552,7241719.914918054,72.8844291699201
9-10,0.00013726015609166745,99342.76733407816,13.635803750853771,99335.94943220273,7142369.059260949,71.89621600978754
10-11,0.00010959672873751619,99329.13153032731,10.886147884062348,99323.68845638528,7043033.109828746,70.90601721085578
11-12,9.242598865326037e-05,99318.24538244326,9.17958702077943,99313.65558893287,6943709.421372361,69.91373432579607
12-13,0.00010047517374291791,99309.06579542247,9.97809564004194,99304.07674760245,6844395.765783427,68.92015055184328
13-14,0.00014171626900235493,99299.08769978244,14.072296224150803,99292.05155167036,6745091.6890358245,67.92702576914614
14-15,0.00020502746090614963,99285.01540355828,20.35615461421951,99274.83732625117,6645799.637484154,66.93658263003074
15-16,0.0002798420063748831,99264.65924894407,27.7784214063436,99250.7700382409,6546524.800157903,65.9502067471968
16-17,0.000344773060728882,99236.88082753772,34.21420314009749,99219.77372596768,6447274.030119662,64.96852759131237
17-18,0.00038481203859382014,99202.66662439762,38.17438037767757,99183.57943420878,6348054.256393694,63.990762268808524
18-19,0.0003888948369328488,99164.49224401994,38.56455904076689,99145.20996449956,6248870.676959486,63.0152036838198
19-20,0.00036674751945360486,99125.92768497918,36.35418809200353,99107.75059093318,6149725.466994986,62.039524982189604
20-21,0.00033691051283290223,99089.57349688717,33.384319023229814,99072.88133737555,6050617.716404052,61.062102730658424
21-22,0.0003164550601300085,99056.18917786394,31.34683230253043,99040.51576171267,5951544.835066677,60.082513616389626
22-23,0.0003070850863633088,99024.84234556141,30.40905226379976,99009.63781942951,5852504.3193049645,59.10137477302726
23-24,0.0003163325904664735,98994.43329329761,31.315165525429343,98978.7757105349,5753494.681485535,58.11937590914088
24-25,0.00034023698895701697,98963.11812777218,33.67091332959079,98946.28267110739,5654515.905774999,57.137608563165955
25-26,0.0003698588198084904,98929.44721444258,36.58992859104008,98911.15225014706,5555569.623103892,56.15688533123474
26-27,0.0003985945640779771,98892.85728585154,39.4181553402796,98873.1482081814,5456658.470853745,55.17747813758862
27-28,0.00042804648210122414,98853.43913051127,42.31386686342284,98832.28219707955,5357785.322645564,54.19928097364369
28-29,0.00045690737113447325,98811.12526364785,45.147531483052475,98788.55149790632,5258953.040448484,53.22227660515499
29-30,0.00048775529334055636,98765.9777321648,48.1736284408189,98741.89091794439,5160164.488950578,52.24637681352172
30-31,0.0005237362356421368,98717.80410372397,51.70209111214228,98691.9530581679,5061422.598032633,51.27162869946475
31-32,0.0005732632444280559,98666.10201261184,56.5616497548194,98637.82118773443,4962730.644974465,50.29823357509463
32-33,0.0006283821779592903,98609.54036285702,61.964477740776644,98578.55812398663,4864092.82378673,49.32679744665836
33-34,0.0006858665001440636,98547.57588511624,67.5904809700062,98513.78064463123,4765514.265662744,48.35749862805591
34-35,0.0007422347438362471,98479.98540414624,73.09526673944383,98443.43777077652,4667000.485018113,47.39034501137955
35-36,0.0007966683165368142,98406.8901374068,78.3976515013911,98367.6913116561,4568557.047247336,46.42517450625868
36-37,0.0008612553015017169,98328.4924859054,84.68593544215777,98286.14951818432,4470189.35593568,45.46179080876731
37-38,0.000932458979454254,98243.80655046324,91.6083195937461,98198.00239066637,4371903.206417495,44.50054776910393
38-39,0.0010109657858004212,98152.1982308695,99.2285142125097,98102.58397376325,4273705.204026829,43.54161476826427
39-40,0.0010975328015547714,98052.969716657,107.61635055388771,97999.16154138005,4175602.6200530664,42.58517240343946
40-41,0.0011929949887499874,97945.35336610311,116.84831573710773,97886.92920823456,4077603.4585116864,41.63141301119509
41-42,0.0012982731549080872,97828.505050366,127.00812189168042,97765.00098942016,3979716.529303452,40.68054119046934
42-43,0.0014143827174920949,97701.49692847433,138.18730872874107,97632.40327410995,3881951.5283140317,39.73277432131818
43-44,0.0015424433456449594,97563.30961974559,150.48587770207544,97488.06668089455,3784319.1250399216,38.78834307476202
44-45,0.0016836895633506438,97412.82374204352,164.01295467099447,97330.81726470802,3686831.058359027,37.847491908478425
45-46,0.0018394824054234257,97248.81078737252,178.8874763917236,97159.36704917667,3589500.2410943187,36.91047954244398
46-47,0.002011322225438658,97069.9233109808,195.23889417700175,96972.3038638923,3492340.874045142,35.97757940795735
47-48,0.002200862762842042,96874.6844168038,213.20788559501773,96768.08047400629,3395368.5701812496,35.04908006278152
48-49,0.0024099265849795693,96661.47653120877,232.94706203593873,96545.0030001908,3298600.489707243,34.12528556443306
