x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006276304994064342,100000.0,627.6304994064342,99686.18475029679,7581500.1084,75.815001084
1-2,0.0004498897360329811,99372.36950059356,44.7066090835939,99350.01619605176,7481813.923649703,75.29068654848784
2-3,0.00032552828943311897,99327.66289150997,32.33396419446273,99311.49590941274,7382463.907453652,74.32434925522311
3-4,0.00024366766489894592,99295.32892731551,24.195060935091725,99283.23139684796,7283152.411544239,73.34838899497004
4-5,0.0001972665425642688,99271.13386638042,19.582873354255558,99261.34242970329,7183869.180147391,72.3661441181575
5-6,0.00017581116674992913,99251.55099302616,17.449530981824015,99242.82622753525,7084607.837717688,71.38032370109241
6-7,0.00016714947321031407,99234.10146204433,16.586927783879567,99225.80799815239,6985365.011490152,70.39278744476724
7-8,0.0001611880080013308,99217.51453426045,15.992673526620527,99209.51819749713,6886139.203492,69.40447194042713
8-9,0.00015080293440149426,99201.52186073383,14.959880593692644,99194.04192043698,6786929.685294502,68.41558030553682
9-10,0.00013675607842580757,99186.56198014013,13.564365248942268,99179.77979751566,6687735.643374066,67.42582371907531
10-11,0.00012789252521349314,99172.9976148912,12.683485097960167,99166.65587234222,6588555.86357655,66.43497748410554
11-12,0.00013994804176104588,99160.31412979323,13.877291782874732,99153.3754839018,6489389.207704208,65.44341115347916
12-13,0.00019137887594790272,99146.43683801036,18.974533636298155,99136.9495711922,6390235.832220306,64.45250112881962
13-14,0.000291716511798943,99127.46230437406,28.91711752691321,99113.00374561061,6291098.882649113,63.46474262936432
14-15,0.00042554528469763395,99098.54518684714,42.170918624658206,99077.45972753482,6191985.878903503,62.48311584422063
15-16,0.0005731877383015513,99056.37426822248,56.77789913115443,99027.98531865691,6092908.419175968,61.50950369612495
16-17,0.0007099724625347529,98999.59636909133,70.28698722411036,98964.45287547928,5993880.433857311,60.54449365137675
17-18,0.0008257955083863908,98929.30938186722,81.69537933531358,98888.46169219956,5894915.980981831,59.58715387598078
18-19,0.0009105527496709403,98847.6140025319,90.00596672841716,98802.6110191677,5796027.519289632,58.635988109345476
19-20,0.0009713187568218928,98757.60803580348,95.9251170640404,98709.64547727146,5697224.908270464,57.68897223801733
20-21,0.001031925992938459,98661.68291873945,101.8115551108996,98610.777141184,5598515.262793193,56.74457496740947
21-22,0.001105271711689848,98559.87136362855,108.93543772600897,98505.40364476555,5499904.485652009,55.80267516138046
22-23,0.0011534518535205973,98450.93592590255,113.55841452456986,98394.15671864027,5401399.082007243,54.86386727773229
23-24,0.0011736817718559173,98337.37751137798,115.41678747721835,98279.66911763938,5303004.925288603,53.92664579320336
24-25,0.0011761134263976371,98221.96072390076,115.52016677448107,98164.20064051352,5204725.256170963,52.98942535673161
25-26,0.0011701096452710886,98106.44055712628,114.79529235910817,98049.04291094672,5106561.055530449,52.051231565749816
26-27,0.001153146647204087,97991.64526476717,112.99873719107852,97935.14589617163,5008512.012619503,51.1116228234236
27-28,0.0011384390154675539,97878.64652757609,111.42886998815042,97822.932092582,4910576.866723332,50.17005282495236
28-29,0.0011301910870643132,97767.21765758794,110.49563800368263,97711.9698385861,4812753.93463075,49.22666359890238
29-30,0.0011315558459906955,97656.72201958425,110.50403470154883,97601.47000223347,4715041.964792164,48.28179635034853
30-31,0.0011447377194668377,97546.2179848827,111.66483511862967,97490.38556732339,4617440.494789931,47.33592537135086
31-32,0.0011711658823810854,97434.55314976408,114.11202441405021,97377.49713755705,4519950.109222608,46.389601667029886
32-33,0.0012116907526972054,97320.44112535003,117.92227855999944,97261.47998607003,4422572.612085051,45.44340902019462
33-34,0.0012667726750915688,97202.51884679003,123.13349482518684,97140.95209937743,4325311.132098981,44.49793259901534
34-35,0.001336645679548167,97079.38535196484,129.76074100389542,97014.50498146289,4228170.179999604,43.5537386713999
35-36,0.0014214494701382252,96949.62461096095,137.80899253335028,96880.72011469427,4131155.675018141,42.61136328887941
36-37,0.0015213294964498297,96811.8156184276,147.28267070517623,96738.17428307502,4034274.9549034466,41.67130767182456
37-38,0.0016365087298229775,96664.53294772243,158.19235203320858,96585.43677170582,3937536.7806203715,40.734038230442266
38-39,0.0017673364217697053,96506.34059568922,170.55917066647385,96421.06101035599,3840951.3438486657,39.7999895150955
39-40,0.0019143194138889702,96335.78142502275,184.4174566340855,96243.57269670571,3744530.2828383096,38.869568787923754
40-41,0.0020781410899482,96151.36396838867,199.8161003172733,96051.45591823003,3648286.710141604,37.94316127788928
41-42,0.00225967222929373,95951.5478680714,216.81904807522898,95843.13834403378,3552235.2542233737,37.021135491295254
42-43,0.0024599771018000926,95734.72881999618,235.505240744232,95616.97619962406,3456392.11587934,36.103848190536695
43-44,0.0026803172877718326,95499.22357925195,255.96821992825642,95371.23946928782,3360775.139679716,35.191648829382466
