x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00547825576923694,100000.0,547.825576923694,99726.08721153815,7808939.478,78.08939478
1-2,0.0004237244925318388,99452.1744230763,42.140322138605924,99431.104262007,7709213.390788462,77.51679071382537
2-3,0.0002713019621920299,99410.0341009377,26.970137313161,99396.54903228112,7609782.286526455,76.54943844803162
3-4,0.0002176432750364862,99383.06396362455,21.63005552420384,99372.24893586244,7510385.737494173,75.57007640902548
4-5,0.000190028958305113,99361.43390810034,18.88154978125864,99351.99313320972,7411013.488558311,74.58641846305053
5-6,0.00017935781606589254,99342.55235831908,17.81786323339969,99333.64342670239,7311661.495425101,73.60049970381914
6-7,0.00017542598647112895,99324.73449508568,17.424139529783375,99316.02242532079,7212327.851998399,72.61361320180771
7-8,0.00016981128011756336,99307.31035555589,16.8635014965091,99298.87860480764,7113011.829573078,71.6262660231753
8-9,0.00015665675152871553,99290.44685405938,15.554518861991514,99282.66959462839,7013712.95096827,70.63834611679485
9-10,0.0001370017167061053,99274.8923351974,13.60083067573582,99268.09191985952,6914430.281373641,69.64933548381363
10-11,0.00011898086671276867,99261.29150452165,11.810194494236768,99255.38640727453,6815162.189453782,68.65881035955825
11-12,0.00011680950414490036,99249.48131002742,11.593282698462858,99243.6846686782,6715906.803046507,67.66692091889031
12-13,0.0001471300073853123,99237.88802732895,14.600871198363702,99230.58759172977,6616663.118377829,66.67476757018123
13-14,0.00021871160130687068,99223.2871561306,21.701284020848778,99212.43651412017,6517432.530786099,65.68450529693436
14-15,0.00031822250768521126,99201.58587210975,31.56817742257259,99185.80178339846,6418220.094271978,64.69876502323582
15-16,0.00043043890903102775,99170.01769468718,42.686634225088866,99148.67437757463,6319034.29248858,63.71920101842544
16-17,0.0005322822789120663,99127.3310604621,52.76372167933362,99100.94919962242,6219885.618111005,62.746424740490845
17-18,0.0006111995077108232,99074.56733878276,60.55432678412683,99044.29017539069,6120784.668911383,61.7795750546306
18-19,0.0006565615631667442,99014.01301199863,65.00879515857017,98981.50861441935,6021740.378735992,60.817052006631336
19-20,0.0006767367054993056,98949.00421684005,66.96242312614123,98915.52300527698,5922758.870121573,59.856679882722695
20-21,0.0006929056610169986,98882.04179371391,68.51592653178382,98847.78383044802,5823843.347116296,58.89687592885574
21-22,0.0007201826292961056,98813.52586718214,71.16378486904597,98777.94397474761,5724995.563285848,57.93736751161947
22-23,0.0007404119123554637,98742.36208231309,73.11002113986106,98705.80707174315,5626217.619311101,56.978762718082464
23-24,0.0007561069974897494,98669.25206117323,74.60451192053296,98631.94980521296,5527511.812239357,56.02061125194702
24-25,0.0007702337976526333,98594.6475492527,75.9409298100838,98556.67708434766,5428879.862434144,55.062622539648125
25-26,0.0007827538131249278,98518.70661944262,77.11589327050477,98480.14867280737,5330323.185349797,54.10468091039535
26-27,0.0007888323541653687,98441.59072617211,77.65391176031008,98402.76377029196,5231843.03667699,53.146673048285365
27-28,0.0007960816364481765,98363.9368144118,78.30572378670199,98324.78395251845,5133440.272906698,52.188235232920974
28-29,0.0008060086449051374,98285.6310906251,79.21906832900098,98246.0215564606,5035115.48895418,51.229416071119374
29-30,0.0008215669666626999,98206.4120222961,80.68314403198511,98166.07045028011,4936869.46739772,50.27033740197012
30-31,0.0008456696067990372,98125.72887826413,82.98194655735055,98084.23790498545,4838703.39694744,49.311260688319464
31-32,0.0008830302314113507,98042.74693170677,86.57470951130954,97999.45957695112,4740619.159042454,48.352573825217355
32-33,0.0009299621972514708,97956.17222219547,91.09553715409639,97910.62445361842,4642619.699465503,47.39486644021347
33-34,0.0009850638979718622,97865.07668504138,96.40335391468207,97816.87500808404,4544709.075011885,46.43851748707147
34-35,0.0010468637522733184,97768.6733311267,102.35048021820761,97717.4980910176,4446892.200003801,45.483814482609326
35-36,0.0011152146556809405,97666.32285090849,108.91891460979949,97611.86339360359,4349174.701912783,44.53095575792252
36-37,0.0011961507805586106,97557.4039362987,116.69336486767536,97499.05725386486,4251562.838519179,43.580114547690194
37-38,0.0012878965404394301,97440.71057143102,125.49355404290581,97377.96379440956,4154063.781265314,42.63170657217332
38-39,0.0013909405117109412,97315.21701738812,135.35967775542713,97247.5371785104,4056685.8174709044,41.68603782434214
39-40,0.0015059339480851888,97179.85733963268,146.34644623782845,97106.68411651377,3959438.280292394,40.74340494712399
40-41,0.001633442533506036,97033.51089339485,158.49866386869243,96954.2615614605,3862331.59617588,39.804100259952484
41-42,0.0017746148736869998,96875.01222952615,171.91583759112712,96789.05431073059,3765377.33461442,38.86840628926171
42-43,0.0019311144704617265,96703.09639193503,186.7447487809209,96609.72401754458,3668588.280303689,37.93661648056232
43-44,0.0021045986090208095,96516.3516431541,203.12817941594545,96414.78755344613,3571978.5562861445,37.009050751241325
44-45,0.0022963417360199706,96313.22346373816,221.16807477039987,96202.63942635297,3475563.7687326986,36.086049700550674
45-46,0.0025074045106401044,96092.05538896777,240.94165311897655,95971.58456240829,3379361.1293063457,35.16795551543928
46-47,0.002739004193864017,95851.11373584879,262.53660250902675,95719.84543459427,3283389.5447439374,34.25510061148026
47-48,0.002993027155187845,95588.57713333976,286.0992070858538,95445.52752979683,3187669.699309343,33.347809904762514
48-49,0.003271271182811745,95302.47792625391,311.7602496907068,95146.59780140856,3092224.171779546,32.44641943279106
49-50,0.003576004782267174,94990.7176765632,339.687260682381,94820.87404622202,2997077.573978137,31.551267821588404
50-51,0.003910247726547403,94651.03041588083,370.1089764990671,94465.9759276313,2902256.6999319154,30.662705806581123
51-52,0.004276738501628584,94280.92143938177,403.2148466888238,94079.31401603736,2807790.724004284,29.78111245772627
52-53,0.0046776205315367655,93877.70659269295,439.1242878115649,93658.14444878716,2713711.409988247,28.906877985017488
53-54,0.005115596230372656,93438.58230488139,477.9940594102164,93199.58527517629,2620053.26553946,28.040379048030395
54-55,0.005594125441380392,92960.58824547117,520.0331917496773,92700.57164959633,2526853.6802642834,27.18198892623064
55-56,0.0061169772573756494,92440.55505372149,565.456772922796,92157.82666726009,2434153.108614687,26.332091009190584
56-57,0.0066890850636256,91875.09828079869,614.5603476292245,91567.81810698408,2341995.281947427,25.491077841240134
57-58,0.007316172538709595,91260.53793316946,667.6778414945197,90926.69901242219,2250427.4638404427,24.65937101410077
58-59,0.008004806090346334,90592.86009167494,725.1782782037329,90230.27095257308,2159500.7648280207,23.83742783529216
59-60,0.008760532800883382,89867.68181347121,787.2887742662655,89474.03742633808,2069270.4938754477,23.025746877174516
60-61,0.009588508090493317,89080.39303920494,854.148069360741,88653.31900452457,1979796.4564491096,22.22482848248982
61-62,0.010493016256292767,88226.24496984419,925.7594227002431,87763.36525849407,1891143.137444585,21.435153882962826
62-63,0.011479275616564704,87300.48554714395,1002.1463350555889,86799.41237961616,1803379.772186091,20.657156267615843
63-64,0.012552415874343177,86298.33921208837,1083.2526430552703,85756.71289056072,1716580.3598064748,19.89123284965862
64-65,0.01372080246497562,85215.0865690331,1169.2193698495,84630.47688410834,1630823.646915914,19.137733851796032
65-66,0.014994958074954993,84045.8671991836,1260.2642550249932,83415.73507167111,1546193.1700318058,18.39701607655998
66-67,0.016248119479710516,82785.60294415861,1345.110367836564,82113.04776024033,1462777.4349601346,17.669466464438532
67-68,0.01777312053180364,81440.49257632205,1447.4516907284312,80716.76673095784,1380664.3871998943,16.95304563520417
68-69,0.019444447176568964,79993.04088559363,1555.4204579930467,79215.3306565971,1299947.6204689364,16.250758891990703
69-70,0.021274680769562803,78437.62042760057,1668.7353349213404,77603.2527601399,1220732.2898123392,15.563096931772662
70-71,0.023278428526172037,76768.88509267924,1787.0590046638476,75875.35559034732,1143129.0370521992,14.890525447545015
71-72,0.025465787744357492,74981.82608801538,1909.471267841727,74027.09045409452,1067253.681461852,14.233498130721507
72-73,0.027845620704649326,73072.35482017366,2034.7450763181096,72054.98228201461,993226.5910077575,13.592371471427517
73-74,0.030428827749776777,71037.60974385554,2161.591190651645,69956.81414852972,921171.6087257429,12.967378998917125
74-75,0.03323566802933278,68876.0185532039,2289.1404878164503,67731.44830929568,851214.7945772132,12.358652727867605
75-76,0.036286318244630425,66586.87806538746,2416.19264839705,65378.781741188934,783483.3462679175,11.766332482182856
76-77,0.03961570605254131,64170.6854169904,2542.167010669591,62899.601911655605,718104.5645267286,11.190539104583053
77-78,0.043260156089000246,61628.518406320814,2666.0593257912633,60295.48874342518,655204.962615073,10.63152221663458
78-79,0.04725426774759632,58962.45908052955,2786.2278284480353,57569.34516630553,594909.4738716477,10.08963132048367
79-80,0.05161692501401261,56176.23125208152,2899.6443161085235,54726.40909402726,537340.1287053422,9.565257702926305
80-81,0.056535257346699175,53276.58693597299,3012.0055529790243,51770.58415948348,482613.71961131494,9.058645595884604
81-82,0.06175818210971458,50264.581382993965,3104.2491707195104,48712.45679763421,430843.13545183145,8.57150549348052
82-83,0.06743158601221122,47160.33221227446,3180.0959979364407,45570.28421330624,382130.67865419725,8.10279870239633
83-84,0.07358790003704135,43980.236214338016,3236.413226146172,42362.02960126493,336560.394440891,7.652537216959485
84-85,0.0802606589018909,40743.822988191845,3270.1260792142866,39108.7599485847,294198.36483962607,7.2206863093060525
85-86,0.08748428709629583,37473.69690897756,3278.3596589445665,35834.517079505276,255089.60489104135,6.807164115957015
86-87,0.0952938266215094,34195.33725003299,3258.604539168686,32566.03498044865,219255.08781153607,6.411841655731134
87-88,0.10372460006215413,30936.732710864308,3208.900227664162,29332.282597032226,186689.0528310874,6.034543291170702
88-89,0.11281180322804049,27727.832483200145,3128.026782034844,26163.819092182723,157356.77023405518,5.6750476377623515
89-90,0.12259002267005335,24599.8057011653,3015.6907385847617,23091.96033187292,131192.95114187244,5.3330889168631845
90-91,0.13309267498588628,21584.114962580537,2872.6875975727366,20147.77116379417,108100.99080999952,5.008358739629103
91-92,0.14435136707235646,18711.4273650078,2701.0201200139763,17360.91730500081,87953.21964620535,4.700508300648751
92-93,0.15639517941519868,16010.407244993823,2503.950513591206,14758.431988198221,70592.30234120454,4.409150951689723
93-94,0.1692498781664113,13506.456731402617,2285.9661562497986,12363.473653277717,55833.87035300632,4.1338651182431985
94-95,0.18293706612670832,11220.490575152819,2052.643626320839,10194.1687619924,43470.396699728604,3.8741975146783236
95-96,0.1974732877438805,9167.84694883198,1810.4048785185546,8262.644509572703,33276.22793773621,3.6296666080333866
96-97,0.21286910869190667,7357.442070313426,1566.1721357599554,6574.356002433447,25013.583428163503,3.3997662759848177
97-98,0.22912819624995287,5791.26993455347,1326.9432341008192,5127.79831750306,18439.227425730056,3.183969601505338
98-99,0.2462464321928857,4464.326700452651,1099.3245221299028,3914.664439387699,13311.429108226996,2.9817327452485305
99-100,0.26421109477696114,3365.002178322748,889.0709094615123,2920.466723591992,9396.764668839296,2.792498836812944
100-101,0.2830001501206765,2475.931268861236,700.6889207762067,2125.5868084731324,6476.297945247305,2.6157018277110624
101-102,0.3025816952668315,1775.242348085029,537.1558391930387,1506.6644284885099,4350.711136774173,2.4507702519981716
102-103,0.32291359490949495,1238.0865088919904,399.794965395259,1038.1890261943608,2844.046708285663,2.2971308449446766
103-104,0.34394335070800175,838.2915434967314,288.3248023404484,694.1291423265072,1805.8576820913022,2.1542119756553926
104-105,0.36560823598584163,549.966741156283,201.0723700850306,449.4305561137677,1111.728539764795,2.0214468559088323
105-106,0.387835719367114,348.8943710712524,135.31369938755597,281.2375213774744,662.2979836510273,1.8982764944515842
106-107,0.4105441887864248,213.58067168369644,87.68430359684288,169.738519885275,381.06046227355284,1.7841523732909998
107-108,0.43364397290820816,125.89636808685356,54.59420123189733,98.59926747090489,211.32194238827785,1.6785388299882549
108-109,0.457038641224435,71.30216685495623,32.587845455747136,55.008244127082655,112.72267491737296,1.5809151374975021
109-110,0.48062654814651334,38.71432139920909,18.60713065793656,29.41075607024081,57.7144307902903,1.4907772809746156
