x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0054737243310047186,100000.0,547.3724331004719,99726.31378344976,7795643.7857,77.956437857
1-2,0.00043795765918837575,99452.62756689952,43.556039969332645,99430.84954691486,7695917.47191655,77.38274654171083
2-3,0.00026658783813197126,99409.07152693019,26.501249469070817,99395.82090219566,7596486.622369635,76.4164326825216
3-4,0.00022088291989483805,99382.57027746111,21.951912309539555,99371.59432130634,7497090.801467439,75.43667647693852
4-5,0.00019853458985236231,99360.61836515157,19.726519614602466,99350.75510534427,7397719.207146132,74.453232365759
5-6,0.0001917565984620611,99340.89184553697,19.04927150848767,99331.36720978272,7298368.452040788,73.46791755593321
6-7,0.0001901226406155123,99321.84257402849,18.88333098097251,99312.400908538,7199037.084831005,72.4819123191888
7-8,0.00018512789884013223,99302.95924304752,18.383748193272673,99293.76736895088,7099724.683922467,71.49560031283296
8-9,0.0001709599108966151,99284.57549485425,16.973682180008538,99276.08865376424,7000430.916553516,70.50874601278159
9-10,0.0001489770189835398,99267.60181267424,14.78859139969724,99260.20751697439,6901154.827899751,69.52071674827778
10-11,0.00012786016244664642,99252.81322127454,12.690480821758818,99246.46798086366,6801894.6203827765,68.53100078099158
11-12,0.0001225171271263635,99240.12274045277,12.158614733827969,99234.04343308586,6702648.152401913,67.53970034813092
12-13,0.00015029658002108556,99227.96412571895,14.913623650550527,99220.50731389367,6603414.108968827,66.54791486604012
13-14,0.0002203951209415226,99213.0505020684,21.866072264380758,99202.11746593622,6504193.601654933,65.5578431339467
14-15,0.00031922737671880025,99191.18442980402,31.664541599157044,99175.35215900444,6404991.484188996,64.57218472596931
15-16,0.0004303784493669263,99159.51988820487,42.676120409454505,99138.18182800015,6305816.132029992,63.59264485285265
16-17,0.0005309430873079612,99116.84376779542,52.62540303429415,99090.53106627827,6206677.950201991,62.61981025891621
17-18,0.0006098814899900952,99064.21836476112,60.41743310100467,99034.00964821062,6107587.419135713,61.6528098636701
18-19,0.0006570610428570661,99003.80093166012,65.05154068696997,98971.27516131663,6008553.409487503,60.69012859046754
19-20,0.0006802626536589799,98938.74939097316,67.30433621040417,98905.09722286796,5909582.134326186,59.7297031820513
20-21,0.0007007873496132259,98871.44505476275,69.28785793235687,98836.80112579657,5810677.037103318,58.770022364747575
21-22,0.0007265993447091762,98802.15719683039,71.78958267506998,98766.26240549286,5711840.235977521,57.81088589592818
22-23,0.0007442847472247067,98730.36761415532,73.48350670310396,98693.62586080376,5613073.973572028,56.85255822715342
23-24,0.0007529003411205775,98656.8841074522,74.27880169839405,98619.74470660301,5514380.347711224,55.89453181701171
24-25,0.0007555807057878949,98582.60530575381,74.48711449533093,98545.36174850614,5415760.603004621,54.936269803457186
25-26,0.0007571441066911684,98508.11819125847,74.58484114974844,98470.8257706836,5317215.241256115,53.97743189990163
26-27,0.000763994269801346,98433.53335010873,75.20265543578276,98395.93202239084,5218744.415485431,53.01795270239242
27-28,0.0007757585040371217,98358.33069467294,76.302311479288,98320.1795389333,5120348.483463041,52.05810679481527
28-29,0.0007947448992773952,98282.02838319365,78.10914074817933,98242.97381281956,5022028.303924107,51.09813448643557
29-30,0.0008216113344331513,98203.91924244548,80.68545313535105,98163.57651587781,4923785.3301112875,50.138379079917
30-31,0.0008535271218660931,98123.23378931014,83.75084132438366,98081.35836864794,4825621.75359541,49.17919607049405
31-32,0.0008938444249451495,98039.48294798576,87.63204525756211,97995.66692535697,4727540.395226762,48.22078057811595
32-33,0.0009477372902790671,97951.8509027282,92.83262175237081,97905.43459185201,4629544.728301405,47.26347369279227
33-34,0.0010147155132379268,97859.01828097583,99.29906395994004,97809.36874899585,4531639.293709553,46.30783522371102
34-35,0.0010907660437833552,97759.71921701588,106.63298217171605,97706.40272593002,4433829.924960557,45.35436435857534
35-36,0.0011735479674551284,97653.08623484416,114.60058086662174,97595.78594441085,4336123.522234627,44.403343400809284
36-37,0.0012618865782191876,97538.48565397754,123.08250590657903,97476.94440102424,4238527.736290216,43.45492661559866
37-38,0.0013567295112931004,97415.40314807095,132.16635230550267,97349.3199719182,4141050.791889192,42.509199346994585
38-39,0.0014601349158421123,97283.23679576545,142.04665077163327,97212.21347037963,4043701.471917274,41.56627189951073
39-40,0.0015753797686209742,97141.19014499382,153.0342656541864,97064.67301216672,3946489.258446894,40.626321878045026
40-41,0.0017050336327812633,96988.15587933963,165.36806775570588,96905.47184546177,3849424.5854347274,39.68963581721972
41-42,0.0018526656573529343,96822.78781158391,179.38025382769177,96733.09768467007,3752519.1135892654,38.75656958867603
42-43,0.0020154993990923473,96643.40755775622,194.78472985889448,96546.01519282677,3655786.015904595,37.82757777575069
43-44,0.0021952492136869954,96448.62282789733,211.7287634241352,96342.75844618527,3559240.0007117684,36.90296342606018
44-45,0.002393157311649696,96236.89406447319,230.31002668085125,96121.73905113277,3462897.242265583,35.98305281907415
45-46,0.0026101868386233023,96006.58403779235,250.5951220766276,95881.28647675403,3366775.50321445,35.06817305247671
46-47,0.0028474582522360595,95755.98891571572,272.66118083907935,95619.65832529617,3270894.216737696,34.15863857472907
47-48,0.0031068215008567724,95483.32773487664,296.64965558006855,95335.00290708661,3175274.5584123996,33.25475382706614
48-49,0.00338998493007475,95186.67807929657,322.68140423269193,95025.33737718023,3079939.555505313,32.35683414584052
49-50,0.0036991334452294478,94863.99667506389,350.914582848864,94688.53938363945,2984914.2181281326,31.46519567747405
50-51,0.004037220234046026,94513.08209221502,381.5701274047436,94322.29702851265,2890225.678744493,30.58016535662801
51-52,0.0044068605570220295,94131.51196481027,414.8244472505696,93924.09974118498,2795903.3817159804,29.702097877288843
52-53,0.004809995028740313,93716.6875175597,450.7768010694715,93491.29911702496,2701979.2819747953,28.83135707787928
53-54,0.0052491215200793145,93265.91071649022,489.56409903172477,93021.12866697436,2608487.9828577703,27.968289408410474
54-55,0.005727495252847232,92776.3466174585,531.376084828003,92510.65857504451,2515466.854190796,27.11323463255924
55-56,0.006248621360512449,92244.9705326305,576.4038932700364,91956.76858599548,2422956.1956157517,26.266539862557185
56-57,0.006817225708035143,91668.56663936046,624.9253091125809,91356.10398480417,2330999.4270297564,25.428557601432775
57-58,0.007438861110509982,91043.64133024788,677.2610028508002,90705.01082882247,2239643.323044952,24.599667701349553
58-59,0.008119893326065358,90366.38032739707,733.7653685211153,89999.4976431365,2148938.3122161296,23.780285371955078
59-60,0.008865482789756478,89632.61495887596,794.6364053187839,89235.29675621657,2058938.8145729932,22.970866302602552
60-61,0.009680210379067548,88837.97855355717,859.9703220495244,88407.99339253241,1969703.5178167766,22.171863316648007
61-62,0.010567680433222567,87978.00823150764,929.7234761419973,87513.14649343664,1881295.5244242442,21.38370215740454
62-63,0.011532468750182556,87048.28475536565,1003.8816236982468,86546.34394351652,1793782.3779308076,20.606751562904737
63-64,0.012578859276635799,86044.4031316674,1082.3404385353647,85503.2329123997,1707236.0339872912,19.841337400816577
64-65,0.013714401020090451,84962.06269313203,1165.2037992676787,84379.46079349819,1621732.8010748914,19.08772868347493
65-66,0.014948897932710896,83796.85889386435,1252.6706906861555,83170.52354852128,1537353.3402813931,18.34619293103311
66-67,0.016363338901078515,82544.1882031782,1350.698525883012,81868.83894023669,1454182.8167328718,17.61702245049012
67-68,0.017898362402736904,81193.48967729519,1453.2305029871072,80466.87442580164,1372313.977792635,16.901773568877488
68-69,0.019580092735120236,79740.25917430808,1561.3216693554746,78959.59833963035,1291847.1033668334,16.200688544828058
69-70,0.021421213850369436,78178.93750495261,1674.6877388882574,77341.59363550849,1212887.5050272031,15.51424902583726
70-71,0.023436681646680512,76504.24976606436,1793.0057463853823,75607.74689287167,1135545.9113916946,14.842912842933313
71-72,0.025636933981990018,74711.24401967897,1915.3672306448561,73753.56040435654,1059938.164498823,14.187130443439477
72-73,0.028030923948439937,72795.87678903411,2040.5356860334193,71775.6089460174,986184.6040944664,13.547259097551308
