x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006265530736088596,100000.0,626.5530736088597,99686.72346319557,7572304.704,75.72304704
1-2,0.0004753868115165536,99373.44692639115,47.240826083746555,99349.82651334927,7472617.980536805,75.19733099398267
2-3,0.0003027538069672124,99326.2061003074,30.071387028478025,99311.17040679317,7373268.154023455,74.23285800906712
3-4,0.00023454138085715514,99296.13471327892,23.289052549430536,99284.49018700421,7273956.983616662,73.25518767291868
4-5,0.00019768408453338227,99272.8456607295,19.62466161346506,99263.03332992276,7174672.493429658,72.272255778277
5-6,0.00018324983565577677,99253.22099911603,18.188136436394505,99244.12693089784,7075409.460099735,71.28644681629778
6-7,0.0001792825228890886,99235.03286267964,17.79110705060282,99226.13730915434,6976165.333168837,70.29942079852363
7-8,0.00017596338778997454,99217.24175562903,17.458601986497406,99208.51245463578,6876939.195859683,69.31193685869144
8-9,0.00016647749113558616,99199.78315364254,16.514531020612594,99191.52588813224,6777730.683405047,68.32404737122829
9-10,0.00015192967620320544,99183.26862262192,15.068881886610495,99175.73418167862,6678539.157516915,67.33534042851316
10-11,0.00014149021148529114,99168.19974073532,14.031329553932235,99161.18407595836,6579363.4233352365,66.34549624311302
11-12,0.00015116016759262615,99154.16841118138,14.988160714541655,99146.67433082411,6480202.239259278,65.35481405468094
12-13,0.0001995951937935769,99139.18025046684,19.78770389462828,99129.28639851953,6381055.564928454,64.36461900136003
13-14,0.0002965155480083117,99119.39254657221,29.390440999197825,99104.69732607261,6281926.278529935,63.37736861712818
14-15,0.0004267708930473343,99090.00210557302,42.288728690657635,99068.8577412277,6182821.581203862,62.396018264451406
15-16,0.0005694463358653704,99047.71337688236,56.40235745830909,99019.5121981532,6083752.723462635,61.42244496158734
16-17,0.0007014141341173933,98991.31101942404,69.4339047038349,98956.59406707213,5984733.211264482,60.457156791166845
17-18,0.0008157964322459427,98921.8771147202,80.70011442126031,98881.52705750958,5885776.617197409,59.499241106915555
18-19,0.0009039761121355572,98841.17700029895,89.35006290363269,98796.50196884714,5786895.090139899,58.547411774774766
19-20,0.0009716107461398104,98751.82693739532,95.9483362533121,98703.85276926866,5688098.588171052,57.599932726075814
20-21,0.0010421798641359243,98655.87860114202,102.81717015674843,98604.47001606364,5589394.735401783,56.655465590644305
21-22,0.0011137660279314087,98553.06143098527,109.76505177046857,98498.17890510004,5490790.26538572,55.71405074240956
22-23,0.0011573617931873198,98443.2963792148,113.93451002471882,98386.32912420243,5392292.08648062,54.77561484439628
23-24,0.0011629278818823276,98329.36186919008,114.34995652537812,98272.18689092739,5293905.757356418,53.838504153001914
24-25,0.0011414105506363803,98215.0119126647,112.10365082799326,98158.96008725071,5195633.570465491,52.90060520570502
25-26,0.0011118426427834448,98102.90826183671,109.07499678658236,98048.37076344342,5097474.61037824,51.960484155811955
26-27,0.001093049679616009,97993.83326505013,107.11212805470765,97940.27720102278,4999426.239614797,51.01776380246839
27-28,0.0010851471755695848,97886.72113699542,106.22149896757814,97833.61038751162,4901485.962413774,50.07304265053476
28-29,0.0010935408599854295,97780.49963802783,106.92697166397393,97727.03615219584,4803652.352026262,49.12689513562347
29-30,0.001116003525905855,97673.57266636386,109.00405148348382,97619.07064062211,4705925.315874066,48.18012884558547
30-31,0.0011436544664423416,97564.56861488038,111.58015466292825,97508.77853754892,4608306.2452334445,47.23339948771724
31-32,0.0011798784326584135,97452.98846021746,114.98267928231984,97395.4971205763,4510797.466695895,46.286907543500384
32-33,0.0012347789863150931,97338.00578093514,120.19092410811577,97277.91031888108,4413401.969575319,45.34099434405856
33-34,0.0013082852145624155,97217.81485682703,127.18862976925314,97154.2205419424,4316124.059256438,44.39643151425289
34-35,0.0013952895839282246,97090.62622705777,135.46953947168222,97022.89145732194,4218969.838714495,43.45393579857999
35-36,0.001493665030036206,96955.15668758609,144.81852702592835,96882.74742407312,4121946.9472571732,42.513952718772074
36-37,0.0016001688701945942,96810.33816056016,154.91288943754017,96732.88171584139,4025064.1998331,41.576801365547574
37-38,0.0017148744538453631,96655.42527112261,165.7519196230077,96572.54931131112,3928331.3181172586,40.642636531763436
38-39,0.0018414145241973628,96489.6733514996,177.6774859445106,96400.83460852735,3831758.7688059476,39.71159436769299
39-40,0.0019858074798246137,96311.99586555509,191.25708178665656,96216.36732466175,3735357.9341974203,38.78393237132914
40-41,0.002152244043911596,96120.73878376844,206.87528754374796,96017.30113999656,3639141.5668727583,37.86010816104221
41-42,0.0023409044836143716,95913.86349622469,224.5251930990892,95801.60089967515,3543124.265732762,36.940689662367994
42-43,0.002547881464816653,95689.3383031256,243.80509144310392,95567.43575740405,3447322.664833087,36.02619399365712
43-44,0.0027744739199082164,95445.53321168249,264.81114266754656,95313.12764034871,3351755.229075683,35.116941739348256
44-45,0.00302217461371252,95180.72206901494,287.65276195180394,95036.89568803903,3256442.101435334,34.21325275378882
45-46,0.003292670346575751,94893.06930706314,312.45159540292434,94736.84350936167,3161405.2057472947,33.31544894514212
46-47,0.003587844885987692,94580.61771166022,339.340585570337,94410.94741887505,3066668.362237933,32.4238563506428
47-48,0.003909784670692074,94241.27712608989,368.46310065402986,94057.04557576287,2972257.414819058,31.538806619124372
48-49,0.00426078720059448,93872.81402543586,399.97208448336306,93672.82798319418,2878200.369243295,30.660638003921086
49-50,0.004643371969401244,93472.8419409525,434.02917416889176,93255.82735386805,2784527.541260101,29.78969595274645
50-51,0.005060293785693486,93038.81276678361,470.8037260720549,92803.41090374759,2691271.7139062327,28.92633336425227
51-52,0.005514558341863125,92568.00904071155,510.47168644511703,92312.77319748899,2598468.303002485,28.07091056543816
52-53,0.006009439915683017,92057.53735426643,553.2142395162091,91780.93023450833,2506155.529804996,27.22379505070312
53-54,0.006548501117882545,91504.32311475022,599.2161622080274,91204.71503364621,2414374.599570488,26.385361012318096
54-55,0.007135614625982768,90905.10695254219,648.663810747088,90580.77504716864,2323169.884536842,25.555988683338473
55-56,0.007774986867052193,90256.4431417951,701.7426600942999,89905.57181174796,2232589.1094896733,24.7360635072027
56-57,0.00847118362856701,89554.7004817008,758.6343125818058,89175.3833254099,2142683.5376779255,23.925975143155682
57-58,0.009229157586550862,88796.06616911899,819.5128877405969,88386.30972524869,2053508.1543525157,23.126116312871904
58-59,0.010054277743349906,87976.5532813784,884.5407015935999,87534.2829305816,1965121.844627267,22.33688149093715
59-60,0.010952360763612135,87092.01257978479,953.8631414028494,86615.08100908337,1877587.5616966854,21.558665439917718
60-61,0.011929704186096221,86138.14943838194,1027.602641937647,85624.34811741312,1790972.480687602,20.79186158937343
61-62,0.012993121470533902,85110.5467964443,1105.8516729497608,84557.62095996941,1705348.132570189,20.036860257152455
62-63,0.014149978812445204,84004.69512349453,1188.6646561433665,83410.36279542284,1620790.5116102195,19.29404671045482
63-64,0.015408233623919645,82816.03046735116,1276.0487452465939,82178.00609472785,1537380.1488147967,18.563799063285014
64-65,0.016776474534105704,81539.98172210457,1367.9534268723319,80856.0050086684,1455202.1427200688,17.846486005840983
65-66,0.018263962708506293,80172.02829523223,1464.258935049433,79439.89882770751,1374346.1377114004,17.14246435989361
66-67,0.019605111727041328,78707.76936018279,1543.0746120925837,77936.2320541365,1294906.2388836928,16.452076452045514
67-68,0.021402983989908288,77164.6947480902,1651.5547262795346,76338.91738495043,1216970.0068295563,15.771072649252927
68-69,0.02336180005530666,75513.14002181067,1764.1228787379162,74631.07858244171,1140631.0894446059,15.105067662596923
69-70,0.025495217789271423,73749.01714307275,1880.2472538073514,72808.89351616908,1066000.0108621642,14.454430067781502
70-71,0.027817911612577753,71868.7698892654,1999.2390884842744,70869.15034502327,993191.1173459952,13.819509070160697
71-72,0.03034562081503022,69869.53080078113,2120.2342882045787,68809.41365667884,922321.9670009719,13.200632041322661
72-73,0.03309519453943757,67749.29651257655,2242.1761479937604,66628.20843857966,853512.553344293,12.598102080452634
73-74,0.03608463195781052,65507.120364582785,2363.800328971964,64325.2202000968,786884.3449057133,12.012195628906806
74-75,0.03933311589508161,63143.32003561082,2483.623524960909,61901.50827313037,722559.1247056165,11.443160167981604
