x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.015462201866989166,100000.0,1546.2201866989167,99226.88990665054,7132045.8289,71.320458289
1-2,0.0006590475213377288,98453.77981330108,64.8857195522866,98421.33695352494,7032818.93899335,71.43269615782916
2-3,0.0004945893579082573,98388.8940937488,48.66209995513075,98364.56304377122,6934397.602039825,70.47947500489698
3-4,0.0003662518481761382,98340.23199379366,36.01729171779712,98322.22334793476,6836033.038996054,69.51410323526065
4-5,0.0002777436111583211,98304.21470207586,27.30336758343747,98290.56301828414,6737710.815648119,68.53938903909317
5-6,0.00021862180766358538,98276.91133449243,21.485476007540637,98266.16859648866,6639420.252629835,67.55829179482552
6-7,0.0001816691040860875,98255.42585848489,17.849975187307944,98246.50087089124,6541154.084033347,66.57295540558164
7-8,0.0001600241449073908,98237.57588329758,15.720384078499613,98229.71569125833,6442907.583162456,65.58496100124029
8-9,0.000149769784869745,98221.85549921909,14.710666167625224,98214.50016613527,6344677.867471198,64.5953778334155
9-10,0.00015035096992866939,98207.14483305147,14.765539479574601,98199.76206331167,6246463.367305063,63.604978822302805
10-11,0.0001645528236425001,98192.3792935719,16.157833272932614,98184.30037693543,6148263.605241751,62.61446814380476
11-12,0.00019825979950057905,98176.22146029897,19.46439798244332,98166.48926130775,6050079.304864815,61.62469093711637
12-13,0.0002593732115884725,98156.75706231652,25.459233318362518,98144.02744565734,5951912.815603508,60.63681190918759
13-14,0.0003538555169395655,98131.29782899815,34.7243011212306,98113.93567843754,5853768.7881578505,59.65241383394851
14-15,0.00047875045540389955,98096.57352787693,46.9637792500332,98073.0916382519,5755654.852479413,58.67335265123996
15-16,0.0006173022837822634,98049.6097486269,60.52624802178707,98019.34662461601,5657581.760841161,57.701216510149244
16-17,0.0007684808358004988,97989.0835006051,75.30273278786987,97951.43213421117,5559562.414216545,56.736548762416106
17-18,0.0009478535062155496,97913.78076781724,92.80792040759623,97867.37680761344,5461610.982082334,55.77979870916681
18-19,0.001155929268256357,97820.97284740965,113.0741255636312,97764.43578462783,5363743.605274721,54.83224557213914
19-20,0.0013794218832417107,97707.89872184602,134.7804136624792,97640.50851501478,5265979.169490093,53.89512248627141
20-21,0.0016347519844412705,97573.11830818355,159.50784878242592,97493.36438379233,5168338.660975078,52.96887862752261
21-22,0.0018793812098321316,97413.61045940113,183.07730907930528,97322.07180486148,5070845.296591286,52.054792679146736
22-23,0.002035906323614059,97230.53315032182,197.95225728910657,97131.55702167726,4973523.224786424,51.15186622598461
23-24,0.0020623534048911465,97032.58089303272,200.11547359012164,96932.52315623766,4876391.667764747,50.255199056700434
24-25,0.0019917054486951777,96832.4654194426,192.8617489864912,96736.03454494935,4779459.144608509,49.35802392209732
25-26,0.00188147409649499,96639.60367045611,181.8249110015053,96548.69121495535,4682723.110063559,48.45552891578263
26-27,0.0018207594994662925,96457.77875945461,175.62641697369494,96369.96555096777,4586174.418848604,47.54592608114642
27-28,0.0018205004302376691,96282.15234248091,175.28169976369531,96194.51149259906,4489804.4532976365,46.631741647477455
28-29,0.0018988919389980573,96106.87064271721,182.49656194578475,96015.62236174432,4393609.941805038,45.71587767266436
29-30,0.0020218511321436683,95924.37408077143,193.94480433538047,95827.40167860374,4297594.319443293,44.80190108746062
30-31,0.0021426936600678565,95730.42927643606,205.12098388619387,95627.86878449297,4201766.917764689,43.891654404175426
31-32,0.002244232900206124,95525.30829254986,214.3810396724733,95418.11777271362,4106139.048980196,42.98482907173657
32-33,0.002342401700870407,95310.92725287739,223.25647810867562,95199.29901382305,4010720.9312074822,42.08038938249235
33-34,0.0024410632419977693,95087.67077476872,232.11501789547347,94971.61326582098,3915521.632193659,41.17801603814901
34-35,0.002549547000607499,94855.55575687325,241.83869767089357,94734.6364080378,3820550.018927838,40.27755663274368
35-36,0.0026764815249185644,94613.71705920235,253.2318657128275,94487.10112634594,3725815.3825198,39.379230605520526
36-37,0.00282669340782487,94360.48519348951,266.72816145559307,94227.12111276171,3631328.2813934544,38.48356940881861
37-38,0.0030010849346541746,94093.75703203391,282.3833566738473,93952.56535369699,3537101.160280693,37.591241670544605
38-39,0.003201000499394747,93811.37367536007,300.29025398373483,93661.2285483682,3443148.5949269957,36.702890705366066
39-40,0.003426150443066512,93511.08342137633,320.3830398957781,93350.89190142845,3349487.3663786277,35.819148317267235
40-41,0.003675591573894143,93190.70038148055,342.5309530874636,93019.43490493682,3256136.4744771994,34.940573052333015
41-42,0.003964816883137401,92848.16942839308,368.1259897180948,92664.10643353403,3163117.0395722627,34.06762954020047
42-43,0.00428127037275231,92480.04343867498,395.9320700448459,92282.07740365255,3070452.9331387286,33.201248820506834
43-44,0.004626469842067956,92084.11136863014,426.0243641805944,91871.09918653984,2978170.855735076,32.341853675634596
44-45,0.005001784309111568,91658.08700444954,458.45398138203865,91428.86001375852,2886299.7565485365,31.489853769350663
45-46,0.005408761616716589,91199.6330230675,493.2770745538062,90952.9944857906,2794870.896534778,30.64563753044774
46-47,0.005848727302951162,90706.3559485137,530.5167405872786,90441.09757822005,2703917.902048988,29.80957479521912
47-48,0.006323187687877877,90175.83920792642,570.1987562236154,89890.73982981461,2613476.8044707677,28.982007014591158
48-49,0.0068336856261219155,89605.6404517028,612.3367771742498,89299.47206311567,2523586.064640953,28.163250124875336
49-50,0.007382793743722233,88993.30367452855,657.0192056014821,88664.79407172781,2434286.5925778374,27.353592821777365
50-51,0.00797429713473891,88336.28446892707,704.4197801340464,87984.07457886005,2345621.7985061095,26.553321917577357
51-52,0.008611704349270582,87631.86468879302,754.65971027517,87254.53483365543,2257637.7239272497,25.76274888072731
52-53,0.009297252755593306,86877.20497851785,807.7193333847696,86473.34531182547,2170383.1890935944,24.982194001640195
53-54,0.01003385250166308,86069.48564513309,863.6085238572732,85637.68138320444,2083909.843781769,24.211947221037057
54-55,0.010824846918717759,85205.87712127581,922.3405764128865,84744.70683306937,1998272.1623985646,23.452280874409286
55-56,0.011672515749036366,84283.53654486293,983.8009077043946,83791.63609101073,1913527.4555654952,22.703454719735824
