x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.016493663733890638,100000.0,1649.3663733890637,99175.31681330547,6725701.5268,67.257015268
1-2,0.0008045360277679198,98350.63362661094,79.12662810641157,98311.07031255774,6626526.209986695,67.37654822992154
2-3,0.000562997925027009,98271.50699850453,55.32665452943524,98243.84367123981,6528215.139674137,66.43039614497295
3-4,0.00041773198304724014,98216.1803439751,41.02803978241408,98195.66632408388,6429971.296002897,65.46753573070848
4-5,0.0003272067611012118,98175.15230419268,32.12357360607306,98159.09051738965,6331775.629678814,64.49468608981631
5-6,0.0002723541446401548,98143.02873058661,26.729660642313057,98129.66390026546,6233616.539161424,63.515632437566055
6-7,0.00023874580538132457,98116.29906994429,23.424854842488756,98104.58664252305,6135486.875261159,62.532799681807674
7-8,0.00021366296646679834,98092.8742151018,20.95881449405316,98082.39480785477,6037382.288618635,61.5476132892144
8-9,0.00018947629182914885,98071.91540060774,18.58230286268915,98062.6242491764,5939299.893810781,60.56065969089837
9-10,0.00016771975438130066,98053.33309774505,16.445480943421657,98045.11035727334,5841237.269561605,59.57204191864373
10-11,0.00015954491176970568,98036.88761680163,15.641286584999166,98029.06697350914,5743192.159204331,58.58195112897545
11-12,0.00018518517039072874,98021.24633021663,18.15208120357276,98012.17028961485,5645163.092230822,57.59121928743125
12-13,0.0002703679650023178,98003.09424901305,26.496897156036013,97989.84580043504,5547150.921941207,56.60179369282587
13-14,0.0004333579272033445,97976.59735185702,42.45893514283745,97955.3678842856,5449161.076140772,55.616965922704495
14-15,0.0006634752030678324,97934.13841671418,64.97687237330264,97901.64998052752,5351205.708256486,54.640861652214305
15-16,0.0009166549368488687,97869.16154434088,89.71225009487952,97824.30541929344,5253304.0582759585,53.67680661998807
16-17,0.001184003977702918,97779.449294246,115.77125690198805,97721.56366579501,5155479.752856665,52.72559612544318
17-18,0.001502036403636041,97663.67803734401,146.69439972508042,97590.33083748147,5057758.18919087,51.78750473903837
18-19,0.0018764868681966963,97516.98363761893,182.98933922214403,97425.48896800786,4960167.8583533885,50.8646563226953
19-20,0.0022875304371055556,97333.99429839679,222.65447452264127,97222.66706113548,4862742.36938538,49.95934261649299
20-21,0.002769786946657058,97111.33982387415,268.97772141654434,96976.85096316588,4765519.702324245,49.07274177214755
21-22,0.0032376495171302076,96842.3621024576,313.5416268987706,96685.59128900821,4668542.851361079,48.20765158972309
22-23,0.0035281769293806905,96528.82047555882,340.57075742219706,96358.53509684773,4571857.260072071,47.36261395869505
23-24,0.003542341361005201,96188.24971813662,340.7316154192522,96017.88391042699,4475498.724975224,46.52853896489348
24-25,0.0033442668377882626,95847.51810271737,320.53967627522786,95687.24826457976,4379480.841064797,45.69216738999353
25-26,0.003052480807347559,95526.97842644215,291.594268230619,95381.18129232684,4283793.592800217,44.8438091873578
26-27,0.002856265833753207,95235.38415821153,272.017573935461,95099.37537124379,4188412.41150789,43.97958225852077
27-28,0.002779666276512548,94963.36658427607,263.9664675984108,94831.38335047686,4093313.0361366463,43.10412723735947
28-29,0.0028624988674608564,94699.40011667766,271.0769255832123,94563.86165388605,3998481.652786169,42.22288259333958
29-30,0.0030311717952966246,94428.32319109445,286.22846993399963,94285.20895612745,3903917.791132283,41.34265715204887
30-31,0.003189028307216595,94142.09472116045,300.22180496644665,93991.98381867722,3809632.5821761554,40.46683466583051
31-32,0.0032898330128288806,93841.872916194,308.72409150538743,93687.5108704413,3715640.598357478,39.59469779205868
32-33,0.003359385196362356,93533.14882468861,314.21387553081604,93376.04188692321,3621953.087487037,38.723737338039896
33-34,0.003406795151554203,93218.9349491578,317.5778156178375,93060.14604134888,3528577.0456001135,37.85257842223387
34-35,0.0034617566271658937,92901.35713353996,321.6018887297374,92740.5561891751,3435516.8995587644,36.980266010758285
35-36,0.0035525040082355925,92579.75524481022,328.88995158865845,92415.3102690159,3342776.343369589,36.10699050273171
36-37,0.003689585581615656,92250.86529322156,340.3674624774384,92080.68156198284,3250361.0331005733,35.23393545165374
37-38,0.0038694347910002524,91910.49783074412,355.6416779644345,91732.67699176191,3158280.3515385906,34.36256386462683
38-39,0.004093183518095229,91554.85615277968,374.7508282061374,91367.48073867662,3066547.6745468285,33.49410182491697
39-40,0.004358824418015034,91180.10532457355,397.4380695259338,90981.38628981059,2975180.193808152,32.62970779883848
40-41,0.004663136580168771,90782.66725504762,423.3319765223022,90571.00126678646,2884198.807518341,31.77036866977464
41-42,0.005016235318255319,90359.33527852532,453.2636889582125,90132.70343404621,2793627.8062515547,30.916869824688547
42-43,0.005406062804423081,89906.07158956712,486.0378695121575,89663.05265481104,2703495.1028175084,30.070217228034547
43-44,0.005833664955650045,89420.03372005495,521.6465170457299,89159.21046153209,2613832.050162697,29.23094458167792
44-45,0.006300589607248715,88898.38720300923,560.1122545124522,88618.33107575301,2524672.839701165,28.399534784987686
45-46,0.006808851434662996,88338.27494849678,601.4821901187265,88037.53385343742,2436054.508625412,27.576432866112533
46-47,0.007360899528060266,87736.79275837805,645.8217164086664,87413.88190017373,2348016.9747719746,26.76205615628411
47-48,0.007959590922497322,87090.97104196939,693.2085025371367,86744.36679070082,2260603.092871801,25.956802017770706
48-49,0.008608171474811596,86397.76253943225,743.7267549794866,86025.8991619425,2173858.7260811003,25.161053506321338
49-50,0.009310264295520999,85654.03578445276,797.4617111312685,85255.30492888713,2087832.8269191578,24.375183350066088
