x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0065309870287834325,100000.0,653.0987028783433,99673.45064856083,7990252.2798,79.90252279799999
1-2,0.00034986416856482727,99346.90129712166,34.75792102180943,99329.52233661075,7890578.829151439,79.42450872778304
2-3,0.00025601819316858215,99312.14337609985,25.425715506848256,99299.43051834642,7791249.306814828,78.45213124953908
3-4,0.00021672906245822807,99286.717660593,21.518317233135118,99275.95850197643,7691949.876296481,77.47209352404067
4-5,0.00019379998878522748,99265.19934335987,19.237594519506512,99255.58054610011,7592673.917794505,76.48877922998298
5-6,0.0001813483322497327,99245.96174884036,17.998089645672966,99236.96270401753,7493418.337248405,75.50350870911846
6-7,0.00017264524385281936,99227.96365919469,17.131235982960366,99219.39804120321,7394181.374544388,74.51711293743985
7-8,0.00016200678835998986,99210.83242321173,16.07282833140568,99202.79600904603,7294961.976503184,73.52989384651538
8-9,0.00014576489734513277,99194.75959488032,14.459113949522854,99187.53003790556,7195759.180494138,72.54172710213946
9-10,0.00012473901602803904,99180.3004809308,12.371653091356556,99174.11465438512,7096571.650456233,71.552229788018
10-11,0.00010431986532080554,99167.92882783945,10.345184979463442,99162.75623534972,6997397.535801847,70.56109387894632
11-12,9.392559833372169e-05,99157.58364285999,9.31343537298168,99152.9269251735,6898234.779566498,69.56840340535281
12-13,0.00010472778563683483,99148.270207487,10.383578788552676,99143.07841809273,6799081.852641324,68.57489130584855
13-14,0.0001428231234303017,99137.88662869846,14.159182618589854,99130.80703738917,6699938.774223231,67.5820213851899
14-15,0.00019973019462871396,99123.72744607987,19.798001375129125,99113.8284453923,6600807.967185842,66.5916036175745
15-16,0.0002654921083500825,99103.92944470474,26.311311174052484,99090.77378911772,6501694.138740449,65.60480674349128
16-17,0.00032550112460387595,99077.61813353069,32.24987612553761,99061.49319546792,6402603.364951331,64.62209614609728
17-18,0.0003722721492557951,99045.36825740515,36.87183211501592,99026.93234134764,6303541.871755864,63.64297475651596
18-19,0.00039910350894495214,99008.49642529013,39.51463833869704,98988.73910612077,6204514.939414516,62.66648988146509
19-20,0.000411127039245111,98968.98178695142,40.68882445917266,98948.63737472183,6105526.200308396,61.691310651772106
20-21,0.00042211299467363007,98928.29296249225,41.758918000347805,98907.41350349208,6006577.562933674,60.71647840129024
21-22,0.00043836915803246865,98886.53404449191,43.34880666983297,98864.859641157,5907670.149430182,59.74190729318261
22-23,0.0004524164241661982,98843.18523782208,44.71828041849261,98820.82609761284,5808805.289789025,58.767888507566035
23-24,0.0004643700831332434,98798.46695740358,45.879052314446504,98775.52743124636,5709984.463691412,57.79426178903404
24-25,0.0004755141335294957,98752.58790508914,46.95825127148382,98729.1087794534,5611208.936260166,56.820879890794195
25-26,0.0004901929361020358,98705.62965381765,48.38480240980505,98681.43725261276,5512479.827480712,55.847674006175644
26-27,0.0005085288870503113,98657.24485140784,50.170058923736484,98632.15982194597,5413798.390228099,54.87481835096923
27-28,0.0005268861046384274,98607.07479248411,51.95469752720202,98581.09744372052,5315166.230406153,53.90248358539968
28-29,0.0005445905620146643,98555.12009495692,53.67218824193532,98528.28400083595,5216585.132962433,52.93063544477753
29-30,0.0005649316309123178,98501.44790671498,55.646583613165205,98473.6246149084,5118056.848961596,51.95920423229323
30-31,0.0005856052353043656,98445.80132310181,57.650376648541865,98416.97613477753,5019583.224346688,50.988291596837925
31-32,0.0006164089612626339,98388.15094645327,60.64733792545449,98357.82727749055,4921166.248211911,50.01787512898992
32-33,0.0006700198178246255,98327.50360852781,65.88137605493601,98294.56292050035,4822808.42093442,49.04841721737909
33-34,0.0007507084817101304,98261.62223247287,73.76583323651411,98224.73931585462,4724513.85801392,48.08096742832516
34-35,0.000849302267717367,98187.85639923636,83.39116910217862,98146.16081468527,4626289.118698065,47.11671369917029
35-36,0.0009539593527574358,98104.46523013418,93.58767215355317,98057.67139405741,4528142.95788338,46.15633903371502
36-37,0.0010550334603638561,98010.87755798064,103.40475530329452,97959.175180329,4430085.286489323,45.19993491404667
37-38,0.0011523278569407164,97907.47280267734,112.82150831319065,97851.06204852075,4332126.111308994,44.24714464890702
38-39,0.0012398358374428255,97794.65129436414,121.24931338497706,97734.02663767166,4234275.049260473,43.297613859424764
39-40,0.0013303940359919637,97673.40198097916,129.94411147054032,97608.4299252439,4136541.0226228014,42.350741744700855
40-41,0.0014329042343582145,97543.45786950862,139.770433815161,97473.57265260104,4038932.5926975575,41.40649389424709
41-42,0.0015518604118637683,97403.68743569346,151.156926501005,97328.10897244295,3941459.0200449564,40.4651930928912
42-43,0.001680885854298203,97252.53050919245,163.470402827606,97170.79530777865,3844130.9110725136,39.52730989050368
43-44,0.00182202252118809,97089.06010636485,176.8984540747809,97000.61087932746,3746960.115764735,38.59302079616173
44-45,0.0019764828754952495,96912.16165229007,191.54522793297875,96816.38903832358,3649959.504885407,37.66255382870368
45-46,0.0021456015509775123,96720.6164243571,207.52390461160164,96616.8544720513,3553143.1158470837,36.736150442402455
46-47,0.0023308474994604284,96513.09251974549,224.95730036484176,96400.61386956307,3456526.2613750324,35.81406595864562
47-48,0.0025338373109219476,96288.13521938065,243.97846961796435,96166.14598457167,3360125.647505469,34.89656996523857
48-49,0.0027563498119454097,96044.15674976268,264.73129339566384,95911.79110306485,3263959.5015208973,33.983946675953945
49-50,0.0030003420559232097,95779.42545636701,287.3710382889,95635.73993722256,3168047.7104178322,33.07649524230085
50-51,0.003267966826408732,95492.05441807811,312.0648660238967,95336.02198506617,3072411.9704806097,32.17453000884391
51-52,0.0035615917831137243,95179.98955205422,338.9922687054464,95010.4934177015,2977075.9484955436,31.27838070277757
52-53,0.003883820388093531,94840.99728334877,368.34539887619314,94656.82458391067,2882065.455077842,30.388392547869653
53-54,0.0042375147574724705,94472.65188447258,400.329256538012,94272.48725620357,2787408.630493931,29.50492629234711
54-55,0.004625820591403151,94072.32262793457,435.16168709342037,93854.74178438786,2693136.143237727,28.628358139825565
55-56,0.0050521943415301794,93637.16094084115,473.0731346622684,93400.62437351001,2599281.4014533395,27.75907957200384
56-57,0.00552043278066926,93164.08780617888,514.3060843063791,92906.93476402569,2505880.7770798295,26.897497051579922
57-58,0.006034705143252808,92649.78172187251,559.114114278234,92370.2246647334,2412973.8423158037,26.04403159372102
58-59,0.006599588006761755,92090.66760759428,607.7604654777625,91786.7873748554,2320603.6176510705,25.199118194466227
59-60,0.0072201030831587605,91482.90714211651,660.516019913122,91152.64913215995,2228816.830276215,24.36320510468476
60-61,0.00790175808440788,90822.3911222034,717.6565632951251,90463.56284055582,2137664.181144055,23.536752938686494
61-62,0.008650590816479516,90104.73455890827,779.4591892966163,89715.00496425996,2047200.6183034992,22.720233607314935
62-63,0.009473216640561919,89325.27536961166,846.1976850541809,88902.17652708456,1957485.6133392393,21.914129066375914
63-64,0.010376879417057974,88479.07768455747,918.1367200651579,88020.0093245249,1868583.4368121547,21.118929872596134
64-65,0.011369506015598196,87560.94096449231,995.5246450272339,87063.1786419787,1780563.42748763,20.33513354098928
65-66,0.012459764430705095,86565.41631946508,1078.5846951864494,86026.12397187186,1693500.2488456513,19.56324269955427
66-67,0.013657125485522002,85486.83162427862,1167.5043868524638,84903.07943085239,1607474.1248737795,18.80376303965452
67-68,0.014971928032433872,84319.32723742616,1262.4228991419857,83688.11578785516,1522571.0454429272,18.057201063235187
68-69,0.016415447466335994,83056.90433828418,1363.416249881598,82375.19621334338,1438882.929655072,17.32406163122353
69-70,0.017999967250231293,81693.48808840258,1470.4801101484065,80958.24803332837,1356507.7334417286,16.60484532101038
70-71,0.0197388530098624,80223.00797825417,1583.5101624917777,79431.25289700828,1275549.4854084002,15.90004560479906
71-72,0.021646628579959706,78639.4978157624,1702.2800009323612,77788.35781529621,1196118.2325113919,15.210145864787599
72-73,0.02373905317489097,76937.21781483004,1826.4167048344193,76024.00946241284,1118329.8746960957,14.535616265558954
73-74,0.026033198606362096,75110.80110999562,1955.3744027794785,74133.11390860588,1042305.8652336829,13.876910508613582
74-75,0.028547525175717365,73155.42670721615,2088.4063856645994,72111.22351438385,968172.751325077,13.234462498591034
75-76,0.0313019545240231,71067.02032155155,2224.5366382630323,69954.75200242003,896061.5278106931,12.608682955277308
76-77,0.03431793732592853,68842.48368328852,2362.5320404043528,67661.21766308634,826106.7758082731,11.99995600984992
77-78,0.03761851326095752,66479.95164288416,2500.8769424656525,65229.513171651335,758445.5581451867,11.408635827826581
78-79,0.041228360188048076,63979.07470041851,2637.7523362468883,62660.198532295064,693216.0449735355,10.835043304697885
79-80,0.04517382888829566,61341.322364171625,2771.0224002608725,59955.81116404119,630555.8464412404,10.279462883074997
80-81,0.049482959133389806,58570.29996391075,2898.231759544578,57121.18408413846,570600.0352771992,9.742139542204594
81-82,0.054185472194817105,55672.06820436617,3016.6173037156445,54163.75955250835,513478.85119306075,9.223276011735996
82-83,0.05931273424993667,52655.450900650525,3123.1387660808728,51093.88151761009,459315.0916405524,8.723030261523748
83-84,0.06489768449234558,49532.31213456965,3214.5323650856812,47925.045952026805,408221.2101229423,8.241513317890043
84-85,0.07097472115251584,46317.77976948397,3287.391503542764,44674.08401771259,360296.1641709155,7.778787454063012
85-86,0.0775795381292997,43030.388265941205,3338.277647196156,41361.24944234313,315622.0801532029,7.334864798396895
86-87,0.0847489045855326,39692.11061874505,3363.8628956264292,38010.179170931835,274260.8307108598,6.909706398463402
87-88,0.0925203797475063,36328.24772311862,3361.103274904416,34647.696085666415,236250.65153992796,6.503221772229395
88-89,0.10093195535803799,32967.1444482142,3327.438351729146,31303.425272349632,201602.95545426154,6.115268969411216
89-90,0.11002161886752396,29639.706096485057,3261.0084474929054,28009.201872738606,170299.5301819119,5.745655156887927
90-91,0.11982683161583713,26378.69764899215,3160.875761430861,24798.25976827672,142290.3283091733,5.394137731989576
91-92,0.1303839180704341,23217.82188756129,3027.230586761723,21704.20659418043,117492.06854089657,5.060425956831107
92-93,0.1417273647439134,20190.59130079957,2861.5592976837056,18759.811651957716,95787.86194671613,4.744183095961278
93-94,0.1538890307964515,17329.032003115863,2666.7479396001904,15995.658033315767,77028.05029475842,4.445029028794472
94-95,0.16689727657443204,14662.284063515672,2447.0952785614622,13438.736424234941,61032.39226144265,4.162543297964759
95-96,0.18077602142612897,12215.188784954209,2208.2132295130923,11111.082170197662,47593.655837207705,3.896268545258191
96-97,0.1955437479677469,10006.975555441117,1956.8015059325817,9028.574802474826,36482.573667010045,3.645714278493794
97-98,0.21121247634696397,8050.174049508535,1700.2971960207647,7200.0254514981525,27453.99886453522,3.4103609059497657
98-99,0.22778673864868426,6349.876853487771,1446.4177392767485,5626.6679838493965,20253.973413037067,3.1896639699260074
99-100,0.24526258996930436,4903.459114211022,1202.6350821599863,4302.141573131029,14627.30542918767,2.9830585079817142
100-101,0.2636266982974145,3700.824032051036,975.6360205493394,3213.006021776366,10325.163856056643,2.789963469388283
101-102,0.28285555953913133,2725.1880115016966,770.8345798426451,2339.770721580374,7112.157834280277,2.6097861154031605
102-103,0.3029148861343591,1954.3534316590515,592.0027472172955,1658.3520580504037,4772.387112699903,2.4419263350174187
103-104,0.3237592170757221,1362.350684441756,441.073590977437,1141.8138889530373,3114.035054649499,2.2857808126881243
104-105,0.34533179323189617,921.2770934643189,318.14627074950243,762.2039580895677,1972.2211656964619,2.140746990984256
105-106,0.367564734371979,603.1308227148164,221.68962064272466,492.2860123934541,1210.0172076068943,2.006226778728298
106-107,0.39037954317162055,381.44120207209176,148.90684221173697,306.9877809662233,717.7311952134403,1.8816299637127043
107-108,0.41368794711114876,232.53435986035478,96.19666196343528,184.43602887863713,410.743414247217,1.766377297935166
108-109,0.43739307230770513,136.3376978969195,59.63316455449337,106.52111561967283,226.30738536857987,1.6599032318976334
109-110,0.4613909250893815,76.70453334242613,35.3907755974113,59.00914554372048,119.78626974890705,1.5616582818404545
