x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00784742428451721,100000.0,784.742428451721,99607.62878577414,7409191.6557,74.091916557
1-2,0.0004913218474958789,99215.25757154828,48.746623649832586,99190.88425972336,7309584.026914226,73.67399133790464
2-3,0.0003497954183386114,99166.51094789845,34.687991182200626,99149.16695230735,7210393.142654503,72.70996099119394
3-4,0.00026882544957838514,99131.82295671625,26.649156873864126,99118.49837827931,7111243.975702195,71.73522854318098
4-5,0.00022557225014043403,99105.17379984238,22.355377054589233,99093.99611131508,7012125.477323916,70.75438353486918
5-6,0.00020606842990295807,99082.8184227878,20.41784082274377,99072.60950237642,6913031.481212601,69.77023454979447
6-7,0.00019576072024913343,99062.40058196505,19.392526887533652,99052.70431852128,6813958.871710225,68.78451190037838
7-8,0.00018299506158132707,99043.00805507752,18.124381358238782,99033.9458643984,6714906.167391703,67.79788194293901
8-9,0.0001603331302730713,99024.88367371928,15.876969574334163,99016.9451889321,6615872.221527305,66.81019937701907
9-10,0.00013002077606510704,99009.00670414494,12.87322788910831,99002.57009020039,6516855.276338373,65.82083280374482
10-11,0.00010403337320564142,98996.13347625583,10.298901699850814,98990.9840254059,6417852.706248173,64.82932697353772
11-12,0.00010276034034019893,98985.83457455598,10.171818049740002,98980.74866553111,6318861.722222767,63.83602006672389
12-13,0.00015018481557446483,98975.66275650624,14.864641657446317,98968.23043567751,6219880.973557236,62.842529166579055
13-14,0.0002597284775231343,98960.79811484879,25.702937428843935,98947.94664613437,6120912.743121558,61.8518934742012
14-15,0.0004143615093267968,98935.09517741995,40.994895363106025,98914.5977297384,6021964.7964754235,60.86783244789178
15-16,0.0005818108483343804,98894.10028205684,57.53766038036878,98865.33145186666,5923050.198745685,59.89285692323905
16-17,0.0007409943092870329,98836.56262167646,73.23733045215373,98799.94395645038,5824184.867293818,58.92743244812603
17-18,0.0008999998810051147,98763.3252912243,88.88698100977132,98718.88180071942,5725384.923337367,57.97075894776602
18-19,0.0010565706342633068,98674.43831021454,104.2565138709989,98622.31005327904,5626666.041536648,57.02252921721662
19-20,0.0012113964741851094,98570.18179634353,119.4075706878758,98510.47801099959,5528043.731483369,56.082312426945656
20-21,0.001391569000854896,98450.77422565565,137.0010455225866,98382.27370289435,5429533.253472369,55.149726309185965
21-22,0.0015618255608763597,98313.77318013307,153.54896393893253,98236.9986981636,5331150.979769475,54.2258811489373
22-23,0.0016456605410263409,98160.22421619414,161.538407690889,98079.4550123487,5232913.981071311,53.30992286189178
23-24,0.0016452962516417357,97998.68580850324,161.23687042654655,97918.06737328997,5134834.526058963,52.396973323630206
24-25,0.0016119815363309213,97837.44893807669,157.7121612498989,97758.59285745175,5036916.458685673,51.48249993592576
25-26,0.0015852516572083747,97679.73677682679,154.8469646011425,97602.31329452622,4939157.865828221,50.56481547562861
26-27,0.0015382472341350438,97524.88981222565,150.01739201298102,97449.88111621916,4841555.552533695,49.64430682111635
27-28,0.0014876660767407896,97374.87242021268,144.8612944265127,97302.44177299942,4744105.671417476,48.72001937979139
28-29,0.001442064769739957,97230.01112578616,140.21197360592026,97159.9051389832,4646803.229644476,47.79186154399306
29-30,0.0014079584208631978,97089.79915218023,136.69840029622873,97021.44995203211,4549643.324505493,46.86015795927545
30-31,0.0013898571538686257,96953.100751884,134.7509606697516,96885.72527154913,4452621.874553461,45.92552316555937
31-32,0.0013905435544974015,96818.34979121425,134.6301322592478,96751.03472508462,4355736.149281912,44.98874602464224
32-33,0.0014114602242443692,96683.719658955,136.46522463060836,96615.4870466397,4258985.114556827,44.05069570740654
33-34,0.0014531134571829727,96547.2544343244,140.2941146725852,96477.1073769881,4162369.6275101868,43.11225266733618
34-35,0.0015154360978739516,96406.96031965181,146.09858775470204,96333.91102577446,4065892.5201331987,42.174263213487066
35-36,0.0015980826633644617,96260.86173189711,153.83281429426833,96183.94532474998,3969558.609107424,41.23751374845698
36-37,0.0017006506478878009,96107.02891760285,163.4444809952929,96025.3066771052,3873374.663782674,40.302719867695664
37-38,0.001822834298629357,95943.58443660755,174.88925644449003,95856.1398083853,3777349.3571055685,39.37052570306421
38-39,0.0019645230162753063,95768.69518016306,188.13980592008434,95674.62527720303,3681493.2172971833,38.4415096224444
39-40,0.002125858054713317,95580.55537424298,203.19069351630668,95478.96002748482,3585818.5920199803,37.51619330919148
40-41,0.0023072602066933905,95377.36468072666,220.0603981471243,95267.3344816531,3490339.6319924956,36.59505212454045
41-42,0.002509439005824021,95157.30428257954,238.79145105577027,95037.90855705166,3395072.2975108423,35.6785253965247
42-43,0.0027333915102989935,94918.51283152377,259.44945714389314,94788.78810295182,3300034.3889537905,34.76702584680407
43-44,0.0029803964412266396,94659.06337437987,282.1215356108487,94518.00260657445,3205245.6008508387,33.86094776972366
44-45,0.003252007545975766,94376.94183876902,306.91452702579284,94223.48457525612,3110727.5982442643,32.96067384296628
45-46,0.0035500485994026314,94070.02731174324,333.95316870382135,93903.05072739132,3016504.113669008,32.066580608852895
46-47,0.0038766114101156735,93736.07414303941,363.37833456235535,93554.38497575824,2922601.062941617,31.179042750198658
47-48,0.0042340574937665305,93372.69580847706,395.345362401065,93175.02312727652,2829046.6779658585,30.298436319849905
48-49,0.0046250236307337,92977.350446076,430.02244293611005,92762.33922460795,2735871.654838582,29.425141087724406
49-50,0.005052431268178515,92547.32800313989,467.58901378943705,92313.53349624517,2643109.315613974,28.55954215689836
