x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007058249524383747,100000.0,705.8249524383747,99647.0875237808,7701769.2543,77.017692543
1-2,0.00042232970766035733,99294.17504756163,41.93487992021305,99273.20760760152,7602122.166776219,76.5616126337202
2-3,0.0003040108047699899,99252.24016764142,30.173753408588986,99237.15329093712,7502848.959168618,75.59374928461035
3-4,0.00024339051042884062,99222.06641423283,24.149709390364453,99209.99155953765,7403611.805877681,74.6165855382314
4-5,0.0002100607520287492,99197.91670484247,20.837588982704432,99187.49791035111,7304401.814318143,73.63462920347368
5-6,0.00019400174032689388,99177.07911585977,19.240525949014838,99167.45885288526,7205214.316407791,72.64999514646503
6-7,0.00018448104344218495,99157.83858991075,18.29274152853849,99148.69221914648,7106046.857554906,71.66399508710087
7-8,0.0001727590062739985,99139.54584838221,17.127249423222025,99130.98222367061,7006898.1653357595,70.67712591755937
8-9,0.00015323365125518497,99122.41859895899,15.188890123163342,99114.82415389741,6907767.183112089,69.6892517429416
9-10,0.0001274492108373618,99107.22970883583,12.631138214668265,99100.9141397285,6808652.358958191,68.69985548946457
10-11,0.00010417273430117682,99094.59857062116,10.322955287579095,99089.43709297737,6709551.444818463,67.70854861515794
11-12,9.846541042587567e-05,99084.27561533358,9.756373865214405,99079.39742840097,6610462.007725486,66.71555064285596
12-13,0.00012808698626906543,99074.51924146837,12.690156585696219,99068.17416317553,6511382.610297085,65.72207122627852
13-14,0.00020285560060369893,99061.82908488267,20.095246835914846,99051.78146146472,6412314.436133909,64.7304263950085
14-15,0.00030980086517193984,99041.73383804676,30.683214831155873,99026.39223063117,6313262.654672444,63.743458540375556
15-16,0.0004274968960398156,99011.0506232156,42.32691681506572,98989.88716480807,6214236.262441813,62.763057490319476
16-17,0.0005379899624624586,98968.72370640053,53.244179951763854,98942.10161642465,6115246.375277005,61.78968613779869
17-18,0.0006415244779590278,98915.47952644876,63.45670136527195,98883.75117576613,6016304.273660581,60.822677122561956
18-19,0.000733350410947493,98852.02282508349,72.49317156176593,98815.7762393026,5917420.522484815,59.86140043846712
19-20,0.0008161174834221878,98779.52965352172,80.61570115445952,98739.22180294449,5818604.746245512,58.90496509403115
20-21,0.0009099846772877795,98698.91395236726,89.81449936159925,98654.00670268647,5719865.5244425675,57.95266933943176
21-22,0.0010006569200564084,98609.09945300566,98.67387774818071,98559.76251413157,5621211.517739881,57.004998006485124
22-23,0.0010473891014871008,98510.42557525748,103.17874613038084,98458.8362021923,5522651.75522575,56.06159675969215
23-24,0.0010526750290727378,98407.2468291271,103.59085141681946,98355.4514034187,5424192.919023558,55.11985238690852
24-25,0.001042409818440349,98303.65597771028,102.4726961797475,98252.4196296204,5325837.467620139,54.17740993099726
25-26,0.0010375775387347983,98201.18328153054,101.89134205009529,98150.23761050549,5227585.047990519,53.23342217785385
26-27,0.0010239821113229375,98099.29193948045,100.45192007947442,98049.06597944071,5129434.810380013,52.288194022281736
27-28,0.0010080132291493953,97998.84001940097,98.78412718085137,97949.44795581055,5031385.744400572,51.341278564159545
28-29,0.0009934557115336337,97900.05589222012,97.25936968558804,97851.42620737733,4933436.296444762,50.392578957013754
29-30,0.0009855733420476211,97802.79652253453,96.39182903031781,97754.60060801936,4835584.870237384,49.44219431520271
30-31,0.0009859823785605595,97706.40469350421,96.33679330030189,97658.23629685407,4737830.269629365,48.490478024357685
31-32,0.0010011056442309654,97610.06790020391,97.71798990866192,97561.20890524959,4640172.033332511,47.537842490557445
32-33,0.0010378011692308024,97512.34991029525,101.19843075134754,97461.75069491958,4542610.824427261,46.584979529322744
33-34,0.0010985010110289464,97411.1514795439,107.00624838577282,97357.64835535102,4445149.073732342,45.63285626149088
34-35,0.0011785835387292357,97304.14523115812,114.68106381956183,97246.80469924834,4347791.425376991,44.682489271636584
35-36,0.0012718210740328662,97189.46416733856,123.6076087019833,97127.66036298758,4250544.620677742,43.73462347070103
36-37,0.0013731802311579785,97065.85655863657,133.28891534673576,96999.21210096321,4153416.9603147544,42.78968019826533
37-38,0.0014825152928715803,96932.56764328983,143.7040139084861,96860.71563633559,4056417.7482137913,41.84783140318059
38-39,0.0015967851801872849,96788.86362938135,154.55102305056423,96711.58811785607,3959557.0325774555,40.909221206885704
39-40,0.0017225354613105092,96634.31260633079,166.45603024376996,96551.0845912089,3862845.4444595994,39.97384924955252
40-41,0.0018643646359728053,96467.85657608701,179.85126030855326,96377.93094593273,3766294.3598683905,39.0419616807574
41-42,0.002024771125686922,96288.00531577846,194.96117291337708,96190.52472932177,3669916.4289224576,38.11395216763389
42-43,0.0022010288326655227,96093.04414286508,211.50356077704689,95987.29236247655,3573725.904193136,37.19026633061958
43-44,0.0023947318425149235,95881.54058208804,229.6105783413131,95766.73529291738,3477738.611830659,36.27120080380047
44-45,0.0026072363218653184,95651.93000374673,249.38718616228752,95527.23641066559,3381971.8765377416,35.35706886839887
45-46,0.002840230508772151,95402.54281758444,270.9652127249448,95267.06021122196,3286444.640127076,34.448187051061744
46-47,0.003095423587427437,95131.5776048595,294.4725292272658,94984.34134024587,3191177.5799158537,33.544882364621294
47-48,0.003374459440048119,94837.10507563224,320.02396448930256,94677.09309338758,3096193.238575608,32.64748788047047
48-49,0.0036792669675258668,94517.08111114294,347.7535743991912,94343.20432394334,3001516.14548222,31.756335576558143
49-50,0.004012187335520465,94169.32753674375,377.8249833374019,93980.41504507505,2907172.941158277,30.871760659264908
50-51,0.004376063615568822,93791.50255340635,410.4375817734918,93586.2837625196,2813192.526113202,29.994108736144046
51-52,0.004773811806869299,93381.06497163285,445.78363049961,93158.17315638304,2719606.242350682,29.123744124966233
52-53,0.005208186283857372,92935.28134113323,484.024257567316,92693.26921234958,2626448.069194299,28.26104393608621
53-54,0.005682314833699004,92451.25708356591,525.3371495200666,92188.58850880589,2533754.7999819494,27.406385590752
54-55,0.006199738602128045,91925.91993404584,569.916674351236,91640.96159687023,2441566.2114731437,26.560149881827627
55-56,0.006763787637014385,91356.00325969461,617.9126054149683,91047.04695698712,2349925.2498762733,25.722723915539742
