x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0052141450801725,100000.0,521.41450801725,99739.29274599138,8064787.0,80.64787
1-2,0.0003176635381125333,99478.58549198275,31.600719433813367,99462.78513226585,7965047.707254008,80.067963048147
2-3,0.00022393837459055036,99446.98477254894,22.269996127895823,99435.84977448499,7865584.922121743,79.09324692057366
3-4,0.0001963347972269716,99424.71477642104,19.520531214978114,99414.95451081355,7766149.072347257,78.1108509067509
4-5,0.0001845012342786294,99405.19424520606,18.340381031947427,99396.02405469009,7666734.117836444,77.12609160970662
5-6,0.00018128509945698876,99386.85386417412,18.017355687484013,99377.84518633038,7567338.093781753,76.1402318270741
6-7,0.000178473085652914,99368.83650848664,17.734662869409544,99359.96917705193,7467960.248595423,75.15394676033686
7-8,0.00016948809649582235,99351.10184561723,16.838829136576248,99342.68243104895,7368600.279418371,74.16727285892128
8-9,0.00015017816438234362,99334.26301648066,14.917837280087989,99326.80409784062,7269257.596987322,73.17976070131282
9-10,0.0001221362354211273,99319.34517920058,12.130490924679046,99313.27993373825,7169930.792889481,72.19067725379048
10-11,9.277919390218066e-05,99307.2146882759,9.213643327449033,99302.60786661218,7070617.512955743,71.19943435278417
11-12,7.4636269368193e-05,99298.00104494845,7.411232353713883,99294.2954287716,6971314.905089131,70.20599439794844
12-13,8.23710648963312e-05,99290.58981259474,8.178671617048243,99286.50047678621,6872020.609660359,69.2111973816542
13-14,0.00012388998524157023,99282.4111409777,12.300096451003235,99276.26109275219,6772734.109183573,68.2168576623962
14-15,0.00018821215842363805,99270.1110445267,18.6838418666446,99260.76912359337,6673457.848090821,67.22524814238903
15-16,0.00026190748990035815,99251.42720266005,25.99469216767682,99238.42985657621,6574197.078967228,66.23780900947116
16-17,0.00032716437342969777,99225.43251049238,32.463026455586004,99209.20099726459,6474958.649110652,65.25503074452179
17-18,0.0003763321945505804,99192.96948403679,37.329507889916314,99174.30473009183,6375749.448113387,64.27622321700373
18-19,0.0004019049297800954,99155.63997614688,39.85114052191373,99135.71440588593,6276575.143383295,63.3002332988139
19-20,0.0004097532794775717,99115.78883562496,40.613019523403814,99095.48232586325,6177439.428977409,62.325483170215826
20-21,0.00041546110592982903,99075.17581610156,41.16188211474981,99054.59487504419,6078343.946651546,61.350826749314756
21-22,0.00042649419409273215,99034.0139339868,42.23743196054411,99012.89521800654,5979289.351776502,60.376118408793594
22-23,0.0004345018701961141,98991.77650202626,43.01211202416616,98970.27044601418,5880276.456558496,59.401666121610944
23-24,0.00043987293354883676,98948.76439000209,43.52488326326289,98927.00194837047,5781306.186112481,58.42727013068828
24-25,0.0004439993069062174,98905.23950673883,43.91385779038547,98883.28257784364,5682379.184164111,57.452761982108605
25-26,0.0004508826769399973,98861.32564894845,44.5748591544347,98839.03821937123,5583495.901586267,56.478060201346864
26-27,0.00046320187252682954,98816.75078979401,45.772104002849645,98793.86473779258,5484656.863366896,55.503311124184044
27-28,0.00047848650004915597,98770.97868579115,47.260579897793995,98747.34839584226,5385862.998629103,54.52880056764989
28-29,0.0004968950191636782,98723.71810589336,49.055323800137444,98699.1904439933,5287115.650233261,53.55466499511473
29-30,0.0005212878115627776,98674.66278209323,51.43789901837245,98648.94383258405,5188416.459789268,52.5810406998505
30-31,0.0005496297915649646,98623.22488307486,54.20626253594906,98596.12175180689,5089767.515956684,51.60820407151541
31-32,0.0005887647076264046,98569.0186205389,58.033959429143216,98540.00164082434,4991171.394204877,50.63631011098312
32-33,0.0006453421589179039,98510.98466110976,63.57329151832909,98479.1980153506,4892631.392564053,49.66584599063062
33-34,0.0007176979938084345,98447.41136959143,70.65550963558944,98412.08361477363,4794152.194548702,48.69759527297765
34-35,0.0007967857027508978,98376.75585995584,78.38519255222842,98337.56326367972,4695740.110933928,47.732211434361034
35-36,0.0008760864549446339,98298.37066740361,86.11787108483922,98255.31173186119,4597402.547670248,46.769875395246785
36-37,0.0009531465508071662,98212.25279631877,93.61066999981271,98165.44746131886,4499147.235938387,45.81044735089333
37-38,0.0010304016260445372,98118.64212631895,101.10160839224108,98068.09132212284,4400981.788477068,44.85367605078756
38-39,0.0011106716621316617,98017.54051792671,108.86530464510315,97963.10786560416,4302913.697154945,43.89942529080265
39-40,0.001197927115064514,97908.6752132816,117.28745683803493,97850.03148486259,4204950.58928934,42.94768139931819
40-41,0.001295023894779948,97791.38775644357,126.64218384828567,97728.06666451943,4107100.5578044774,41.99859161456533
41-42,0.0013996076293589644,97664.74557259528,136.6923230228065,97596.39941108387,4009372.491139958,41.0524029692961
42-43,0.0015144315534737771,97528.05324957246,147.69956119002327,97454.20346897744,3911776.0917288745,40.10923997138252
43-44,0.0016405580564264133,97380.35368838244,159.7581237811294,97300.47462649188,3814321.888259897,39.16931643589778
44-45,0.001779157384826344,97220.59556460132,172.97074055597574,97134.11019432332,3717021.413633405,38.23285994132295
45-46,0.0019315185357563743,97047.62482404534,187.44928619877402,96953.90018094596,3619887.303439082,37.30011229025142
46-47,0.002099061220062594,96860.17553784658,203.31543823994926,96758.5178187266,3522933.403258136,36.37132994748296
47-48,0.0022833489951025387,96656.86009960662,220.70134437820346,96546.50942741752,3426174.8854394094,35.446784448705195
48-49,0.0024861036742183412,96436.15875522842,239.75028860887662,96316.28361092399,3329628.376011992,34.52676277228298
49-50,0.002709221128460728,96196.40846661954,260.61734229980414,96066.09979546964,3233312.0924010677,33.61156766599075
50-51,0.002954788604609797,95935.79112431973,283.4699823883656,95794.05613312554,3137245.992605598,32.701517919836135
51-52,0.003225103692226719,95652.32114193136,308.4886540848987,95498.0768148889,3041451.9364724727,31.79694857545055
52-53,0.0035226950812009754,95343.83248784646,335.8672497277865,95175.89886298258,2945953.8596575838,30.898211061875514
53-54,0.003850345259862425,95007.96523811868,365.81346860376425,94825.05850381679,2850777.960794601,30.005673246971345
54-55,0.004211115311988323,94642.15176951491,398.54901447612696,94442.87726227684,2755952.9022907843,29.11971939313516
55-56,0.004608371978671663,94243.60275503878,434.3095781053842,94026.4479659861,2661510.025028507,28.240750005561605
56-57,0.005045817157673655,93809.2931769334,473.3445410614086,93572.62090640269,2567483.577062521,27.369181560935534
57-58,0.005527520018113455,93335.94863587199,515.9163244943917,93077.9904736248,2473910.9561561183,26.50544610423893
58-59,0.0060579519115981475,92820.0323113776,562.2992921753117,92538.88266528994,2380832.9656824935,25.649990701313925
59-60,0.006642024261480879,92257.73301920228,612.7781010227671,91951.3439686909,2288294.0830172035,24.803276734980297
60-61,0.007285129609018782,91644.95491817952,667.645374591621,91311.13223088371,2196342.7390485127,23.9657790328928
61-62,0.007993185987766565,90977.3095435879,727.1985558485081,90613.71026566364,2105031.6068176287,23.137984815973184
62-63,0.008772684784360175,90250.11098773939,791.7357754489584,89854.24310001491,2014417.896551965,22.320392457197386
63-64,0.00963074222344755,89458.37521229043,861.550551398019,89027.59993659142,1924563.65345195,21.513510041791367
64-65,0.010575154585160885,88596.82466089241,936.9251165433313,88128.36210262074,1835536.0535153586,20.717853721518125
65-66,0.011614457223136067,87659.89954434907,1018.122153442247,87150.83846762795,1747407.6914127378,19.933945857748625
66-67,0.012757987397252918,86641.77739090682,1105.374704028782,86089.09003889243,1660256.8529451098,19.162312950419185
67-68,0.014015950865196932,85536.40268687803,1198.8740172449814,84936.96567825554,1574167.7629062175,18.403483352798368
68-69,0.015399492087413745,84337.52866963306,1298.7551054200442,83688.15111692304,1489230.797227962,17.65798477521883
69-70,0.01692076778739548,83038.77356421301,1405.0798048301629,82336.23366179793,1405542.646111039,16.926341584562874
70-71,0.01859302346942545,81633.69375938285,1517.8171839640952,80874.7851674008,1323206.4124492412,16.209071910299954
71-72,0.020430672324425064,80115.87657541875,1636.821222296462,79297.46596427052,1242331.6272818404,15.506684572218912
72-73,0.022449375746558805,78479.05535312228,1761.8058018572294,77598.15245219367,1163034.16131757,14.819675849618884
73-74,0.02466612443369009,76717.24955126505,1892.317223641959,75771.09093944407,1085436.0088653762,14.148526116542426
74-75,0.02709931874851074,74824.93232762309,2027.7046914820037,73811.07998188208,1009664.9179259322,13.49369637255515
75-76,0.029768846669281625,72797.22763614108,2167.0895074490745,71713.68288241654,935853.8379440501,12.855624703480245
76-77,0.032696157255301866,70630.13812869201,2309.334103219406,69475.4710770823,864140.1550616336,12.23472271124718
77-78,0.03590432708927862,68320.80402547261,2453.012494733072,67094.29777810608,794664.6839845512,11.631371956458093
78-79,0.039418116635335954,65867.79153073953,2596.3842890706846,64569.59938620419,727570.3862064452,11.045920461245444
79-80,0.043264012868832497,63271.40724166884,2737.3749771327025,61902.719753102494,663000.786820241,10.478679323313779
80-81,0.04747025389767034,60534.03226453614,2873.5658810472987,59097.24932401249,601098.0670671385,9.929919494546736
81-82,0.05206683061479849,57660.46638348884,3002.197736359396,56159.367515309146,542000.8177431261,9.399868779041455
82-83,0.057085459715402985,54658.268647129444,3120.1923929693817,53098.17245064475,485841.45022781694,8.888709105741725
83-84,0.06255952170572157,51538.07625416006,3224.19740009326,49925.97755411344,432743.27777717216,8.396574129835548
84-85,0.06852395685996392,48313.8788540668,3310.6581503335965,46658.54977890001,382817.30022305873,7.92354721464959
85-86,0.07501511149638633,45003.220703733205,3375.921618787028,43315.25989433969,336158.75044415874,7.4696598418404525
86-87,0.08207052650619479,41627.29908494618,3416.3743529323733,39919.111908479994,292843.4905498191,7.034890492227997
87-88,0.08972865985791897,38210.9247320138,3428.61506813541,36496.6171979461,252924.37864133908,6.619164032673474
88-89,0.0980285349088207,34782.30966387839,3409.6588570949143,33077.480235330935,216427.76144339298,6.222351636071895
89-90,0.10700930689125465,31372.650806783477,3357.165618175261,29694.067997695845,183350.28120806205,5.844271251966301
90-91,0.11670974102342502,28015.485188608214,3269.680021008064,26380.645178104183,153656.2132103662,5.484688634728575
91-92,0.12716759744211492,24745.80516760015,3146.864589934383,23172.372872632957,127275.56803226202,5.143318924975
92-93,0.13841892068482525,21598.940577665766,2989.7020426961712,20104.089556317682,104103.19515962906,4.819828768234876
