x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005746742029947074,100000.0,574.6742029947075,99712.66289850265,7786673.4752,77.866734752
1-2,0.0003821678667502378,99425.3257970053,37.997164660788904,99406.3272146749,7686960.812301498,77.31391122615794
2-3,0.0002714871345965746,99387.3286323445,26.982381065603306,99373.8374418117,7587554.485086823,76.34327825788384
3-4,0.0002209414028229713,99360.3462512789,21.952814285733716,99349.36984413603,7488180.647645012,75.3638743237434
4-5,0.00019653385717803367,99338.39343699317,19.52335762804133,99328.63175817915,7388831.277800876,74.38041850845264
5-6,0.00018772431564959254,99318.87007936512,18.64456691673961,99309.54779590675,7289502.646042696,73.39494136630529
6-7,0.00018299619119442254,99300.22551244838,18.17156305352528,99291.13973092161,7190193.09824679,72.40862808861819
7-8,0.00017323431119675625,99282.05394939486,17.199058230122613,99273.4544202798,7090901.958515868,71.42178950216096
8-9,0.00015265036905438788,99264.85489116474,15.152816733266556,99257.27848279811,6991628.504095588,70.43407771825485
9-10,0.00012324075226049778,99249.70207443147,12.231607945283221,99243.58627045882,6892371.225612789,69.44475481089016
10-11,9.479602568528375e-05,99237.47046648618,9.40731779928361,99232.76680758654,6793127.63934233,68.45325266161899
11-12,8.381987997563529e-05,99228.0631486869,8.317284343337695,99223.90450651523,6693894.8725347435,67.45969497060898
12-13,0.00010954077826218653,99219.74586434355,10.868608180956556,99214.31156025307,6594670.968028229,66.46530799468763
13-14,0.0001823187590898963,99208.8772561626,18.0876393920454,99199.83343646658,6495456.656467976,65.47253467748014
14-15,0.00028778073372461737,99190.78961677055,28.545198214638386,99176.51701766322,6396256.823031509,64.48438254946677
15-16,0.0004038658847526358,99162.24441855591,40.0482475761572,99142.22029476783,6297080.306013846,63.50280132259182
16-17,0.0005104870620188068,99122.19617097976,50.600598704175276,99096.89587162767,6197938.085719078,62.52825628508081
17-18,0.000606214015877521,99071.59557227559,60.05858981126281,99041.56627736996,6098841.18984745,61.559937080029854
18-19,0.0006855009622421897,99011.53698246433,67.87250387455745,98977.60073052705,5999799.62357008,60.596974922555624
19-20,0.0007524194633184524,98943.66447858977,74.44713892574154,98906.44090912689,5900822.022839553,59.638199716328685
20-21,0.0008278065787351429,98869.21733966403,81.84458854816855,98828.29504538994,5801915.581930426,58.682729954238575
