x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006538988818211315,100000.0,653.8988818211315,99673.05055908943,7503156.7249,75.03156724899999
1-2,0.0004435980041574306,99346.10111817886,44.06973217684643,99324.06625209044,7403483.67434091,74.5221361584585
2-3,0.00031661265147569855,99302.03138600201,31.440279454045132,99286.31124627499,7304159.60808882,73.55498680280212
3-4,0.00024430501828336587,99270.59110654796,24.252303575285737,99258.46495476032,7204873.296842545,72.57812426148944
4-5,0.0002079656965118396,99246.33880297268,20.639833975410227,99236.01888598497,7105614.831887785,71.59573761198487
5-6,0.00019384452640419588,99225.69896899727,19.234358623770582,99216.08178968538,7006378.8130018,70.6105261620875
6-7,0.0001872948394563851,99206.4646103735,18.580858862235452,99197.17418094238,6907162.731212115,69.62411933879024
7-8,0.00017679181387936335,99187.88375151127,17.535605883285108,99179.11594856963,6807965.557031172,68.63706835490825
8-9,0.0001549943156993165,99170.34814562798,15.370840248494591,99162.66272550373,6708786.441082602,67.64911656083932
9-10,0.00012428567990421484,99154.97730537949,12.323543770286083,99148.81553349434,6609623.778357099,66.65952590559974
10-11,9.669970098192397e-05,99142.65376160921,9.58706497330203,99137.86022912255,6510474.962823604,65.66774960934767
11-12,9.247435199029461e-05,99133.06669663591,9.167266103582062,99128.48306358412,6411337.102594482,64.67405192068017
12-13,0.00013514405884991332,99123.89943053233,13.396006098072752,99117.20142748329,6312208.619530898,63.67998692338166
13-14,0.00023749206672034752,99110.50342443425,23.53795829196297,99098.73444528827,6213091.418103415,62.688526477322554
14-15,0.0003821461152310413,99086.9654661423,37.865698922918625,99068.03261668084,6113992.683658127,61.7032992674224
15-16,0.0005389228526758577,99049.09976721938,53.3798234015255,99022.40985551862,6014924.651041446,60.72669681175745
16-17,0.0006855562914298447,98995.71994381785,67.86713863211128,98961.7863745018,5915902.241185928,59.75917185655427
17-18,0.0008268162236369783,98927.85280518574,81.79515366889852,98886.95522835129,5816940.454811426,58.79982522481783
18-19,0.0009593741637688233,98846.05765151685,94.83035390126888,98798.64247456622,5718053.499583075,57.848068354351085
19-20,0.0010858329086470097,98751.22729761558,107.22733236903191,98697.61363143106,5619254.857108508,56.90313944325216
20-21,0.0012327184084504736,98643.99996524655,121.6002746403473,98583.19982792638,5520557.243477077,55.96445040166695
21-22,0.0013795638433482932,98522.3996906062,135.91794037306937,98454.44072041966,5421974.043649151,55.03290683820118
22-23,0.0014667797581088822,98386.48175023313,144.3112999027909,98314.32610028173,5323519.602928732,54.10824239495806
23-24,0.001461360401633843,98242.17045033033,143.5672176666752,98170.38684149699,5225205.27682845,53.186989384260706
24-25,0.001385674014980552,98098.60323266366,135.93268540538924,98030.63688996097,5127034.889986953,52.2640967458731
25-26,0.0012860571407689843,97962.67054725827,125.98559198610096,97899.67775126522,5029004.253096992,51.335924439411286
26-27,0.0012098917203168752,97836.68495527217,118.37179507063439,97777.49905773684,4931104.575345727,50.40138653103457
27-28,0.0011607661522570487,97718.31316020153,113.42811037201646,97661.59910501553,4833327.0762879895,49.46183494146207
28-29,0.0011516437328252832,97604.88504982952,112.40605416076835,97548.68202274914,4735665.477182974,48.51873422898156
29-30,0.0011701515225937826,97492.47899566876,114.08097273822418,97435.43850929965,4638116.795160225,47.57409846318791
30-31,0.0011952022243781027,97378.39802293053,116.38687792338281,97320.20458396884,4540681.356650925,46.62924682311668
31-32,0.0012248487791908505,97262.01114500714,119.1312556126089,97202.44551720083,4443361.152066956,45.68444657639647
32-33,0.001271342119281137,97142.87988939453,123.5018347916558,97081.12897199871,4346158.706549755,44.7398585619268
33-34,0.0013348036226094985,97019.37805460287,129.5018172906044,96954.62714595757,4249077.577577757,43.79617415385162
34-35,0.0014138415818869524,96889.87623731227,136.98693588819262,96821.38276936818,4152122.950431799,42.85404328788705
35-36,0.0015050914131930664,96752.88930142407,145.62194288919267,96680.07832997949,4055301.567662431,41.91400997884972
36-37,0.0016112673281643004,96607.26735853488,155.66013355804074,96529.43729175586,3958621.4893324515,40.976435806231535
37-38,0.0017357950649400005,96451.60722497685,167.4202238266461,96367.89711306352,3862092.0520406957,40.04175941860903
38-39,0.00187795819392082,96284.1870011502,180.81767792381453,96193.77816218829,3765724.1549276323,39.11051515533539
39-40,0.0020356669792997864,96103.36932322639,195.63445553074402,96005.55209546103,3669530.376765444,38.18316051358864
40-41,0.0022089243998800094,95907.73486769565,211.85293568647566,95801.80839985241,3573524.824669983,37.26002735441147
41-42,0.002409179703026392,95695.88193200917,230.54857641380653,95580.60764380227,3477723.0162701304,36.341407237784935
42-43,0.0026284686122210956,95465.33335559537,250.92763228040604,95339.86953945518,3382142.408626328,35.427964159809804
43-44,0.0028682679300773358,95214.40572331497,273.10042641755626,95077.8555101062,3286802.539086873,34.52001316521414
