x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00677392306390094,100000.0,677.3923063900941,99661.30384680495,7484215.6862,74.84215686200001
1-2,0.0007608616833125777,99322.60769360991,75.57076648075481,99284.82231036953,7384554.382353195,74.34917944495625
2-3,0.0006033096932293488,99247.03692712916,59.876699402428144,99217.09857742794,7285269.5600428255,73.40541124055865
3-4,0.0004594157338450502,99187.16022772672,45.56814200402765,99164.37615672471,7186052.461465398,72.44942233416833
4-5,0.00032159774121801586,99141.59208572269,31.883712075526333,99125.65022968492,7086888.085308673,71.48249222365726
5-6,0.0002524134231666203,99109.70837364717,25.016620759637732,99097.20006326734,6987762.435078988,70.50532737655601
6-7,0.00023206995803259583,99084.69175288753,22.994580256765303,99073.19446275916,6888665.23501572,69.52300212222208
7-8,0.00023633264286713793,99061.69717263077,23.411512699711913,99049.99141628091,6789592.040552961,68.53902400562566
8-9,0.0002333213232866528,99038.28565993106,23.107743866216644,99026.73178799795,6690542.04913668,67.55510764907697
9-10,0.0002269019771991064,99015.17791606484,22.46673964187641,99003.9445462439,6591515.317348681,66.57075668678097
10-11,0.0002319336883108532,98992.71117642296,22.959744619038798,98981.23130411345,6492511.372802437,65.58575167450061
11-12,0.00024811211304726565,98969.75143180392,24.555594155507514,98957.47363472616,6393530.1414983235,64.60085075492837
12-13,0.00027135270315078444,98945.19583764841,26.84904635432964,98931.77131447125,6294572.667863597,63.616758899460656
13-14,0.0003144504404625977,98918.34679129408,31.10491771835441,98902.7943324349,6195640.896549126,62.633890451295045
14-15,0.00038103492040878845,98887.24187357572,37.67949233674254,98868.40212740735,6096738.102216691,61.65343462618951
15-16,0.0004555422639188821,98849.56238123898,45.03015343454037,98827.04730452171,5997869.700089283,60.67674510239046
16-17,0.0005359890042876956,98804.53222780445,52.95814284789243,98778.0531563805,5899042.652784762,59.70417064658417
17-18,0.0006273554207348424,98751.57408495655,61.95233530829587,98720.5979173024,5800264.599628381,58.73592044860349
18-19,0.0007238188131700302,98689.62174964826,71.4334048870296,98653.90504720474,5701544.001711079,57.77247800355867
19-20,0.0008173993032289574,98618.18834476123,80.61043843870992,98577.88312554188,5602890.096663875,56.813962928183415
20-21,0.0008863489383534437,98537.57790632252,87.33867756518872,98493.90856753993,5504312.213538333,55.86003157872583
21-22,0.000945704005101977,98450.23922875733,93.10478554188359,98403.68683598639,5405818.3049707925,54.909143414166046
22-23,0.0009927989695425097,98357.13444321544,97.64886172237838,98308.31001235425,5307414.618134806,53.960647066217014
23-24,0.0010373273505011342,98259.48558149306,101.92725183985459,98208.52195557313,5209106.308122451,53.01377548737721
