x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00810198551920428,100000.0,810.1985519204279,99594.90072403979,7218025.1246,72.180251246
1-2,0.0008745716182463816,99189.80144807957,86.74858516598424,99146.42715549658,7118430.22387596,71.76574728402969
2-3,0.0006798371542507595,99103.05286291358,67.37393743588575,99069.36589419564,7019283.796720464,70.82812884109674
3-4,0.0005006247418333801,99035.6789254777,49.57971119436079,99010.88906988052,6920214.430826268,69.87597304233746
4-5,0.0003306200971713544,98986.09921428334,32.72679374083969,98969.73581741292,6821203.541756388,68.91072176700254
5-6,0.00027153511558326957,98953.3724205425,26.869315417566327,98939.93776283371,6722233.805938975,67.93334720690585
6-7,0.0002685837783574082,98926.50310512492,26.570053983660323,98913.2180781331,6623293.868176141,66.9516627019339
7-8,0.0002846325819147644,98899.93305114127,28.150143295543685,98885.85797949349,6524380.650098008,65.9695153355083
8-9,0.0002962245085737498,98871.78290784573,29.288245303687074,98857.13878519389,6425494.792118515,64.98815539826414
9-10,0.00028965388286177323,98842.49466254204,28.630112370749398,98828.17960635667,6326637.653333321,64.00726403085112
10-11,0.0002752099824862003,98813.86455017129,27.19456193224641,98800.26726920517,6227809.473726965,63.02566448623094
11-12,0.00028556578964769185,98786.66998823904,28.210093421857422,98772.56494152811,6129009.206457759,62.042876910290055
12-13,0.0003107049129289651,98758.45989481718,30.684738682617862,98743.11752547587,6030236.641516231,61.06045647065317
13-14,0.00034842516469416946,98727.77515613456,34.39924131866512,98710.57553547523,5931493.523990755,60.07927875018254
14-15,0.0004187485880812329,98693.3759148159,41.327711817299516,98672.71205890724,5832782.94845528,59.100044905644566
15-16,0.0005182967125463956,98652.0482029986,51.131032269582725,98626.4826868638,5734110.236396372,58.12459387155511
16-17,0.0006406739406530039,98600.91717072902,63.1710381557714,98569.33165165114,5635483.753709508,57.1544759969279
17-18,0.0007968674114564966,98537.74613257324,78.52151869142105,98498.48537322754,5536914.422057857,56.19079631280038
18-19,0.0009580071259553387,98459.22461388183,94.32463879613607,98412.06229448377,5438415.936684629,55.2352098852286
19-20,0.0011067861270074124,98364.89997508569,108.86890667689661,98310.46552174725,5340003.874390145,54.287696889263195
20-21,0.0012060375125772277,98256.03106840879,118.50045930545454,98196.78083875607,5241693.408868398,53.34729432760187
21-22,0.0012833270422512133,98137.53060910334,125.9425468904185,98074.55933565814,5143496.628029642,52.41110710760564
22-23,0.0013316683070242314,98011.58806221292,130.51892554356345,97946.32859944114,5045422.068693983,51.47781163887885
23-24,0.001369371645765329,97881.06913666935,134.03556073295087,97814.05135630288,4947475.7400945425,50.545787696561455
24-25,0.001438088737499514,97747.0335759364,140.56890810954098,97676.74912188163,4849661.68873824,49.61441295270306
25-26,0.0015410844806554092,97606.46466782685,150.41980791122847,97531.25476387123,4751984.939616358,48.68514555658025
26-27,0.0016139623476124614,97456.04485991562,157.29038695113476,97377.39966644006,4654453.6848524865,47.75951755012066
27-28,0.001626759259510384,97298.75447296449,158.28164977772238,97219.61364807562,4557076.285186047,46.83591593613133
28-29,0.0016239901947422875,97140.47282318676,157.75517537748496,97061.59523549803,4459856.671537971,45.911416137079314
29-30,0.0016510978057515053,96982.71764780927,160.12795230411567,96902.65367165722,4362795.076302473,44.98528379196254
30-31,0.0017385729551897308,96822.58969550516,168.33313589603716,96738.42312755714,4265892.422630816,44.05885481938161
31-32,0.001890200298639703,96654.25655960912,182.6959046137716,96562.90860730223,4169153.9995032586,43.134716958192485
32-33,0.002092183128587916,96471.56065499534,201.83617159092705,96370.64256919987,4072591.0908959564,42.21545772914866
33-34,0.0022754318357694134,96269.72448340441,219.05519591028855,96160.19688544927,3976220.4483267567,41.30291708700385
34-35,0.002424355689623932,96050.66928749412,232.86098657932305,95934.23879420446,3880060.2514413074,40.39597308611877
35-36,0.0025829528614823667,95817.8083009148,247.49288213181674,95694.0618598489,3784126.012647103,39.492930173930674
