x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006136828377535168,100000.0,613.6828377535168,99693.15858112324,8141928.5825,81.41928582499999
1-2,0.00027517145208935385,99386.31716224649,27.348277211348435,99372.64302364082,8042235.423918876,80.91893988575976
2-3,0.00026457539135802565,99358.96888503514,26.287938077688064,99345.82491599629,7942862.780895235,79.94107497316774
3-4,0.00022090418044591744,99332.68094695745,21.943004476083434,99321.70944471941,7843516.955979239,78.96209868902653
4-5,0.0001883766888248903,99310.73794248137,18.70782797836104,99301.38402849219,7744195.24653452,77.97943512432452
5-6,0.00016419710000097328,99292.03011450301,16.303463398010702,99283.878382804,7644893.862506027,76.99403319370124
6-7,0.0001461167810386807,99275.726651105,14.505849613535428,99268.47372629822,7545609.984123223,76.00659535478944
7-8,0.0001315246218193351,99261.22080149146,13.055294527241681,99254.69315422785,7446341.510396925,75.01762974775986
8-9,0.00011863830523235852,99248.16550696423,11.77463415316686,99242.27818988764,7347086.817242697,74.02743194006092
9-10,0.00010719877592270076,99236.39087281107,10.638019628552021,99231.07186299679,7247844.53905281,73.03615614499927
10-11,9.870488740696213e-05,99225.75285318252,9.794066763244432,99220.8558198009,7148613.467189813,72.04393276579238
11-12,9.642181942903559e-05,99215.95878641927,9.566583262582757,99211.17549478798,7049392.611370012,71.05099519871733
12-13,0.00010442674950505308,99206.39220315669,10.359801067899095,99201.21230262273,6950181.435875224,70.05779851002457
13-14,0.00012448057879136867,99196.0324020888,12.347979527219374,99189.85841232518,6850980.223572602,69.06506296342896
14-15,0.0001525852242707159,99183.68442256158,15.13396473161247,99176.11744019577,6751790.365160276,68.07359904472784
15-16,0.0001828597470821352,99168.55045782997,18.13393605522075,99159.48348980237,6652614.24772008,67.08391135099842
16-17,0.00021218439254543455,99150.41652177475,21.038170900299594,99139.8974363246,6553454.764230278,66.096089095007
17-18,0.00024148669635694185,99129.37835087445,23.938426089870024,99117.40913782951,6454314.866793954,65.11001051523307
18-19,0.0002703985680201489,99105.43992478459,26.797969038668647,99092.04094026526,6355197.457656125,64.12561674192011
19-20,0.00029907825476298364,99078.64195574592,29.632267320411017,99063.82582208571,6256105.416715859,63.14282567084627
20-21,0.0003303538606520701,99049.0096884255,32.72122274433566,99032.64907705334,6157041.590893773,62.16156638276074
21-22,0.00036108175560216446,99016.28846568117,35.7529752723985,98998.41197804497,6058008.94181672,61.18194325084618
22-23,0.00038553853963215867,98980.53549040877,38.16081110498125,98961.45508485628,5959010.529838676,60.20386230802019
23-24,0.0004014944036462941,98942.37467930379,39.72480971721526,98922.51227444518,5860049.074753819,59.226889325707596
24-25,0.0004113987054880207,98902.64986958657,40.68842212568288,98882.30565852374,5761126.562479374,58.25047731356054
25-26,0.0004290038990987049,98861.9614474609,42.41216693350657,98840.75536399415,5662244.25682085,57.274245563395866
26-27,0.000451654156272854,98819.5492805274,44.63226015356032,98797.23315045061,5563403.501456856,56.29861238957438
27-28,0.0004608652892735854,98774.91702037383,45.521930705568984,98752.15605502104,5464606.268306405,55.323825452358996
28-29,0.0004509658524284157,98729.39508966827,44.52358581635409,98707.13329676009,5365854.112251384,54.34910350031006
29-30,0.0004344821394791078,98684.87150385191,42.87681410521442,98663.4330967993,5267146.978954624,53.37339856341642
30-31,0.0004372951696144912,98641.9946897467,43.135667798964526,98620.42685584722,5168483.545857825,52.396381096245825
31-32,0.0004780944884170071,98598.85902194773,47.13957106259871,98575.28923641643,5069863.119001978,51.41908506135396
32-33,0.0005679396644198965,98551.71945088514,55.971430472939495,98523.73373564867,4971287.829765562,50.443440839640395
33-34,0.0006815336833752762,98495.7480204122,67.1281699451546,98462.18393543962,4872764.096029913,49.47182181935493
34-35,0.000775379477056961,98428.61985046705,76.31953178709355,98390.4600845735,4774301.912094474,48.50522052780586
35-36,0.000842133528839341,98352.30031867995,82.82576973683659,98310.88743381153,4675911.4520099005,47.54247167436927
36-37,0.0009151354621869426,98269.47454894311,89.92988101021504,98224.509608438,4577600.564576089,46.582121107162486
37-38,0.0009949726655668692,98179.54466793289,97.68596326239468,98130.70168630169,4479376.054967651,45.62433111823844
38-39,0.001082287635372888,98081.85870467049,106.15278293045553,98028.78231320526,4381245.35328135,44.669273310505915
39-40,0.0011777830936083933,97975.70592174004,115.39413001897317,97918.00885673055,4283216.570968145,43.717128962453664
40-41,0.0012822275744768805,97860.31179172106,125.47919022624977,97797.57219660794,4185298.562111414,42.768089386625974
41-42,0.0013964615209823802,97734.83260149481,136.48293298764176,97666.59113500098,4087500.989914806,41.822356278863566
42-43,0.0015214039359747516,97598.34966850717,148.4865133303069,97524.10641184202,3989834.3987798053,40.880142054976126
43-44,0.0016580596356012567,97449.86315517686,161.5776845924649,97369.07431288064,3892310.292367963,39.941670171151905
44-45,0.001807527156845117,97288.2854705844,175.8512180309815,97200.3598615689,3794941.2180550825,39.007175424039126
45-46,0.0019710073747376787,97112.43425255342,191.40932409051072,97016.72959050816,3697740.8581935135,38.07690422605473
46-47,0.0021498128889116414,96921.02492846291,208.36206859773606,96816.84389416405,3600724.1286030053,37.15111485109333
47-48,0.002345378243399681,96712.66285986517,226.82777533277616,96599.24897219878,3503907.2847088412,36.23007764542619
48-49,0.0025592710479484613,96485.8350845324,246.93340426897365,96362.36838239791,3407308.0357366423,35.31407519820354
49-50,0.0027932040735744305,96238.90168026343,268.8148922096409,96104.49423415861,3310945.6673542443,34.40340246560866
50-51,0.003049048399584281,95970.08678805378,292.61743952907995,95823.77806828925,3214841.1731200856,33.49836684236764
51-52,0.0033288476937531233,95677.46934852471,318.4957231849716,95518.22148693222,3119017.3950517965,32.599288174001956
52-53,0.003634833711712218,95358.97362533974,346.61401204766116,95185.66661931592,3023499.1735648643,31.70649870293308
53-54,0.003969443105737481,95012.35961329208,377.1461558268325,94823.78653537866,2928313.5069455486,30.820342941318575
54-55,0.004335335636915183,94635.21345746524,410.27541340922437,94430.07575076063,2833489.72041017,29.941177463330927
55-56,0.004735413887924955,94224.93804405602,446.1940802026913,94001.84100395467,2739059.6446594093,29.069370609495422
56-57,0.005172844576216699,93778.74396385333,485.10286707783314,93536.19253031441,2645057.8036554544,28.205302095696464
57-58,0.00565108156891663,93293.6410967755,527.209975699111,93030.03610892594,2551521.61112514,27.34936251955685
58-59,0.006173890701074244,92766.43112107638,572.7298064702578,92480.06621784126,2458491.575016214,26.501952757107293
59-60,0.006745376497491109,92193.70131460612,621.8812260642593,91882.76070157399,2366011.508798373,25.663483243009022
60-61,0.007370010894915448,91571.82008854186,674.8853117197908,91234.37743268197,2274128.748096799,24.834373128085883
61-62,0.008052664055323564,90896.93477682208,731.9624794164056,90530.95353711388,2182894.370664117,24.0150493085795
62-63,0.008798637351724205,90164.97229740566,793.3288930731317,89768.3078508691,2092363.417127003,23.20594532237445
63-64,0.009613698594690625,89371.64340433253,859.1920426014233,88942.04738303182,2002595.1092761338,22.407500108463406
