x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0062587461537377325,100000.0,625.8746153737733,99687.06269231312,7864857.5981,78.64857598100001
1-2,0.0002956242417760955,99374.12538462623,29.37740046899277,99359.43668439172,7765170.535407687,78.14076858893296
2-3,0.00023670131238700143,99344.74798415723,23.515032226605932,99332.99046804394,7665811.098723295,77.16372786959792
3-4,0.00020277778821155436,99321.23295193062,20.14013994043704,99311.16288196041,7566478.108255251,76.18187857089195
4-5,0.00018841835688152418,99301.09281199018,18.710148744174923,99291.7377376181,7467166.945373291,75.19722828741783
5-6,0.0001836574874048827,99282.38266324601,18.233952943501848,99273.26568677426,7367875.207635673,74.21130526879705
6-7,0.0001803250174851351,99264.14871030251,17.89980935183235,99255.1988056266,7268601.941948898,73.22484538866043
7-8,0.00017142825689575117,99246.24890095068,17.013611452531837,99237.74209522441,7169346.743143272,72.2379618629052
8-9,0.00015234944266228294,99229.23528949814,15.11751869215958,99221.67653015206,7070109.001048047,71.25026188523199
9-10,0.00012424659281644315,99214.11777080598,12.327016092311968,99207.95426275983,6970887.3245178955,70.26104229058717
10-11,9.484320650020593e-05,99201.79075471367,9.408615925739529,99197.0864467508,6871679.370255136,69.26971093945319
11-12,7.870197479004574e-05,99192.38213878793,7.80663635845147,99188.4788206087,6772482.283808385,68.27623389800709
12-13,9.399667520129231e-05,99184.57550242948,9.323020328479918,99179.91399226524,6673293.804987776,67.28156844129778
13-14,0.00015025890000816688,99175.252482101,14.901964345992718,99167.801499928,6574113.890995511,66.28784627679165
14-15,0.0002330806530440183,99160.35051775501,23.112359254752096,99148.79433812763,6474946.0894955825,65.29773297177101
15-16,0.00032304361319633997,99137.23815850026,32.02565161702799,99121.22533269174,6375797.295157455,64.31283959074847
16-17,0.00040335393761104773,99105.21250688322,39.974477702431,99085.22526803201,6276676.069824764,63.33346058249787
17-18,0.0004707583307669578,99065.2380291808,46.6357860916485,99041.92013613497,6177590.844556731,62.35881493301466
18-19,0.0005199359785235252,99018.60224308915,51.483333849292286,98992.8605761645,6078548.924420596,61.38794920067496
19-20,0.0005557869483601144,98967.11890923986,55.00463300655899,98939.61659273658,5979556.063844431,60.419623504733174
20-21,0.0005915832753523888,98912.1142762333,58.51475253556387,98882.85689996553,5880616.447251694,59.45294456884028
21-22,0.0006371537753812903,98853.59952369775,62.98494414655414,98822.10705162447,5781733.590351729,58.487840788900144
22-23,0.0006732571182139854,98790.6145795512,66.51148447841717,98757.35883731199,5682911.483300104,57.524811516623735
23-24,0.0006956104319621357,98724.10309507279,68.673515999038,98689.76633707326,5584154.124462792,56.563229742235976
24-25,0.0007053836072706011,98655.42957907375,69.5899227933178,98620.63461767709,5485464.358125718,55.6022550561096
25-26,0.0007112921565238175,98585.83965628044,70.12333449182701,98550.77798903453,5386843.723508041,54.64115071991346
26-27,0.0007166254452464494,98515.71632178861,70.59886907287468,98480.41688725217,5288292.945519007,53.679688307249315
