x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0027982022737331703,100000.0,279.82022737331704,99860.08988631335,8159729.3039,81.597293039
1-2,0.0007591710729414012,99720.17977262668,75.70467587189441,99682.32743469073,8059869.214013686,80.82485643719357
2-3,0.00038073255684723797,99644.47509675479,37.93789577928838,99625.50614886514,7960186.886578996,79.88588307429643
3-4,0.00024132150177800862,99606.5372009755,24.03719914424649,99594.51860140337,7860561.38043013,78.91611937648153
4-5,0.00017556418413046252,99582.50000183124,17.483120366493285,99573.758441648,7760966.861828727,77.93504743992176
5-6,0.00014062188973368374,99565.01688146475,14.001020825237696,99558.01637105213,7661393.103387078,76.9486446480314
6-7,0.00012108090011125017,99551.01586063951,12.053726607395575,99544.98899733581,7561835.0870160265,75.95939651285694
7-8,0.0001102435882383646,99538.96213403212,10.973532355178403,99533.47536785452,7462290.098018691,74.96853431092138
8-9,0.00010481868299467563,99527.98860167695,10.432392686336865,99522.77240533377,7362756.622650837,73.97674489451886
9-10,0.00010304776493413618,99517.5562089906,10.255061739043748,99512.42867812108,7263233.850245503,72.98444743751986
10-11,0.00010395710058512491,99507.30114725156,10.344490514319146,99502.12890199441,7163721.421567381,71.99191756760098
11-12,0.00010711459110846386,99496.95665673724,10.65757582882296,99491.62786882283,7064219.292665387,70.9993504327657
12-13,0.00011276577183409414,99486.29908090841,11.218649302776168,99480.68975625702,6964727.664796564,70.00690275082417
13-14,0.00012219297174768994,99475.08043160565,12.155155692778372,99469.00285375926,6865246.975040306,69.01474163431841
14-15,0.00013775927784607755,99462.92527591287,13.701940758468131,99456.07430553364,6765777.972186547,68.02311467733423
15-16,0.00016201481619126102,99449.2233351544,16.112247639008707,99441.16721133489,6666321.897881013,67.03241789445458
16-17,0.00019600002039971438,99433.11108751538,19.488891801560083,99423.3666416146,6566880.730669678,66.04319887858968
17-18,0.00023785313837133192,99413.62219571382,23.645842036112434,99401.79927469576,6467457.364028064,65.0560478653086
18-19,0.00028286050403578415,99389.9763536777,28.113498807505945,99375.91960427395,6368055.564753368,64.0714063769644
19-20,0.0003250576175567859,99361.8628548702,32.298330415608206,99345.71368966239,6268679.645149094,63.089393304805945
20-21,0.0003594178298214558,99329.56452445459,35.70081651848973,99311.71411619535,6169333.931459432,62.109745079377284
21-22,0.00038344200490542785,99293.86370793609,38.07343817497731,99274.82698884861,6070022.217343236,61.131896681930485
22-23,0.00039754291630646085,99255.79026976111,39.45843632414327,99236.06105159904,5970747.390354387,60.155154415947585
23-24,0.0004043732329896008,99216.33183343697,40.12042886885595,99196.27161900254,5871511.329302789,59.178879331679006
24-25,0.0004076654431233578,99176.21140456811,40.43071416953907,99155.99604748334,5772315.057683786,58.20261709874018
25-26,0.0004111440056713139,99135.78069039856,40.75908197840336,99115.40114940936,5673159.061636303,57.22615005528227
26-27,0.00041782337457728244,99095.02160842015,41.40421633223883,99074.31950025403,5574043.660486894,56.24948226474038
27-28,0.0004297421873982206,99053.61739208791,42.567518207782285,99032.33363298402,5474969.340986639,55.27278543816172
28-29,0.0004480231371895696,99011.04987388013,44.35924118092871,98988.87025328966,5375937.007353655,54.29633373448218
29-30,0.00047310208237281396,98966.6906326992,46.821347423876055,98943.27995898726,5276948.137100365,53.32044653978587
30-31,0.0005049969488189059,98919.86928527533,49.95423216662905,98894.89216919201,5178004.857141377,52.34544783119873
31-32,0.0005435394293815688,98869.9150531087,53.73969721097089,98843.04520450323,5079109.964972185,51.371642852569494
32-33,0.000588539803448422,98816.17535589774,58.15725242148485,98787.096729687,4980266.9197676815,50.39930863374019
33-34,0.0006398857014634809,98758.01810347625,63.19384368928605,98726.42118163161,4881479.823037994,49.42869365729169
34-35,0.0006975897465096852,98694.82425978697,68.84849743720272,98660.40001106837,4782753.401856363,48.460022475617166
35-36,0.0007618039552539056,98625.97576234977,75.13365842653388,98588.40893313651,4684093.001845295,47.49350225068633
36-37,0.0008328160556560752,98550.84210392323,82.07472360257401,98509.80474212195,4585504.592912158,46.52932937982082
37-38,0.0009110383556152312,98468.76738032066,89.70882391362605,98423.91296836385,4486994.788170036,45.56769529611049
38-39,0.0009969955640581512,98379.05855640704,98.08348497695492,98330.01681391856,4388570.875201672,44.60879113500992
39-40,0.0010913148132812495,98280.97507143008,107.25548395917686,98227.34732945048,4290240.858387753,43.65281129200875
40-41,0.001194719121462332,98173.7195874709,117.29002001623257,98115.07457746279,4192013.511058303,42.69995604397264
41-42,0.0013080244275650481,98056.42956745467,128.26020515404235,97992.29946487765,4093898.43648084,41.75043344469909
42-43,0.0014321398282717609,97928.16936230063,140.24683165349313,97858.04594647388,3995906.1370159625,40.804460688246714
43-44,0.0015680704968183904,97787.92253064713,153.33835626547014,97711.2533525144,3898048.091069489,39.86226509564946
44-45,0.0017169227916294773,97634.58417438167,167.63104282026256,97550.76865297154,3800336.8377169743,38.92408483995105
