x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0023648959760345133,100000.0,236.48959760345133,99881.75520119828,7884739.4932,78.847394932
1-2,0.0007964630056133319,99763.51040239655,79.45794534562967,99723.78142972373,7784857.737998802,78.03311758576402
2-3,0.00040464090138590835,99684.05245705093,40.33624484002126,99663.88433463091,7685133.956569078,77.09491906822542
3-4,0.00023295465594561258,99643.71621221091,23.212467627357853,99632.10997839723,7585470.072234447,76.12592505160782
4-5,0.00017976298696529476,99620.50374458356,17.90807931611367,99611.5497049255,7485837.96225605,75.14354656797306
5-6,0.00016178848396467766,99602.59566526745,16.114552951630397,99594.53838879164,7386226.412551125,74.15696712738165
6-7,0.00015270361998132202,99586.48111231581,15.207216167052177,99578.87750423228,7286631.874162333,73.16888590474755
7-8,0.0001429143012481184,99571.27389614876,14.230159033253111,99564.15881663213,7187052.996658101,72.17998440146584
8-9,0.00012915919753757546,99557.04373711551,12.858707878299143,99550.61438317636,7087488.837841469,71.19022996058698
9-10,0.00011485679004738961,99544.18502923721,11.433325560341602,99538.46836645703,6987938.223458293,70.19936143337614
10-11,0.00010640747635400774,99532.75170367687,10.59102892335832,99527.45618921518,6888399.755091836,69.20736779788405
11-12,0.00010735037142958622,99522.16067475351,10.683740913909748,99516.81880429656,6788872.298902621,68.21467955352382
12-13,0.00011988382846013535,99511.4769338396,11.929816830551141,99505.51202542432,6689355.480098324,67.2219495299598
13-14,0.00014886123211003635,99499.54711700905,14.811625178228581,99492.14130441993,6589849.9680729,66.22994937176344
14-15,0.00020064129387071337,99484.73549183081,19.960746049466614,99474.75511880608,6490357.826768479,65.23973546978405
15-16,0.0002737503599091083,99464.77474578134,27.228517884936025,99451.16048683887,6390883.071649673,64.2527275408195
16-17,0.0003545684234085089,99437.5462278964,35.25741399363595,99419.91752089957,6291431.911162835,63.27018465181942
17-18,0.00042978778870342136,99402.28881390276,42.721889901386106,99380.92786895207,6192011.993641935,62.29244887141772
18-19,0.000494166562974646,99359.56692400138,49.10017568548309,99335.01683615864,6092631.065772983,61.31901793043385
19-20,0.0005469516561874261,99310.4667483159,54.31802426473769,99283.30773618353,5993296.048936824,60.349087514871215
20-21,0.0005883411266200313,99256.14872405116,58.39647436427365,99226.95048686903,5894012.741200641,59.381839986427345
21-22,0.0006192360859049943,99197.75224968689,61.42682783366945,99167.03883577006,5794785.790713772,58.41650298817192
22-23,0.0006410739999779404,99136.32542185322,63.55372068130223,99104.54856151258,5695618.751878002,57.45238919882824
23-24,0.0006555453113003126,99072.77170117192,64.94669096622954,99040.2983556888,5596514.203316489,56.48892331585277
24-25,0.0006649328042391081,99007.82501020569,65.83355072565097,98974.90823484286,5497473.9049608,55.525650668461026
25-26,0.0006720569572903864,98941.99145948004,66.49465372850955,98908.74413261579,5398498.996725957,54.56226337365382
26-27,0.0006804052100907353,98875.49680575152,67.27540317694319,98841.85910416306,5299590.252593341,53.598620728093955
27-28,0.0006902952356872711,98808.22140257458,68.20684448093029,98774.11798033411,5200748.393489178,52.634773905095976
28-29,0.0007034152638823346,98740.01455809365,69.455233396127,98705.28694139559,5101974.275508844,51.6707871509083
29-30,0.0007229199744177972,98670.55932469752,71.33091822280008,98634.89386558611,5003268.988567449,50.706806800426406
30-31,0.0007531992780172375,98599.22840647472,74.26486764881345,98562.09597265032,4904634.094701863,49.74312856164085
31-32,0.0007980451988985171,98524.9635388259,78.62737412381146,98485.649851764,4806071.998729212,48.78024640765561
32-33,0.0008589981221533493,98446.3361647021,84.56521789835647,98404.05355575292,4707586.348877449,47.818806999598145
33-34,0.0009352555024452444,98361.77094680374,91.99338750825697,98315.7742530496,4609182.2953216955,46.859488711467435
34-35,0.0010236406063155016,98269.77755929549,100.59293468328671,98219.48109195384,4510866.521068646,45.90288726711335
35-36,0.0011200838266299362,98169.1846246122,109.95771597147633,98114.20576662646,4412647.039976692,44.94941112987902
36-37,0.0012215905497345541,98059.22690864072,119.7882249058718,97999.33279618778,4314532.834210065,43.99925402460908
37-38,0.0013279525035652519,97939.43868373484,130.05892279784115,97874.40922233592,4216533.501413877,43.05245729485819
38-39,0.0014410160401975706,97809.37976093701,140.94488511728585,97738.90731837836,4118659.092191541,42.10904007630203
39-40,0.001563578514488363,97668.43487581972,152.71226631553762,97592.07874266195,4020920.184873163,41.16908589746065
40-41,0.0016984990174095456,97515.72260950418,165.63035903422465,97432.90742998707,3923328.106130501,40.23277478895615
41-42,0.0018512804378576285,97350.09225046996,180.22232140693055,97259.98108976649,3825895.1987005137,39.30037568795467
42-43,0.002018145367153855,97169.86992906303,196.10292282428125,97071.8184676509,3728635.217610747,38.372339289254626
43-44,0.0022003648684414375,96973.76700623875,213.37767008095312,96867.07817119827,3631563.399143096,37.44892573792108
44-45,0.002399313121852792,96760.3893361578,232.15847180982834,96644.31010025289,3534696.320971898,36.53040614266151
45-46,0.0026159645188762776,96528.23086434796,252.51442701103227,96401.97365084244,3438052.010871645,35.61706228412258
46-47,0.0028522885341779295,96275.71643733693,274.60612211398177,96138.41337627995,3341650.0372208026,34.70916821892243
47-48,0.0031113720309386968,96001.11031522295,298.6951695738451,95851.76273043602,3245511.6238445225,33.80702174368373
48-49,0.003396129010739448,95702.41514564911,325.0177484739693,95539.90627141212,3149659.8611140866,32.91097571906239
49-50,0.003708440132233891,95377.39739717514,353.7013682157045,95200.54671306729,3054119.9548426745,32.02142266604908
50-51,0.004050305912661752,95023.69602895944,384.8750378690675,94831.25851002491,2958919.4081296073,31.13875308773347
51-52,0.00442253683015882,94638.82099109037,418.54367139590477,94429.54915539242,2864088.1496195826,30.26335408266781
52-53,0.004825871619624072,94220.27731969446,454.69496231022316,93992.92983853935,2769658.6004641904,29.39556833468649
53-54,0.00526102656770737,93765.58235738424,493.3032199187519,93518.93074742486,2675665.670625651,28.535690851121092
54-55,0.005730845997958351,93272.27913746548,534.5290676153983,93005.01460365778,2582146.739878226,27.68396745267301
55-56,0.00623974484749709,92737.75006985008,578.65989816682,92448.42012076668,2489141.7252745684,26.8406525217589
56-57,0.006793674672756844,92159.09017168326,626.0988767636787,91846.04073330142,2396693.3051538016,26.006043469927917
57-58,0.00739753350985981,91532.99129491959,677.118370361874,91194.43210973864,2304847.2644205,25.180508490040218
58-59,0.008058348734988618,90855.87292455771,732.1483086478963,90489.79877023377,2213652.8323107613,24.364444048089997
59-60,0.008781052859729566,90123.72461590981,791.3811897680148,89728.0340210258,2123163.0335405273,23.55831433497722
60-61,0.009567019874092577,89332.3434261418,854.644304957162,88905.02127366322,2033434.9995195016,22.762584317523306
61-62,0.010419584977863874,88477.69912118463,921.900904639055,88016.74866886511,1944529.9782458383,21.977628233556203
62-63,0.011348136704725174,87555.79821654558,993.5951674526918,87059.00063281922,1856513.2295769732,21.20377253583355
63-64,0.012360233008092943,86562.20304909289,1069.9289993806415,86027.23854940257,1769454.228944154,20.441418617091177
64-65,0.013462384456794594,85492.27404971224,1150.92986134287,84916.8091190408,1683426.9903947515,19.69098388254205
65-66,0.014663540451595028,84341.34418836937,1236.7427122480535,83722.97283224534,1598510.1812757107,18.952865841283856
66-67,0.015616064169345939,83104.60147612132,1297.7667894190317,82455.7180814118,1514787.2084434654,18.227476957202107
67-68,0.017061004840711876,81806.83468670228,1395.7068025931437,81108.98128540571,1432331.4903620535,17.508702003292147
68-69,0.01862216175562402,80411.12788410914,1497.4290304100496,79662.41336890412,1351222.5090766477,16.803924340224015
69-70,0.020313473078217313,78913.6988536991,1603.0112971671651,78112.19320511552,1271560.0957077437,16.113299898223424
70-71,0.022155240086695182,77310.68755653194,1712.8368440824427,76454.2691344907,1193447.902502628,15.437036459285691
71-72,0.024166958248874024,75597.8507124495,1826.9701018723783,74684.36566151331,1116993.6333681373,14.775468122987128
72-73,0.026360566278887044,73770.88061057712,1944.6421877869814,72798.55951668363,1042309.267706624,14.129006717552722
73-74,0.028751386972867006,71826.23842279013,2065.103975699048,70793.68643494061,969510.7081899403,13.498001976424245
74-75,0.031353332917894286,69761.13444709108,2187.24407304963,68667.51241056627,898717.0217549996,12.882775328669767
75-76,0.034174351879698237,67573.89037404145,2309.293907522646,66419.24342028012,830049.5093444334,12.283583270844169
76-77,0.037235267103368254,65264.59646651881,2430.1446818243717,64049.52412560662,763630.2659241533,11.70052842226491
77-78,0.040564319865030084,62834.451784694436,2548.8368007381555,61560.03338432536,699580.7417985466,11.13371282677371
78-79,0.04418139987175863,60285.61498395628,2663.502862121056,58953.86355289575,638020.7084142213,10.583299325784713
79-80,0.04809292851505616,57622.11212183522,2771.216119161972,56236.50406225424,579066.8448613256,10.049385965529282
80-81,0.05273422698466713,54850.896002673246,2892.5196001173417,53404.63620261457,522830.34079907136,9.531846859413024
81-82,0.057522819131519846,51958.37640255591,2988.792288171652,50463.98025847008,469425.7045964568,9.034649215354717
82-83,0.06271740245502058,48969.584114384255,3071.24511495682,47433.961556905844,418961.72433798667,8.555549978929093
83-84,0.06834688772041661,45898.33899942743,3137.0086221474858,44329.83468835369,371527.76278108085,8.094579692431038
84-85,0.07444123016395576,42761.33037727995,3183.20603673205,41169.72735891392,327197.92809272715,7.651724705613339
