x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0017134833311637572,100000.0,171.34833311637573,99914.3258334418,7605766.7377,76.057667377
1-2,0.0008321004607843583,99828.65166688363,83.06746705149506,99787.11793335788,7505852.411866559,75.18735640057224
2-3,0.000427400593687609,99745.58419983213,42.63132190472564,99724.26853887977,7406065.293933201,74.24955554018065
3-4,0.0002250039650060851,99702.9528779274,22.433559720348526,99691.73609806722,7306341.0253943205,73.28108962168787
4-5,0.00018375105028926977,99680.51931820705,18.31640011810039,99671.361118148,7206649.289296254,72.297469340932
5-6,0.00018189063067600657,99662.20291808895,18.12762094333134,99653.13910761729,7106977.9281781055,71.31066462597899
6-7,0.0001827200332050748,99644.07529714562,18.20696874698342,99634.97181277213,7007324.789070488,70.32354676556689
7-8,0.00017387659067305918,99625.86832839865,17.322606327785063,99617.20702523475,6907689.817257715,69.33630725794796
8-9,0.00015215720157550188,99608.54572207086,15.156157570075733,99600.96764328583,6808072.610232481,68.34827836186324
9-10,0.00012596711228143144,99593.38956450079,12.545491685759812,99587.1168186579,6708471.642589195,67.35860353708026
10-11,0.00010870244399977728,99580.84407281503,10.82468112627573,99575.43173225189,6608884.525770537,66.3670265833258
11-12,0.00010757051939545242,99570.01939168875,10.710798702179227,99564.66399233766,6509309.094038284,65.37418726847838
12-13,0.00012653357274694884,99559.30859298658,12.597595016486595,99553.00979547834,6409744.4300459465,64.38116656926522
13-14,0.0001739095033289161,99546.71099797009,17.31211906768413,99538.05493843625,6310191.420250468,63.389250704416966
14-15,0.00026022182130032505,99529.3988789024,25.899721449194512,99516.44901817781,6210653.3653120315,62.400189645157454
15-16,0.00038062042849844763,99503.4991574532,37.873064486404765,99484.56262521,6111136.916293854,61.41630161793265
16-17,0.0005075602290105266,99465.62609296679,50.484795958421635,99440.38369498758,6011652.353668644,60.4394964351783
17-18,0.0006166049035813811,99415.14129700838,61.29986361397123,99384.4913652014,5912211.969973656,59.46993478901355
18-19,0.0007016336726002977,99353.84143339441,69.71000065186014,99318.98643306848,5812827.478608455,58.506318374265405
19-20,0.0007667092796371082,99284.13143274255,76.12206489019401,99246.07040029745,5713508.492175386,57.54704613642971
20-21,0.0008172543424085217,99208.00936785236,81.07817645758263,99167.47027962357,5614262.421775089,56.59081819652305
21-22,0.0008572873742787065,99126.93119139477,84.98026656137684,99084.44105811408,5515094.951495465,55.63669615522438
22-23,0.0008887746948710808,99041.95092483339,88.02597971265536,98997.93793497706,5416010.510437351,54.68400470572073
23-24,0.0009121546387579898,98953.92494512074,90.26128166200185,98908.79430428974,5317012.572502374,53.73220491709811
24-25,0.0009283581122986468,98863.66366345875,91.78088417353689,98817.77322137199,5218103.778198084,52.780805250764345
25-26,0.0009394430136304685,98771.88277928521,92.79055522012708,98725.48750167515,5119286.004976712,51.82938566045384
26-27,0.0009498911057638882,98679.09222406508,93.73439202849389,98632.22502805083,5020560.517475037,50.87765203671647
27-28,0.0009586358665835821,98585.35783203659,94.50745993776694,98538.10410206771,4921928.292446986,49.92555081894262
28-29,0.0009681121774777519,98490.85037209882,95.35019161536805,98443.17527629113,4823390.188344918,48.97297738949487
