x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.014093192577050266,100000.0,1409.3192577050265,99295.34037114748,7540879.2511,75.408792511
1-2,0.0006536136899284312,98590.68074229498,64.44021863252733,98558.46063297872,7441583.910728852,75.47958746912724
2-3,0.00034843522422617,98526.24052366245,34.33001270902388,98509.07551730794,7343025.450095873,74.52862720700628
3-4,0.0002831133927351382,98491.91051095343,27.884378941721643,98477.96832148256,7244516.374578565,73.55443037906034
4-5,0.0002379200735473367,98464.02613201171,23.42656833909511,98452.31284784217,7146038.406257083,72.5751189239034
5-6,0.0002094481019164657,98440.59956367261,20.61819673013009,98430.29046530755,7047586.09340924,71.59227112235102
6-7,0.0001906235366097246,98419.98136694249,18.761164921229774,98410.60078448188,6949155.802943933,70.6071643829637
7-8,0.0001751496986847971,98401.22020202126,17.23494406860039,98392.60272998696,6850745.202159451,69.62053100657313
8-9,0.00015898998971454237,98383.98525795266,15.642068804237582,98376.16422355054,6752352.599429464,68.63263956756266
9-10,0.00014231957611789944,98368.34318914842,13.999740906099664,98361.34331869538,6653976.435205913,67.64347369774498
10-11,0.00012958439069481027,98354.34344824232,12.745187667928585,98347.97085440836,6555615.091887218,66.6530308886361
11-12,0.00012902505939241552,98341.59826057439,12.688530556315678,98335.25399529624,6457267.12103281,65.66160439982963
12-13,0.0001506094550581114,98328.90973001807,14.80926351089625,98321.50509826263,6358931.867037513,64.670012964623
13-14,0.0001997530007564843,98314.10046650718,19.638536584859285,98304.28119821475,6260610.3619392505,63.679679031107675
14-15,0.0002685922298902856,98294.46192992233,26.40112871562362,98281.26136556451,6162306.080741036,62.692301883033515
15-16,0.00035106135767358737,98268.06080120671,34.49811884082226,98250.8117417863,6064024.819375471,61.70901073994742
16-17,0.0004314307230359134,98233.56268236588,42.38097697444683,98212.37219387866,5965774.007633685,60.730506404656886
17-18,0.0004969799640700893,98191.18170539144,48.79904995594505,98166.78218041347,5867561.635439807,59.75650291127551
18-19,0.0005393022783022173,98142.3826554355,52.92841056408438,98115.91845015346,5769394.853259393,58.78596684894996
19-20,0.0005665591766338419,98089.45424487142,55.57348043343726,98061.6675046547,5671278.93480924,57.817417565107526
20-21,0.0005896779608289749,98033.88076443798,57.80841890132466,98004.97655498733,5573217.267304585,56.849909682717396
21-22,0.0006262467741271102,97976.07234553665,61.3571992480367,97945.39374591263,5475212.290749598,55.88315758810906
22-23,0.0006866584252651359,97914.71514628861,67.23396411263488,97881.09816423229,5377266.897003686,54.91786284594535
23-24,0.0007764794052425204,97847.48118217598,75.97655399281471,97809.49290517958,5279385.798839454,53.9552550055949
