x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.015214549010957413,100000.0,1521.4549010957412,99239.27254945213,7144904.335,71.44904335
1-2,0.0008377894747920486,98478.54509890426,82.50428857669607,98437.29295461591,7045665.062450548,71.54517824541807
2-3,0.0003697801385598766,98396.04081032757,36.384901604586204,98377.84835952528,6947227.769495931,70.60474905578474
3-4,0.00032321507355346574,98359.65590872298,31.79132341923148,98343.76024701337,6848849.921136406,69.63068198908796
4-5,0.00029330100467305143,98327.86458530375,28.83966147022534,98313.44475456863,6750506.160889393,68.65303329182983
5-6,0.00027606146249864347,98299.02492383352,27.136572582664087,98285.45663754219,6652192.716134824,67.67302850958329
6-7,0.0002640461560971277,98271.88835125086,25.94831437155389,98258.91419406509,6553907.259497282,66.69157751473959
7-8,0.000250648994653805,98245.94003687931,24.62524609906181,98233.62741382979,6455648.345303217,65.70905976246868
8-9,0.00023199157752069066,98221.31479078025,22.786517764469455,98209.92153189801,6357414.717889387,64.72540844552144
9-10,0.00020992165074283598,98198.52827301578,20.613997155588525,98188.22127443798,6259204.796357489,63.740311656763105
10-11,0.0001922272437340856,98177.9142758602,18.87246985680994,98168.47804093179,6161016.575083051,62.753589954781816
11-12,0.00019209434796774652,98159.04180600338,18.855797132862993,98149.61390743696,6062848.097042119,61.76555909158556
12-13,0.00022523986639428175,98140.18600887051,22.105082384547952,98129.13346767824,5964698.483134682,60.77733012036024
13-14,0.0003009112895425946,98118.08092648597,29.524838259033547,98103.31850735645,5866569.349667004,59.79091003688173
14-15,0.0004093717819987891,98088.55608822693,40.15468699952563,98068.47874472717,5768466.031159648,58.80875671134491
15-16,0.0005271630590392856,98048.40140122741,51.68749521658282,98022.55765361912,5670397.55241492,57.83263644667577
16-17,0.0006460550762179011,97996.71390601083,63.31127447165168,97965.058268775,5572374.994761301,56.86287603588214
17-18,0.0007802147441563365,97933.40263153918,76.40908467852583,97895.19808919991,5474409.936492526,55.89931309840456
18-19,0.0009332639873109036,97856.99354686066,91.32640798380055,97811.33034286875,5376514.738403326,54.94257020913565
19-20,0.0011032217693482014,97765.66713887686,107.85721228245905,97711.73853273563,5278703.408060458,53.993426962064504
20-21,0.001300672588984988,97657.8099265944,127.02083647182741,97594.29950835848,5180991.669527722,53.05250725387015
21-22,0.0015019271267223393,97530.78909012258,146.48413782509027,97457.54702121003,5083397.370019363,52.1209498809867
22-23,0.0016639158811225959,97384.30495229749,162.03929158221365,97303.28530650638,4985939.822998153,51.198597406845536
23-24,0.0017548025467215521,97222.26566071527,170.60587937946246,97136.96272102554,4888636.537691646,50.28309620711713
24-25,0.0017851454543103247,97051.65978133581,173.25132929192378,96965.03411668984,4791499.574970621,49.37060927928698
25-26,0.0017966744691178997,96878.40845204389,174.05896307456302,96791.37897050662,4694534.540853931,48.4580064419389
26-27,0.0018263240996297225,96704.34948896932,176.61348401071993,96616.04274696397,4597743.161883424,47.544326456669566
27-28,0.0018585525920328712,96527.7360049586,179.4018739550805,96438.03506798107,4501127.11913646,46.63040184538502
