x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01716677314430771,100000.0,1716.677314430771,99141.66134278462,6733870.6509,67.33870650899999
1-2,0.0010146744648703305,98283.32268556923,99.72557785165797,98233.4598966434,6634728.989557215,67.50615270490219
2-3,0.00039030237082012534,98183.59710771758,38.321290726790174,98164.43646235418,6536495.529660571,66.57421119425231
3-4,0.0003619109947852281,98145.27581699079,35.51985440439773,98127.51588978858,6438331.093198217,65.60001018493874
4-5,0.0003468638360855096,98109.7559625864,34.03072631059592,98092.7405994311,6340203.5773084285,64.62357912424356
5-6,0.0003405864295174855,98075.7252362758,33.40326108056112,98059.02360573552,6242110.836708997,63.6458289925568
6-7,0.0003352524249741108,98042.32197519524,32.86892619227675,98025.8875120991,6144051.813103261,62.667342932348234
7-8,0.00032396042432342875,98009.45304900297,31.75118399746217,97993.57745700424,6046025.925591162,61.68819167441183
8-9,0.0003029893736974757,97977.70186500551,29.68620252439602,97962.85876374331,5948032.348134158,60.708020650753845
9-10,0.0002758012131990952,97948.01566248112,27.014181550156273,97934.50857170604,5850069.489370415,59.72626857014805
10-11,0.0002534215533028075,97921.00148093097,24.815292296264037,97908.59383478283,5752134.980798709,58.742607753239476
11-12,0.0002538653430942056,97896.1861886347,24.85244889439198,97883.75996418751,5654226.386963926,57.75737142679779
12-13,0.0002985154364454884,97871.33373974031,29.21610390682063,97856.7256877869,5556342.626999739,56.77191078007763
13-14,0.0004004561282809744,97842.11763583349,39.181475611257525,97822.52689802786,5458485.901311952,55.78871383005357
14-15,0.0005482474897739605,97802.93616022223,53.62021424236475,97776.12605310105,5360663.374413924,54.81086340426432
15-16,0.0007012338219149086,97749.31594597986,68.54512641036739,97715.04338277467,5262887.248360823,53.84065553225255
16-17,0.0008589013192049267,97680.7708195695,83.89814291788235,97638.82174811055,5165172.204978048,52.87808605154097
17-18,0.0010631869978687725,97596.87267665162,103.76372606247006,97544.99081362039,5067533.383229937,51.92311233187964
18-19,0.0013320956268953277,97493.10895058914,129.87014408550954,97428.17387854638,4969988.392416317,50.97784290513472
19-20,0.00165644530291806,97363.23880650364,161.27687959792235,97282.60036670468,4872560.21853777,50.04517391026124
20-21,0.002049429644189286,97201.96192690571,199.2085822463589,97102.35763578254,4775277.618171065,49.12737894901747
