x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.008606277279276217,100000.0,860.6277279276218,99569.6861360362,7848798.4574,78.487984574
1-2,0.0005201574152681023,99139.37227207237,51.568079632343334,99113.5882322562,7749228.771263964,78.16499735339687
2-3,0.00027515135908940357,99087.80419244003,27.264143992734574,99074.17212044366,7650115.183031707,77.20541640194483
3-4,0.00023290019735490233,99060.54004844729,23.07121932736658,99049.00443878361,7551041.0109112635,76.22652781035006
4-5,0.00020943876977527236,99037.46882911993,20.74228563322776,99027.09768630331,7451992.00647248,75.2441686421753
5-6,0.0001993940903522784,99016.7265434867,19.74335011879883,99006.8548684273,7352964.908786176,74.25982624821333
6-7,0.00019444780174981762,98996.98319336791,19.24974576181403,98987.35832048701,7253958.053917749,73.2745364548009
7-8,0.00018755977609858683,98977.7334476061,18.56424152417861,98968.451326844,7154970.695597262,72.28869005557446
8-9,0.0001739614618334028,98959.16920608192,17.21508173690907,98950.56166521346,7056002.244270418,71.30215725211205
9-10,0.00015449840455890762,98941.95412434501,15.286374056151933,98934.31093731693,6957051.682605204,70.31447624191807
10-11,0.0001358931683727162,98926.66775028885,13.443458317141758,98919.94602113028,6858117.371667887,69.32526413382465
11-12,0.00013012675785795545,98913.22429197171,12.87125718639104,98906.78866337851,6759197.425646757,68.33461828819756
12-13,0.00015144725403531018,98900.35303478532,14.978186890240993,98892.8639413402,6660290.636983378,67.34344653593718
13-14,0.00020738620779005529,98885.37484789509,20.507462895603076,98875.12111644729,6561397.773042038,66.35357132573692
14-15,0.00028655671168407564,98864.86738499948,28.33039129892767,98850.70218935002,6462522.651925591,65.36723128104992
15-16,0.000377475475872158,98836.53699370056,37.30836883525326,98817.88280928294,6363671.949736241,64.38582474962509
16-17,0.00046001900610265553,98799.22862486531,45.44952295571957,98776.50386338745,6264854.066926958,63.40994918810783
17-18,0.0005210530558886643,98753.77910190959,51.455958381604106,98728.05112271878,6166077.56306357,62.43890227937958
18-19,0.0005507771459068829,98702.32314352799,54.362983835371224,98675.1416516103,6067349.511940852,61.47119255863932
19-20,0.0005579984228382959,98647.96015969262,55.045406185323536,98620.43745659996,5968674.370289242,60.50479260419651
20-21,0.0005595173144350919,98592.9147535073,55.164442885210356,98565.3325320647,5870053.9328326415,59.53829387749005
21-22,0.0005691770925515605,98537.75031062208,56.08543022837151,98509.70759550789,5771488.600300577,58.571345317982434
22-23,0.0005863089190046884,98481.66488039371,57.74067847780563,98452.79454115481,5672978.892705069,57.60441702112692
23-24,0.0006158115623412521,98423.92420191591,60.61059053453881,98393.61890664864,5574526.098163914,56.63791749176569
24-25,0.0006542929486426536,98363.31361138138,64.35842250105279,98331.13440013086,5476132.479257265,55.67250917239977
25-26,0.0007020351193911094,98298.95518888033,69.0093187420469,98264.4505295093,5377801.344857134,54.70863179088475
26-27,0.0007484541969175333,98229.94587013828,73.52061524948712,98193.18556251354,5279536.894327625,53.746714889849024
27-28,0.0007816547580091432,98156.42525488879,76.72443682965265,98118.06303647396,5181343.708765111,52.786597467362924
28-29,0.0007960544935441582,98079.70081805914,78.07678656168262,98040.66242477829,5083225.6457286365,51.82749950632677
29-30,0.0008018652750030089,98001.62403149746,78.58409920475819,97962.33198189508,4985184.983303858,50.86839154524249
30-31,0.0008279015923905473,97923.0399322927,81.07064069166827,97882.50461194686,4887222.6513219625,49.90881262163791
31-32,0.0008904781094656958,97841.96929160102,87.12613184118555,97798.40622568043,4789340.146710016,48.94975215018637
32-33,0.0009936881539102343,97754.84315975984,97.13782963520626,97706.27424494224,4691541.740484335,47.99293404641847
