x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01000522489423059,100000.0,1000.522489423059,99499.73875528848,7168210.7999,71.682107999
1-2,0.0005928467422241307,98999.47751057694,58.691517724036636,98970.13175171491,7068711.061144711,71.40149866335913
2-3,0.0004480273479512361,98940.7859928529,44.328177952588696,98918.62190387661,6969740.929392996,70.4435573201982
3-4,0.00034050991996946515,98896.45781490032,33.675224935815294,98879.62020243242,6870822.3074891195,69.47490799264926
4-5,0.00028111982219356006,98862.78258996451,27.79228786325141,98848.88644603289,6771942.687286687,68.49840263320792
5-6,0.0002550475176939446,98834.99030210126,25.207618937856015,98822.38649263233,6673093.800840654,67.51752370737859
6-7,0.00024389958475128242,98809.7826831634,24.09966496578801,98797.7328506805,6574271.414348022,66.53462072099303
7-8,0.0002324225180339409,98785.68301819761,22.960017192792204,98774.20300960122,6475473.681497342,65.55073046672639
8-9,0.00021020579403816647,98762.72300100482,20.760496609797706,98752.34275269993,6376699.478487741,64.56585323617357
9-10,0.00017914134605540431,98741.96250439502,17.688768075189586,98733.11812035742,6277947.135735041,63.57932308116328
10-11,0.00015408410485750104,98724.27373631984,15.211841346367743,98716.66781564665,6179214.017614684,62.590625220688786
11-12,0.00016156822497606386,98709.06189497348,15.948247919423286,98701.08777101377,6080497.349799037,61.60019387347325
12-13,0.0002330918625212725,98693.11364705405,23.004561678015445,98681.61136621505,5981796.262028024,60.61006731857808
13-14,0.00038496272037448855,98670.10908537604,37.9843136131539,98651.11692856946,5883114.650661808,59.62408175277622
14-15,0.0005916469231932995,98632.12477176289,58.35539314923113,98602.94707518828,5784463.533733239,58.64685108547167
15-16,0.0008161722422040347,98573.76937861365,80.45317437624652,98533.54279142553,5685860.586658051,57.681273857136716
16-17,0.0010245181632989485,98493.3162042374,100.90819141478786,98442.86210853001,5587327.043866626,56.727981747316235
17-18,0.0012099096047537548,98392.40801282262,119.0459194895644,98332.88505307784,5488884.181758096,55.78564741542638
18-19,0.0013600660325630298,98273.36209333305,133.65826168890953,98206.53296248859,5390551.296705019,54.852619080900645
19-20,0.0014819508513228203,98139.70383164415,145.4382176418745,98066.98472282321,5292344.76374253,53.92664290918786
20-21,0.0016086782546552818,97994.26561400227,157.64124417415928,97915.4449919152,5194277.779019707,53.00593607670756
21-22,0.0017486559973230217,97836.62436982812,171.08259996213962,97751.08306984705,5096362.334027791,52.09053733051179
22-23,0.0018400635166382084,97665.54176986597,179.71080024343541,97575.68636974426,4998611.250957944,51.180909462791014
23-24,0.0018784097877325022,97485.83096962253,183.11833905857526,97394.27180009325,4901035.5645882,50.27433746874874
24-25,0.0018849103516915139,97302.71263056395,183.4068902850146,97211.00918542144,4803641.292788107,49.36801002687797
25-26,0.0018782388904944292,97119.30574027894,182.41325705921076,97028.09911174934,4706430.283602686,48.460295795244306
26-27,0.0018459933215508762,96936.89248321974,178.94485613591897,96847.42005515177,4609402.184490936,47.55054619982631
27-28,0.0018148732626431013,96757.94762708382,175.60341209661593,96670.14592103551,4512554.764435784,46.63756182414787
28-29,0.001792975193934048,96582.3442149872,173.16974734947163,96495.75934131246,4415884.618514748,45.72144789409152
29-30,0.0017862726606038624,96409.17446763773,172.21307258292921,96323.06793134626,4319388.859173436,44.802674465627256
30-31,0.0017987721150702883,96236.9613950548,173.10836259652038,96150.40721375654,4223065.791242089,43.88195273442096
31-32,0.0018328574598017507,96063.85303245827,176.07134964784018,95975.81735763435,4126915.384028333,42.960127600065356
32-33,0.0018897034545913478,95887.78168281043,181.1994722991078,95797.18194666087,4030939.5666706986,42.03809386272741
33-34,0.0019696776973638394,95706.58221051132,188.51112047096294,95612.32665027583,3935142.3847240377,41.11673715469746
34-35,0.002072686550999505,95518.07109004035,197.97902132574126,95419.08157937748,3839530.058073762,40.1968969249224
35-36,0.0021984473184414365,95320.09206871461,209.55620080205648,95215.31396831358,3744110.9764943845,39.27934704254502
36-37,0.0023466865026677214,95110.53586791256,223.19461078272462,94998.9385625212,3648895.662526071,38.36478923421878
37-38,0.0025172736110560348,94887.34125712984,238.8574001698415,94767.91255704493,3553896.72396355,37.45385503355022
38-39,0.002710303879056964,94648.48385696,256.5261529443791,94520.22078048781,3459128.811406505,36.54711275284878
39-40,0.002926143608079794,94391.95770401561,276.2044236897436,94253.85549217074,3364608.590626017,35.645076894966024
40-41,0.003165450204419774,94115.75328032587,297.9187304603285,93966.7939150957,3270354.7351338463,34.74821824347537
41-42,0.003429176619863149,93817.83454986554,321.7179247645881,93656.97558748325,3176387.9412187506,33.856973532366645
42-43,0.0037185674298493205,93496.11662510096,347.671614099494,93322.28081805121,3082730.9656312675,32.97175408891416
43-44,0.004035151606052086,93148.44501100146,375.86809748739694,92960.51096225776,2989408.6848132163,32.0929531830633
44-45,0.004380735289782789,92772.57691351406,406.4121016091191,92569.3708627095,2896448.1738509587,31.22095203360722
45-46,0.004757396563476018,92366.16481190494,439.42247505761605,92146.45357437612,2803878.8029882493,30.356124547317588
46-47,0.0051674832969562726,91926.74233684732,475.0299055692616,91689.22738406269,2711732.349413873,29.498840930066546
47-48,0.005613614535920757,91451.71243127807,513.3746622390676,91195.02510015853,2620043.1220298107,28.649470331117723
48-49,0.006098685523494221,90938.337769039,554.6043240826659,90661.03560699767,2528848.096929652,27.80838267961642
49-50,0.006625876233112369,90383.73344495634,598.8714312928997,90084.29772930988,2438187.0613226546,26.97594985725512
50-51,0.007198663187523414,89784.86201366344,646.3309809746283,89461.69652317613,2348102.763593345,26.152546330538563
51-52,0.007820834303322045,89138.53103268881,697.1376812481893,88789.96219206472,2258641.067070169,25.338549344523994
