x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005748278711209945,100000.0,574.8278711209945,99712.5860644395,7976691.2319,79.766912319
1-2,0.00041964933390100024,99425.172128879,41.72370725687637,99404.31027525057,7876978.645835561,79.22519495993527
2-3,0.00023663813855888662,99383.44842162212,23.517914238055777,99371.68946450308,7777574.335560311,78.2582458053267
3-4,0.00020536370743781316,99359.93050738407,20.404923699759866,99349.72804553418,7678202.646095808,77.27665072717811
4-5,0.00019306935148757822,99339.5255836843,19.179417781525615,99329.93587479353,7578852.918050273,76.29242110347906
5-6,0.00019325729586476808,99320.34616590277,19.194381524375054,99310.74897514058,7479522.98217548,75.30705712283594
6-7,0.00019660772581120282,99301.1517843784,19.5233736227597,99291.39009756701,7380212.233200339,74.32151692686972
7-8,0.00019534371614782187,99281.62841075564,19.39404223896418,99271.93138963616,7280920.843102772,73.33603366153083
8-9,0.00018405098159326866,99262.23436851669,18.269311670666585,99253.09971268135,7181648.911713135,72.35026450292118
9-10,0.0001638243024820668,99243.96505684602,16.25857335099241,99235.83577017052,7082395.812000454,71.36349104898947
10-11,0.00014265501484487882,99227.70648349503,14.155329941426261,99220.62881852432,6983159.976230284,70.3751021131565
11-12,0.00013468979242439505,99213.5511535536,13.363052610559235,99206.86962724832,6883939.34741176,69.38507156907862
12-13,0.00015664530391362955,99200.18810094305,15.539243613361442,99192.41847913637,6784732.477784512,68.39435093490526
13-14,0.000217227214766784,99184.6488573297,21.545605018899217,99173.87605482024,6685540.059305375,67.40498793237717
14-15,0.00030292872975032934,99163.1032523108,30.039352906323263,99148.08357585764,6586366.183250555,66.41952467433569
15-16,0.0003992906420649762,99133.06389940447,39.582904734261525,99113.27244703734,6487218.099674697,65.43949964320298
16-17,0.0004834622175862325,99093.48099467022,47.90795407002245,99069.5270176352,6388104.8272276595,64.46543973534693
17-18,0.000541683210171058,99045.5730406002,53.651323957864314,99018.74737862126,6289035.300210024,63.496379566929846
18-19,0.0005632974945507088,98991.92171664233,55.76190148374452,98964.04076590046,6190016.552831403,62.530522142502754
19-20,0.0005578819096823355,98936.1598151586,55.19469377431742,98908.56246827144,6091052.512065503,61.56548347384165
20-21,0.0005471312054628661,98880.96512138427,54.100861644194595,98853.91469056217,5992143.949597231,60.599569818532785
21-22,0.0005426709080188041,98826.86425974008,53.630464164484245,98800.04902765783,5893290.034906669,59.63247016942404
22-23,0.0005367420321954632,98773.2337955756,53.01574623395485,98746.72592245862,5794489.9858790105,58.664577064182005
23-24,0.0005320668619091337,98720.21804934164,52.52575662449863,98693.95517102939,5695743.259956552,57.69581320322597
24-25,0.0005297127268498944,98667.69229271714,52.2655323363615,98641.55952654895,5597049.304785523,56.726261400548154
25-26,0.0005313157684750596,98615.42676038078,52.395931252687674,98589.22879475444,5498407.745258974,55.756060951996865
