x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0043720097550834945,100000.0,437.2009755083495,99781.39951224583,7375893.0708,73.758930708
1-2,0.0009080287577749388,99562.79902449164,90.40588471880504,99517.59608213224,7276111.671287754,73.08062592231752
2-3,0.0004036151966113207,99472.39313977284,40.148569514508004,99452.31885501559,7176594.075205621,72.14659111620534
3-4,0.0003376126062027717,99432.24457025834,33.56957922995631,99415.45978064336,7077141.756350606,71.17552044548218
4-5,0.00025435835651298026,99398.67499102838,25.282883610285854,99386.03354922324,6977726.296569962,70.19938945061153
5-6,0.00021299511409335833,99373.3921074181,21.16604698976355,99362.80908392322,6878340.263020739,69.21712258333264
6-7,0.0001933148446185037,99352.22606042834,19.20626014337416,99342.62293035665,6778977.453936816,68.23176211284571
7-8,0.0001772174644776286,99333.01980028496,17.60354590791258,99324.21802733101,6679634.83100646,67.24485819958227
8-9,0.0001531630660839693,99315.41625437705,15.21145366292607,99307.81052754559,6580310.612979129,66.25668865068187
9-10,0.00012374877735015587,99300.20480071413,12.288278934708451,99294.06066124677,6481002.802451584,65.26676168954864
10-11,0.0001074815813978615,99287.91652177942,10.671622281459713,99282.5807106387,6381708.741790337,64.27477748906604
11-12,0.00012500899778563606,99277.24489949796,12.41054888780539,99271.03962505407,6282426.161079698,63.28163283982781
12-13,0.0002016413846791334,99264.83435061015,20.015898648401837,99254.82640128596,6183155.121454644,62.289482090055365
13-14,0.0003654457162646109,99244.81845196175,36.26859376472843,99226.68415507939,6083900.295053358,61.30194391960318
14-15,0.0006039454788691899,99208.54985819702,59.916555152026696,99178.59158062101,5984673.610898279,60.32417185265208
15-16,0.0008675356260451537,99148.63330304499,86.0149716640785,99105.62581721295,5885495.019317658,59.36032422483131
16-17,0.0011078890782562055,99062.61833138092,109.75039291279988,99007.74313492452,5786389.3935004445,58.41143199086471
17-18,0.0012835947154876013,98952.86793846812,127.01537836816017,98889.36024928403,5687381.65036552,57.475662594257564
18-19,0.0013795042284430092,98825.85256009996,136.33068148614328,98757.68721935689,5588492.290116237,56.54889024830472
19-20,0.0014141383603527172,98689.52187861381,139.56063865341656,98619.74155928711,5489734.602896879,55.626316739573895
20-21,0.0014255904590845113,98549.9612399604,140.49188448683594,98479.71529771698,5391114.861337592,54.704383375765175
21-22,0.0014347057359159257,98409.46935547356,141.18863015274044,98338.8750403972,5292635.146039875,53.78176694482397
22-23,0.0014421725331436287,98268.28072532082,141.71981534130515,98197.42081765016,5194296.270999478,52.858320433208334
23-24,0.0014451046781743253,98126.56090997951,141.80315222416928,98055.65933386743,5096098.850181828,51.93393922015617
24-25,0.0014456515674871168,97984.75775775535,141.65181864234444,97913.93184843418,4998043.190847961,51.00837421269609
25-26,0.0014446107799235637,97843.105939113,141.34520558084589,97772.43333632257,4900129.258999527,50.08149743374704
26-27,0.0014476854701610867,97701.76073353215,141.44141942308949,97631.0400238206,4802356.825663205,49.153227020759225
27-28,0.001449235059333655,97560.31931410906,141.38783514979318,97489.62539653416,4704725.785639385,48.22376370552728
28-29,0.0014533824988788404,97418.93147895926,141.58697007099633,97348.13799392377,4607236.160242851,47.29302703589939
29-30,0.0014635784094962883,97277.34450888826,142.37302115634117,97206.15799831008,4509888.0222489275,46.36113418820615
30-31,0.001483598557691483,97134.97148773192,144.1093036006024,97062.91683593162,4412681.864250617,45.42835393540972
31-32,0.0015180756293951593,96990.86218413131,147.2394641557543,96917.24245205344,4315618.947414685,44.4951086136521
32-33,0.0015709289509305505,96843.62271997557,152.13445064380525,96767.55549465366,4218701.704962632,43.561998059088054
33-34,0.0016428999574367143,96691.48826933176,158.8544419621777,96612.06104835068,4121934.149467978,42.62975183489194
34-35,0.0017310934203100944,96532.63382736959,167.10700726376314,96449.08032373771,4025322.0884196274,41.69908070278241
35-36,0.0018339223731431878,96365.52682010582,176.72689563512196,96277.16337228825,3928873.00809589,40.770523835046006
36-37,0.0019542725118239543,96188.7999244707,187.97912763772715,96094.81036065184,3832595.8447236014,39.84451253922525
37-38,0.002095865153615084,96000.82079683298,201.2047750265285,95900.21840931971,3736501.0343629494,38.92155299661995
38-39,0.002257582630219433,95799.61602180645,216.2755491125215,95691.47824725018,3640600.8159536296,38.00224851762387
39-40,0.002434916344039935,95583.34047269392,232.73743793489623,95466.97175372647,3544909.3377063796,37.08710451189015
40-41,0.0026244792248546174,95350.60303475903,250.2456767420847,95225.48019638799,3449442.3659526533,36.17640849838356
41-42,0.002849816350495919,95100.35735801695,271.01855333688155,94964.84808134851,3354216.8857562654,35.270286873149225
42-43,0.0030973099698726183,94829.33880468007,293.7158565161639,94682.48087642199,3259252.037674917,34.36965899749651
43-44,0.0033683991776364674,94535.6229481639,318.43371459594647,94376.40609086593,3164569.556798495,33.47488976228255
44-45,0.003664764293431745,94217.18923356796,345.2837909306817,94044.54733810262,3070193.150707629,32.58633775516806
45-46,0.003988324232532284,93871.90544263727,374.3915952308494,93684.70964502185,2976148.6033695266,31.70435914063953
46-47,0.004341237082843749,93497.51384740643,405.8948742680577,93294.5664102724,2882463.893724505,30.82931058925117
47-48,0.004725904048392513,93091.61897313838,439.9420589765679,92871.6479436501,2789169.3273142325,29.961551405815044
48-49,0.005144976700821737,92651.67691416181,476.69071901542577,92413.3315546541,2696297.6793705826,29.10144499455307
49-50,0.00560136737071491,92174.98619514638,516.3059600695901,91916.83321511159,2603884.3478159285,28.249359780788772
50-51,0.006098262469897685,91658.6802350768,558.9586897179215,91379.20089021783,2511967.514600817,27.405669688439545
51-52,0.006639138535723341,91099.72154535887,604.823671905458,90797.30970940614,2420588.313710599,26.570754253133252
52-53,0.007227780809277518,90494.89787345342,654.0772861872755,90167.85923035978,2329791.004001193,25.74499843360379
53-54,0.007868304188761412,89840.82058726615,706.8949049485487,89487.37313479188,2239623.1447708337,24.9287921696507
54-55,0.008565176429143204,89133.9256823176,763.4477992911887,88752.201782672,2150135.771636042,24.12252972341132
55-56,0.009323243484850379,88370.47788302641,823.8994821760405,87958.5281419384,2061383.5698533698,23.326608831763554
56-57,0.010147756911228604,87546.57840085037,888.4013960216462,87102.37770283954,1973425.0417114315,22.54142969101192
57-58,0.011044403251373321,86658.17700482873,957.0878518702152,86179.63307889362,1886322.664008592,21.767393790241897
58-59,0.012019335337089524,85701.08915295852,1030.070129283214,85186.05408831692,1800143.0309296984,21.0049026065097
59-60,0.013079205425798948,84671.01902367531,1107.4296514223802,84117.30419796413,1714956.9768413815,20.254356173059087
60-61,0.014231200078918043,83563.58937225293,1189.210159669081,82968.98429241839,1630839.6726434175,19.51615153076387
61-62,0.015483076661243517,82374.37921258385,1275.40882827078,81736.67479844847,1547870.688350999,18.790681072769043
62-63,0.016843201304740613,81098.97038431307,1365.9662837901822,80415.98724241798,1466134.0135525505,18.07833079266989
63-64,0.018320588133207655,79733.00410052288,1460.755528749037,79002.62633614837,1385718.0263101326,17.379478447382933
64-65,0.019924939485800177,78272.24857177385,1559.5698162101032,77492.4636636688,1306715.399973984,16.694491647007638
65-66,0.02166668680640766,76712.67875556374,1662.1095846773621,75881.62396322507,1229222.9363103153,16.02372588535325
66-67,0.02355703178133722,75050.56917088637,1767.9686431660177,74166.58484930337,1153341.31234709,15.367522526324748
67-68,0.02560798720856904,73282.60052772035,1876.6198969245374,72344.29057925809,1079174.7274977867,14.726206762948745
68-69,0.027832416966907858,71405.98063079582,1987.4010268472555,70412.2801173722,1006830.4369185286,14.10008556740281
69-70,0.030244074321658862,69418.57960394857,2099.5006808458124,68368.82926352567,936418.1568011565,13.489445651923026
70-71,0.03285763765419209,67319.07892310276,2211.9459024692705,66213.10597186812,868049.3275376308,12.894551461840205
71-72,0.03568874253547243,65107.13302063349,2323.5917075961443,63945.337166835416,801836.2215657627,12.315643223172613
72-73,0.03875400887835057,62783.54131303735,2433.1139174597392,61566.98435430748,737890.8843989272,11.752935068122705
73-74,0.042071061700894634,60350.42739557761,2539.0065546347073,59080.92411826026,676323.9000446197,11.206613262430345
74-75,0.045658543815002804,57811.4208409429,2639.5852914737575,56491.628195206016,617242.9759263594,10.676834558773184
75-76,0.049536118523923776,55171.83554946914,2732.9985849609347,53805.336256988674,560751.3477311534,10.16372470022975
76-77,0.053724460173655224,52438.836964508206,2817.2482080525206,51030.212860481945,506946.01147416467,9.66737709719377
77-78,0.05824523016293895,49621.58875645568,2890.220858170465,48176.47832737045,455915.79861368274,9.18785170001976
78-79,0.0631210357834866,46731.36789828522,2949.7323453189383,45256.50172562575,407739.32028631226,8.725174088072736
79-80,0.0683753690476207,43781.63555296628,2993.585488442501,42284.84280874503,362482.8185606865,8.27933479374385
80-81,0.07403252247919029,40788.050064523784,3019.6422332841958,39278.22894788169,320197.97575194144,7.850288877389605
81-82,0.08011747871328154,37768.40783123959,3025.9096104538735,36255.45302601265,280919.7468040598,7.437955766080801
82-83,0.08665577069220291,34742.49822078571,3010.637959094674,33237.17924123837,244664.29377804714,7.042219365551254
83-84,0.09367330928427219,31731.860261691036,2972.4283604586903,30245.64608146169,211427.11453680877,6.662928450874929
84-85,0.10119617531595058,28759.431901232347,2910.3445126642505,27304.259644900223,181181.4684553471,6.299897337248287
85-86,0.10925037332715079,25849.087388568096,2824.0224473672097,24437.07616488449,153877.20881044687,5.9529068279021695
86-87,0.11786154486555833,23025.064941200886,2713.7697245997424,21668.180078901016,129440.13264556238,5.621705431715988
87-88,0.12705463985940826,20311.295216601142,2580.64429882338,19020.97306718945,107771.95256666136,5.306010838667517
88-89,0.1368535455771162,17730.650917777763,2426.5024434880365,16517.399696033743,88750.97949947191,5.005511636940814
89-90,0.14728067391796193,15304.148474289726,2254.0053010339398,14177.145823772757,72233.57980343817,4.719869251450827
90-91,0.1583565092920208,13050.143173255787,2066.5751186778816,12016.855613916845,58056.43397966542,4.448720079841188
91-92,0.17009912113651576,10983.568054577905,1868.2952730268119,10049.4204180645,46039.57836574857,4.191677798778646
92-93,0.18252364715726915,9115.272781551093,1663.752832922091,8283.396365090048,35990.15794768407,3.9483358106985618
