x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006279879660406309,100000.0,627.9879660406309,99686.00601697968,8179405.4507,81.794054507
1-2,0.0010120885094642576,99372.01203395937,100.57327154191421,99321.72539818841,8079719.44468302,81.3077976314081
2-3,0.0002904128998233586,99271.43876241746,28.82970640063062,99257.02390921714,7980397.719284832,80.38966513202264
3-4,0.0002656769106691456,99242.60905601682,26.366469780748325,99229.42582112645,7881140.695375615,79.41287286116348
4-5,0.00024396508542959608,99216.24258623607,24.20529909855461,99204.13993668678,7781911.269554488,78.43384376092112
5-6,0.0002295773175724808,99192.03728713751,22.772241844930527,99180.65116621504,7682707.129617802,77.45286153744559
6-7,0.0002239364760717188,99169.26504529259,22.207615748865102,99158.16123741816,7583526.478451587,76.4705322257661
7-8,0.00022868228188747288,99147.05742954373,22.67317533541638,99135.72084187601,7484368.31721417,75.48754860962708
8-9,0.0002440800175142819,99124.38425420831,24.194281444859573,99112.28711348589,7385232.596372293,74.50470085577106
9-10,0.00026815465633530896,99100.18997276346,26.574177384910215,99086.90288407101,7286120.309258807,73.52276833436257
10-11,0.00029675557732087513,99073.61579537854,29.400648052624135,99058.91547135223,7187033.406374737,72.54235498196067
11-12,0.0003239433311227472,99044.21514732591,32.08471298326281,99028.17279083429,7087974.490903384,71.56374029881695
12-13,0.00034322173197352747,99012.13043434265,33.983114894063895,98995.13887689561,6988946.318112549,70.58676838336581
13-14,0.0003509639895687398,98978.14731944859,34.73776546335615,98960.77843671691,6889951.179235654,69.61083194453592
14-15,0.0003509808347377774,98943.40955398523,34.72724047705952,98926.0459337467,6790990.400798937,68.63509587360294
15-16,0.0003501240752601214,98908.68231350816,34.63031093021417,98891.36715804305,6692064.354865191,67.65901838276983
16-17,0.0003530368995850629,98874.05200257796,34.9061887684024,98856.59890819376,6593172.987707147,66.68254060767372
17-18,0.0003588989331193784,98839.14581380955,35.47326398300692,98821.40918181805,6494316.388798954,65.70591373819406
18-19,0.0003696294983793889,98803.67254982654,36.520751922633785,98785.41217386523,6395494.979617136,64.72932447315556
19-20,0.00038530115431457447,98767.1517979039,38.05509759609517,98748.12424910585,6296709.56744327,63.75307430478017
20-21,0.0004038400716072883,98729.09670030781,39.8707654811752,98709.16131756722,6197961.443194164,62.777455181303615
21-22,0.0004247450545598705,98689.22593482664,41.91776065415932,98668.26705449956,6099252.281876597,61.80261547399795
22-23,0.00045068212012675554,98647.30817417247,44.458577992733474,98625.0788851761,6000584.0148220975,60.828664520955996
23-24,0.0004820940879068737,98602.84959617975,47.53585084108892,98579.0816707592,5901958.935936921,59.85586583053058
24-25,0.000518474647684408,98555.31374533866,51.09843157154075,98529.7645295529,5803379.854266162,58.88449474436017
25-26,0.0005648041506250143,98504.21531376711,55.635589663275766,98476.39751893547,5704850.089736609,57.91478132752852
26-27,0.0006164464060437648,98448.57972410384,60.68827315103687,98418.23558752832,5606373.692217673,56.94722776020939
27-28,0.0006612863906095043,98387.8914509528,65.06257361728028,98355.36016414416,5507955.456630145,55.98204591441934
28-29,0.000693008884652032,98322.82887733552,68.13859397611489,98288.75958034745,5409600.096466001,55.01875971464215
29-30,0.000717326796121976,98254.6902833594,70.48072218491924,98219.44992226694,5311311.336885653,54.0565679009136
30-31,0.0007276853367607647,98184.20956117449,71.44720959911275,98148.48595637493,5213091.886963386,53.09501303990562
31-32,0.0007538986620876154,98112.76235157538,73.96708027057285,98075.77881144009,5114943.4010070115,52.13331353038682
32-33,0.0008030266840393107,98038.79527130481,78.72776867392476,97999.43138696786,5016867.622195572,51.172269184992416
33-34,0.0008547530993018397,97960.06750263089,83.73167130569118,97918.20166697804,4918868.190808604,50.212993071656456
34-35,0.0008857921748912435,97876.3358313252,86.69809238641528,97832.98678513199,4820949.989141625,49.25552175808656
35-36,0.0009376819005304663,97789.63773893878,91.69557336723392,97743.78995225516,4723117.002356493,48.29874730659523
36-37,0.0009946120721348846,97697.94216557154,97.17155270061323,97649.35638922124,4625373.212404238,47.34360939317927
37-38,0.0010570948276803446,97600.77061287093,103.17326979248163,97549.18397797468,4527723.856015017,46.39024699890978
38-39,0.0011256932320653657,97497.59734307845,109.7523854717376,97442.72115034258,4430174.672037043,45.43880867595092
39-40,0.0012010263802185624,97387.8449576067,116.96537090672095,97329.36227215335,4332731.9508867,44.48945299870589
40-41,0.0012837749987606748,97270.87958669999,124.87392332086552,97208.44262503955,4235402.588614547,43.54234902172778
41-42,0.0013746875943953054,97146.00566337912,133.54540883050336,97079.23295896387,4138194.145989507,42.59767674163335
42-43,0.0014745872014725312,97012.46025454863,143.05333227472002,96940.93358841127,4041114.913030543,41.65562755987386
43-44,0.0015843787857721264,96869.4069222739,153.47783331797834,96792.66800561492,3944173.9794421317,40.7164047427983
44-45,0.0017050573664975958,96715.92908895593,164.90620735078343,96633.47598528054,3847381.3114365167,39.78022387499198
45-46,0.0018377169237652586,96551.02288160515,177.4334487563725,96462.30615722697,3750747.835451236,38.847313301388404
46-47,0.001983560164515965,96373.58943284878,191.1628129104156,96278.00802639357,3654285.529294009,37.91791455313847
47-48,0.002143909225766432,96182.42661993836,206.20639178708868,96079.32342404481,3558007.5212676153,36.99228275168148
48-49,0.002320217400440433,95976.22022815127,222.68569620185963,95864.87738005034,3461928.1978435703,36.07068698490102
49-50,0.002514081977654468,95753.53453194941,240.73223546348873,95633.16841421767,3366063.32046352,35.15341064867312
50-51,0.002727258296242351,95512.80229648593,260.4880824604467,95382.5582552557,3270430.152049302,34.240751746529234
51-52,0.002961675117435847,95252.31421402548,282.1064088858601,95111.26100958255,3175047.5937940464,33.3330231395736
52-53,0.0032194514299009607,94970.20780513962,305.75197131624816,94817.3318194815,3079936.3327844637,32.43055273822179
53-54,0.0035029148076626865,94664.45583382338,331.6015240996303,94498.65507177357,2985119.000964982,31.53368362677902
54-55,0.003814621448704218,94332.85430972374,359.8441293673623,94152.93224504007,2890620.3458932084,30.64277411136542
55-56,0.0041573780290305685,93973.01018035637,390.6813278456795,93777.66951643354,2796467.4136481686,29.75819768123941
56-57,0.004534265513524178,93582.32885251069,424.3271263912179,93370.16528931507,2702689.744131735,28.88034287318578
57-58,0.004948665070718027,93158.00172611947,461.00774919993705,92927.49785151951,2609319.57884242,28.00961302834412
58-59,0.005404286243327415,92696.99397691953,500.9610893472705,92446.5134322459,2516392.0809909008,27.14642593067746
59-60,0.0059051975295903985,92196.03288757226,544.4357856457268,91923.8149947494,2423945.567558655,26.29121331624449
60-61,0.006455859531647047,91651.59710192654,591.6898367411474,91355.75218355597,2332021.7525639054,25.444420242567553
61-62,0.0070611608257015145,91059.9072651854,642.9886499729398,90738.41294019892,2240666.0003803493,24.60650430770881
62-63,0.007726456703785832,90416.91861521246,698.6024069701663,90067.61741172738,2149927.5874401503,23.777934709206395
63-64,0.008457610927649697,89718.3162082423,758.802611573161,89338.91490245571,2059859.970028423,22.959191133807597
