x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006927415283737366,100000.0,692.7415283737366,99653.62923581313,7519487.9216,75.194879216
1-2,0.0015003307102661467,99307.25847162626,148.99372963731884,99232.7616068076,7419834.292364187,74.71593120742686
2-3,0.0006214183051366558,99158.26474198894,61.618760816258586,99127.45536158081,7320601.530757379,73.8274469587147
3-4,0.0003531939150842511,99096.64598117268,35.0003323658084,99079.14581498978,7221474.075395798,72.8730423103099
4-5,0.0002490266929713887,99061.64564880688,24.668994016225938,99049.31115179877,7122394.929580809,71.8986130599032
5-6,0.00020470771811351775,99036.97665479065,20.273633499863923,99026.83983804072,7023345.61842901,70.91639764923372
6-7,0.00018673238310784113,99016.70302129078,18.489624922647,99007.45820882946,6924318.778590969,69.93081538073518
7-8,0.000182133953638131,98998.21339636814,18.030936008991915,98989.19792836365,6825311.32038214,68.94378278378642
8-9,0.00018565023389758515,98980.18246035915,18.375694024991333,98970.99461334666,6726322.122453776,67.95625099143074
9-10,0.00019665131678655345,98961.80676633416,19.46096961217607,98952.07628152808,6627351.12784043,66.96877658558462
10-11,0.0002196048343918995,98942.34579672199,21.728217463035186,98931.48168799047,6528399.051558902,65.98185032899423
11-12,0.0002645538712009662,98920.61757925895,26.169832322183304,98907.53266309785,6429467.569870912,64.99623361853132
12-13,0.0003444993793544371,98894.44774693677,34.069075870419525,98877.41320900156,6330560.037207814,64.01330086201833
13-14,0.0004692916881937791,98860.37867106636,46.394354002021,98837.18149406534,6231682.623998812,63.03518869509095
14-15,0.0006391931715288188,98813.98431706433,63.161224027023316,98782.40370505082,6132845.442504747,62.06454971824931
15-16,0.0008421481818718731,98750.82309303731,83.16282612615235,98709.24167997424,6034063.038799696,61.103926527424996
16-17,0.001056372453185594,98667.66026691116,104.2297983262397,98615.54536774804,5935353.797119722,60.15500703131785
17-18,0.0012566500578720366,98563.43046858492,123.8597406024137,98501.50059828372,5836738.251751973,59.21809157821789
18-19,0.0014211553257996196,98439.5707279825,139.89792020950065,98369.62176787775,5738236.75115369,58.29197251387988
19-20,0.0015361591236070923,98299.672807773,151.00393923125247,98224.17083815737,5639867.129385812,57.37422077095503
20-21,0.00159758655634354,98148.66886854175,156.80099390739602,98070.26837158806,5541642.958547655,56.4617230415016
21-22,0.0016098591539273409,97991.86787463435,157.75310550841863,97912.99132188014,5443572.690176067,55.55126979659463
22-23,0.0015831874535556937,97834.11476912592,154.88974303220795,97756.66989760983,5345659.698854187,54.640037490696926
23-24,0.0015305069091057705,97679.22502609371,149.49872877853372,97604.47566170445,5247903.028956577,53.725887235025354
24-25,0.0014648837361318715,97529.72629731518,142.8697098423299,97458.29144239401,5150298.553294873,52.80747469335051
