x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006564967935532665,100000.0,656.4967935532665,99671.75160322337,7834371.3317,78.343713317
1-2,0.0012629098944136443,99343.50320644674,125.46189314513518,99280.77225987417,7734699.580096777,77.85813194067879
2-3,0.0004597761678541867,99218.0413133016,45.61809081702819,99195.23226789308,7635418.807836902,76.95595182862439
3-4,0.000310518334872177,99172.42322248456,30.794855724284723,99157.02579462242,7536223.575569009,75.99112062293928
4-5,0.00024656269928307787,99141.62836676028,24.44462750142818,99129.40605300957,7437066.549774387,75.01456928125108
5-6,0.00021679570100960674,99117.18373925885,21.488179330850617,99106.43964959342,7337937.1437213775,74.03294632568267
6-7,0.00020479665733081557,99095.695559928,20.2944672065454,99085.54832632473,7238830.704071784,73.0488914091542
7-8,0.00020472773307283841,99075.40109272145,20.28348226899508,99065.25935158695,7139745.15574546,72.06375222305286
8-9,0.00021402519547507117,99055.11761045246,21.200290909383252,99044.51746499777,7040679.896393873,71.07840630791324
9-10,0.00023141655877626803,99033.91731954308,22.91808834822211,99022.45827536896,6941635.378928875,70.09351509878154
10-11,0.00025717235312043584,99010.99923119486,25.462891657092047,98998.26778536632,6842612.920653505,69.10962391840643
11-12,0.0002935084617966384,98985.53633953776,29.053092511132984,98971.0097932822,6743614.652868139,68.12727295568068
12-13,0.0003438762814254835,98956.48324702663,34.02878748193067,98939.46885328567,6644643.643074856,67.14712796015323
13-14,0.00041163830912012943,98922.4544595447,40.72027188773998,98902.09432360082,6545704.174221571,66.17005421047756
14-15,0.0004990092243584431,98881.73418765696,49.34289748020044,98857.06273891685,6446802.07989797,65.19709765266941
15-16,0.0006032998885536323,98832.39129017676,59.62557065085262,98802.57850485134,6347945.017159053,64.2293982194681
16-17,0.0007154567708635865,98772.76571952591,70.66764401095756,98737.43189752044,6249142.438654202,63.267869367951086
17-18,0.0008218474856263459,98702.09807551495,81.11807112940696,98661.53903995025,6150405.006756682,62.31280921760278
18-19,0.0009117796687651578,98620.98000438555,89.9206044816939,98576.01970214471,6051743.467716732,61.36365170420755
19-20,0.0009781119095391842,98531.05939990385,96.37440265855875,98482.87219857458,5953167.448014587,60.419196589094994
