x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005540741070555355,100000.0,554.0741070555355,99722.96294647224,8260500.3873,82.605003873
1-2,0.0,99445.92589294446,0.0,99445.92589294446,8160777.424353527,82.0624610920589
2-3,0.0002368799104461428,99445.92589294446,23.556742019754438,99434.14752193459,8061331.498460582,81.0624610920589
3-4,0.0002155730521271616,99422.36915092471,21.4327835675782,99411.65275914092,7961897.350938648,80.081549242227
4-5,0.00020001080424918583,99400.93636735714,19.881261225957246,99390.99573674415,7862485.698179507,79.0987085787807
5-6,0.00019149163084966516,99381.05510613117,19.0306403178335,99371.53978597226,7763094.702442762,78.11443231461355
6-7,0.00018910189993482754,99362.02446581333,18.789547607856118,99352.6296920094,7663723.162656791,77.12929767542714
7-8,0.00019270171057646966,99343.23491820547,19.143611302938268,99333.663112554,7564370.532964781,76.14379116195407
8-9,0.00020157517538359548,99324.09130690254,20.021271125005132,99314.08067134004,7465036.869852227,75.15837065939957
9-10,0.00021464961469619254,99304.07003577753,21.315580370943366,99293.41224559206,7365722.789180887,74.17342296773077
10-11,0.00023046373155097518,99282.7544554066,22.88107407045221,99271.31391837136,7266429.376935295,73.18924033477589
11-12,0.00024715486563243945,99259.87338133615,24.532560668257087,99247.60710100202,7167158.063016923,72.20599643001927
12-13,0.0002626661440920282,99235.34082066789,26.06576433102308,99222.30793850237,7067910.455915921,71.22372329721347
13-14,0.0002755827870184644,99209.27505633686,27.340368518106736,99195.6048720778,6968688.147977419,70.24230490566723
14-15,0.0002863750202795477,99181.93468781875,28.403228557588868,99167.73307353996,6869492.5431053415,69.26152998252648
15-16,0.0002981433974957587,99153.53145926115,29.561970742966714,99138.75047388967,6770324.810031801,68.28122720786298
16-17,0.0003103782638175228,99123.96948851818,30.765925552547372,99108.5865257419,6671186.059557912,67.30144176006445
17-18,0.0003199845749747899,99093.20356296563,31.70829662498589,99077.34941465314,6572077.47303217,66.32218191287107
18-19,0.0003265946064002914,99061.49526634064,32.352950055934855,99045.31879131267,6473000.123617517,65.34325073747326
19-20,0.0003319177326069489,99029.1423162847,32.86952837963207,99012.70755209489,6373954.804826204,64.36443511212808
20-21,0.0003363028293682658,98996.27278790508,33.29272663548514,98979.62642458733,6274942.097274109,63.38563988886613
21-22,0.0003435996419479194,98962.9800612696,34.00364451515132,98945.97823901202,6175962.470849521,62.40679562222037
22-23,0.0003588887515291208,98928.97641675445,35.50449683626284,98911.22416833632,6077016.4926105095,61.42807408630295
23-24,0.00038572309633123995,98893.47191991819,38.14549619589737,98874.39917182023,5978105.2684421735,60.44994833716744
24-25,0.0004220507620539459,98855.32642372229,41.72196585022357,98834.46544079718,5879230.869270354,59.473081339798355
25-26,0.00047011181116101233,98813.60445787206,46.453442559038116,98790.37773659255,5780396.403829556,58.49798148284283
26-27,0.0005190780881478254,98767.15101531302,51.267863920836234,98741.5170833526,5681606.026092963,57.52525984284064
27-28,0.0005520512226022656,98715.88315139219,54.49622398398845,98688.6350394002,5582864.509009611,56.554875778679346
28-29,0.0005645490667875926,98661.3869274082,55.69919391783789,98633.53733044928,5484175.873970211,55.58583803413677
29-30,0.0005679125998937255,98605.68773349035,55.99941248503534,98577.68802724783,5385542.336639761,54.61695425922799
30-31,0.0005666626667935225,98549.68832100532,55.84442919565134,98521.7661064075,5286964.648612513,53.64770542339327
31-32,0.0005797155076035203,98493.84389180967,57.09840870756232,98465.29468745588,5188442.882506106,52.677839319636455
32-33,0.0006212233546950898,98436.7454831021,61.15120525427941,98406.16988047496,5089977.5878186505,51.70810516782484
33-34,0.0006874285883038499,98375.59427784782,67.62619589797322,98341.78117989884,4991571.417938176,50.73993661314202
34-35,0.000756125752759434,98307.96808194985,74.33318636821474,98270.80148876573,4893229.636758277,49.77449673946332
35-36,0.0008194078987635605,98233.63489558164,80.49341635769532,98193.38818740279,4794958.835269512,48.811782648238136
36-37,0.0008696749666999123,98153.14147922394,85.36133004743586,98110.46081420023,4696765.447082109,47.851402169091784
37-38,0.0009096639323362156,98067.7801491765,89.20872252598336,98023.17578791351,4598654.9862679085,46.89261834287094
38-39,0.0009483568133097955,97978.57142665051,92.91864577082447,97932.1121037651,4500631.810479995,45.93485845881406
39-40,0.0009986974363952233,97885.65278087968,97.7581504921375,97836.77370563362,4402699.69837623,44.97798781841728
40-41,0.0010701314840465676,97787.89463038754,104.645904802606,97735.57167798624,4304862.924670597,44.02245227736872
41-42,0.0011471468413827898,97683.24872558494,112.05703023156418,97627.22021046915,4207127.35299261,43.06907691830985
42-43,0.001232114647647446,97571.19169535338,120.21889447626174,97511.08224811524,4109500.1327821407,42.11796598337383
43-44,0.0013258785064260681,97450.97280087712,129.20815026699435,97386.36872574362,4011989.0505340253,41.169307347313776
44-45,0.0014293703919329328,97321.76465061013,139.10884888224726,97252.210226169,3914602.6818082817,40.223301497479994
45-46,0.0015436198738492876,97182.65580172789,150.01307888900195,97107.64926228339,3817350.471582113,39.28016208334822
46-47,0.001669764284246705,97032.64272283888,162.0216412246673,96951.63190222654,3720242.8223198294,38.34011645901698
47-48,0.0018090599193372797,96870.62108161421,175.2447579600572,96782.99870263418,3623291.1904176027,37.40340621296268
48-49,0.001962894377004694,96695.37632365416,189.80281046805356,96600.47491842014,3526508.1917149685,36.47028767860842
49-50,0.0021328001398123178,96505.5735131861,205.82710068159122,96402.65996284531,3429907.7167965486,35.54103241848411
50-51,0.002320469522437999,96299.74641250451,223.46062656872473,96188.01609922014,3333505.056833703,34.61592767393672
51-52,0.00252777111221412,96076.28578593579,242.85885977851657,95954.85635604653,3237317.040734483,33.6952767714963
52-53,0.0027567678415976815,95833.42692615728,264.1905095001317,95701.33167140721,3141362.1843784363,32.779399476123885
53-54,0.003009736841871832,95569.23641665715,287.63825179277217,95425.41729076076,3045660.8527070293,31.86863228067174
54-55,0.003289191238064696,95281.59816486438,313.3993978326731,95124.89846594805,2950235.4354162687,30.963328619987237
55-56,0.003597904055795938,94968.1987670317,341.68646751553814,94797.35553327393,2855110.5369503205,30.063858997202278
