x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004915106046066816,100000.0,491.5106046066816,99754.24469769666,7933230.8421,79.332308421
1-2,0.0006251879236076406,99508.48939539332,62.21150586643888,99477.3836424601,7833476.5974023035,78.72169143555453
2-3,0.0004460496988841917,99446.27788952689,44.357982307777114,99424.09889837299,7733999.213759843,77.77062528525609
3-4,0.0003227099261271301,99401.91990721911,32.07798623015358,99385.88091410404,7634575.114861471,76.80510720504711
4-5,0.0002593131249911877,99369.84192098895,25.767904238411973,99356.95796886974,7535189.2339473665,75.82973956966494
5-6,0.00022418180517258418,99344.07401675054,22.27113384627395,99332.9384498274,7435832.275978496,74.84927862657143
6-7,0.00020528252424230112,99321.80288290427,20.38903040809885,99311.60836770023,7336499.337528669,73.86595011951259
7-8,0.00019854604849380524,99301.41385249617,19.715903330261128,99291.55590083104,7237187.729160969,72.88101395928962
8-9,0.00020364884514710867,99281.69794916591,20.218603131591706,99271.58864760012,7137896.173260138,71.895387777462
9-10,0.00022220289968046154,99261.47934603432,22.056188537261068,99250.45125176568,7038624.584612538,70.9099303273052
10-11,0.00025575853157790845,99239.42315749706,25.381329141400133,99226.73249292636,6939374.133360772,69.92557909519184
11-12,0.0003040525410278921,99214.04182835566,30.166281523559114,99198.95868759388,6840147.400867846,68.94333982181251
12-13,0.0003642631188829614,99183.8755468321,36.12902784958855,99165.81103290731,6740948.442180252,67.96415652257254
13-14,0.0004316424750166845,99147.74651898252,42.796378699780476,99126.34832963263,6641782.631147345,66.98874018156056
14-15,0.0005010454065916315,99104.95014028273,49.65608003828133,99080.12210026359,6542656.282817712,66.01745193914738
15-16,0.0005684586636697748,99055.29406024444,56.30884009090314,99027.13964019899,6443576.160717448,65.05029561366533
16-17,0.000628972904094083,98998.98522015354,62.26767923628717,98967.8513805354,6344549.021077249,64.08701065943521
17-18,0.0006779315698531237,98936.71754091725,67.07232423862911,98903.18137879793,6245581.169696714,63.127030337485465
18-19,0.000713628251873753,98869.64521667862,70.55617207935653,98834.36713063894,6146677.988317916,62.169515980836294
19-20,0.0007368881047787043,98799.08904459926,72.8038734799372,98762.68710785928,6047843.621187277,61.21355651829136
20-21,0.0007490873686440114,98726.28517111932,73.95461317483206,98689.3078645319,5949080.934079418,60.25832860790876
21-22,0.0007539890256781079,98652.33055794449,74.38277459825919,98615.13917064536,5850391.626214886,59.30312637448131
22-23,0.0007562425853223404,98577.94778334623,74.54884208744842,98540.6733623025,5751776.48704424,58.34749674121281
23-24,0.0007599031210180359,98503.39894125878,74.85304028634724,98465.97242111561,5653235.813681938,57.391276589888754
24-25,0.0007662248726620862,98428.54590097243,75.4184000492869,98390.83670094778,5554769.8412608225,56.43454132553577
25-26,0.0007781663137325482,98353.12750092315,76.53509067146068,98314.85995558741,5456379.004559875,55.47743262672212
26-27,0.0007922470375181448,98276.59241025169,77.85933919440009,98237.66274065449,5358064.144604287,54.52024752992313
27-28,0.0008017142780445443,98198.73307105729,78.72732638895161,98159.3694078628,5259826.481863633,53.563078843976385
28-29,0.0008053973816010624,98120.00574466833,79.02559570943708,98080.49294681361,5161667.11245577,52.60565440535807
29-30,0.0008094362317881572,98040.9801489589,79.35792153259082,98001.3011881926,5063586.619508957,51.64765398933771
30-31,0.0008165850328507343,97961.62222742631,79.99399450469414,97921.62523017396,4965585.318320764,50.68908829207352
31-32,0.0008361083009159659,97881.62823292162,81.83964187271633,97840.70841198527,4867663.693090591,49.73010544437792
32-33,0.0008747223311441484,97799.7885910489,85.54765906176718,97757.01476151802,4769822.984678606,48.77130158863311
33-34,0.0009307018670538876,97714.24093198714,90.94282647315383,97668.76951875056,4672065.969917088,47.81356254068458
34-35,0.0009938240680859808,97623.29810551398,97.02038326319233,97574.78791388239,4574397.200398337,46.857638383147034
35-36,0.0010606960074994193,97526.27772225079,103.44573340627097,97474.55485554766,4476822.412484455,45.90375555226446
36-37,0.0011279386207573821,97422.83198884451,109.88697474377544,97367.88850147263,4379347.857628907,44.951966271421554
37-38,0.0011971226516500736,97312.94501410074,116.49553077515809,97254.69724871316,4281979.969127434,44.00216197862444
38-39,0.001273172301351754,97196.44948332559,123.74782727190514,97134.57556968964,4184725.271878721,43.05430181990985
39-40,0.0013628894584507818,97072.70165605369,132.29936179037333,97006.5519751585,4087590.6963090315,42.10854984537375
40-41,0.0014710608514178947,96940.40229426332,142.60523073579222,96869.09967889542,3990584.144333873,41.16533509135257
41-42,0.0015903266308539762,96797.79706352753,153.94011447812665,96720.82700628847,3893715.0446549775,40.22524440405981
42-43,0.0017228294155279772,96643.8569490494,166.50087958190022,96560.60650925845,3796994.217648689,39.28852114884511
43-44,0.0018698040512420506,96477.3560694675,180.39375123181216,96387.15919385159,3700433.6111394307,38.35546248256402
44-45,0.002032453862842693,96296.96231823569,195.7191330437154,96199.10275171383,3604046.451945579,37.42637737663178
45-46,0.0022120302147069846,96101.24318519197,212.57885359654833,95994.95375839369,3507847.3491938654,36.50158138364626
46-47,0.002409811921530448,95888.66433159541,231.07364644591007,95773.12750837246,3411852.3954354716,35.58139451850997
47-48,0.002627296488725043,95657.59068514951,251.32085212699067,95531.93025908602,3316079.267927099,34.66613829781423
48-49,0.0028660397360373547,95406.26983302252,273.4381604085445,95269.55075281825,3220547.337668013,33.75613933239951
49-50,0.0031279118348732306,95132.83167261397,297.56711007377214,94984.04811757708,3125277.7869151947,32.851726706405536
50-51,0.003415807848871058,94835.26456254021,323.93904104248816,94673.29504201896,3030293.7387976176,31.953237572287843
51-52,0.0037316549604141263,94511.32552149773,352.6836566976112,94334.98369314893,2935620.4437555987,31.06104403421849
52-53,0.004075917750497456,94158.64186480011,383.78287973947164,93966.75042493037,2841285.46006245,30.175514469953548
53-54,0.004449511057625408,93774.85898506064,417.2522719812906,93566.23284906999,2747318.7096375194,29.296964446250968
54-55,0.004854985261372275,93357.60671307935,453.24980462898964,93130.98181076486,2653752.4767884496,28.42566953268587
55-56,0.005295667338332186,92904.35690845037,491.9905684688368,92658.36162421595,2560621.4949776847,27.561909690639883
56-57,0.00577686668686201,92412.36633998153,533.8539205635275,92145.43937969976,2467963.133353469,26.705983529021733
57-58,0.006304673466196889,91878.512419418,579.2640193643459,91588.88040973582,2375817.6939737694,25.858251634814824
58-59,0.006886834220298338,91299.24840005365,628.7627881690078,90984.86700596915,2284228.8135640337,25.019141489040905
59-60,0.007528428211417831,90670.48561188464,682.6062418234669,90329.1824909729,2193243.946558065,24.189171721724907
60-61,0.008232857250010375,89987.87937006117,740.8573650848672,89617.45068751874,2102914.764067092,23.368866771703573
61-62,0.00900185972557349,89247.0220049763,803.3891730139671,88845.32741846931,2013297.3133795732,22.558705804965843
62-63,0.009839634886227718,88443.63283196233,870.2530550780917,88008.50630442328,1924451.9859611038,21.75907891094262
63-64,0.01074968266885043,87573.37977688423,941.3860428402292,87102.68675546412,1836443.4796566805,20.970339209649026
64-65,0.011740642323767656,86631.99373404401,1017.1152522262914,86123.43610793086,1749340.7929012163,20.192780028491637
65-66,0.012821408935946473,85614.87848181772,1097.7033680167492,85066.02679780935,1663217.3567932853,19.42673266944492
66-67,0.013927660678770102,84517.17511380097,1177.1265365132128,83928.61184554436,1578151.329995476,18.67255179637182
67-68,0.015259503311568499,83340.04857728776,1271.7277472514022,82704.18470366206,1494222.7181499316,17.929227828133815
68-69,0.016740729061457876,82068.32083003636,1373.8835235444385,81381.37906826414,1411518.5334462696,17.19931051555846
69-70,0.018381410266530666,80694.43730649192,1483.2775583574658,79952.79852731319,1330137.1543780055,16.483628844525015
70-71,0.020187946546635936,79211.15974813445,1599.1106588923783,78411.60441868826,1250184.3558506924,15.782932099793378
71-72,0.022161692925406203,77612.04908924208,1720.0143992273352,76752.04188962841,1171772.7514320042,15.097820057355312
72-73,0.024309184846009108,75892.03469001474,1844.8734996193039,74969.59794020509,1095020.7095423758,14.428664536601886
73-74,0.026634201281479034,74047.16119039543,1972.1869954671147,73061.06769266188,1020051.1116021706,13.77569504628734
74-75,0.029152920559535347,72074.97419492832,2101.1959970353055,71024.37619641067,946990.0439095087,13.138957793427075
75-76,0.03188997485088666,69973.77819789301,2231.46202695233,68858.04718441685,875965.6677130981,12.518484642000857
