x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0041209677381664955,100000.0,412.09677381664955,99793.95161309167,7635216.2235,76.35216223500001
1-2,0.0012121527738418957,99587.90322618335,120.71575313671642,99527.54534961499,7535422.271886908,75.66604002870218
2-3,0.0006442780672227231,99467.18747304664,64.08452729721475,99435.14520939803,7435894.726537294,74.75726332919842
3-4,0.0004240500214594907,99403.10294574942,42.151887937285004,99382.02700178078,7336459.581327896,73.80513649892667
4-5,0.0003153046608325495,99360.95105781213,31.328970973283006,99345.28657232548,7237077.554326115,72.83623473083804
5-6,0.00025500129077239047,99329.62208683885,25.329181844077652,99316.95749591681,7137732.26775379,71.85904987651753
6-7,0.00022052275738519242,99304.29290499477,21.898856491596245,99293.34347674897,7038415.3102578735,70.87725116769708
7-8,0.0002040490398865233,99282.39404850318,20.258477183232547,99272.26480991156,6939121.9667811245,69.89277437640256
8-9,0.000205602128260797,99262.13557131994,20.408506329175143,99251.93131815536,6839849.701971213,68.90693679521709
9-10,0.00022932432233924044,99241.72706499077,22.758541806954867,99230.3477940873,6740597.770653058,67.92100429931877
10-11,0.0002796363299878451,99218.96852318382,27.74522822300265,99205.09590907232,6641367.42285897,66.9364691219011
11-12,0.00035782327656866576,99191.22329496082,35.492928526257046,99173.47683069769,6542162.326949898,65.95505236885467
12-13,0.00046033349628777086,99155.73036643455,45.64470403654831,99132.90801441627,6442988.850119201,64.97848209386224
13-14,0.0005791885020385038,99110.085662398,57.40342205171209,99081.38395137215,6343855.942104784,64.00817736868952
14-15,0.0007038760387982991,99052.6822403463,69.72080960768159,99017.82183554246,6244774.558153411,63.04498189156335
15-16,0.0008236917218760655,98982.96143073862,81.53144593727728,98942.19570776998,6145756.736317869,62.089036814868805
16-17,0.0009296825415527936,98901.42998480135,91.94693279147579,98855.45651840561,6046814.540610099,61.13980901529272
17-18,0.0010157809770016794,98809.48305200988,100.36879323160147,98759.29865539407,5947959.084091693,60.196237247399566
18-19,0.0010791102188533847,98709.11425877828,106.51801389061399,98655.85525183298,5849199.785436299,59.256937207458776
19-20,0.0011196673602420592,98602.59624488767,110.40210865052696,98547.3951905624,5750543.930184466,58.32041091395318
20-21,0.0011396584333326159,98492.19413623714,112.24745966479588,98436.07040640475,5651996.534993904,57.385223108908555
21-22,0.0011427252794998467,98379.94667657235,112.42125206316615,98323.73605054077,5553560.464587499,56.45012680119691
22-23,0.0011332288164524588,98267.52542450918,111.35959153252844,98211.84562874291,5455236.728536959,55.51413556992199
23-24,0.0011156760839047036,98156.16583297665,109.51048670763606,98101.41058962283,5357024.882908216,54.57654990338329
24-25,0.0010943185363238197,98046.65534626902,107.29427236997513,97993.00821008404,5258923.4723185925,53.63694920286448
25-26,0.001072910993489045,97939.36107389904,105.08021719147932,97886.8209653033,5160930.464108508,52.69516165430553
26-27,0.0010546015151216344,97834.28085670756,103.1761808223193,97782.6927662964,5063043.643143205,51.75122256541921
27-28,0.0010419166993275396,97731.10467588523,101.82767000553261,97680.19084088247,4965260.950376908,50.80532924337309
28-29,0.0010368091089126548,97629.2770058797,101.22292369625288,97578.66554403158,4867580.759536026,49.85779787391929
29-30,0.001040739536578654,97528.05408218344,101.5013018089095,97477.30343127898,4770002.093991995,48.90902560172566
30-31,0.0010547738870387814,97426.55278037454,102.76298377694464,97375.17128848606,4672524.790560716,47.95945927691637
31-32,0.0010796810340337698,97323.78979659759,105.07865000367573,97271.25047159575,4575149.61927223,47.00957113193075
32-33,0.0011160234032713894,97218.71114659391,108.4983568754799,97164.46196815617,4477878.3688006345,46.05984090910794
33-34,0.0011642360648269536,97110.21278971843,113.05921199280988,97053.68318372202,4380713.906832478,45.11074356636862
34-35,0.0012246928997293237,96997.15357772562,118.79172528059533,96937.75771508532,4283660.223648756,44.162741540824484
35-36,0.0012977601655050257,96878.36185244503,125.72487891148484,96815.49941298929,4186722.4659336703,43.21628055922795
36-37,0.001383838779759894,96752.63697353355,133.8900510880067,96685.69194798954,4089906.966520681,42.2717880820082
37-38,0.0014833971008241368,96618.74692244554,143.32396907001672,96547.08493791053,3993221.2745726914,41.32967360648956
38-39,0.001596996097637115,96475.42295337553,154.07087397443087,96398.3875163883,3896674.189634781,40.39033020376556
39-40,0.0017253087080484988,96321.3520794011,166.1840675135961,96238.2600456443,3800275.8021183927,39.45413680432653
40-41,0.0018691349844056472,96155.16801188751,179.72698846242176,96065.3045176563,3704037.5420727483,38.52146087056729
41-42,0.0020294143829134308,95975.44102342508,194.77394041939857,95878.05405321538,3607972.237555092,37.592661196258334
42-43,0.0022072363088695987,95780.66708300568,211.41056607336134,95674.96179996901,3512094.183501877,36.66809065401703
43-44,0.0024038498058262603,95569.25651693232,229.73413872118783,95454.38944757172,3416419.221701908,35.74809877375796
44-45,0.0026206730834900634,95339.52237821113,249.85372008937645,95214.59551816645,3320964.832254336,34.833034080872515
45-46,0.0028593034197867268,95089.66865812175,271.89021478055423,94953.72355073148,3225750.2367361696,33.92324615551863
46-47,0.003121527845676225,94817.7784433412,295.97633567604845,94669.79027550318,3130796.5131854382,33.01908739674027
47-48,0.003409334923456769,94521.80210766515,322.2564809537324,94360.67386718828,3036126.722909935,32.12091448967119
48-49,0.003724927855959821,94199.54562671142,350.8865115236955,94024.10237094958,2941766.0490427464,31.229089582875577
49-50,0.004070739110607222,93848.65911518772,382.03340713823957,93657.6424116186,2847741.946671797,30.343981187589936
50-51,0.0044494467044721145,93466.62570804948,415.8747697348094,93258.68832318208,2754084.3042601785,29.465964812539422
51-52,0.0048639922704575185,93050.75093831467,452.5981333242302,92824.45187165255,2660825.6159369964,28.595423348070717
52-53,0.005317601007238585,92598.15280499044,492.40003062424955,92351.95278967833,2568001.164065344,27.732747212285048
53-54,0.005813803603997009,92105.75277436619,535.4847574284677,91838.01039565196,2475649.2112756656,26.87833427017666
54-55,0.006356460222962423,91570.26801693773,582.0627662556728,91279.2366338099,2383811.2008800134,26.032589534837665
55-56,0.0069497866164964775,90988.20525068205,632.3486111102246,90672.03094512694,2292531.9642462037,25.195924657817326
56-57,0.007598382449329265,90355.85663957182,686.5583552842337,90012.5774619297,2201859.9333010768,24.368757213871188
57-58,0.008307261889207627,89669.2982842876,744.9063442690532,89296.84511215307,2111847.355839147,23.55150978369146
58-59,0.009081886519390854,88924.39194001854,807.6012364050831,88520.591321816,2022550.5107269941,22.74460883681104
59-60,0.009928200612944374,88116.79070361346,874.8411754743063,87679.3701158763,1934029.9194051782,21.948483415725082
60-61,0.010852668790454139,87241.94952813916,946.807982862411,86768.54553670796,1846350.549289302,21.16356362134912
61-62,0.011862316058391081,86295.14154527674,1023.6602433136676,85783.3114236199,1759582.003752594,20.39027889918216
62-63,0.012964770193592013,85271.48130196307,1105.5251591471294,84718.7187223895,1673798.6923289741,19.62905612489273
63-64,0.014168306398775967,84165.95614281594,1192.4890549773565,83569.71161532725,1589079.9736065846,18.88031748739567
64-65,0.015481894103135817,82973.46708783858,1284.586430823942,82331.1738724266,1505510.2619912573,18.14447816670686
65-66,0.016915245719136066,81688.88065701464,1381.7874888345839,80997.98691259735,1423179.0881188307,17.42194380278391
66-67,0.01852884154425499,80307.09316818006,1487.9974041929306,79563.0944660836,1342181.1012062333,16.713107749964525
67-68,0.02026925799725914,78819.09576398713,1597.6045871509302,78020.29347041166,1262618.0067401496,16.01918918888494
68-69,0.022169459361195503,77221.4911768362,1711.9587104557875,76365.5118216083,1184597.713269738,15.340259495339513
69-70,0.024243392639876397,75509.53246638042,1830.607243635955,74594.22884456244,1108232.2014481297,14.676719153857228
70-71,0.02650608137899232,73678.92522274447,1952.9395878707548,72702.45542880909,1033637.9726035673,14.028950198156343
71-72,0.028973681061326757,71725.98563487371,2078.1658315941354,70686.90271907664,960935.5171747582,13.397313521301326
72-73,0.031663531547201015,69647.81980327958,2205.2959395349144,68545.17183351213,890248.6144556816,12.782146188785102
73-74,0.03459420500063682,67442.52386374466,2333.1204963027235,66275.9636155933,821703.4426221695,12.18375878521794
74-75,0.03778554744118922,65109.40336744193,2460.1944498080024,63879.306142537935,755427.4790065762,11.60243282745744
75-76,0.041258711728620376,62649.20891763393,2584.825650758771,61356.796092254546,691548.1728640383,11.038418278724468
76-77,0.04503617942484394,60064.38326687516,2705.0703418495837,58711.848095950365,630191.3767717837,10.49193119942226
77-78,0.04914176858948456,57359.31292502557,2818.7380822134373,55949.94388391885,571479.5286758334,9.963151570919528
78-79,0.05360062415961553,54540.57484281214,2923.408853598955,53078.87041601266,515529.5847919145,9.452221328390634
79-80,0.05843918715219261,51617.16598921318,3016.46522350942,50108.93337745847,462450.71437590185,8.959242637857018
80-81,0.06368513852548018,48600.70076570376,3095.1423606992544,47053.12958535413,412341.78099844337,8.484276450791882
81-82,0.06936731316493769,45505.55840500451,3156.59832062531,43927.25924469185,365288.65141308925,8.02734136700356
82-83,0.07551557914748039,42348.9600843792,3198.006247065425,40749.95696084649,321361.3921683974,7.588412832997391
83-84,0.0821606772205899,39150.95383731378,3216.6688811057525,37542.6193967609,280611.4352075509,7.167422698654848
84-85,0.08933401535154441,35934.28495620802,3210.153963924659,34329.20797424569,243068.81581079,6.764259149917976
85-86,0.09706741330638934,32724.130992283364,3176.4467481203937,31135.907618223166,208739.6078365443,6.378767029314451
86-87,0.10539279256376924,29547.68424416297,3114.1129562848205,27990.62776602056,177603.70021832114,6.010748549724537
87-88,0.11434180751554229,26433.57128787815,3022.4623201469285,24922.340127804684,149613.07245230058,5.659964399926158
88-89,0.12394541491575978,23411.10896773122,2901.6996146435104,21960.259160409463,124690.7323244959,5.326135233335755
89-90,0.13423337997064763,20509.409353087707,2753.0473386665767,19132.88568375442,102730.47316408643,5.008943524188827
90-91,0.14523371936394383,17756.36201442113,2578.822497727031,16466.950765557616,83597.58748033202,4.708035768387512
91-92,0.15697208391648126,15177.5395166941,2382.450006660217,13986.314513363992,67130.6367147744,4.423024999601284
92-93,0.16947108649196507,12795.089510033884,2168.3977210273874,11710.89064952019,53144.32220141041,4.15349358515505
93-94,0.18274958415137316,10626.691789006496,1942.0235053457488,9655.680036333622,41433.43155189022,3.8989962609768973
94-95,0.1968219273479124,8684.668283660747,1709.3331499673945,7830.0017086770495,31777.7515155566,3.6590633605825755
95=96,0.21169719300818027,6975.335133693352,1476.6588680942225,6237.005699646241,23947.74980687955,3.4332041898895143
96-97,0.22737842246556061,5498.67626559913,1250.2803349207502,4873.536098138755,17710.74410723331,3.2209104976838576
97-98,0.24386188913752452,4248.39593067838,1036.0218574594014,3730.3850019486795,12837.208009094555,3.021659990867358
98-99,0.26113642425022243,3212.3740732189785,838.8678788345263,2792.9401338017155,9106.823007145875,2.83491984419496
99-100,0.2791828314496244,2373.506194384452,662.642179811474,2042.1851044787152,6313.882873344159,2.6601501560359773
100-101,0.2979734224192223,1710.864014572978,509.7920057162005,1455.9680117148778,4271.697768865443,2.496807304659824
101-102,0.31747170528866714,1201.0720088567775,381.30637882624626,1010.4188194436543,2815.7297571505655,2.3443471635232562
102-103,0.3376322553657169,819.7656300305313,276.7793185385061,681.3759707612782,1805.3109377069113,2.202228138839725
103-104,0.35840079336439484,542.9863114920252,194.60672482474823,445.68294907965105,1123.9349669456333,2.0699139981213697
104-105,0.37971448979853895,348.3795866672769,132.28477700759092,282.2371981634814,678.2520178659822,1.946876464130354
105-106,0.40150250571558865,216.09480965968598,86.76260755049711,172.7135058844374,396.0148197025008,1.8325975544075281
106-107,0.4236867698235738,129.33220210918887,54.79634294581183,101.93403063628296,223.3013138180634,1.7265716517340437
107-108,0.4461829808823209,74.53585916337704,33.25663182414042,57.907543251306834,121.36728318178044,1.628307294556737
