x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.011203180551062846,100000.0,1120.3180551062846,99439.84097244685,7415627.2198,74.156272198
1-2,0.0018890488093333394,98879.68194489372,186.78854544526078,98786.28767217109,7316187.378827553,73.99080614867786
2-3,0.0007043772139813979,98692.89339944845,69.5170252924666,98658.13488680222,7217401.091155382,73.12989661721394
3-4,0.00039112882881095034,98623.37637415598,38.57444569460518,98604.08915130868,7118742.95626858,72.18109152196932
4-5,0.00028433009104757547,98584.80192846137,28.030625708226616,98570.78661560726,7020138.867117271,71.20913903353456
5-6,0.00024594240761149075,98556.77130275314,24.239289620614187,98544.65165794284,6921568.0805016635,70.22924948748106
6-7,0.00023541659251030317,98532.53201313253,23.196192937944023,98520.93391666356,6823023.428843721,69.24640308577821
7-8,0.0002381683058283292,98509.33582019458,23.461801620569688,98497.60491938429,6724502.494927057,68.26259094062964
8-9,0.00024821093731193977,98485.87401857402,24.445271102135873,98473.65138302295,6626004.890007673,67.27873368680301
9-10,0.0002628618631293093,98461.42874747189,25.881754606934198,98448.48787016842,6527531.23862465,66.29531301405427
10-11,0.00028085668229904995,98435.54699286495,27.646281148708276,98421.7238522906,6429082.750754481,65.31261264003022
11-12,0.00030159588933241147,98407.90071171624,29.679418332485707,98393.06100254999,6330661.02690219,64.33082080927345
12-13,0.00032481898726480587,98378.22129338376,31.955114209429873,98362.24373627904,6232267.965899641,63.35007773025045
13-14,0.0003504938116634552,98346.26617917433,34.46975769600756,98329.03130032633,6133905.7221633615,62.37049926214961
14-15,0.00037905518447613944,98311.79642147833,37.265596128724134,98293.16362341396,6035576.690863036,61.392192092468306
15-16,0.0004125101690410669,98274.5308253496,40.5392433231965,98254.261203688,5937283.527239622,60.415282346055406
16-17,0.0004561881719071403,98233.99158202641,44.81318503894604,98211.58498950694,5839029.266035934,59.440008208974014
17-18,0.0005180716571894944,98189.17839698747,50.869030370202196,98163.74388180237,5740817.681046427,58.466908215035645
18-19,0.0006024074661639264,98138.30936661726,59.11925027915543,98108.74974147769,5642653.937164625,57.496954793517475
19-20,0.0007017564314792704,98079.19011633811,68.82770245841836,98044.7762651089,5544545.187423147,56.531310880997296
20-21,0.000797523981642633,98010.36241387969,78.1656144745548,97971.2796066424,5446500.411158038,55.570658826446035
21-22,0.0008712229484181675,97932.19679940514,85.32077724064597,97889.53641078481,5348529.131551396,54.6146140528922
22-23,0.0009163067538714785,97846.87602216449,89.65775334433455,97802.04714549232,5250639.595140612,53.661801056900636
23-24,0.0009403913546502497,97757.21826882016,91.93004291465593,97711.25324736282,5152837.547995119,52.71055825080312
24-25,0.0009582938833415067,97665.2882259055,93.59204832167052,97618.49220174467,5055126.294747757,51.75970282353496
25-26,0.0009834474679027002,97571.69617758383,95.95663754481639,97523.71785881142,4957507.802546012,50.80887180154354
26-27,0.0010234547121380398,97475.73954003901,99.76200495139317,97425.85853756331,4859984.0846872,49.858396639206
27-28,0.0010802796072002332,97375.97753508762,105.19328276234319,97323.38089370645,4762558.226149637,48.908964476721565
28-29,0.0011526310802206442,97270.78425232528,112.11732912666692,97214.72558776195,4665234.845255931,47.961316248402795
