x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.013675773811754319,100000.0,1367.5773811754318,99316.21130941229,7068028.1544,70.68028154400001
1-2,0.0014830298281704975,98632.42261882457,146.27482476843528,98559.28520644036,6968711.943090588,70.65335878468596
2-3,0.0006112380682807089,98486.14779405613,60.198482730047274,98456.0485526911,6870152.657884148,69.75755283118889
3-4,0.00041568788419546753,98425.94931132608,40.91447461915547,98405.49207401651,6771696.609331457,68.79991157527219
4-5,0.0003398231385767087,98385.03483670692,33.43351132718857,98368.31808104333,6673291.11725744,67.82831482789364
5-6,0.00030962315487708373,98351.60132537973,30.451933089577242,98336.37535883494,6574922.799176397,66.85120232485458
6-7,0.00029799280995129897,98321.14939229016,29.298995585049994,98306.49989449763,6476586.423817562,65.87175255627578
7-8,0.00029111760474430826,98291.85039670511,28.614488053374675,98277.54315267842,6378279.923923064,64.8912386752348
8-9,0.00028187344869221015,98263.23590865174,27.697797185227888,98249.38701005913,6280002.380770385,63.90998955711627
9-10,0.00027023659644093004,98235.5381114665,26.546837468785977,98222.26469273212,6181752.993760326,62.92786818906592
10-11,0.00026302849603554397,98208.99127399772,25.831763271967482,98196.07539236173,6083530.729067594,61.944743043891734
11-12,0.0002735561300738831,98183.15951072575,26.858605154180903,98169.73020814866,5985334.653675232,60.960909014354755
12-13,0.0003187903853437107,98156.30090557157,31.29128498960038,98140.65526307677,5887164.923467084,59.97745299235207
13-14,0.0004093678964687045,98125.00962058197,40.169228779349034,98104.9250061923,5789024.268204007,58.996419878971864
14-15,0.0005353331332135493,98084.84039180262,52.50806492769459,98058.58635933876,5690919.343197815,58.02037624229473
15-16,0.0006739076484807334,98032.33232687492,66.06473855348607,97999.29995759818,5592860.756838476,57.0511852986408
16-17,0.0008167959958642447,97966.26758832144,80.01845509590609,97926.25836077349,5494861.456880878,56.089321275070404
17-18,0.0009768962319429135,97886.24913322553,95.62470793727331,97838.4367792569,5396935.198520104,55.134763527150234
18-19,0.0011544999029850739,97790.62442528826,112.89926641184509,97734.17479208234,5299096.7617408475,54.188188212146464
19-20,0.001342155402597639,97677.72515887642,131.09868653543333,97612.1758156087,5201362.586948765,53.25024286231643
20-21,0.001543591452773445,97546.62647234098,150.5721388695894,97471.3404029062,5103750.411133157,52.32113703676168
21-22,0.0017278579606995238,97396.05433347139,168.28654782081188,97311.91105956098,5006279.070730251,51.40125136475657
22-23,0.0018489798106133026,97227.76778565058,179.77217966666637,97137.88169581724,4908967.15967069,50.4893537255021
23-24,0.0018887782457633771,97047.99560598392,183.30214289552222,96956.34453453615,4811829.277974873,49.581954247782306
24-25,0.0018724947142123199,96864.69346308839,181.37862650342967,96774.00414983668,4714872.933440337,48.674834605624426
25-26,0.0018419579600384194,96683.31483658496,178.08660136614827,96594.27153590189,4618098.9292905005,47.76521095802367
26-27,0.001844455862458504,96505.22823521882,177.9996339763453,96416.22841823065,4521504.657754598,46.85243214734464
27-28,0.0018720352021663644,96327.22860124247,180.32796286865255,96237.06461980815,4425088.429336367,45.938085145733034
28-29,0.0019318655265225919,96146.90063837382,185.74288282526734,96054.02919696119,4328851.364716559,45.023306377791265
29-30,0.0020152376712935854,95961.15775554854,193.38454008992804,95864.46548550358,4232797.335519598,44.10948590576852
30-31,0.002101532952107113,95767.77321545861,201.25913116220724,95667.14364987751,4136932.8700340944,43.19754684832037
31-32,0.002194137987469003,95566.5140842964,209.68611888234622,95461.67102485523,4041265.726384217,42.28746611830516
32-33,0.002310942608355323,95356.82796541405,220.36415674288375,95246.64588704261,3945804.0553593617,41.37935520244555
33-34,0.0024517521878684636,95136.46380867116,233.25103328897842,95019.83829202667,3850557.4094723193,40.4740438662527
34-35,0.002608634366106163,94903.21277538218,247.56778229974742,94779.42888423231,3755537.5711802924,39.572291193860146
35-36,0.002780194046715197,94655.64499308243,263.1610606977549,94524.06446273356,3660758.14229606,38.67448309674075
36-37,0.0029616992641956657,94392.48393238468,279.5621502081449,94252.70285728062,3566234.0778333265,37.78091145888157
37-38,0.0031533728059542003,94112.92178217653,296.7731282368102,93964.53521805812,3471981.374976046,36.891654293890845
38-39,0.0033614780958690416,93816.14865393973,315.36092873901225,93658.46818957022,3378016.8397579878,36.00677376150349
39-40,0.0035960959897636388,93500.78772520072,336.23780777833554,93332.66882131156,3284358.3715684176,35.12653156699774
40-41,0.003864045344495819,93164.54991742238,359.9920453804643,92984.55389473215,3191025.702747106,34.251501301466206
41-42,0.004169246854483048,92804.55787204191,386.9251109897008,92611.09531654707,3098041.148852374,33.382424526216965
42-43,0.004501775359615558,92417.63276105221,416.0434219577044,92209.61105007336,3005430.053535827,32.52009344695542
43-44,0.004863883095255454,92001.58933909451,447.4849751230562,91777.84685153299,2913220.4424857534,31.66489256776165
44-45,0.005257451642118329,91554.10436397146,481.34127633103463,91313.43372580594,2821442.5956342206,30.817215844498172
45-46,0.005683587266857873,91072.76308764043,517.6199966424768,90813.95308931918,2730129.1619084147,29.97744956174414
46-47,0.006144425980074152,90555.14309099795,556.4093738376602,90276.93840407912,2639315.2088190955,29.14594487655852
47-48,0.00664388801856678,89998.7337171603,597.9415086296234,89699.76296284549,2549038.2704150164,28.323045948911883
48-49,0.00718545310260279,89400.79220853068,642.385199749934,89079.59960865571,2459338.507452171,27.50913550872874
49-50,0.007772050796853734,88758.40700878075,689.8348479200624,88413.48958482072,2370258.9078435153,26.70461297946716
50-51,0.00840816704817768,88068.57216086068,740.495266423007,87698.32452764918,2281845.4182586945,25.909871844984778
51-52,0.009094986689252862,87328.07689443768,794.2476969529611,86930.9530459612,2194147.0937310453,25.12533393336182
52-53,0.009830583807886817,86533.82919748471,850.6780601432366,86108.4901674131,2107216.1406850843,24.351356691682554
53-54,0.01061283268902145,85683.15113734147,909.340947288743,85228.4806636971,2021107.6505176711,23.588157341202812
54-55,0.011444120423689579,84773.81019005273,970.1616925899662,84288.72934375775,1935879.1698539741,22.835816456921837
55-56,0.012330621496978557,83803.64849746275,1033.351069688049,83286.97296261873,1851590.4405102164,22.09438936976921
56-57,0.013281289726275815,82770.2974277747,1099.2963008682977,82220.64927734055,1768303.4675475976,21.363985904371287
57-58,0.014303304326659983,81671.0011269064,1168.1651837811326,81086.91853501584,1686082.818270257,20.64481633634315
58-59,0.01541073888245536,80502.83594312526,1240.6081840166455,79882.53185111693,1604995.8997352412,19.937134896330367
59-60,0.016612269884715796,79262.22775910862,1316.7255191981244,78603.86499950955,1525113.3678841242,19.241363900585824
60-61,0.017906511255188867,77945.5022399105,1395.7320131503063,77247.63623333535,1446509.5028846145,18.557959873455754
61-62,0.01929531309667439,76549.77022676019,1477.051784003821,75811.24433475827,1369261.8666512792,17.887210668238087
62-63,0.020794111411617456,75072.71844275636,1561.0704712716642,74292.18320712053,1293450.622316521,17.22930312298187
63-64,0.0224117984502324,73511.6479714847,1647.5282380813503,72687.88385244402,1219158.4391094004,16.584561396070377
64-65,0.02415651869399035,71864.11973340335,1735.9869517671189,70996.12625751979,1146470.5552569563,15.953309655918074
65-66,0.026038148966309186,70128.13278163623,1826.0067680973548,69215.12939758756,1075474.4289994366,15.33584862936862
66-67,0.02806453394350939,68302.12601353887,1916.8673339208174,67343.69234657846,1006259.2996018489,14.732474058016699
67-68,0.030241262320872552,66385.25867961805,2007.574021969311,65381.4716686334,938915.6072552705,14.143435243456258
68-69,0.03257458697837654,64377.684657648744,2097.076488347076,63329.14641347521,873534.1355866371,13.568896430991046
69-70,0.03507494697742273,62280.60816930167,2184.489029259897,61188.36365467172,810204.9891731619,13.008944725952674
70-71,0.03776052188828268,60096.119140041774,2269.260822188391,58961.48872894758,749016.6255184902,12.463643846502956
71-72,0.04064386089529025,57826.85831785338,2350.306785482491,56651.704925112135,690055.1367895426,11.93312514051098
72-73,0.04372631739931815,55476.55153237089,2425.785300524079,54263.65888210885,633403.4318644304,11.417498282942764
73-74,0.047013455952708734,53050.766231846814,2494.0998614983782,51803.71630109762,579139.7729823216,10.916708920872459
74-75,0.050516946954981524,50556.66637034844,2553.9684332515903,49279.68215372264,527336.0566812239,10.430593916502914
75-76,0.054244636708468144,48002.69793709685,2603.888910624152,46700.75348178477,478056.3745275013,9.95894803983623
76-77,0.05822208104519973,45398.80902647269,2643.213138494838,44077.20245722527,431355.6210457165,9.501474384365169
77-78,0.06248028863620742,42755.595887977855,2671.3819718938994,41419.9049020309,387278.4185884913,9.057958626121906
78-79,0.06704547734665216,40084.21391608396,2687.465256069166,38740.48128804938,345858.5136864604,8.628297274595754
79-80,0.07191975701896461,37396.74866001479,2689.565076927554,36051.96612155101,307118.032398411,8.212426037100562
80-81,0.07761507508401363,34707.18358308724,2693.800659755961,33360.28325320926,271066.06627686,7.810085356766031
81-82,0.08339203242143271,32013.382923331275,2669.6610666621823,30678.552390000183,237705.78302365076,7.425200379257993
