x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.017963629205286692,100000.0,1796.3629205286693,99101.81853973567,6686328.996,66.86328996
1-2,0.001086552416717369,98203.63707947133,106.70339919913499,98150.28537987176,6587227.177460264,67.0772221209032
2-3,0.0005204797449203829,98096.9336802722,51.057467019379786,98071.4049467625,6489076.892080393,66.1496404488062
3-4,0.0004395595786576302,98045.87621325282,43.09700403741557,98024.32771123412,6391005.487133631,65.18382755061513
4-5,0.00039358634556429357,98002.77920921541,38.57255572409942,97983.49293135336,6292981.159422397,64.21227244982715
5-6,0.0003711088073203642,97964.20665349132,36.35537989126285,97946.02896354569,6194997.666491044,63.23735860387598
6-7,0.00035823475532496113,97927.85127360006,35.0811598404973,97910.31069367981,6097051.637527498,62.2606496337082
7-8,0.00034199194586097276,97892.77011375956,33.47853893692551,97876.03084429109,5999141.326833819,61.28278237363512
8-9,0.00031419795936455286,97859.29157482264,30.747189717670054,97843.91797996381,5901265.295989528,60.30357670714851
9-10,0.00027732420852841325,97828.54438510496,27.13022364308598,97814.97927328342,5803421.378009564,59.32237277459863
10-11,0.00024586101722221096,97801.41416146187,24.045555171507765,97789.39138387612,5705606.39873628,58.33869016778026
11-12,0.00024649281505074723,97777.36860629036,24.101418836019068,97765.31789687235,5607817.007352404,57.352913944051814
12-13,0.00031296170824492175,97753.26718745434,30.59302948550797,97737.97067271158,5510051.689455532,56.36693123401498
13-14,0.0004663218394409994,97722.67415796884,45.570217168437445,97699.88904938463,5412313.71878282,55.3844209178497
14-15,0.0006865661075141194,97677.1039408004,67.06178904588738,97643.57304627745,5314613.829733435,54.41002666248671
15-16,0.0009266595523708981,97610.04215175452,90.45127796724934,97564.81651277089,5216970.256687158,53.44706488883924
16-17,0.001165953659728469,97519.59087378727,113.70332387451528,97462.73921185001,5119405.440174387,52.49617429999345
17-18,0.0014250036747699446,97405.88754991275,138.80374770285366,97336.48567606132,5021942.700962537,51.55687019831519
18-19,0.0017038199480833298,97267.08380220989,165.72559767409814,97184.22100337285,4924606.215286476,50.62973025181402
19-20,0.0019960403498214575,97101.35820453579,193.8182289987203,97004.44909003643,4827421.994283102,49.71528806131163
20-21,0.002328766709573232,96907.53997553707,225.67505300166792,96794.70244903624,4730417.545193066,48.813720236703894
21-22,0.002655040563573994,96681.8649225354,256.69427313131314,96553.51778596974,4633622.84274403,47.926494244361514
22-23,0.002879351967212952,96425.17064940408,277.64200479820624,96286.34964700499,4537069.32495806,47.05274872112554
23-24,0.002945477169430024,96147.52864460587,283.20035051980585,96005.92846934598,4440782.975311055,46.18717753761209
