x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005474791875910366,100000.0,547.4791875910365,99726.26040620448,7866304.0078,78.663040078
1-2,0.0011057914960335064,99452.52081240897,109.97375177345715,99397.53393652225,7766577.747393795,78.0933221596605
2-3,0.0004723792985944659,99342.54706063551,46.92736270109072,99319.08337928496,7667180.213457273,77.17921917964789
3-4,0.00027636094970986464,99295.61969793442,27.4414317617507,99281.89898205355,7567861.130077988,76.21545797387694
4-5,0.00019728394712452004,99268.17826617268,19.584018032211038,99258.38625715657,7468579.231095934,75.23638855414535
5-6,0.00016177151308279175,99248.59424814046,16.055595262861747,99240.56645050904,7369320.844838778,74.2511357532588
6-7,0.0001460038339196567,99232.5386528776,14.488331092900657,99225.29448733115,7270080.278388268,73.26306851646233
7-8,0.00014056493711039615,99218.0503217847,13.946579003697787,99211.07703228285,7170854.983900937,72.27369375475902
8-9,0.00014141526552026781,99204.10374278101,14.028974671485571,99197.08925544526,7071643.906868654,71.28378403784784
9-10,0.00014732494925221793,99190.07476810952,14.613172731535437,99182.76818174376,6972446.817613209,70.29379536121603
10-11,0.00015929096802058595,99175.46159537799,15.797755281416205,99167.56271773728,6873264.049431465,69.3040792436482
11-12,0.00018006355951357393,99159.66384009657,17.855042031217213,99150.73631908097,6774096.486713727,68.31504085812085
12-13,0.00021282824174684862,99141.80879806535,21.100176850094496,99131.2587096403,6674945.750394646,67.32725407492163
13-14,0.0002592636628047556,99120.70862121525,25.698397976939184,99107.85942222679,6575814.491685006,66.34147982954951
14-15,0.00031804404124859153,99095.0102232383,31.516577518969203,99079.25193447882,6476706.632262779,65.35855455963167
15-16,0.00038468188276516977,99063.49364571934,38.10793124893075,99044.43968009487,6377627.3803283,64.37918899909387
16-17,0.00045273666805834565,99025.38571447041,44.83242318156183,99002.96950287963,6278582.940648206,63.403771622277326
17-18,0.0005156759788601457,98980.55329128884,51.041893706604185,98955.03234443555,6179579.971145326,62.4322633655068
18-19,0.0005685249509456051,98929.51139758225,56.24389561438313,98901.38944977506,6080624.938800891,61.46421682367165
19-20,0.0006087674289517933,98873.26750196786,60.190824849235874,98843.17208954324,5981723.549351116,60.49889621815181
20-21,0.0006364155698409588,98813.07667711862,62.8861805012068,98781.63358686802,5882880.3772615725,59.53544384094485
21-22,0.0006534797370213062,98750.1904966174,64.53124851653342,98717.92487235914,5784098.743674705,58.57303884262212
22-23,0.0006631736556202423,98685.65924810087,65.44572940085662,98652.93638340045,5685380.818802346,57.6110132122541
23-24,0.0006691369999595599,98620.21351870001,65.99043380927415,98587.21830179538,5586727.882418945,56.64891286571399
24-25,0.0006748404522926395,98554.22308489073,66.50837648195736,98520.96889664976,5488140.66411715,55.68650933801062
25-26,0.0006832260501621884,98487.71470840878,67.2893723097266,98454.07002225392,5389619.6952205,54.72377657637273
26-27,0.0006965602261606687,98420.42533609906,68.55575373094237,98386.14745923359,5291165.625198246,53.76084900191475
27-28,0.0007164417523537119,98351.86958236812,70.46338579085555,98316.6378894727,5192779.477739013,52.79797425091287
28-29,0.0007439013082745524,98281.40619657727,73.11166664869653,98244.85036325292,5094462.83984954,51.8354695664393
29-30,0.0007795401943242776,98208.29452992858,76.55731300211642,98170.01587342752,4996217.989486287,50.87368651905171
30-31,0.0008236721352438825,98131.73721692646,80.82837752865738,98091.32302816212,4898047.97361286,49.91298546753955
31-32,0.0008764477104219323,98050.9088393978,85.9364945570798,98007.94059211927,4799956.650584698,48.953719117961185
32-33,0.0009379528633145072,97964.97234484072,91.88652631536986,97919.02908168304,4701948.709992578,47.99622352203118
33-34,0.0010082806651704407,97873.08581852535,98.68354007138636,97823.74404848965,4604029.680910896,47.040814565176895
34-35,0.001087579690245942,97774.40227845396,106.33745414398308,97721.23355138197,4506205.936862406,46.087788131182634
35-36,0.0011760840287369497,97668.06482430997,114.86585115751603,97610.63189873121,4408484.703311024,45.137422464970705
36-37,0.0012741300942369584,97553.19897315245,124.29546660077948,97491.05123985207,4310874.071412293,44.18998163862044
37-38,0.001382164722935522,97428.90350655167,134.66279342104468,97361.57210984114,4213383.020172441,43.24571937617167
38-39,0.001500748109171477,97294.24071313062,146.01414778350534,97221.23363923887,4116021.4480626,42.304882775112816
39-40,0.0016305541644385374,97148.22656534713,158.4054453939453,97069.02384265016,4018800.2144233612,41.36771567024026
40-41,0.0017723700641685898,96989.82111995318,171.90185548207145,96903.87019221214,3921731.1905807112,40.434461526952084
41-42,0.001927096105296386,96817.91926447111,186.57743513746223,96724.63054690238,3824827.320388499,39.50536583977261
42-43,0.0020957465334056078,96631.34182933366,202.5147996571583,96530.08442950508,3728102.689841597,38.58067806225873
43-44,0.002279451683654,96428.8270296765,219.80485212557645,96318.9246036137,3631572.6054120916,37.660653118744825
44-45,0.0024794615804988244,96209.02217755093,238.54657418659687,96089.74889045763,3535253.680808478,36.74555255622774
45-46,0.002697151025250603,95970.47560336434,258.8468666674021,95841.05217003063,3439163.9319180204,35.83564539298227
46-47,0.0029340261409765344,95711.62873669693,280.8204207089097,95571.21852634248,3343322.8797479896,34.931208713890804
47-48,0.003191732320909776,95430.80831598802,304.58959531268437,95278.51351833167,3247751.661221647,34.032528053915
48-49,0.003472063524729539,95126.21872067533,330.28427426550104,94961.07658354258,3152473.1477033156,33.13989760236456
49-50,0.0037769728769700486,94795.93444640982,358.04167325112064,94616.91360978427,3057512.071119773,32.25362025254628
50-51,0.004108584537012098,94437.8927731587,388.00606595580643,94243.8897401808,2962895.157509989,31.37400751440854
51-52,0.00446920682670837,94049.8867072029,420.32839572297996,93839.7225093414,2868651.2677698084,30.50137930203493
52-53,0.004861346617454971,93629.55831147991,455.1657365913158,93401.97544318424,2774811.545260467,29.636063603220563
53-54,0.005287724992268749,93174.3925748886,492.68056425769817,92928.05229275975,2681409.5698172827,28.778396034748592
54-55,0.005751294209615628,92681.7120106309,533.0397936240047,92415.19211381889,2588481.517524523,27.928719284205883
55-56,0.006255256004158289,92148.6722170069,576.4135351606465,91860.46544942657,2496066.325410704,27.08738243707468
56-57,0.00680308126520849,91572.25868184624,622.9735174512937,91260.7719231206,2404205.8599612773,26.254740186264506
57-58,0.007398531136480271,90949.28516439495,672.8911181293993,90612.83960533026,2312945.0880381567,25.43115192007726
58-59,0.008045679580719023,90276.39404626556,726.3349401989832,89913.22657616607,2222332.2484328263,24.61698068372013
59-60,0.008748937449836342,89550.05910606658,783.4678657481238,89158.32517319251,2132419.02185666,23.81259200879968
60-61,0.009513078095134133,88766.59124031845,844.4435147079988,88344.36948296445,2043260.6966834676,23.018352604661057
61-62,0.010343264542778839,87922.14772561046,909.4020330952698,87467.44670906282,1954916.327200503,22.234628904897235
62-63,0.01124507824650997,87012.7456925152,978.4651337560067,86523.51312563718,1867448.8804914402,21.461785461759973
63-64,0.012224549412157807,86034.28055875919,1051.7303138299994,85508.41540184419,1780925.367365803,20.70018318046464
64-65,0.013288188866314138,84982.55024492918,1129.2641779956498,84417.91815593136,1695416.9519639588,19.95017738438748
65-66,0.014443021413761532,83853.28606693354,1211.0948062789926,83247.73866379404,1610999.0338080274,19.212115700774
66-67,0.01571306465943572,82642.19126065454,1298.5620948761184,81992.91021321648,1527751.2951442334,18.486335754647236
67-68,0.017120032154827408,81343.62916577842,1392.6055469084831,80647.32639232418,1445758.384931017,17.773467937907707
68-69,0.018650594140844176,79951.02361886993,1491.1340926605899,79205.45657253964,1365111.0585386928,17.07434122477578
69-70,0.020315162904389006,78459.88952620934,1593.9254371853076,77662.92680761669,1285905.6019661531,16.389337401967655
70-71,0.02212494530092299,76865.96408902404,1700.6552509723679,76015.63646353786,1208242.6751585365,15.71882548378868
71-72,0.024091987930448814,75165.30883805167,1810.8817133147984,74259.86798139427,1132227.0386949987,15.063159537260097
72-73,0.02622922184640045,73354.42712473687,1924.0295424703381,72392.4123535017,1057967.1707136044,14.422676478879248
73-74,0.02855050604758647,71430.39758226654,2039.3739981540068,70410.71058318953,985574.7583601028,13.79769386310659
74-75,0.031070668844386654,69391.02358411252,2156.0255145549845,68313.01082683503,915164.0477769133,13.188507684536381
75-76,0.033805546010816444,67234.99806955754,2272.915820777582,66098.54015916874,846851.0369500782,12.595390217368251
76-77,0.036772014433356474,64962.08224877995,2388.786626073027,63767.68893574344,780752.4967909094,12.018587917193383
77-78,0.03998801974580586,62573.29562270692,2502.182180920952,61322.20453224645,716984.807855166,11.45831941117998
78-79,0.0434725961980454,60071.11344178597,2611.4472578217387,58765.3898128751,655662.6033229196,10.914773603427752
79-80,0.04724587674796626,57459.66618396423,2714.732306506859,56102.3000307108,596897.2135100445,10.388107922503487
80-81,0.051329091094083325,54744.93387745738,2810.007697935578,53339.93002848959,540794.9134793337,9.878446737918518
81-82,0.0557445490877248,51934.9261795218,2895.0890417817163,50487.38165863094,487454.9834508442,9.385879971521941
82-83,0.06051560668695278,49039.83713774008,2967.675496219699,47555.99938963023,436967.6017922133,8.910461928429442
83-84,0.06566661135131173,46072.16164152038,3025.4027326285313,44559.46027520612,389411.60240258306,8.452210370169478
84-85,0.07122282354240772,43046.758908891854,3065.911713840572,41513.80305197157,344852.1421273769,8.011105850204748
85-86,0.07721031080938365,39980.84719505128,3086.933638352384,38437.380375875095,303338.3390754054,7.587091328893894
86-87,0.08365581082395687,36893.9135566989,3086.390253054621,35350.71843017159,264900.9586995303,7.180072081332009
87-88,0.09058655971450966,33807.52330364428,3062.5072285452493,32276.269689371657,229550.24026935868,6.789915907404383
88-89,0.09803008216450433,30745.016075099033,3013.9364519909645,29238.04784910355,197273.970579987,6.416453648881417
89-90,0.1060139400224388,27731.079623108068,2939.8810119216537,26261.139117147242,168035.92273088347,6.059480013567903
90-91,0.11456543665607088,24791.198611186413,2840.2144941179495,23371.09136412744,141774.78361373622,5.718754701507811
91-92,0.12371127501048783,21950.984117068463,2715.584232857507,20593.19200063971,118403.69224960878,5.3940038231607765
92-93,0.13347716833319762,19235.399884210958,2567.486708301196,17951.656530060358,97810.50024896907,5.084921594442916
93-94,0.14388740383919282,16667.91317590976,2398.302754298731,15468.761798760397,79858.84371890871,4.791172288701935
94-95,0.15496436122389484,14269.61042161103,2211.281063898786,13163.969889661637,64390.08192014832,4.512392421213607
95-96,0.16672798989531315,12058.329357712244,2010.461015307005,11053.098850058741,51226.11203048668,4.248193137776883
96-97,0.17919525107038928,10047.86834240524,1800.5302903395232,9147.603197235478,40173.01318042794,3.9981627755695093
97-98,0.19237953341879171,8247.338052065717,1586.6190464034491,7454.0285288639925,31025.40998319246,3.761869561709248
98-99,0.2062900536621439,6660.7190056622685,1374.040081106531,5973.6989651090025,23571.381454328468,3.5388644130296547
99-100,0.22093125633323776,5286.6789245557375,1167.9926166325495,4702.682616239463,17597.682489219464,3.328683799479703
100-101,0.2363022296159906,4118.686307923188,973.2547576511017,3632.0589290976372,12894.99987298,3.1308526333199174
101-102,0.2523961566351956,3145.4315502720865,793.8948342477597,2748.4841331482066,9262.940943882364,2.9448871469102866
102-103,0.2691998235297135,2351.536716024327,633.0332689773908,2035.0200815356313,6514.456810734157,2.7702977233321517
103-104,0.2866932068917655,1718.503447046936,492.6832642884393,1472.1618149027163,4479.436729198526,2.6065916462931504
104-105,0.30484916345835456,1225.8201827584965,373.6902572642949,1038.975054126349,3007.27491429581,2.4532757386392983
105-106,0.3236332440928277,852.1299254942015,275.777572176268,714.2411394060675,1968.299860169461,2.3098588622244725
106-107,0.34300365193972787,576.3523533179335,197.69096199210753,477.50687232187977,1254.0587207633935,2.175854255724044
107-108,0.3629113610956382,378.661391325826,137.4205209204236,309.9511308656142,776.5518484415137,2.0507816910578973
108-109,0.38330040723447645,241.2408704054024,92.4677238679903,195.00700847140726,466.6007175758995,1.9341694331967156
109-110,0.4041083554968003,148.77314653741212,60.1204715893181,118.71291074275307,271.5937091044923,1.8255559919625306
