x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0069277631801838825,100000.0,692.7763180183882,99653.61184099081,7529347.298,75.29347298
1-2,0.0008084536335943734,99307.22368198162,80.28528582786724,99267.08103906768,7429693.68615901,74.81523912048564
2-3,0.00046979990903563926,99226.93839615375,46.61680663239802,99203.62999283755,7330426.605119943,73.8753681571222
3-4,0.00031200579483296373,99180.32158952135,30.944835069327564,99164.84917198669,7231222.975127105,72.90985610084068
4-5,0.0002373081672483477,99149.37675445202,23.52895688141494,99137.61227601132,7132058.125955118,71.93245544667403
5-6,0.0002028126221531535,99125.8477975706,20.10397311497969,99115.79581101311,7032920.513679107,70.94941097544358
6-7,0.00018738547482402047,99105.74382445563,18.570976864333353,99096.45833602345,6933804.717868093,69.96370190359328
7-8,0.00017836383667320504,99087.1728475913,17.67356831419741,99078.3360634342,6834708.25953207,68.97672083191557
8-9,0.0001681439874298866,99069.4992792771,16.657940641499927,99061.17030895634,6735629.923468635,67.98893678144958
9-10,0.00015679641126479425,99052.8413386356,15.53113004747912,99045.07577361185,6636568.7531596795,67.00028654878255
10-11,0.00015218824771541428,99037.31020858811,15.072314699092935,99029.77405123856,6537523.677386068,66.01071519023505
11-12,0.00016910804142146154,99022.23789388902,16.7454567074056,99013.86516553532,6438493.903334829,65.02068666872827
12-13,0.00022526917167600824,99005.49243718162,22.3028852726992,98994.34099454527,6339480.038169294,64.03159948112632
13-14,0.0003301819859885041,98983.18955190892,32.68246610572584,98966.84831885605,6240485.697174748,63.045914416630346
14-15,0.00047035787298934495,98950.50708580318,46.54215004409549,98927.23601078114,6141518.848855892,62.066572771884665
15-16,0.0006257186144502218,98903.96493575908,61.88605190323649,98873.02190980746,6042591.612845111,61.095544721285385
16-17,0.0007733103970857799,98842.07888385585,76.43560727045855,98803.86108022062,5943718.590935303,60.13348422102145
17-18,0.0009026651415718478,98765.6432765854,89.15230337069357,98721.06712490004,5844914.729855082,59.17963510334114
18-19,0.001002703586642958,98676.4909732147,98.94327141618385,98627.01933750662,5746193.662730182,58.23265102008907
19-20,0.0010767753126000596,98577.54770179852,106.1458697419514,98524.47476692755,5647566.643392675,57.29059785983737
20-21,0.001145124518396381,98471.40183205657,112.76201659875028,98415.0208237572,5549042.168625747,56.35181449015689
21-22,0.0012140430873486133,98358.63981545782,119.41162674896866,98298.93400208333,5450627.14780199,55.41584509534242
22-23,0.0012529354975552044,98239.22818870885,123.08741625005918,98177.68448058382,5352328.213799906,54.48259633634904
23-24,0.0012639636976090132,98116.14077245879,124.01524008588348,98054.13315241584,5254150.529319322,53.550317898297955
24-25,0.001261738455395285,97992.12553237291,123.64043311011706,97930.30531581785,5156096.396166906,52.61745643494105
25-26,0.0012572928133468763,97868.48509926279,123.04934296844895,97806.96042777857,5058166.090851088,51.6832981088944
26-27,0.001242525941350182,97745.43575629435,121.45123957577337,97684.71013650646,4960359.130423309,50.74773151342655
27-28,0.0012321878605951896,97623.98451671857,120.29108862443337,97563.83897240636,4862674.420286803,49.81024329583727
28-29,0.0012304866260834267,97503.69342809414,119.97699075700834,97443.70493271563,4765110.581314396,48.87107773849114
29-30,0.0012405292976050857,97383.71643733712,120.80735335018267,97323.31276066203,4667666.87638168,47.930671031487634
30-31,0.0012645846682487064,97262.90908398693,122.9971836168777,97201.41049217849,4570343.563621018,46.989583250841356
31-32,0.0013036642772248528,97139.91190037005,126.6378330372818,97076.59298385141,4473142.15312884,46.048447704138795
32-33,0.001357919620240601,97013.27406733276,131.73622827980986,96947.40595319287,4376065.560144989,45.10790510077774
33-34,0.0014274347145592178,96881.53783905295,138.2920703113466,96812.39180389728,4279118.154191796,44.168561416733446
34-35,0.00151239073609187,96743.2457687416,146.3135886801038,96670.08897440154,4182305.7623878983,43.230984542170795
35-36,0.0016129139728228597,96596.9321800615,155.80254164504333,96519.03090923898,4085635.673413497,42.29570837506173
36-37,0.0017292569960737432,96441.12963841646,166.77149813648649,96357.74388934822,3989116.642504258,41.36323016394065
37-38,0.0018617012886035845,96274.35814027998,179.23409660924221,96184.74109197536,3892758.89861491,40.43401559678879
38-39,0.0020107131750723268,96095.12404367073,193.21973197481827,95998.51417768332,3796574.1575229345,39.50849947181055
39-40,0.002176737891215194,95901.90431169591,208.75330895496225,95797.52765721842,3700575.643345251,38.587092403481506
40-41,0.002360297398551108,95693.15100274094,225.86429537092778,95580.21885505547,3604778.115688033,37.67017887816006
41-42,0.0025621355710395005,95467.28670737,244.60013114357915,95344.98664179821,3509197.8968329774,36.75811911979342
42-43,0.0027834037226898674,95222.68657622642,265.04318030079907,95090.16498607602,3413852.9101911793,35.85125596575524
43-44,0.0030253379358625167,94957.64339592562,287.2789608657986,94814.00391549272,3318762.7452051034,34.949927425721086
44-45,0.003289494037584951,94670.36443505983,311.4175993451237,94514.65563538727,3223948.7412896105,34.05446636366456
45-46,0.0035774809927945693,94358.94683571471,337.56733880488264,94190.16316631227,3129434.0856542233,33.16520786420793
46-47,0.0038915123524029442,94021.37949690982,365.8853597021895,93838.43681705873,3035243.922487911,32.28248658686899
47-48,0.004234318942634296,93655.49413720763,396.5672329069535,93457.21052075415,2941405.485670852,31.406651716146197
48-49,0.00460877144666118,93258.92690430068,429.809079462803,93044.02236456927,2847948.275150098,30.538076832822355
49-50,0.0050173279624769335,92829.11782483787,465.754128594625,92596.24076054056,2754904.2527855285,29.677156449809665
50-51,0.0054626389468464915,92363.36369624325,504.5477077888457,92111.08984234883,2662308.012024988,28.824286009987244
51-52,0.005946805672993852,91858.8159884544,546.266528034639,91585.68272443708,2570196.922182639,27.979861209028467
52-53,0.006471986390602713,91312.54946041976,590.9735773990739,91017.06267172022,2478611.239458202,27.144256228795562
53-54,0.007040416536345791,90721.57588302069,638.7176830501684,90402.2170414956,2387594.176786482,26.317820800039037
54-55,0.0076556545468328754,90082.85819997052,689.6432429703054,89738.03657848536,2297191.959744986,25.500877810133005
55-56,0.008322398822887376,89393.21495700021,743.9659869322567,89021.23196353408,2207453.923166501,24.693752475826347
56-57,0.009046168048012492,88649.24897006796,801.936003513333,88248.28096831129,2118432.691202967,23.896792311441317
