x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.010527235172387624,100000.0,1052.7235172387625,99473.63824138061,7476413.3737,74.76413373700001
1-2,0.0008699146598170197,98947.27648276124,86.07568636132183,98904.23863958058,7376939.73545862,74.55424745059904
2-3,0.0003097708067020476,98861.20079639992,30.624313922233917,98845.88863943881,7278035.496819039,73.61872441553504
3-4,0.000264415071389615,98830.57648247769,26.132293936091145,98817.51033550964,7179189.6081796,72.64138148027949
4-5,0.00023779805157228087,98804.44418854159,23.49550431471736,98792.69643638423,7080372.09784409,71.66046179393625
5-6,0.00022100123189454056,98780.94868422687,21.830711346925533,98770.0333285534,6981579.401407706,70.67738763803257
6-7,0.00020966846807606796,98759.11797287995,20.70667297391741,98748.76463639298,6882809.368079152,69.69290035548137
7-8,0.0001994097132060786,98738.41129990603,19.68939827973809,98728.56660076616,6784060.603442759,68.70741096731841
8-9,0.0001874335897194519,98718.7219016263,18.503204418538093,98709.47029941702,6685332.036841993,67.72101490033431
9-10,0.0001741894533568106,98700.21869720776,17.192537141064278,98691.62242863723,6586622.566542576,66.73361673846942
10-11,0.0001636211093386229,98683.0261600667,16.146626213202456,98674.95284696009,6487930.944113939,65.74515594597118
11-12,0.00016294132383994512,98666.8795338535,16.076911970402477,98658.8410778683,6389255.991266979,64.75583317778654
12-13,0.00018104029947540272,98650.8026218831,17.859770850154558,98641.87273645801,6290597.150189111,63.76630481457134
13-14,0.00022325093427865138,98632.94285103295,22.019896642145934,98621.93290271187,6191955.277452653,62.777760639307616
14-15,0.0002836940052751843,98610.9229543908,27.975327696813736,98596.93529054239,6093333.344549942,61.791667312232846
15-16,0.00035427071936088814,98582.94762669399,34.92505177242564,98565.48510080778,5994736.409259399,60.809060325116135
16-17,0.00042416546083961154,98548.02257492156,41.800667410324046,98527.12224121639,5896170.924158592,59.83043363123803
17-18,0.0004882173793433209,98506.22190751124,48.09244950869676,98482.17568275689,5797643.801917375,58.85561023100508
18-19,0.0005411550010082864,98458.12945800254,53.28110914611936,98431.48890342948,5699161.626234618,57.88411437031824
19-20,0.0005864008610664685,98404.84834885642,57.70468780488466,98375.99600495398,5600730.137331189,56.915184884752435
20-21,0.0006344993029963818,98347.14366105154,62.401194104622235,98315.94306399922,5502354.141326235,55.94828620839076
21-22,0.0006884865532541606,98284.74246694692,67.6677235785411,98250.90860515765,5404038.198262235,54.98349044440554
22-23,0.0007398032761551103,98217.07474336837,72.66131366951527,98180.74408653361,5305787.289657078,54.021027438666664
23-24,0.0007857807670293592,98144.41342969886,77.11999246443531,98105.85343346665,5207606.545570544,53.060651784329714
24-25,0.0008276084813547791,98067.29343723443,81.16132379216309,98026.71277533835,5109500.692137077,52.10198541277463
25-26,0.0008707336938038143,97986.13211344226,85.31982675668613,97943.47220006392,5011473.979361739,51.14472702687933
26-27,0.0009152692137859933,97900.81228668557,89.6055994906448,97856.00948694025,4913530.507161675,50.188863528254004
27-28,0.0009612189425630318,97811.20668719492,94.01798466267964,97764.19769486359,4815674.497674734,49.23438387868478
28-29,0.001011885691872082,97717.18870253224,98.87862509805663,97667.7493899832,4717910.299979871,48.28127336268334
29-30,0.001070861242197132,97618.31007743417,104.53566479070597,97566.04224503881,4620242.550589888,47.32967152294436
30-31,0.0011398553129575654,97513.77441264347,111.15159385079716,97458.19861571807,4522676.50834485,46.37987336236723
31-32,0.0012210036058938392,97402.62281879268,118.92895368526341,97343.15834195004,4425218.309729132,45.432229458151085
32-33,0.001315254516965366,97283.69386510742,127.9528177831584,97219.71745621583,4327875.151387182,44.4871589414375
33-34,0.0014214216665866053,97155.74104732426,138.09927535794432,97086.6914096453,4230655.433930966,43.54508944427923
34-35,0.0015386625823314028,97017.64177196631,149.27741522055666,96943.00306435603,4133568.742521321,42.60636176085383
35-36,0.0016653628987734752,96868.36435674576,161.32098006459532,96787.70386671346,4036625.739456965,41.67124908386936
36-37,0.0018068703950419498,96707.04337668116,174.73709366936288,96619.67482984648,3939838.0355902514,40.73992853079261
37-38,0.0019682256181207986,96532.3062830118,189.99735820250714,96437.30760391055,3843218.3607604047,39.81276847869895
38-39,0.002149206267081303,96342.30892480929,207.05949412628308,96238.77917774614,3746781.053156494,38.89029747128734
39-40,0.0023455515789521588,96135.249430683,225.49018609509815,96022.50433763546,3650542.273978748,37.97298384928955
40-41,0.002554063027072972,95909.75924458791,244.95957002207217,95787.27945957688,3554519.7696411125,37.06108531225085
41-42,0.0027751373598744094,95664.79967456585,265.48295960178893,95532.05819476495,3458732.4901815355,36.15470373583085
42-43,0.0030153371183183793,95399.31671496405,287.6611007528421,95255.48616458762,3363200.4319867706,35.253925791055785
43-44,0.0032762868887497255,95111.65561421121,311.6130702561194,94955.84907908316,3267944.945822183,34.3590375408616
44-45,0.003559755200707625,94800.04254395509,337.46494447314825,94631.31007171852,3172989.0967431,33.47033410108343
45-46,0.003867663844695253,94462.57759948194,365.349496058236,94279.90285145282,3078357.7866713814,32.5881197072931
46-47,0.00420209884408968,94097.22810342371,395.4058534454397,93899.52517670099,2984077.8838199284,31.712707631940894
47-48,0.004565322857621473,93701.82224997827,427.77907091861016,93487.93271451896,2890178.3586432273,30.84441998291978
48-49,0.004959788882947749,93274.04317905966,462.61956242708845,93042.73339784612,2796690.425928708,29.983587401265076
49-50,0.005388155198458944,92811.42361663257,500.082354636334,92561.3824393144,2703647.692530862,29.13054866714
50-51,0.005853301525216575,92311.34126199623,540.3261146036303,92041.17820469441,2611086.3100915477,28.28565021800316
51-52,0.006358346419489577,91771.01514739261,583.5119055753476,91479.25919460494,2519045.1318868534,27.44924557978396
52-53,0.006906665923376947,91187.50324181726,629.8016212780842,90872.60243117822,2427565.8726922483,26.62169471023527
53-54,0.007501913509851662,90557.70162053918,679.3560452082386,90218.02359793507,2336693.27026107,25.80336325288417
54-55,0.008148041361489845,89878.34557533094,732.3324772500742,89512.1793367059,2246475.246663135,24.99462169984278
55-56,0.008849323020537038,89146.01309808086,788.8818658979433,88751.57216513189,2156963.0673264293,24.195844461975884
56-57,0.009610377442544536,88357.13123218292,849.145380881718,87932.55854174205,2068211.4951612975,23.407408845433167
57-58,0.010436194476859948,87507.9858513012,913.2503586224881,87051.36067198995,1980278.9366195553,22.62969393427205
58-59,0.011332161784737503,86594.73549267871,981.3055523095859,86104.08271652392,1893227.5759475655,21.863079379780906
59-60,0.012304093189472396,85613.42994036913,1053.3956202566678,85086.7321302408,1807123.4932310416,21.10794409813655
60-61,0.013358258432320974,84560.03432011246,1129.5747914939932,83995.24692436546,1722036.7611008007,20.364664879177056
61-62,0.014501414282470006,83430.45952861846,1209.8596574013436,82825.5296999178,1638041.5141764353,19.633614910326024
62-63,0.015740836918280973,82220.59987121711,1294.2210538960621,81573.48934426908,1555215.9844765174,18.915162221054903
63-64,0.017084355459681982,80926.37881732105,1382.5750217799912,80235.09130643106,1473642.4951322484,18.20966805469909
64-65,0.018540386487051322,79543.80379554105,1474.772865019511,78806.4173630313,1393407.4038258174,17.517485175934304
65-66,0.02011796932930704,78069.03093052155,1570.590369828955,77283.73574560707,1314600.986462786,16.838956123750666
66-67,0.02182680184220782,76498.44056069259,1669.7163033561503,75663.58240901452,1237317.250717179,16.174411421308804
67-68,0.023677276326077218,74828.72425733643,1771.740381368792,73942.85406665204,1161653.6683081645,15.524167755596507
68-69,0.025680515149283534,73056.98387596765,1876.1409811877502,72118.91338537377,1087710.8142415124,14.88852614129501
69-70,0.027848405548890943,71180.8428947799,1982.272980245723,70189.70640465703,1015591.9008561387,14.26777008467566
70-71,0.030193632972088408,69198.56991453418,2089.356222192844,68153.89180343776,945402.1944514817,13.662163764643253
71-72,0.032729712200642774,67109.21369234133,2196.4652501617675,66010.98106726045,877248.302648044,13.071950249182516
72-73,0.03547101536530746,64912.74844217957,2302.521097396889,63761.48789348112,811237.3215807835,12.497349766408144
73-74,0.03843279580786123,62610.22734478268,2406.2860830258023,61407.08430326978,747475.8336873023,11.938558050126447
74-75,0.041631206585785556,60203.94126175688,2506.3627159467,58950.75990378353,686068.7493840326,11.395744780248156
75-76,0.04508331223977677,57697.57854581018,2601.1979490598055,56396.97957128028,627117.989480249,10.869052138511076
76-77,0.04880709225950324,55096.38059675038,2689.0941309503,53751.83353127523,570721.0099089687,10.358593499744885
77-78,0.05282143449158057,52407.286465800076,2768.228048934756,51023.172441332696,516969.1763776935,9.864452278311662
78-79,0.05714611654038194,49639.05841686532,2836.6794172450127,48220.71870824281,465946.00393636076,9.386680948364875
79-80,0.06180177302343332,46802.37899962031,2892.470003891237,45356.14399767469,417725.28522811795,8.925300255175207
80-81,0.06680984636712975,43909.90899572908,2933.6142739993084,42443.101858729424,372369.14123044326,8.480298632972843
81-82,0.07219251867593435,40976.29472172977,2958.1819219690665,39497.20376074524,329926.0393717138,8.051631842562713
82-83,0.07797262209209621,38018.1127997607,2964.3719419904273,36535.92682876549,290428.8356109686,7.639222839403976
83-84,0.08417352499884272,35053.74085777027,2950.5969323944805,33578.44239157304,253892.9087822031,7.242961879942217
84-85,0.09081899142612805,32103.143925375793,2915.575152910459,30645.356348920563,220314.46639063006,6.862706870789793
85-86,0.09793301111492814,29187.568772465333,2858.426497011577,27758.355523959544,189669.1100417095,6.498283961925516
86-87,0.10553959790631154,26329.142275453756,2778.7670889694577,24939.758730969028,161910.75451774994,6.1494883814994905
87-88,0.11366255446886496,23550.3751864843,2676.7958023959777,22211.97728528631,136970.9957867809,5.816085506161675
88-89,0.12232520188638035,20873.579384088323,2553.364812249991,19596.896977963326,114759.01850149459,5.497812157170035
