x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.011672777700051866,100000.0,1167.2777700051865,99416.3611149974,7206494.7829,72.064947829
1-2,0.0010232306340060616,98832.72222999482,101.12866902794258,98782.15789548085,7107078.421785003,71.91017571332331
2-3,0.0003889863150632761,98731.59356096688,38.40523875960559,98712.39094158707,7008296.263889521,70.9833196357951
3-4,0.0003242529524227699,98693.18832220728,32.001557697492146,98677.18754335854,6909583.872947934,70.01074735157974
4-5,0.00029088101052649357,98661.18676450978,28.69866570580372,98646.83743165688,6810906.685404575,69.03329372736252
5-6,0.00027357646696242574,98632.48809880398,26.983527621784297,98618.99633499309,6712259.847972918,68.05323456150663
6-7,0.00026304395895474745,98605.5045711822,25.937582297134213,98592.53578003364,6613640.851637925,67.07172059409332
7-8,0.0002509437898206702,98579.56698888507,24.73793013907145,98567.19802381554,6515048.315857891,66.08923649048356
8-9,0.00023179374042038385,98554.82905874599,22.844392464018274,98543.40686251398,6416481.117834075,65.10569983343359
9-10,0.00020691554233086666,98531.98466628198,20.387799044160374,98521.79076675989,6317937.710971561,64.12067850221213
10-11,0.00018500976793847285,98511.59686723782,18.225607675656057,98502.4840634,6219415.9202048015,63.13384533382997
11-12,0.00018174801237213285,98493.37125956216,17.900974458255977,98484.42077233303,6120913.4361414015,62.145435351286714
12-13,0.00021634825224494067,98475.4702851039,21.30499588518082,98464.81778716132,6022429.015369069,61.156641323296775
13-14,0.00030017109692661204,98454.16528921873,29.553094791858758,98439.3887418228,5923964.197581908,60.16976712137759
14-15,0.0004204355994401299,98424.61219442687,41.38121082762618,98403.92158901306,5825524.808840085,59.18768363884847
15-16,0.0005555180200450294,98383.23098359923,54.65365768164184,98355.90415475842,5727120.887251072,58.21236840865492
16-17,0.0006862944223989231,98328.57732591759,67.48235418119846,98294.83614882699,5628764.983096314,57.24444648923722
17-18,0.0008112661540076566,98261.0949717364,79.71590060630167,98221.23702143325,5530470.146947486,56.28341663135607
18-19,0.0009243351308239128,98181.3790711301,90.75249786818522,98136.00282219601,5432248.909926053,55.328708573043336
19-20,0.0010287006667344435,98090.6265732619,100.90589295631385,98040.17362678376,5334112.907103857,54.37943556329427
20-21,0.001143597093249389,97989.72068030559,112.06075973831702,97933.69030043643,5236072.733477074,53.43491844986392
21-22,0.0012622928506628493,97877.65992056727,123.55027035734177,97815.8847853886,5138139.043176637,52.4955239770393
22-23,0.001352386128683875,97754.10965020992,132.20130191278645,97688.00899925354,5040323.158391248,51.56124050873011
23-24,0.0013981405753815132,97621.90834829713,136.4891511079295,97553.66377274317,4942635.149391995,50.63038853694168
24-25,0.0014104416473364294,97485.4191971892,137.4974952437659,97416.67044956732,4845081.485619252,49.70057599915363
25-26,0.0014137885108582197,97347.92170194544,137.629373258136,97279.10701531637,4747664.815169685,48.77006855581187
26-27,0.0014268072155527304,97210.2923286873,138.70034652056128,97140.94215542702,4650385.708154368,47.83840884286708
27-28,0.0014474483951376895,97071.59198216673,140.50612002804786,97001.3389221527,4553244.765998941,46.906048134406085
28-29,0.0014836796295071234,96931.08586213869,143.8146775596611,96859.17852335886,4456243.427076789,45.973315860865625
29-30,0.001536232942148147,96787.27118457903,148.6877943743764,96712.92728739184,4359384.24855343,45.04088394268113
30-31,0.001601020476968632,96638.58339020466,154.7203508729584,96561.22321476818,4262671.321266038,44.10941439460406
31-32,0.0016798249346593453,96483.8630393317,162.0759989257266,96402.82503986884,4166110.09805127,43.17934592184553
32-33,0.0017784859641071398,96321.78704040598,171.30694628907904,96236.13356726144,4069707.2730114013,42.25116038704932
33-34,0.0018959994236232677,96150.4800941169,182.30125483954612,96059.32946669712,3973471.13944414,41.32554653450204
