x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.013498577214623326,100000.0,1349.8577214623326,99325.07113926884,6918204.4399,69.18204439899999
1-2,0.0011710135831057636,98650.14227853766,115.52065658348377,98592.38195024592,6818879.368760731,69.12184018455538
2-3,0.00046593333067650774,98534.62162195418,45.910564439266544,98511.66633973455,6720286.986810485,68.20229150109365
3-4,0.0003826018355852082,98488.71105751491,37.6819616350264,98469.87007669739,6621775.32047075,67.23385095987094
4-5,0.0003426907186447978,98451.02909587989,33.73825391218698,98434.15996892379,6523305.450394053,66.25939322626186
5-6,0.000324847628010389,98417.2908419677,31.970623485221786,98401.30553022509,6424871.290425129,65.28193608521275
6-7,0.00031501352235283,98385.32021848248,30.992706269835267,98369.82386534756,6326469.984894904,64.30298718188678
7-8,0.0003010462240976434,98354.32751221264,29.609198921214578,98339.52291275203,6228100.161029557,63.32309231900564
8-9,0.00027488882312214405,98324.71831329142,27.028366100957005,98311.20413024095,6129760.638116805,62.342010669032256
9-10,0.00023871016045581072,98297.68994719046,23.464657339729367,98285.9576185206,6031449.433986564,61.35901502087084
10-11,0.0002057981796193506,98274.22528985073,20.224656668153226,98264.11296151666,5933163.476368044,60.37354615484098
11-12,0.0002000229854552176,98254.00063318257,19.65305853956802,98244.17410391278,5834899.363406527,59.385870557986735
12-13,0.00025058689606486946,98234.347574643,24.616240245687326,98222.03945452016,5736655.189302614,58.39765144206447
13-14,0.0003744229203064197,98209.73133439732,36.77197440873394,98191.34534719295,5638433.149848094,57.41216347135317
14-15,0.0005516723244776008,98172.95935998858,54.15930469096994,98145.8797076431,5540241.804500901,56.43348067144938
15-16,0.0007473155991319378,98118.80005529762,73.32570984943155,98082.1372003729,5442095.924793258,55.464354657070935
16-17,0.0009348791289172089,98045.47434544818,91.66066765034715,97999.64401162301,5344013.787592885,54.50546109618556
17-18,0.0011179734253618236,97953.81367779784,109.5097606046215,97899.05879749553,5246014.143581262,53.555996919498405
18-19,0.0012916894344733715,97844.30391719322,126.38445359324,97781.1116903966,5148115.084783766,52.61537850114072
19-20,0.0014598224791637282,97717.91946359997,142.65081545007405,97646.59405587494,5050333.97309337,51.68278244989267
20-21,0.0016498309977618626,97575.2686481499,160.98270283065895,97494.77729673457,4952687.379037495,50.757609460411174
21-22,0.0018439320465833294,97414.28594531924,179.62532364960614,97324.47328349443,4855192.60174076,49.84066304675359
22-23,0.001983810649685912,97234.66062166962,192.8951552598636,97138.21304403969,4757868.128457265,48.93181194892689
23-24,0.002036541072488555,97041.76546640976,197.62954111914496,96942.95069585019,4660729.915413225,48.02808247575112
24-25,0.002022162753487792,96844.13592529063,195.8346045618317,96746.21862300971,4563786.964717375,47.125072892777524
25-26,0.0019871880264690396,96648.30132072879,192.05834716312413,96552.27214714723,4467040.746094366,46.21954742143296
26-27,0.0019704663946305974,96456.24297356566,190.06378533173483,96361.2110808998,4370488.473947219,45.310581660794874
27-28,0.0019665823098689956,96266.17918823393,189.31536503025973,96171.5215057188,4274127.262866319,44.39905373733501
28-29,0.001988718393750327,96076.86382320368,191.06982629905053,95981.32891005414,4177955.7413606006,43.48555495159258
29-30,0.0020350118297006612,95885.79399690463,195.12872508394156,95788.22963436265,4081974.4124505464,42.571211462068305
30-31,0.0020950281648853346,95690.66527182069,200.4746388610793,95590.42795239015,3986186.1828161837,41.65700145874155
31-32,0.002170990763998362,95490.19063295961,207.30832191659823,95386.53647200132,3890595.7548637935,40.743407559193905
32-33,0.0022751804701934965,95282.88231104301,216.7857529778304,95174.4894345541,3795209.2183917924,39.83096571326053
33-34,0.00240741221185065,95066.09655806518,228.86328178685918,94951.66491717176,3700034.728957238,38.92065481722291
34-35,0.0025651765950646505,94837.23327627832,243.27425114099557,94715.59615070782,3605083.064040066,38.01337238021058
35-36,0.0027424051154439507,94593.95902513733,259.4149571206321,94464.25154657701,3510367.4678893583,37.10984828276947
36-37,0.002945748066853124,94334.5440680167,277.885800825831,94195.60116760377,3415903.216342781,36.21052340995957
37-38,0.0031821744770598906,94056.65826719087,299.30469733539894,93907.00591852317,3321707.6151751773,35.31602840640008
38-39,0.0034490438743777856,93757.35356985548,323.3732260079822,93595.66695685149,3227800.609256654,34.427172764125935
